"Criminal Justice Information Services Division","Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home"
"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Forciblerape","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson"
"Boulder City","14,794","14","0","1","1","12","120","49","53","18","2"
"Carlin","2,103","6","0","0","0","6","30","14","16","0","1"
"Elko","17,374","74","0","14","12","48","698","219","431","48","4"
"Fallon","8,552","29","0","2","8","19","314","54","256","4","2"
"Henderson","264,280","543","8","35","189","311","5,196","1,280","3,406","510","43"
"Las Vegas Metropolitan Police Department","1,416,401","12,648","107","652","4,003","7,886","43,219","13,824","22,231","7,164","240"
"Mesquite","18,130","29","0","1","7","21","254","47","189","18","0"
"Reno","222,242","1,168","9","46","385","728","7,468","1,638","5,101","729","29"
"Sparks","91,433","357","8","35","103","211","2,761","699","1,829","233","17"
"West Wendover","5,091","19","0","8","3","8","120","37","80","3","1"
"Winnemucca","8,361","12","0","0","2","10","122","29","81","12","1"
"Yerington","3,912","23","0","0","0","23","31","22","8","1","0"
