"Criminal Justice Information Services Division","Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home"
"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Forciblerape","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson"
"Aberdeen Township","18,575","21","0","3","10","8","272","56","208","8","1"
"Absecon","8,728","26","0","1","19","6","235","50","175","10","1"
"Allendale","6,641","3","0","1","0","2","60","9","50","1","1"
"Allenhurst","699","3","0","0","2","1","15","3","12","0","0"
"Allentown","1,847","0","0","0","0","0","18","2","16","0","0"
"Alpha","2,382","0","0","0","0","0","20","2","18","0","0"
"Alpine","2,552","1","0","0","0","1","8","4","4","0","0"
"Andover Township","6,623","2","0","0","1","1","37","9","27","1","0"
"Asbury Park","16,625","344","3","13","188","140","1,147","335","753","59","2"
"Atlantic City","39,787","783","11","27","434","311","2,969","492","2,344","133","13"
"Atlantic Highlands","4,609","5","0","0","1","4","79","12","67","0","0"
"Audubon","8,908","6","0","0","5","1","268","23","240","5","0"
"Audubon Park","1,057","5","1","0","0","4","16","4","12","0","0"
"Avalon","2,094","0","0","0","0","0","313","65","246","2","2"
"Avon-by-the-Sea","2,252","2","0","0","0","2","73","8","64","1","1"
"Barnegat Light","859","1","0","0","0","1","9","1","8","0","0"
"Barnegat Township","23,692","33","0","0","5","28","244","77","163","4","5"
"Barrington","6,972","3","0","0","2","1","85","27","50","8","0"
"Bay Head","1,284","1","0","0","1","0","85","6","79","0","0"
"Bayonne","58,393","162","0","5","71","86","885","180","612","93","0"
"Beach Haven","1,425","3","0","0","0","3","136","18","117","1","0"
"Beachwood","11,001","9","0","0","4","5","284","45","230","9","1"
"Bedminster Township","8,456","3","0","2","0","1","45","10","33","2","0"
"Belleville","33,849","75","0","1","35","39","755","159","466","130","1"
"Bellmawr","11,275","18","0","0","8","10","315","54","243","18","1"
"Belmar","5,917","24","0","2","10","12","315","57","252","6","0"
"Belvidere","2,638","2","0","0","0","2","23","1","22","0","0"
"Bergenfield","25,680","30","0","1","9","20","107","29","76","2","1"
"Berkeley Heights Township","13,523","1","0","0","0","1","102","19","80","3","0"
"Berkeley Township","43,531","38","0","0","14","24","717","154","542","21","10"
"Berlin","8,194","12","0","0","3","9","207","26","173","8","2"
"Berlin Township","5,509","11","0","3","1","7","178","17","158","3","2"
"Bernards Township","26,990","3","0","0","2","1","146","36","102","8","1"
"Bernardsville","7,872","1","0","0","0","1","38","13","25","0","1"
"Beverly","2,580","9","0","1","2","6","51","25","25","1","1"
"Blairstown Township","5,985","3","0","0","0","3","50","17","31","2","0"
"Bloomfield","43,669","111","0","6","70","35","1,045","207","707","131","2"
"Bloomingdale","7,485","5","0","0","1","4","60","11","49","0","0"
"Bogota","7,933","12","0","1","2","9","72","21","48","3","0"
"Boonton","8,552","10","0","0","3","7","102","11","88","3","1"
"Boonton Township","4,539","3","0","1","0","2","23","4","18","1","0"
"Bordentown","3,830","1","0","1","0","0","72","7","61","4","0"
"Bordentown Township","10,300","8","0","0","3","5","138","34","99","5","0"
"Bound Brook","10,523","17","0","2","10","5","240","62","168","10","2"
"Bradley Beach","5,046","6","0","1","4","1","155","31","121","3","0"
"Branchburg Township","15,263","7","0","3","1","3","147","22","121","4","1"
"Brick Township","79,569","104","1","7","26","70","1,372","333","1,000","39","16"
"Bridgeton","25,243","320","4","1","126","189","1,047","360","637","50","4"
"Bridgewater Township","45,176","15","0","1","6","8","688","80","591","17","1"
"Brielle","4,925","1","0","0","0","1","56","16","39","1","0"
"Brigantine","12,729","11","0","0","3","8","263","69","187","7","1"
"Brooklawn","2,262","16","0","2","9","5","301","31","260","10","1"
"Buena","3,733","15","0","1","1","13","88","35","49","4","1"
"Burlington","9,423","44","1","3","27","13","198","49","137","12","0"
"Burlington Township","21,558","36","0","6","13","17","355","56","283","16","2"
"Butler","8,248","15","1","1","4","9","97","33","60","4","0"
"Byram Township","8,544","3","0","1","1","1","39","14","24","1","0"
"Caldwell","7,115","3","0","0","0","3","73","16","57","0","0"
"Califon","1,043","0","0","0","0","0","7","3","4","0","1"
"Camden","79,081","1,841","37","73","712","1,019","3,500","1,015","1,966","519","91"
"Cape May","3,691","2","0","0","0","2","185","29","156","0","0"
"Cape May Point","221","0","0","0","0","0","13","8","5","0","0"
"Carlstadt","6,111","19","0","0","5","14","154","16","104","34","0"
"Carney's Point Township","8,076","9","0","1","7","1","163","33","118","12","1"
"Carteret","24,246","52","1","3","16","32","399","72","296","31","0"
"Cedar Grove Township","12,774","9","0","3","3","3","128","30","97","1","2"
"Chatham","8,263","0","0","0","0","0","72","14","57","1","0"
"Chatham Township","10,302","0","0","0","0","0","46","15","31","0","0"
"Cherry Hill Township","71,338","79","0","0","34","45","2,210","307","1,833","70","0"
"Chesilhurst","1,997","5","0","0","3","2","41","22","14","5","1"
"Chester","1,700","1","0","0","1","0","21","6","15","0","0"
"Chesterfield Township","7,860","3","0","0","0","3","34","2","31","1","0"
"Chester Township","7,866","0","0","0","0","0","26","7","19","0","0"
"Cinnaminson Township","15,718","25","0","4","8","13","373","53","302","18","2"
"Clark Township","14,505","2","0","0","1","1","206","20","177","9","0"
"Clayton","7,682","12","0","3","4","5","138","30","103","5","4"
"Clementon","4,914","16","0","0","8","8","238","70","159","9","0"
"Cliffside Park","23,139","32","0","0","6","26","221","69","147","5","0"
"Clinton","2,576","2","0","0","1","1","37","12","25","0","1"
"Clinton Township","14,075","4","0","0","0","4","66","14","51","1","0"
"Closter","8,759","2","0","0","1","1","61","12","49","0","0"
"Collingswood","13,880","36","0","2","22","12","497","136","334","27","2"
"Colts Neck Township","10,180","4","0","0","1","3","73","26","47","0","1"
"Cranbury Township","4,023","3","0","0","0","3","39","6","31","2","0"
"Cranford Township","22,147","10","0","0","5","5","247","50","191","6","1"
"Cresskill","8,760","1","0","0","0","1","38","15","19","4","0"
"Deal","1,051","3","0","1","1","1","57","19","35","3","1"
"Delanco Township","5,000","7","1","2","1","3","125","37","87","1","0"
"Delaware Township","4,760","0","0","0","0","0","31","8","20","3","0"
"Delran Township","16,957","17","0","2","7","8","247","39","200","8","1"
"Demarest","5,216","0","0","0","0","0","36","10","26","0","0"
"Denville Township","16,708","7","1","0","2","4","157","36","117","4","2"
"Deptford Township","31,340","105","0","3","46","56","1,906","270","1,585","51","2"
"Dover","17,948","36","0","1","13","22","337","93","222","22","0"
"Dumont","17,022","11","1","0","2","8","115","14","101","0","0"
"Dunellen","7,150","12","0","4","4","4","190","51","137","2","1"
"Eastampton Township","6,597","6","0","0","3","3","109","24","80","5","0"
"East Brunswick Township","47,620","44","0","4","15","25","833","89","721","23","4"
"East Greenwich Township","8,733","4","0","0","2","2","154","33","115","6","2"
"East Hanover Township","11,500","6","0","0","0","6","172","18","148","6","0"
"East Newark","2,116","3","0","1","0","2","27","10","16","1","0"
"East Orange","65,118","487","6","31","178","272","1,367","351","656","360","19"
"East Rutherford","8,846","14","0","0","3","11","214","33","162","19","2"
"East Windsor Township","27,424","25","0","2","7","16","339","48","278","13","4"
"Eatontown","14,428","54","0","4","15","35","602","70","514","18","0"
"Edgewater","9,875","10","0","1","4","5","205","30","157","18","1"
"Edgewater Park Township","7,757","29","0","2","17","10","167","43","111","13","0"
"Edison Township","100,395","141","2","5","52","82","1,709","334","1,220","155","11"
"Egg Harbor City","4,391","20","1","0","6","13","148","51","92","5","0"
"Egg Harbor Township","41,573","116","1","2","30","83","1,007","217","758","32","14"
"Elizabeth","126,494","1,392","13","42","760","577","4,734","924","2,665","1,145","12"
"Elk Township","4,084","5","0","1","1","3","120","35","80","5","1"
"Elmer","1,346","0","0","0","0","0","7","3","4","0","0"
"Elmwood Park","18,736","21","0","0","13","8","382","87","278","17","2"
"Elsinboro Township","1,053","4","0","1","0","3","16","9","7","0","2"
"Emerson","7,504","3","0","0","0","3","72","5","67","0","0"
"Englewood","30,023","64","1","5","15","43","511","177","295","39","1"
"Englewood Cliffs","5,946","0","0","0","0","0","73","16","55","2","0"
"Englishtown","1,944","4","0","1","1","2","21","4","17","0","2"
"Essex Fells","2,149","2","1","0","0","1","7","2","4","1","0"
"Evesham Township","45,959","41","0","3","19","19","711","99","595","17","12"
"Ewing Township","36,612","121","2","1","31","87","710","182","466","62","4"
"Fairfield Township, Essex County","7,531","15","0","1","7","7","228","37","176","15","1"
"Fair Haven","5,984","3","0","1","2","0","51","6","45","0","0"
"Fair Lawn","30,607","27","0","1","9","17","360","58","289","13","9"
"Fairview","13,709","28","2","1","18","7","175","46","122","7","0"
"Fanwood","7,164","0","0","0","0","0","90","6","81","3","0"
"Far Hills","910","0","0","0","0","0","9","4","5","0","0"
"Fieldsboro","568","0","0","0","0","0","0","0","0","0","0"
"Flemington","4,452","7","0","0","1","6","86","12","72","2","0"
"Florence Township","11,663","17","0","2","4","11","110","39","66","5","0"
"Florham Park","12,669","2","0","1","1","0","65","7","56","2","0"
"Fort Lee","36,580","34","0","0","16","18","320","42","262","16","1"
"Franklin","5,115","6","0","0","1","5","143","11","130","2","0"
"Franklin Lakes","11,816","4","0","0","1","3","73","23","49","1","0"
"Franklin Township, Gloucester County","17,679","22","0","0","10","12","363","139","208","16","1"
"Franklin Township, Hunterdon County","3,289","0","0","0","0","0","32","5","26","1","0"
"Franklin Township, Somerset County","61,185","64","1","3","32","28","951","239","656","56","5"
"Freehold","11,548","49","2","2","18","27","275","48","213","14","0"
"Freehold Township","35,117","37","0","5","14","18","1,063","97","947","19","3"
"Frenchtown","1,474","0","0","0","0","0","32","2","28","2","0"
"Galloway Township","37,367","68","1","1","18","48","708","192","478","38","1"
"Garfield","29,068","49","1","1","14","33","444","98","303","43","2"
"Garwood","4,599","6","0","0","5","1","46","8","38","0","0"
"Gibbsboro","2,447","2","0","0","0","2","64","20","42","2","0"
"Glassboro","20,047","43","0","0","21","22","405","112","281","12","8"
"Glen Ridge","6,642","7","0","0","2","5","187","76","103","8","2"
"Glen Rock","11,158","5","0","0","2","3","102","9","93","0","0"
"Gloucester City","11,614","29","0","5","14","10","330","82","232","16","3"
"Gloucester Township","65,239","214","1","7","55","151","1,655","417","1,145","93","15"
"Green Brook Township","7,098","7","0","0","2","5","132","31","98","3","0"
"Greenwich Township, Gloucester County","5,040","2","0","0","1","1","111","14","95","2","0"
"Greenwich Township, Warren County","5,193","4","0","1","0","3","92","2","90","0","0"
"Guttenberg","10,643","38","0","0","12","26","96","29","62","5","3"
"Hackensack","43,111","107","0","6","31","70","1,073","89","910","74","4"
"Hackettstown","9,653","7","0","0","0","7","143","16","121","6","0"
"Haddonfield","11,499","11","0","1","6","4","307","73","230","4","2"
"Haddon Heights","7,736","6","0","0","1","5","154","35","115","4","1"
"Haddon Township","14,432","32","0","0","18","14","468","80","377","11","0"
"Haledon","8,806","17","0","0","13","4","220","86","118","16","0"
"Hamburg","3,514","7","0","0","0","7","32","9","23","0","0"
"Hamilton Township, Atlantic County","24,892","71","4","8","21","38","1,074","154","888","32","7"
"Hamilton Township, Mercer County","91,439","189","2","3","101","83","1,845","434","1,315","96","9"
"Hammonton","13,603","20","1","2","4","13","254","72","175","7","1"
