"Criminal Justice Information Services Division","Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home"
"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Forciblerape","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson"
"Aberdeen","6,116","20","0","2","13","5","311","60","243","8","2"
"Ahoskie","4,617","32","1","3","6","22","241","90","147","4","1"
"Albemarle","15,446","67","0","4","14","49","795","220","527","48","6"
"Archdale","9,344","10","0","0","4","6","368","82","265","21","4"
"Asheboro","25,017","52","0","11","24","17","1,662","423","1,175","64","2"
"Asheville","77,067","432","2","31","165","234","3,671","743","2,638","290","8"
"Atlantic Beach","1,855","19","0","2","6","11","190","59","129","2","0"
"Ayden","5,078","34","0","1","11","22","223","83","130","10","1"
"Bailey","691","0","0","0","0","0","21","10","11","0","1"
"Banner Elk","944","2","0","1","0","1","25","7","18","0","0"
"Beaufort","4,368","20","0","0","3","17","201","40","156","5","0"
"Belhaven","2,050","7","0","0","2","5","63","19","44","0","1"
"Belmont","9,601","41","0","4","8","29","461","69","372","20","2"
"Benson","3,632","47","0","0","14","33","243","76","148","19","0"
"Beulaville","1,133","6","1","0","1","4","43","7","33","3","0"
"Biscoe","1,685","0","0","0","0","0","112","25","85","2","0"
"Black Mountain","7,953","5","0","1","1","3","182","53","117","12","0"
"Boiling Spring Lakes","5,012","4","0","1","0","3","93","34","57","2","0"
"Boone","14,209","24","0","7","6","11","440","82","349","9","1"
"Brevard","6,722","21","0","4","3","14","207","52","149","6","1"
"Burgaw","4,478","20","0","0","1","19","110","19","87","4","0"
"Burlington","52,210","395","3","11","69","312","3,519","794","2,599","126","9"
"Canton","3,841","25","0","1","2","22","214","50","154","10","0"
"Cape Carteret","1,429","4","0","1","1","2","20","7","13","0","0"
"Carolina Beach","5,968","22","2","5","4","11","309","51","245","13","0"
"Carrboro","18,448","60","0","5","13","42","611","190","405","16","1"
"Carthage","2,080","7","1","0","3","3","70","34","35","1","3"
"Cary","141,461","120","1","14","35","70","2,179","535","1,580","64","2"
"Catawba","836","0","0","0","0","0","16","6","8","2","0"
"Chadbourn","2,043","21","2","0","1","18","168","73","93","2","0"
"Chapel Hill","54,164","88","0","11","32","45","1,666","508","1,108","50","4"
"Charlotte-Mecklenburg","797,733","4,891","61","239","1,795","2,796","34,701","9,325","22,711","2,665","247"
"Cherryville","5,862","29","0","2","2","25","197","28","160","9","0"
"China Grove","3,772","12","0","1","3","8","94","29","61","4","1"
"Claremont","1,163","2","0","0","1","1","48","16","29","3","0"
"Clayton","17,472","25","0","3","8","14","400","114","275","11","4"
"Cleveland","846","0","0","0","0","0","36","11","24","1","0"
"Clinton","8,753","33","0","0","13","20","479","127","339","13","0"
"Clyde","1,282","0","0","0","0","0","35","19","15","1","0"
"Columbus","1,056","3","0","1","0","2","51","5","45","1","1"
"Concord","68,461","139","3","11","57","68","2,842","354","2,321","167","22"
"Cornelius","26,180","34","0","2","7","25","618","148","452","18","4"
"Cramerton","3,184","3","0","1","0","2","127","34","90","3","0"
"Creedmoor","3,898","12","0","1","4","7","117","28","86","3","0"
"Dobson","1,452","3","0","0","0","3","45","18","24","3","0"
"Drexel","1,865","0","0","0","0","0","38","11","26","1","0"
"Duck","504","1","0","0","0","1","81","52","29","0","0"
"Durham","233,790","1,614","23","60","659","872","11,357","3,652","6,987","718","28"
"Eden","15,310","92","0","5","19","68","834","232","556","46","0"
"Edenton","5,052","33","1","0","8","24","217","55","152","10","2"
"Elizabeth City","20,801","120","4","4","30","82","772","208","544","20","3"
"Elkin","4,117","22","0","1","1","20","302","69","227","6","0"
"Elon","7,198","20","0","1","3","16","137","41","90","6","0"
"Emerald Isle","3,719","6","0","0","2","4","249","142","104","3","1"
"Enfield","2,319","48","1","2","12","33","123","72","47","4","1"
"Erwin","4,954","20","0","0","4","16","185","3","176","6","2"
"Fairmont","2,625","26","0","0","7","19","162","47","112","3","0"
"Farmville","4,679","41","0","0","4","37","173","48","120","5","4"
"Fayetteville","208,263","1,101","17","57","461","566","12,566","3,928","7,916","722","53"
"Fletcher","4,819","8","0","2","3","3","151","43","102","6","0"
"Franklin","3,980","15","0","1","3","11","186","55","126","5","1"
"Franklinton","2,041","11","1","0","5","5","89","30","54","5","0"
"Garner","28,620","48","2","3","22","21","977","152","793","32","1"
"Garysburg","1,093","6","0","0","0","6","40","17","22","1","0"
"Gibsonville","4,905","4","0","1","0","3","90","25","59","6","0"
"Goldsboro","38,179","386","5","3","105","273","2,525","734","1,663","128","5"
"Graham","14,826","47","0","3","6","38","574","167","383","24","2"
"Granite Falls","4,571","11","0","2","1","8","307","56","243","8","0"
"Greensboro","257,237","1,512","20","56","626","810","13,776","4,221","8,755","800","87"
"Hamlet","5,725","53","0","2","13","38","508","191","302","15","15"
"Haw River","2,050","11","0","0","0","11","79","28","47","4","0"
"Henderson","15,730","175","3","6","50","116","1,807","522","1,241","44","7"
"Hendersonville","12,311","74","1","10","15","48","810","114","639","57","3"
"Hertford","2,170","4","0","0","1","3","69","26","43","0","0"
"Hickory","41,892","217","1","22","76","118","2,573","616","1,836","121","13"
"Highlands","964","0","0","0","0","0","35","14","21","0","0"
"High Point","105,278","608","2","28","220","358","4,879","1,313","3,346","220","36"
"Hillsborough","5,831","31","0","3","10","18","369","92","268","9","0"
"Holden Beach","859","3","0","0","0","3","54","22","32","0","0"
"Holly Ridge","1,000","3","0","0","1","2","48","32","12","4","0"
"Holly Springs","23,506","19","1","1","5","12","250","79","165","6","1"
"Hope Mills","14,008","63","0","1","23","39","945","416","494","35","7"
"Hudson","3,013","5","0","0","0","5","80","12","63","5","0"
"Huntersville","47,537","45","0","5","9","31","1,041","256","766","19","7"
"Indian Beach","95","0","0","0","0","0","6","0","6","0","0"
"Jonesville","2,233","6","0","0","1","5","131","41","86","4","0"
"Kannapolis","44,084","95","0","5","40","50","954","310","574","70","8"
"Kenansville","1,168","5","0","1","1","3","31","6","24","1","0"
"Kernersville","23,695","86","0","4","11","71","1,034","158","846","30","8"
"King","7,092","22","0","4","4","14","212","54","151","7","0"
"Kinston","21,900","223","2","10","50","161","1,231","379","807","45","12"
"Kitty Hawk","3,351","7","0","0","1","6","128","69","57","2","0"
"Knightdale","10,686","18","1","0","7","10","385","63","307","15","3"
"Lake Lure","1,001","0","0","0","0","0","40","15","24","1","0"
"Lake Royale","","2","0","0","1","1","88","46","39","3","1"
"Laurinburg","15,325","119","3","6","31","79","896","395","460","41","10"
"Leland","6,165","23","0","2","1","20","392","133","246","13","0"
"Lenoir","17,840","55","0","3","26","26","864","178","641","45","2"
"Lexington","20,255","88","2","7","28","51","762","217","515","30","5"
"Liberty","2,738","7","0","0","1","6","37","11","24","2","0"
"Lincolnton","11,017","30","0","0","14","16","541","81","452","8","0"
"Long View","5,005","19","0","4","6","9","236","102","116","18","1"
"Louisburg","3,755","7","0","0","7","0","131","39","85","7","0"
"Lumberton","22,019","438","5","13","138","282","2,647","693","1,779","175","12"
"Madison","2,245","45","0","0","0","45","145","36","107","2","1"
"Maggie Valley","906","9","0","2","2","5","110","9","99","2","0"
"Magnolia","988","0","0","0","0","0","34","21","12","1","1"
"Maiden","3,521","10","0","0","1","9","134","37","89","8","1"
"Manteo","1,503","7","0","2","1","4","88","24","63","1","0"
"Marion","7,015","36","0","1","10","25","438","136","285","17","4"
"Marshville","3,389","15","0","0","2","13","106","40","60","6","1"
"Matthews","27,989","49","0","4","18","27","739","112","587","40","9"
"Maxton","2,727","21","1","0","10","10","112","54","51","7","2"
"Mayodan","2,625","22","0","1","4","17","239","24","212","3","0"
"Maysville","947","3","0","1","0","2","18","7","11","0","0"
"Middlesex","872","2","1","0","0","1","15","3","12","0","0"
"Mint Hill","21,032","53","0","5","16","32","451","132","294","25","12"
"Mocksville","4,683","17","0","4","3","10","249","38","205","6","0"
"Mooresville","22,430","84","0","7","22","55","1,451","262","1,143","46","9"
"Morehead City","9,888","76","0","4","8","64","544","87","446","11","1"
"Morganton","17,001","40","0","4","11","25","494","121","355","18","4"
"Morrisville","15,446","12","0","1","5","6","401","66","321","14","1"
"Mount Airy","10,612","57","2","4","7","44","620","187","406","27","4"
"Mount Holly","10,228","52","0","4","7","41","407","122","267","18","1"
"Mount Olive","4,344","42","2","1","11","28","405","106","286","13","3"
"Murfreesboro","2,413","4","0","0","2","2","61","16","42","3","0"
"Murphy","1,526","17","0","1","1","15","95","9","83","3","1"
"Nags Head","3,097","16","0","6","1","9","334","141","190","3","4"
"New Bern","29,657","141","1","8","23","109","1,806","779","973","54","1"
"Newport","4,492","6","0","1","0","5","68","28","38","2","1"
"Oak Island","8,487","27","0","2","3","22","278","120","150","8","0"
"Old Fort","961","0","0","0","0","0","33","13","15","5","0"
"Oxford","8,699","110","1","1","23","85","674","264","382","28","5"
"Pinebluff","1,447","1","0","0","0","1","33","18","15","0","0"
"Pinehurst","12,749","5","0","1","1","3","131","2","124","5","0"
"Pinetops","1,228","10","0","0","1","9","53","25","27","1","0"
"Pineville","7,313","47","1","1","18","27","1,305","207","1,033","65","1"
"Pittsboro","2,820","8","0","1","1","6","75","8","65","2","0"
"Plymouth","3,768","64","0","0","5","59","175","57","115","3","2"
"Raeford","4,149","35","1","1","7","26","402","89","286","27","0"
"Raleigh","419,700","1,740","14","99","643","984","12,995","3,021","9,104","870","63"
"Ramseur","1,772","6","0","1","1","4","78","25","51","2","0"
"Randleman","3,692","9","0","0","3","6","264","51","208","5","0"
"Red Springs","3,503","49","0","0","16","33","349","147","179","23","1"
"Reidsville","14,739","57","2","0","19","36","884","279","579","26","5"
"Richlands","964","7","0","1","3","3","32","9","22","1","0"
"Roanoke Rapids","16,121","76","3","7","29","37","868","209","638","21","4"
"Robersonville","1,520","6","0","0","1","5","63","18","45","0","0"
"Rockingham","8,727","50","0","1","28","21","948","194","735","19","2"
"Rockwell","2,024","2","0","1","1","0","53","16","36","1","0"
"Rocky Mount","59,688","688","11","14","210","453","3,566","1,057","2,339","170","13"
"Rolesville","3,512","3","0","0","1","2","51","28","23","0","0"
"Rowland","1,154","10","0","0","4","6","57","29","26","2","0"
"Roxboro","8,683","68","0","5","12","51","504","140","349","15","4"
"Rutherfordton","4,050","3","0","0","3","0","161","29","127","5","0"
"Salisbury","31,106","211","6","9","78","118","1,667","361","1,210","96","7"
"Scotland Neck","2,122","30","0","1","5","24","132","58","73","1","0"
"Selma","7,172","51","0","4","16","31","437","201","214","22","0"
"Shallotte","2,260","18","0","3","3","12","271","77","179","15","3"
"Sharpsburg","2,412","17","0","1","4","12","69","30","36","3","2"
"Shelby","21,430","145","1","11","47","86","1,033","337","654","42","7"
"Siler City","8,938","40","1","1","11","27","354","100","240","14","2"
"Smithfield","13,448","84","2","2","18","62","794","191","586","17","13"
"Southern Pines","13,060","92","1","2","30","59","478","122","346","10","2"
"Sparta","1,760","7","0","2","0","5","59","14","42","3","0"
"Spencer","3,408","11","1","0","4","6","188","86","98","4","5"
"Spring Hope","1,310","11","0","1","2","8","40","14","22","4","0"
"Spruce Pine","1,947","7","0","2","3","2","62","4","54","4","0"
"Stallings","9,612","17","0","1","3","13","301","60","234","7","0"
