"Criminal Justice Information Services Division","Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home"
"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Forciblerape","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson"
"Belfield","844","1","0","0","0","1","5","2","2","1","0"
"Beulah","2,976","2","0","0","0","2","44","5","38","1","0"
"Bismarck","64,142","197","1","21","17","158","1,508","182","1,250","76","5"
"Burlington","1,043","0","0","0","0","0","3","0","3","0","0"
"Cando","1,033","0","0","0","0","0","20","2","18","0","0"
"Carrington","2,001","0","0","0","0","0","4","1","1","2","0"
"Cavalier","1,351","1","0","0","0","1","20","4","14","2","0"
"Devils Lake","6,917","26","0","5","3","18","306","34","252","20","1"
"Dickinson","16,917","42","0","0","5","37","420","63","336","21","5"
"Ellendale","1,500","1","0","0","0","1","13","4","9","0","2"
"Fargo","99,694","302","0","44","35","223","2,764","392","2,205","167","14"
"Fessenden","493","0","0","0","0","0","1","0","1","0","0"
"Grafton","4,052","8","0","2","1","5","97","15","73","9","0"
"Grand Forks","53,382","119","0","33","7","79","1,424","252","1,095","77","5"
"Harvey","1,604","4","0","0","0","4","33","3","29","1","0"
"Jamestown","15,164","43","0","10","1","32","333","59","246","28","4"
"Kenmare","1,125","0","0","0","0","0","1","1","0","0","0"
"Killdeer","704","0","0","0","0","0","0","0","0","0","0"
"Lincoln","3,140","0","0","0","0","0","9","0","8","1","0"
"Lisbon","2,185","5","0","0","0","5","41","18","20","3","0"
"Mandan","19,134","41","1","11","2","27","281","25","238","18","1"
"Medora","99","1","0","0","0","1","0","0","0","0","0"
"Minot","37,605","107","1","27","5","74","701","66","588","47","1"
"Napoleon","702","0","0","0","0","0","7","5","2","0","0"
"Northwood","944","1","0","0","0","1","23","6","16","1","0"
"Oakes","1,797","2","0","0","0","2","1","0","1","0","0"
"Rolla","1,483","0","0","0","0","0","25","5","19","1","0"
"Rugby","2,566","0","0","0","0","0","43","6","35","2","0"
"Sherwood","216","0","0","0","0","0","0","0","0","0","0"
"Steele","632","1","0","0","0","1","1","0","1","0","0"
"Thompson","985","0","0","0","0","0","2","1","1","0","0"
"Valley City","6,477","4","0","1","0","3","80","20","54","6","0"
"Wahpeton","7,592","10","0","3","0","7","149","16","127","6","0"
"Watford City","1,450","2","0","0","0","2","39","6","26","7","0"
"West Fargo","26,409","46","0","7","3","36","450","105","319","26","6"
"Williston","13,569","32","2","7","2","21","290","24","236","30","3"
