"Criminal Justice Information Services Division","Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home"
"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Forciblerape","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson"
"Achille","549","1","0","0","0","1","3","2","1","0","0"
"Ada","17,298","138","1","8","10","119","762","205","529","28","1"
"Allen","1,015","1","0","0","0","1","7","3","4","0","0"
"Altus","18,983","42","0","4","8","30","728","270","443","15","4"
"Alva","4,822","6","0","1","2","3","115","34","78","3","1"
"Anadarko","6,422","27","0","1","1","25","229","69","142","18","2"
"Antlers","2,547","7","0","0","1","6","86","28","51","7","0"
"Apache","1,540","6","0","0","1","5","16","8","7","1","0"
"Ardmore","25,238","295","2","11","30","252","1,363","394","923","46","6"
"Arkoma","2,194","1","0","0","0","1","19","7","11","1","0"
"Atoka","3,092","12","0","1","1","10","103","27","74","2","2"
"Bartlesville","36,586","146","3","11","27","105","1,226","273","894","59","13"
"Beggs","1,374","3","0","0","1","2","38","14","20","4","0"
"Bethany","19,923","55","0","7","15","33","572","197","317","58","0"
"Bixby","22,683","23","0","2","3","18","346","115","206","25","1"
"Blackwell","7,238","12","0","2","1","9","149","44","101","4","4"
"Blanchard","7,061","10","1","2","0","7","110","40","48","22","1"
"Boise City","1,207","4","0","0","0","4","15","11","3","1","0"
"Boley","1,097","6","0","0","0","6","4","1","3","0","0"
"Bristow","4,425","17","0","2","1","14","166","49","114","3","0"
"Broken Arrow","97,581","143","2","31","28","82","2,037","353","1,560","124","16"
"Broken Bow","4,135","30","0","4","2","24","199","59","119","21","4"
"Caddo","1,009","0","0","0","0","0","13","9","4","0","0"
"Calumet","553","1","0","0","0","1","3","0","3","0","0"
"Caney","212","0","0","0","0","0","4","2","2","0","1"
"Carnegie","1,619","5","0","0","0","5","25","14","10","1","0"
"Catoosa1","8,193","","0","4","1","","181","41","112","28","1"
"Chandler","2,874","10","0","2","0","8","63","12","50","1","0"
"Checotah","3,496","6","0","1","2","3","90","9","67","14","0"
"Chelsea","2,261","1","0","0","0","1","5","0","5","0","0"
"Cherokee","1,376","4","0","0","0","4","7","1","5","1","0"
"Chickasha","17,507","129","1","12","22","94","815","209","582","24","5"
"Choctaw","11,942","9","0","1","1","7","193","67","119","7","1"
"Chouteau","2,208","7","0","0","0","7","74","15","55","4","0"
"Claremore","17,741","32","0","7","2","23","557","106","423","28","2"
"Cleveland","3,270","8","0","2","0","6","77","18","58","1","0"
"Clinton","8,948","23","0","6","3","14","136","43","84","9","2"
"Collinsville","5,380","14","0","6","1","7","113","38","64","11","3"
"Comanche","1,528","2","0","0","0","2","45","14","29","2","1"
"Cordell","2,983","15","0","1","0","14","28","0","26","2","0"
"Coweta","9,248","29","0","8","3","18","202","26","153","23","4"
"Crescent","1,463","8","0","0","0","8","11","5","6","0","0"
"Cushing","9,838","31","0","0","1","30","192","31","148","13","1"
"Davis","2,699","11","0","0","0","11","82","25","52","5","0"
"Del City","22,549","152","1","13","28","110","1,255","383","775","97","5"
"Dewey","3,367","16","0","2","2","12","113","24","89","0","0"
"Dibble","674","2","0","2","0","0","7","2","4","1","0"
"Drumright","2,908","10","0","1","1","8","100","20","75","5","0"
"Duncan","22,814","51","0","10","10","31","1,119","292","779","48","4"
"Durant","17,357","130","0","14","4","112","785","253","502","30","3"
"Edmond","83,337","74","1","9","19","45","1,691","372","1,274","45","3"
"Elk City","11,748","20","0","3","0","17","118","25","92","1","6"
"El Reno","17,262","89","2","12","4","71","440","144","281","15","7"
"Enid","48,581","226","2","28","25","171","2,173","466","1,642","65","7"
"Eufaula","2,808","10","1","1","0","8","84","24","55","5","0"
"Fairfax","1,429","2","0","0","0","2","23","11","8","4","0"
"Fairview","2,561","1","0","0","0","1","145","38","103","4","0"
"Forest Park","1,193","1","0","0","0","1","8","5","3","0","0"
"Fort Gibson","4,440","6","0","1","1","4","77","22","50","5","2"
"Frederick","3,778","17","0","2","1","14","111","48","60","3","1"
"Geary","1,243","2","1","0","0","1","40","17","18","5","0"
"Glenpool1","10,685","","0","6","1","","224","46","162","16","1"
"Goodwell","1,251","0","0","0","0","0","5","0","5","0","0"
"Grove","6,575","21","0","1","0","20","193","28","157","8","0"
"Guthrie","11,797","20","1","2","1","16","301","40","247","14","1"
"Guymon","11,294","25","0","1","7","17","332","84","235","13","1"
"Harrah","5,402","5","0","1","1","3","98","24","73","1","0"
"Hartshorne","2,088","2","0","0","0","2","63","19","29","15","1"
"Healdton","2,816","7","0","3","0","4","87","19","58","10","2"
"Heavener","3,254","6","0","0","1","5","67","20","43","4","1"
"Henryetta","6,053","6","0","3","0","3","156","49","89","18","1"
"Hinton","3,746","2","0","1","0","1","20","3","14","3","0"
"Hobart","3,512","4","0","0","1","3","103","48","53","2","0"
"Holdenville","5,638","14","0","0","0","14","159","70","82","7","2"
"Hollis","1,949","3","0","0","0","3","66","32","34","0","1"
"Hominy","3,588","4","0","0","0","4","19","6","9","4","0"
"Howe","728","0","0","0","0","0","0","0","0","0","0"
"Hugo2","5,434","4","0","1","0","3","67","19","47","1","0"
"Hulbert","544","2","0","0","0","2","9","4","3","2","0"
"Hydro","1,014","0","0","0","0","0","22","2","16","4","0"
"Idabel","6,829","37","1","8","3","25","260","67","184","9","0"
"Jay","3,051","8","0","1","0","7","62","13","48","1","0"
"Jenks","17,170","32","0","3","4","25","261","50","195","16","0"
"Jones","2,805","2","0","1","0","1","24","8","13","3","0"
"Kingfisher","4,418","5","0","1","0","4","48","7","40","1","1"
"Kingston","1,652","0","0","0","0","0","12","4","5","3","0"
"Krebs","2,164","5","0","1","0","4","78","22","52","4","0"
"Lawton","92,025","831","3","60","113","655","5,254","1,757","3,279","218","42"
"Lexington","2,185","10","0","0","0","10","41","12","26","3","2"
"Lindsay","2,916","8","0","0","0","8","69","11","54","4","0"
"Locust Grove","1,615","5","0","0","0","5","59","12","44","3","1"
"Lone Grove","5,496","11","0","3","2","6","109","24","77","8","1"
"Madill","3,855","6","0","2","0","4","105","38","66","1","0"
"Mangum","2,709","6","0","1","0","5","52","21","27","4","0"
"Mannford","2,938","2","0","0","0","2","44","13","28","3","0"
"Marietta","2,540","17","1","0","1","15","25","4","18","3","0"
"Marlow","4,639","15","0","1","0","14","171","46","122","3","0"
"Maysville","1,306","0","0","0","0","0","20","4","16","0","0"
"McAlester","18,675","38","1","3","10","24","773","164","583","26","0"
"McCurtain","491","1","0","0","0","1","6","3","3","0","0"
"McLoud2","4,784","12","0","1","1","10","120","26","80","14","0"
"Medicine Park","396","0","0","0","0","0","2","0","2","0","0"
"Meeker","983","2","0","0","0","2","31","11","19","1","0"
"Miami","12,967","74","0","11","7","56","570","105","448","17","4"
"Midwest City","58,095","265","2","24","52","187","2,737","817","1,752","168","19"
"Minco","1,850","0","0","0","0","0","8","1","6","1","0"
"Moore","55,788","58","1","13","19","25","2,145","423","1,578","144","1"
"Mooreland","1,270","1","0","1","0","0","22","9","12","1","0"
"Morris","1,325","0","0","0","0","0","5","0","3","2","0"
"Mountain View","758","1","0","0","0","1","4","1","3","0","1"
"Muldrow","3,201","12","0","2","0","10","53","16","34","3","1"
"Muskogee","40,499","373","6","18","57","292","1,689","578","1,026","85","29"
"Mustang","19,200","27","0","1","4","22","412","92","304","16","3"
"Newcastle","7,845","7","0","1","0","6","212","51","134","27","0"
"Newkirk","2,158","3","0","1","0","2","59","20","39","0","0"
"Nichols Hills","4,147","2","0","0","1","1","74","18","50","6","0"
"Nicoma Park","2,464","1","0","0","0","1","30","12","15","3","0"
"Noble","6,046","9","0","6","1","2","121","25","94","2","0"
"Norman","111,534","138","2","47","36","53","3,551","811","2,628","112","6"
"Nowata1","3,956","","0","2","0","","61","8","53","0","1"
"Oilton","1,141","1","0","0","0","1","16","9","7","0","1"
"Okemah","2,833","9","0","2","0","7","148","40","100","8","0"
"Oklahoma City","571,865","5,304","54","340","1,112","3,798","33,263","9,901","19,760","3,602","119"
"Okmulgee","12,648","101","1","7","13","80","584","159","400","25","9"
"Oologah","1,180","3","0","0","0","3","22","10","10","2","0"
"Owasso","30,431","42","0","2","11","29","826","108","680","38","5"
"Pauls Valley","6,112","34","0","3","5","26","362","89","262","11","1"
"Pawhuska","3,350","78","0","0","0","78","107","51","51","5","0"
"Pawnee","2,160","3","0","0","1","2","33","20","11","2","0"
"Perkins","2,680","1","0","0","0","1","15","1","12","2","0"
"Perry","4,972","8","0","1","0","7","99","25","68","6","0"
"Piedmont","6,079","1","0","0","0","1","48","24","22","2","0"
"Pocola","4,581","3","2","0","0","1","50","14","34","2","1"
"Ponca City","24,928","113","1","17","17","78","1,236","299","902","35","26"
"Porum","748","4","0","1","0","3","13","7","6","0","1"
"Poteau","8,408","35","0","3","1","31","271","46","192","33","3"
"Prague","2,153","8","0","2","0","6","44","12","27","5","0"
"Pryor1","9,400","","1","8","4","","310","93","202","15","1"
"Purcell","6,359","13","0","4","0","9","235","45","183","7","0"
"Ringling","1,065","5","0","0","0","5","18","6","11","1","0"
"Roland","3,605","7","0","0","0","7","57","14","39","4","0"
"Sallisaw","8,985","5","0","2","1","2","286","44","229","13","0"
"Sand Springs","19,204","33","1","3","11","18","636","98","481","57","1"
"Sapulpa","21,567","44","0","11","15","18","656","118","487","51","3"
"Sawyer","269","4","0","0","0","4","13","2","9","2","0"
"Sayre","4,137","12","0","0","1","11","37","13","24","0","0"
"Seminole","6,895","38","0","5","12","21","532","148","351","33","1"
"Shawnee1","31,002","","2","10","19","","1,757","528","1,091","138","0"
"Skiatook","7,118","106","0","9","0","97","276","75","184","17","1"
"Snyder","1,329","4","0","1","0","3","8","1","7","0","0"
"South Coffeyville","777","6","0","0","0","6","17","4","13","0","0"
"Spencer","4,150","11","0","0","1","10","83","33","39","11","3"
"Spiro","2,362","1","0","0","0","1","33","2","29","2","0"
"Stigler","2,979","3","0","1","0","2","58","10","46","2","0"
"Stillwater","47,414","100","1","16","16","67","1,548","269","1,191","88","11"
"Stilwell","3,530","7","0","2","1","4","77","16","58","3","0"
"Stratford2","1,497","5","0","1","0","4","15","3","9","3","0"
"Stroud","2,722","5","0","0","1","4","59","13","41","5","1"
"Sulphur","4,964","2","0","0","0","2","122","41","81","0","0"
"Tahlequah","17,067","33","0","7","6","20","694","103","577","14","2"
"Talihina","1,245","5","0","0","0","5","43","13","28","2","2"
"Tecumseh","6,857","16","0","0","3","13","206","63","128","15","0"
"The Village","9,923","49","0","2","3","44","324","73","232","19","2"
"Tishomingo","3,266","9","1","3","0","5","63","23","39","1","0"
"Tonkawa","3,194","8","0","2","0","6","103","25","74","4","0"
"Tryon","452","1","0","0","0","1","8","2","6","0","0"
"Tulsa","393,412","4,304","54","252","1,381","2,617","21,355","7,146","11,857","2,352","203"
"Tuttle","6,450","31","0","4","0","27","167","32","126","9","3"
"Valliant","743","6","0","0","0","6","17","7","10","0","0"
"Verdigris","3,245","1","0","1","0","0","29","11","18","0","0"
"Vian","1,562","3","0","0","0","3","25","7","17","1","0"
"Vinita","6,115","16","0","0","0","16","156","27","117","12","3"
"Wagoner","8,270","71","1","3","3","64","425","108","302","15","4"
