"Criminal Justice Information Services Division","Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home"
"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Forciblerape","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson"
"Adair Village","800","1","0","0","0","1","17","3","13","1","0"
"Albany","48,777","86","0","12","26","48","1,287","204","1,023","60","25"
"Amity","1,431","2","0","2","0","0","38","7","30","1","0"
"Ashland","20,942","25","0","7","8","10","550","81","445","24","9"
"Astoria","9,639","13","1","1","4","7","631","142","460","29","5"
"Aumsville","3,727","5","0","0","0","5","44","7","34","3","1"
"Aurora","1,056","6","0","0","0","6","11","3","7","1","0"
"Baker City","9,309","3","1","0","0","2","207","29","169","9","1"
"Bandon","3,222","0","0","0","0","0","93","12","78","3","0"
"Beaverton","93,993","239","0","31","45","163","1,773","198","1,439","136","24"
"Bend","79,556","247","5","14","31","197","2,410","387","1,951","72","19"
"Black Butte","","0","0","0","0","0","10","2","8","0","0"
"Boardman","3,032","6","0","2","0","4","53","12","41","0","1"
"Burns","2,596","1","0","0","0","1","79","28","49","2","0"
"Canby","15,935","19","0","2","6","11","362","65","286","11","4"
"Cannon Beach","1,714","1","0","0","1","0","57","8","49","0","2"
"Carlton","1,720","2","0","0","0","2","19","7","11","1","0"
"Central Point","16,819","15","0","6","2","7","477","61","401","15","2"
"Clatskanie","1,615","1","0","0","0","1","41","6","35","0","0"
"Coburg","1,075","1","0","0","0","1","23","7","11","5","0"
"Condon","610","0","0","0","0","0","1","1","0","0","0"
"Coos Bay","15,227","64","0","9","10","45","832","156","652","24","3"
"Cornelius","11,703","24","0","2","5","17","318","87","209","22","9"
"Corvallis","51,276","57","0","9","12","36","1,377","209","1,132","36","23"
"Cottage Grove","9,173","44","0","0","3","41","440","52","348","40","7"
"Creswell","5,237","23","0","3","3","17","194","53","109","32","3"
"Dallas","16,416","30","0","3","4","23","290","46","238","6","4"
"Eagle Point","8,673","4","0","2","1","1","198","25","169","4","1"
"Enterprise","1,728","0","0","0","0","0","28","13","14","1","1"
"Estacada","2,712","5","0","1","0","4","133","24","106","3","1"
"Eugene","153,269","416","0","80","168","168","7,028","1,293","5,136","599","98"
"Florence","8,824","6","0","1","1","4","314","76","227","11","5"
"Forest Grove","21,600","53","0","8","4","41","700","129","548","23","6"
"Gearhart","1,196","0","0","0","0","0","14","4","10","0","0"
"Gervais","2,488","11","0","0","1","10","57","10","35","12","0"
"Gladstone","12,162","34","0","5","7","22","339","57","252","30","8"
"Gold Beach","1,878","3","0","0","0","3","26","3","23","0","0"
"Gresham","102,540","470","7","42","176","245","4,055","674","2,714","667","33"
"Hermiston","15,399","60","1","10","9","40","679","116","542","21","2"
"Hines","1,341","0","0","0","0","0","35","7","27","1","1"
"Hubbard","2,861","2","0","1","0","1","33","4","28","1","1"
"Independence","9,835","8","0","2","0","6","215","19","183","13","7"
"Jacksonville","2,182","0","0","0","0","0","28","2","26","0","0"
"John Day","1,440","0","0","0","0","0","17","2","13","2","2"
"Junction City","5,754","1","0","0","1","0","45","7","37","1","1"
"Keizer","36,191","64","0","5","11","48","870","128","699","43","6"
"King City","2,993","3","0","1","1","1","52","12","39","1","0"
"Klamath Falls","19,922","95","0","23","24","48","849","203","588","58","4"
"La Grande","12,600","18","0","5","3","10","328","60","258","10","3"
"Lake Oswego","37,349","30","0","5","5","20","495","79","400","16","12"
"Lakeview","2,319","25","0","2","0","23","41","14","26","1","0"
"Lebanon","16,084","24","0","2","9","13","619","104","506","9","2"
"Lincoln City","8,144","49","0","5","3","41","356","63","281","12","4"
"Madras","5,815","11","1","2","2","6","325","64","232","29","1"
"Manzanita","851","0","0","0","0","0","27","18","9","0","0"
"McMinnville","31,748","60","1","13","10","36","1,050","164","832","54","9"
"Medford","73,525","300","3","46","40","211","3,219","379","2,678","162","36"
"Milwaukie","20,674","21","0","7","11","3","517","99","389","29","1"
"Molalla","7,727","13","0","4","0","9","215","34","171","10","0"
"Monmouth","9,851","16","0","4","2","10","145","25","117","3","2"
"Mount Angel","3,374","16","0","3","1","12","72","7","63","2","3"
"Myrtle Creek","3,401","3","0","2","0","1","29","5","23","1","1"
"Newberg-Dundee","26,738","30","1","8","4","17","458","44","383","31","13"
"Newport","9,877","38","0","11","5","22","380","64","300","16","1"
"Oakridge","3,195","10","0","1","0","9","85","29","53","3","0"
"Ontario","10,822","45","1","3","2","39","713","93","596","24","3"
"Oregon City","32,045","38","0","9","15","14","929","119","744","66","0"
"Pendleton","16,263","53","1","8","14","30","677","94","548","35","3"
"Philomath","4,542","1","0","1","0","0","58","22","34","2","0"
"Phoenix","4,387","2","0","1","1","0","107","22","77","8","0"
"Pilot Rock","1,487","1","0","1","0","0","25","6","18","1","0"
"Portland","564,392","3,051","22","230","1,005","1,794","28,391","4,120","21,026","3,245","214"
"Port Orford","1,073","6","0","1","0","5","39","5","34","0","0"
"Rainier","1,798","0","0","0","0","0","40","9","27","4","0"
"Redmond","25,480","89","0","17","12","60","1,360","187","1,120","53","30"
"Reedsport","4,093","1","0","1","0","0","116","8","106","2","0"
"Rockaway Beach","1,351","4","0","0","0","4","40","22","18","0","0"
"Rogue River","1,918","1","0","1","0","0","65","13","47","5","0"
"Roseburg","20,169","52","1","8","24","19","985","133","813","39","16"
"Salem","155,820","483","1","48","118","316","6,056","868","4,761","427","36"
"Sandy","9,426","8","0","3","3","2","268","38","208","22","1"
"Scappoose","6,480","13","0","5","0","8","123","13","102","8","0"
"Sherwood","18,483","9","0","5","1","3","199","25","170","4","1"
"Silverton","9,900","22","0","1","1","20","147","23","108","16","4"
"Stayton","7,369","28","0","3","1","24","375","51","299","25","4"
"St. Helens","12,708","11","0","4","2","5","258","41","203","14","14"
"Sunriver","","2","0","1","0","1","55","15","40","0","0"
"Sutherlin","7,064","7","0","6","0","1","131","21","101","9","0"
"Sweet Home","8,950","17","0","3","2","12","452","74","369","9","1"
"Talent","6,242","9","0","0","5","4","141","12","126","3","0"
"The Dalles","12,186","12","0","2","7","3","697","103","563","31","2"
"Tigard","49,466","89","1","11","58","19","1,955","192","1,695","68","4"
"Tillamook","4,333","4","0","2","0","2","212","27","175","10","0"
"Toledo","3,239","26","0","2","6","18","172","41","127","4","1"
"Troutdale","15,692","25","0","8","7","10","488","87","361","40","4"
"Turner","1,782","4","0","0","0","4","43","16","26","1","3"
"Umatilla","6,387","8","0","0","1","7","76","8","61","7","0"
"Veneta","4,565","46","0","5","0","41","232","70","154","8","4"
"West Linn","25,614","9","0","1","6","2","295","45","241","9","1"
"Wilsonville","19,718","6","0","2","3","1","268","23","223","22","0"
"Winston","5,463","7","0","2","2","3","162","33","123","6","4"
"Woodburn","23,032","64","0","2","16","46","665","142","453","70","11"
"Yamhill","923","0","0","0","0","0","16","4","10","2","0"
