"Criminal Justice Information Services Division","Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home"
"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Forciblerape","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson1"
"Abington Township","54,235","96","0","1","43","52","1,258","189","1,037","32","6"
"Adamstown","1,597","0","0","0","0","0","20","5","15","0","0"
"Adams Township, Butler County","10,107","8","0","3","0","5","64","8","54","2","0"
"Adams Township, Cambria County","6,024","0","0","0","0","0","25","0","22","3","0"
"Akron","4,053","4","0","0","0","4","30","6","22","2","0"
"Alburtis","2,449","0","0","0","0","0","22","2","20","0","0"
"Aldan","4,284","9","0","0","2","7","119","9","110","0","1"
"Aleppo Township","1,220","0","0","0","0","0","9","2","7","0","0"
"Aliquippa","10,497","84","5","3","14","62","168","63","89","16","0"
"Allegheny Township, Westmoreland County","8,288","9","0","1","0","8","126","15","111","0","0"
"Allentown","108,473","732","9","67","460","196","5,089","1,327","3,345","417","29"
"Altoona","46,213","167","0","29","51","87","947","294","616","37","10"
"Ambler","6,228","13","0","2","2","9","155","14","136","5","0"
"Amity Township","12,299","7","2","1","0","4","159","30","121","8","5"
"Annville Township","4,808","1","0","0","0","1","62","19","43","0","2"
"Apollo","1,598","2","0","0","0","2","1","1","0","0","0"
"Archbald","6,584","25","0","0","1","24","92","19","73","0","0"
"Arnold","5,178","29","0","4","11","14","112","33","63","16","1"
"Ashland","3,088","4","0","0","0","4","59","15","42","2","1"
"Ashley","2,670","0","0","0","0","0","18","4","13","1","0"
"Aspinwall","2,692","1","0","0","1","0","46","13","33","0","0"
"Aston Township","17,100","24","0","2","9","13","354","43","303","8","0"
"Atglen","1,403","0","0","0","0","0","9","1","8","0","0"
"Athens","3,175","1","0","0","0","1","45","8","36","1","0"
"Athens Township","5,042","5","0","3","0","2","111","2","107","2","0"
"Avoca","2,659","1","0","1","0","0","43","12","30","1","0"
"Avondale","1,100","0","0","0","0","0","2","0","2","0","0"
"Avonmore Boro","761","0","0","0","0","0","0","0","0","0","0"
"Baden","3,965","2","0","0","0","2","55","6","46","3","0"
"Baldwin Borough","18,450","30","0","4","8","18","189","45","133","11","0"
"Baldwin Township","1,992","3","0","0","0","3","16","6","9","1","0"
"Bally","1,108","0","0","0","0","0","0","0","0","0","0"
"Bangor","5,343","23","0","2","1","20","153","18","133","2","1"
"Barrett Township","4,327","2","0","0","0","2","60","20","39","1","0"
"Beaver","4,321","6","0","0","0","6","104","18","82","4","0"
"Beaver Falls","8,926","77","3","6","18","50","342","29","295","18","1"
"Beaver Meadows","951","0","0","0","0","0","3","1","2","0","0"
"Bedford","2,967","6","3","0","0","3","28","4","24","0","1"
"Bedminster Township","6,480","2","0","1","1","0","45","2","43","0","0"
"Bell Acres","1,357","0","0","0","0","0","0","0","0","0","0"
"Bellefonte","6,179","5","0","0","0","5","75","7","68","0","0"
"Bellevue","7,969","20","1","2","11","6","257","60","186","11","1"
"Bellwood","1,871","0","0","0","0","0","4","1","3","0","0"
"Ben Avon","1,764","0","0","0","0","0","31","3","28","0","0"
"Ben Avon Heights","358","0","0","0","0","0","3","0","3","0","0"
"Bendersville","613","1","0","0","0","1","4","2","2","0","0"
"Bensalem Township","59,028","110","0","6","67","37","2,147","305","1,718","124","47"
"Berks-Lehigh Regional","31,334","15","0","0","5","10","279","56","210","13","3"
"Berlin","2,046","1","0","1","0","0","15","2","12","1","0"
"Bern Township","7,311","23","0","2","1","20","78","16","57","5","0"
"Bernville","888","0","0","0","0","0","0","0","0","0","0"
"Berwick","10,169","31","0","9","3","19","447","82","353","12","2"
"Bessemer","1,086","0","0","0","0","0","0","0","0","0","0"
"Bethel Park","31,514","35","0","4","5","26","292","50","237","5","2"
"Bethel Township, Armstrong County","1,188","0","0","0","0","0","0","0","0","0","0"
"Bethel Township, Berks County","4,572","0","0","0","0","0","22","0","21","1","0"
"Bethel Township, Delaware County","12,017","5","0","0","1","4","125","20","101","4","0"
"Bethlehem","73,634","234","0","18","110","106","2,069","445","1,522","102","12"
"Bethlehem Township","24,220","32","0","3","9","20","403","51","336","16","4"
"Biglerville","1,168","1","0","0","0","1","10","0","10","0","0"
"Birdsboro","5,237","6","0","0","0","6","81","15","61","5","1"
"Birmingham Township","4,366","5","0","0","0","5","28","4","24","0","0"
"Blacklick Township","2,063","0","0","0","0","0","4","0","4","0","0"
"Blair Township","4,781","0","0","0","0","0","47","8","38","1","1"
"Blairsville","3,333","18","0","0","7","11","106","16","84","6","0"
"Blakely","6,716","4","0","1","1","2","96","15","77","4","0"
"Blawnox","1,435","1","0","0","0","1","6","2","3","1","0"
"Bloomsburg Town","12,873","19","0","3","1","15","342","60","272","10","2"
"Blythe Township","916","0","0","0","0","0","0","0","0","0","0"
"Boswell","1,231","2","0","0","0","2","0","0","0","0","0"
"Boyertown","3,960","8","0","1","2","5","100","12","83","5","0"
"Brackenridge","3,234","12","0","0","2","10","81","12","69","0","0"
"Braddock","2,662","10","0","0","0","10","5","4","0","1","0"
"Braddock Hills","1,816","2","0","0","0","2","7","3","4","0","0"
"Bradford","8,271","49","2","3","3","41","355","37","306","12","4"
"Bradford Township","4,927","7","0","1","1","5","44","12","28","4","2"
"Brecknock Township, Berks County","5,008","0","0","0","0","0","24","11","12","1","0"
"Brentwood","9,470","21","0","1","7","13","230","38","180","12","0"
"Briar Creek Township","3,128","1","0","0","0","1","46","11","34","1","0"
"Bridgeport","4,425","7","0","0","3","4","139","16","109","14","2"
"Bridgeville","4,869","6","0","0","0","6","56","17","37","2","0"
"Bridgewater","871","2","0","0","1","1","57","11","44","2","0"
"Brighton Township","7,956","11","0","0","0","11","44","9","35","0","0"
"Bristol","9,699","24","0","1","15","8","342","33","288","21","2"
"Bristol Township","54,171","127","1","12","74","40","1,474","261","1,088","125","14"
"Brockway","2,022","1","0","0","0","1","8","1","6","1","0"
"Brookhaven","8,024","16","0","0","5","11","233","38","189","6","4"
"Brookville","3,932","9","0","0","1","8","53","5","46","2","0"
"Brownsville","2,586","6","0","0","2","4","61","18","41","2","0"
"Bryn Athyn","1,346","0","0","0","0","0","22","2","18","2","1"
"Buckingham Township","20,119","1","0","0","0","1","167","24","138","5","0"
"Buffalo Township","7,411","8","0","0","0","8","53","16","36","1","1"
"Bushkill Township","8,546","19","1","0","0","18","74","18","52","4","0"
"Butler","13,916","82","0","0","35","47","602","111","481","10","2"
"Butler Township, Butler County","16,659","18","0","0","3","15","368","40","321","7","1"
"Butler Township, Luzerne County","9,568","48","0","6","1","41","112","29","75","8","2"
"Butler Township, Schuykill County","6,105","2","0","0","0","2","28","16","12","0","0"
"Caernarvon Township, Berks County","3,650","9","0","1","0","8","85","5","77","3","0"
"California","6,411","12","0","0","3","9","73","11","61","1","0"
"Caln Township","12,496","48","0","1","9","38","263","30","223","10","0"
"Cambria Township","6,168","10","0","0","3","7","124","22","98","4","0"
"Cambridge Springs","2,651","4","0","0","0","4","7","1","6","0","1"
"Camp Hill","7,454","12","0","2","4","6","122","8","113","1","0"
"Canonsburg","8,776","5","1","0","2","2","150","18","132","0","0"
"Canton","1,681","2","0","0","0","2","21","10","10","1","0"
"Carbondale","9,155","14","0","0","2","12","135","39","87","9","2"
"Carlisle","18,708","54","0","10","27","17","557","72","482","3","4"
"Carmichaels","516","0","0","0","0","0","1","1","0","0","0"
"Carnegie","7,929","12","0","0","3","9","225","30","185","10","0"
"Carrolltown","955","0","0","0","0","0","11","0","10","1","0"
"Carroll Township, Washington County","5,481","17","0","0","0","17","76","21","51","4","0"
"Carroll Township, York County","6,070","6","0","1","0","5","109","15","90","4","2"
"Carroll Valley","3,604","2","0","1","0","1","67","2","65","0","0"
"Cass Township","1,795","3","0","0","1","2","13","6","3","4","1"
"Castle Shannon","8,069","21","0","0","2","19","81","18","60","3","1"
"Catasauqua","6,628","10","0","0","3","7","153","17","132","4","0"
"Catawissa","1,532","2","0","1","0","1","44","5","38","1","0"
"Cecil Township","10,821","2","0","0","0","2","16","3","13","0","0"
"Center Township","11,649","18","1","4","2","11","454","51","401","2","0"
"Centerville","3,216","0","0","0","0","0","20","5","14","1","0"
"Central Berks Regional","9,487","10","0","1","4","5","184","32","132","20","1"
"Chalfont","4,221","0","0","0","0","0","37","2","34","1","0"
"Charleroi","5,692","30","0","4","11","15","187","29","150","8","1"
"Chartiers Township","7,507","4","0","1","0","3","65","12","52","1","0"
"Cheltenham Township","36,084","98","1","7","50","40","1,015","239","729","47","3"
"Cherry Tree","410","0","0","0","0","0","0","0","0","0","0"
"Chester","37,308","911","24","31","206","650","1,252","466","638","148","33"
"Chester Township","4,495","48","0","2","5","41","136","51","74","11","3"
"Chippewa Township","9,777","8","0","0","2","6","205","16","185","4","0"
"Christiana","1,118","1","0","0","0","1","16","5","11","0","0"
"Churchill","3,216","26","0","0","1","25","22","8","14","0","0"
"Clarion","5,177","3","0","0","2","1","86","7","71","8","0"
"Claysville","673","0","0","0","0","0","5","0","5","0","0"
"Clay Township","6,114","2","0","0","1","1","43","6","35","2","0"
"Clearfield","6,088","39","0","4","3","32","268","42","223","3","1"
"Cleona","2,150","1","0","0","0","1","21","10","11","0","0"
"Clifford Township","2,449","0","0","0","0","0","3","1","0","2","0"
"Coaldale","2,104","0","0","0","0","0","7","3","4","0","0"
"Coal Township","10,195","38","0","1","0","37","200","8","183","9","2"
"Coatesville","11,920","140","3","7","60","70","487","111","340","36","0"
"Cochranton","1,059","0","0","0","0","0","10","0","10","0","0"
"Colebrookdale District","6,483","3","0","1","0","2","107","2","101","4","0"
"Collegeville","5,117","4","0","0","3","1","74","6","67","1","0"
"Collier Township","6,588","7","0","1","2","4","156","17","136","3","0"
"Collingdale","8,436","97","0","4","11","82","208","33","157","18","1"
"Colonial Regional","20,560","10","0","4","5","1","483","65","409","9","2"
"Columbia","10,116","22","1","3","10","8","217","54","155","8","1"
"Conemaugh Township, Cambria County","2,441","3","0","0","0","3","10","2","8","0","0"
"Conemaugh Township, Somerset County","7,171","2","0","0","0","2","43","16","27","0","0"
"Conewago Township, Adams County","6,215","3","0","0","1","2","113","3","110","0","0"
"Conewango Township","3,542","9","0","4","1","4","146","18","128","0","1"
"Conneaut Lake Regional","3,501","1","0","0","0","1","45","17","28","0","0"
"Connellsville","8,313","21","0","3","9","9","309","54","243","12","0"
"Conoy Township","3,430","0","0","0","0","0","50","18","31","1","2"
"Conshohocken","8,593","22","0","3","2","17","205","23","177","5","0"
"Conway","2,112","6","0","0","0","6","11","2","9","0","0"
"Conyngham","1,840","0","0","0","0","0","0","0","0","0","0"
"Coopersburg","2,586","4","0","1","0","3","18","1","17","0","0"
"Coplay","3,401","1","0","0","0","1","75","12","62","1","0"
"Coraopolis","5,575","50","0","0","2","48","107","15","87","5","1"
"Cornwall","3,562","0","0","0","0","0","1","0","1","0","0"
"Corry","6,315","38","0","5","1","32","136","19","111","6","2"
"Coudersport","2,357","0","0","0","0","0","9","4","5","0","0"
"Covington Township","2,215","2","0","0","0","2","36","4","28","4","0"
"Cranberry Township","28,107","3","1","0","1","1","316","51","265","0","0"
"Crescent Township","2,778","12","0","0","1","11","44","13","29","2","1"
