"Criminal Justice Information Services Division","Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home"
"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Forciblerape","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson"
"Abernathy","2,748","3","0","0","1","2","30","7","20","3","0"
"Abilene","116,938","578","4","68","112","394","4,897","1,340","3,375","182","26"
"Addison","15,862","97","1","7","20","69","862","105","651","106","0"
"Alamo","17,687","154","0","13","18","123","1,441","239","1,057","145","9"
"Alamo Heights","7,488","9","0","3","4","2","230","49","176","5","0"
"Alice","19,690","166","0","8","7","151","1,236","356","843","37","14"
"Allen","89,459","65","0","12","18","35","1,615","319","1,232","64","0"
"Alpine","6,490","6","0","1","0","5","55","16","39","0","1"
"Alto","1,157","3","0","0","1","2","63","23","39","1","0"
"Alton","12,349","27","0","1","7","19","482","116","324","42","4"
"Alvarado","4,379","13","2","1","2","8","112","25","81","6","0"
"Alvin","23,399","45","0","5","20","20","744","174","544","26","2"
"Amarillo","190,393","1,184","10","91","238","845","11,064","2,590","7,827","647","55"
"Andrews","10,508","49","0","9","0","40","242","75","159","8","2"
"Angleton","19,138","75","1","11","13","50","500","110","374","16","1"
"Anna","1,999","7","0","3","1","3","120","28","84","8","1"
"Anson","2,194","11","1","0","0","10","43","14","25","4","1"
"Anthony","4,550","21","0","1","4","16","216","19","195","2","2"
"Aransas Pass","8,787","42","2","7","12","21","611","184","414","13","3"
"Archer City","1,778","4","0","0","0","4","7","3","4","0","1"
"Arcola","1,252","1","0","0","0","1","35","17","13","5","1"
"Argyle","3,753","3","0","0","0","3","29","5","21","3","0"
"Arlington","383,715","1,925","16","119","532","1,258","19,350","4,763","13,342","1,245","48"
"Arp","981","1","0","0","0","1","4","0","4","0","0"
"Athens","12,173","62","0","9","16","37","535","152","347","36","3"
"Atlanta","5,380","26","0","4","5","17","256","67","174","15","0"
"Austin","796,310","3,790","38","265","1,231","2,256","45,826","8,749","34,827","2,250","122"
"Azle","11,689","30","1","1","6","22","371","101","250","20","2"
"Baird","1,644","1","0","0","0","1","17","6","10","1","0"
"Balch Springs","20,265","222","1","27","51","143","1,615","242","1,238","135","2"
"Balcones Heights","2,997","24","0","0","4","20","548","40","486","22","1"
"Ballinger","3,607","12","0","1","0","11","101","41","56","4","0"
"Bangs","1,532","2","0","0","0","2","22","4","16","2","0"
"Bastrop","8,790","24","0","1","9","14","565","47","507","11","2"
"Bay City","17,523","45","2","12","12","19","824","219","599","6","1"
"Bayou Vista","1,663","0","0","0","0","0","0","0","0","0","0"
"Baytown","71,082","301","6","21","148","126","3,849","822","2,707","320","7"
"Beaumont","109,430","900","10","65","312","513","5,941","1,611","4,041","289","48"
"Bedford","49,993","215","4","20","34","157","1,773","342","1,333","98","4"
"Bee Cave","3,435","3","0","0","0","3","122","15","105","2","0"
"Beeville","12,439","44","0","3","5","36","341","86","247","8","3"
"Bellaire","18,378","15","0","1","10","4","339","93","231","15","0"
"Bellmead","9,659","157","2","8","19","128","1,021","71","918","32","4"
"Bellville","4,552","13","0","6","1","6","92","28","60","4","0"
"Belton","17,955","79","0","0","10","69","766","171","586","9","4"
"Benbrook","23,589","37","1","4","11","21","448","105","319","24","4"
"Bertram","1,455","4","0","0","0","4","24","7","17","0","0"
"Beverly Hills","2,031","12","0","0","4","8","94","23","68","3","0"
"Big Sandy","1,348","3","0","0","2","1","6","5","1","0","0"
"Big Spring","24,357","178","0","17","9","152","1,401","353","1,001","47","1"
"Bishop","3,100","9","0","0","0","9","73","8","64","1","0"
"Blanco","1,673","7","0","0","0","7","32","12","19","1","0"
"Bloomburg","359","0","0","0","0","0","0","0","0","0","0"
"Blue Mound","2,385","2","0","0","0","2","51","26","20","5","0"
"Boerne","11,152","21","0","2","1","18","261","29","228","4","1"
"Bogata","1,209","3","0","0","0","3","31","11","18","2","0"
"Bonham","10,547","26","0","7","1","18","313","72","231","10","1"
"Borger","12,469","186","1","15","7","163","633","119","480","34","0"
"Bovina","1,697","1","0","0","0","1","23","11","12","0","1"
"Bowie","5,487","14","0","2","3","9","257","50","189","18","0"
"Brackettville","1,769","0","0","0","0","0","3","0","3","0","1"
"Brady","5,286","18","0","0","1","17","99","37","61","1","0"
"Brazoria","3,021","20","0","1","4","15","65","15","45","5","0"
"Breckenridge","5,606","10","0","2","1","7","75","23","52","0","3"
"Bremond","851","6","0","1","0","5","13","8","5","0","0"
"Brenham","16,267","62","0","2","9","51","521","113","386","22","1"
"Bridge City","8,421","17","0","10","1","6","167","44","117","6","0"
"Bridgeport","6,263","12","0","0","2","10","144","33","107","4","0"
"Brookshire","4,010","18","3","0","6","9","164","74","84","6","1"
"Brookside Village","1,823","4","0","0","0","4","23","14","8","1","0"
"Brownfield","8,863","21","0","0","7","14","183","55","117","11","0"
"Brownsville","180,040","563","7","31","165","360","9,316","1,286","7,784","246","26"
"Brownwood","18,725","123","0","10","12","101","738","163","564","11","2"
"Bruceville-Eddy","1,562","6","1","0","2","3","54","11","39","4","0"
"Bryan","75,350","410","4","34","90","282","3,647","890","2,632","125","59"
"Bullard","1,979","2","0","0","0","2","36","11","24","1","1"
"Bulverde","4,894","6","0","0","1","5","69","12","56","1","0"
"Burkburnett","10,424","5","0","0","1","4","229","102","125","2","0"
"Burleson","37,902","69","0","9","9","51","963","163","757","43","1"
"Burnet","6,114","16","0","1","0","15","163","28","126","9","1"
"Cactus","2,699","11","1","2","2","6","10","7","1","2","0"
"Caddo Mills","1,216","6","0","0","0","6","50","27","20","3","0"
"Caldwell","3,693","5","0","0","0","5","21","4","16","1","0"
"Calvert","1,340","12","1","2","1","8","43","13","29","1","1"
"Cameron","5,608","13","0","2","0","11","234","33","200","1","1"
"Canton","3,639","3","0","1","2","0","137","35","94","8","0"
"Canyon","14,634","13","1","1","2","9","119","15","102","2","0"
"Carrollton","130,862","184","4","4","63","113","3,510","897","2,256","357","13"
"Carthage","6,650","34","0","0","2","32","152","26","122","4","0"
"Castle Hills","4,227","4","0","0","2","2","319","65","245","9","0"
"Castroville","3,083","6","0","0","0","6","83","17","66","0","0"
"Cedar Hill","46,674","104","1","10","29","64","1,742","430","1,213","99","4"
"Cedar Park","70,363","58","2","8","12","36","796","147","622","27","4"
"Celina","6,115","6","0","3","0","3","77","22","53","2","0"
"Center","5,769","41","0","2","4","35","292","53","225","14","2"
"Childress","6,463","22","0","0","0","22","72","38","32","2","0"
"Chillicothe","655","4","0","1","0","3","30","13","14","3","0"
"Cibolo","18,403","17","0","4","1","12","194","36","153","5","1"
"Cisco","3,684","4","0","0","0","4","78","25","51","2","0"
"Clarksville","3,301","1","0","0","1","0","35","18","17","0","0"
"Cleburne","30,209","169","0","23","16","130","1,328","241","1,029","58","3"
"Cleveland","7,903","89","1","5","22","61","752","133","592","27","1"
"Clifton","3,488","0","0","0","0","0","30","6","24","0","0"
"Clint","972","3","0","0","1","2","12","1","10","1","0"
"Clute","10,930","54","1","3","6","44","361","107","244","10","3"
"Clyde","3,774","1","0","0","0","1","87","23","58","6","0"
"Cockrell Hill","4,287","22","0","3","7","12","130","34","83","13","2"
"Coffee City","208","0","0","0","0","0","9","2","7","0","0"
"Coleman","4,573","10","0","0","2","8","231","114","97","20","4"
"College Station","88,416","220","3","37","44","136","2,655","475","2,091","89","0"
"Colleyville","25,480","5","0","0","2","3","300","69","224","7","0"
"Collinsville","1,539","3","0","0","0","3","21","6","14","1","0"
"Colorado City","3,895","13","0","4","0","9","163","32","130","1","2"
"Columbus","3,854","25","1","2","2","20","142","50","89","3","4"
"Comanche","4,173","18","0","1","3","14","203","49","151","3","1"
"Combes","2,925","13","0","1","0","12","73","25","43","5","2"
"Commerce","9,187","38","0","7","12","19","374","112","249","13","1"
"Conroe","60,677","248","5","22","80","141","2,815","601","2,079","135","0"
"Converse","18,890","31","2","2","12","15","396","65","315","16","3"
"Coppell","39,870","66","1","7","11","47","626","153","424","49","1"
"Copperas Cove","30,791","149","2","1","15","131","1,075","258","803","14","14"
"Corinth","22,185","20","0","1","2","17","295","45","229","21","3"
"Corpus Christi","287,559","2,068","16","191","389","1,472","15,101","2,626","12,027","448","105"
"Corrigan","1,881","4","0","1","0","3","37","5","31","1","0"
"Corsicana","26,344","112","0","7","25","80","1,314","327","920","67","3"
"Cottonwood Shores","1,235","3","0","0","0","3","26","11","12","3","0"
"Crandall","4,036","14","0","2","1","11","56","23","29","4","0"
"Crane","3,318","5","0","2","0","3","35","3","31","1","5"
"Crockett","6,623","26","0","1","2","23","198","62","128","8","0"
"Crosbyton","1,561","5","0","0","0","5","24","11","13","0","0"
"Crowell","912","0","0","0","0","0","0","0","0","0","0"
"Crowley","13,600","29","0","1","3","25","290","66","214","10","1"
"Crystal City","7,052","22","0","0","0","22","70","21","49","0","1"
"Cuero","6,445","17","0","1","0","16","86","31","48","7","0"
"Daingerfield","2,354","8","0","3","1","4","91","32","56","3","1"
"Dalhart","7,101","26","0","3","0","23","129","32","90","7","1"
"Dallas","1,306,775","9,161","148","505","4,487","4,021","64,125","19,594","36,147","8,384","642"
"Dalworthington Gardens","2,473","5","0","1","2","2","45","13","28","4","0"
"Danbury","1,707","1","0","0","0","1","22","2","19","1","0"
"Dayton","7,828","15","0","6","5","4","182","44","121","17","0"
"Decatur","6,641","10","0","0","2","8","195","16","169","10","1"
"Deer Park","31,087","28","3","8","5","12","1,015","255","725","35","1"
"De Kalb","1,842","9","0","0","1","8","54","32","22","0","0"
"De Leon","2,329","8","0","1","0","7","35","16","19","0","0"
"Del Rio","36,840","73","0","2","16","55","731","148","558","25","6"
"Denison","24,196","77","1","2","13","61","1,109","215","858","36","3"
"Denton","127,251","326","3","67","65","191","3,256","564","2,535","157","21"
"Denver City","4,146","5","0","3","0","2","69","26","40","3","1"
"Desoto","49,328","135","1","11","46","77","1,659","538","996","125","6"
"Devine","4,610","1","0","0","0","1","122","29","88","5","0"
"Diboll","5,519","19","0","6","2","11","114","29","84","1","0"
"Dickinson","17,854","45","0","5","15","25","534","129","373","32","1"
"Dilley","3,589","8","0","0","2","6","55","23","28","4","0"
"Dimmitt","3,622","8","0","0","0","8","219","64","151","4","0"
"Donna","17,737","113","1","7","12","93","1,159","273","819","67","12"
"Double Oak","3,444","2","0","0","1","1","11","2","9","0","0"
"Driscoll","800","6","0","0","0","6","16","1","14","1","0"
"Dublin","3,769","11","0","0","0","11","58","21","36","1","0"
"Dumas","14,158","39","0","8","2","29","319","58","247","14","2"
"Duncanville","36,397","135","1","8","65","61","1,662","527","1,009","126","2"
"Eagle Lake","3,638","3","0","0","1","2","40","12","28","0","0"
"Eagle Pass","27,581","58","0","0","8","50","1,086","296","762","28","6"
"Early","2,707","10","0","2","2","6","69","19","47","3","0"
"Eastland","3,831","6","0","0","0","6","111","19","84","8","1"
"East Mountain","635","0","0","0","0","0","10","1","9","0","1"
"Edcouch","4,754","17","1","0","4","12","87","42","43","2","0"
"Edgewood","1,429","10","0","0","1","9","39","12","24","3","1"
"Edinburg","75,091","232","2","23","44","163","4,599","1,011","3,294","294","19"
"Edna","5,816","14","1","2","3","8","126","34","89","3","1"
