"Criminal Justice Information Services Division","Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home"
"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Forciblerape","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson"
"Afton","1,960","3","0","0","0","3","25","6","19","0","0"
"Alpine","882","3","0","0","0","3","18","4","14","0","0"
"Basin","1,328","1","0","0","0","1","28","0","26","2","0"
"Buffalo","5,123","15","0","0","0","15","92","24","62","6","1"
"Casper","56,813","108","2","6","20","80","2,405","382","1,934","89","22"
"Cheyenne","59,361","131","0","27","21","83","2,269","236","1,948","85","15"
"Cody","9,730","14","0","1","1","12","271","30","239","2","2"
"Diamondville","693","3","1","0","0","2","4","2","2","0","0"
"Douglas","6,468","17","0","3","0","14","183","15","158","10","0"
"Evanston","12,311","7","0","3","1","3","387","30","334","23","1"
"Evansville","2,594","5","0","0","2","3","65","3","58","4","0"
"Gillette","30,473","29","0","6","2","21","893","127","747","19","6"
"Glenrock","2,552","3","0","0","0","3","41","8","33","0","0"
"Green River","12,793","89","0","6","1","82","246","36","202","8","1"
"Greybull","1,816","8","0","0","0","8","34","7","26","1","0"
"Guernsey","1,084","1","0","0","0","1","17","2","13","2","0"
"Hanna","893","1","0","1","0","0","4","4","0","0","0"
"Hulett","538","3","0","0","0","3","1","0","1","0","0"
"Jackson","10,301","41","0","13","1","27","235","23","204","8","0"
"Kemmerer","2,563","1","0","0","0","1","29","1","28","0","0"
"Lander","7,622","13","0","3","2","8","254","23","221","10","1"
"Laramie","29,742","42","0","10","1","31","667","113","521","33","4"
"Lovell","2,381","3","0","0","1","2","42","7","35","0","1"
"Lusk","1,465","7","0","2","0","5","12","2","9","1","0"
"Mills","3,707","17","0","0","0","17","99","32","61","6","0"
"Moorcroft","961","0","0","0","0","0","22","5","17","0","1"
"Newcastle","3,505","3","0","2","0","1","115","23","92","0","0"
"Pine Bluffs","1,198","5","0","0","0","5","27","8","19","0","1"
"Powell","5,953","10","0","0","0","10","204","22","179","3","0"
"Rawlins","8,993","25","0","3","0","22","267","31","229","7","0"
"Riverton","10,613","43","2","5","7","29","535","58","462","15","0"
"Rock Springs","21,689","100","0","20","3","77","590","91","473","26","1"
"Saratoga","1,829","0","0","0","0","0","23","5","17","1","0"
"Sheridan","18,070","24","1","4","0","19","459","84","360","15","1"
"Sundance","1,387","0","0","0","0","0","14","3","9","2","0"
"Thermopolis","3,002","1","0","0","0","1","53","5","48","0","0"
"Torrington","5,816","18","0","1","0","17","161","28","127","6","0"
"Wheatland","3,290","4","0","2","0","2","161","51","106","4","0"
"Worland","5,157","9","0","0","0","9","30","6","23","1","0"
