"Criminal Justice Information Services Division","Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home"
"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Forciblerape","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson1"
"Abbeville","2,946","6","0","3","0","3","29","9","16","4","2"
"Acworth","20,694","16","1","0","5","10","472","57","395","20","1"
"Adairsville","4,709","15","0","1","1","13","164","32","121","11","0"
"Adel","5,404","24","0","9","6","9","270","90","176","4","0"
"Alamo","2,834","3","0","0","0","3","25","3","19","3","0"
"Alapaha","677","8","0","0","1","7","7","3","3","1","0"
"Albany","78,454","640","13","37","176","414","4,719","1,332","3,174","213","14"
"Alma","3,512","27","2","8","6","11","167","45","110","12","0"
"Alpharetta","58,309","58","1","5","24","28","1,438","164","1,241","33","1"
"Alto","1,187","3","0","0","0","3","14","2","12","0","0"
"Americus","17,265","225","2","0","31","192","1,302","559","706","37","1"
"Ashburn","4,207","41","0","5","10","26","167","74","76","17",""
"Athens-Clarke County","117,114","417","6","30","132","249","4,873","1,359","3,273","241","23"
"Atlanta","425,533","6,097","88","148","2,343","3,518","30,144","7,499","17,274","5,371","121"
"Attapulgus","455","0","0","0","0","0","0","0","0","0","0"
"Auburn","6,978","9","0","4","1","4","61","29","25","7","0"
"Austell","6,668","32","0","2","3","27","233","60","155","18","1"
"Avondale Estates","2,999","6","0","0","2","4","92","9","74","9","0"
"Bainbridge","12,864","77","1","3","13","60","537","139","377","21",""
"Baldwin","3,322","3","0","1","0","2","95","14","77","4","2"
"Ball Ground","1,452","1","0","0","1","0","11","5","6","0","0"
"Barnesville","6,844","37","1","2","3","31","185","32","147","6","0"
"Barwick","391","0","0","0","0","0","0","0","0","0","0"
"Baxley","4,458","16","0","2","4","10","307","74","222","11","1"
"Berlin","558","0","0","0","0","0","0","0","0","0","0"
"Blairsville","661","0","0","0","0","0","0","0","0","0","0"
"Blakely","5,135","36","1","3","7","25","188","74","111","3",""
"Bloomingdale","2,749","1","0","1","0","0","70","24","38","8",""
"Blythe","730","0","0","0","0","0","15","2","12","1","0"
"Boston","1,332","15","0","0","0","15","57","10","47","0","0"
"Bowdon","2,067","22","0","0","0","22","63","11","50","2","0"
"Braselton","7,610","16","1","4","2","9","105","25","71","9","0"
"Bremen","6,309","36","0","0","3","33","269","55","194","20","0"
"Brooklet","1,413","2","0","0","0","2","20","3","16","1",""
"Brunswick","15,586","251","2","5","68","176","1,261","366","850","45","3"
"Buchanan","1,119","7","0","0","0","7","37","4","31","2","0"
"Buena Vista","2,202","4","1","0","2","1","67","18","48","1","0"
"Butler","1,998","10","0","0","0","10","15","7","6","2","0"
"Byron","4,571","42","0","1","4","37","309","100","191","18","2"
"Cairo","9,733","34","1","7","16","10","346","103","237","6","0"
"Calhoun","15,856","34","0","2","12","20","760","122","618","20","1"
"Camilla","5,431","37","0","4","8","25","214","55","154","5","0"
"Canton","23,260","24","3","3","8","10","420","64","335","21","1"
"Carrollton","24,709","109","1","17","25","66","1,147","210","900","37","10"
"Cartersville","19,991","62","0","12","17","33","1,205","215","908","82","4"
"Cave Spring","1,216","0","0","0","0","0","26","4","19","3","0"
"Cedartown","9,878","79","0","3","11","65","655","181","458","16","0"
"Centerville","7,242","18","0","1","6","11","348","46","292","10",""
"Chamblee","10,022","55","1","1","36","17","775","102","598","75","0"
"Chatsworth","4,356","6","0","0","1","5","118","19","93","6","1"
"Chattahoochee Hills","2,409","3","0","0","0","3","45","4","34","7","0"
"Chickamauga","3,142","16","0","1","1","14","93","29","63","1","0"
"Clarkesville","1,756","10","0","0","0","10","47","14","31","2","0"
"Claxton","2,782","5","0","0","0","5","108","29","76","3","0"
"Cleveland","3,455","46","1","0","1","44","192","37","154","1","0"
"Climax","284","0","0","0","0","0","0","0","0","0","0"
"Cochran","5,218","19","2","1","5","11","247","59","186","2",""
"College Park","14,126","232","5","11","115","101","1,912","526","1,028","358","4"
"Colquitt","2,018","11","2","1","5","3","26","8","18","0",""
"Columbus","192,385","933","15","40","413","465","12,450","3,342","8,059","1,049","39"
"Commerce","6,630","25","0","0","2","23","164","36","128","0","0"
"Conyers","15,395","80","2","6","34","38","1,163","276","814","73","1"
"Coolidge","532","1","0","0","0","1","6","3","3","0","0"
"Cordele","11,294","105","3","12","42","48","1,007","268","721","18","3"
"Covington","13,291","48","1","3","21","23","859","180","620","59","0"
"Cumming","5,501","9","0","2","1","6","345","26","314","5","0"
"Cuthbert","3,924","3","0","0","3","0","46","10","36","0",""
"Dallas","11,696","37","0","5","12","20","348","75","256","17","0"
"Dalton","33,564","90","0","9","28","53","1,304","254","996","54","8"
"Danielsville","567","1","0","0","0","1","18","3","15","0","0"
"Decatur","19,590","29","0","1","21","7","584","115","421","48","0"
"Dillard","343","0","0","0","0","0","0","0","0","0","0"
"Donalsonville","2,685","7","0","0","2","5","57","10","45","2","0"
"Doraville","8,440","47","0","1","15","31","310","62","225","23","0"
"Douglasville","31,369","179","0","9","37","133","1,899","223","1,591","85","4"
"Dublin","16,414","110","1","6","32","71","1,138","263","846","29","0"
"Duluth","26,950","56","1","8","16","31","543","88","440","15",""
"Dunwoody","46,876","94","1","2","52","39","1,672","219","1,362","91",""
"East Dublin","2,473","25","0","0","3","22","129","39","86","4","0"
"Eastman","5,027","67","0","2","12","53","456","87","361","8","0"
"East Point","34,156","394","3","9","236","146","3,537","1,163","1,799","575","1"
"Eatonton2","6,565","59","0","3","3","53","","35","","3",""
"Edison","1,551","4","0","0","1","3","21","10","11","0",""
"Elberton","4,714","44","0","1","8","35","359","124","234","1","2"
"Ellaville","1,836","3","0","0","0","3","33","9","23","1","0"
"Ellijay","1,640","0","0","0","0","0","0","0","0","0","0"
"Emerson","1,489","5","0","0","4","1","72","9","59","4",""
"Enigma","1,295","0","0","0","0","0","27","7","18","2","0"
"Ephesus","433","0","0","0","0","0","0","0","0","0","0"
"Eton","922","0","0","0","0","0","22","5","15","2","0"
"Euharlee","4,190","14","0","4","0","10","38","23","9","6",""
"Fairburn","13,121","43","3","4","21","15","594","175","353","66","1"
"Fairmount","729","0","0","0","0","0","16","2","14","0","1"
"Fayetteville","16,155","39","0","2","9","28","464","35","406","23",""
"Flowery Branch","5,754","3","1","0","1","1","77","23","52","2",""
"Folkston","2,535","6","0","0","0","6","114","28","78","8","0"
"Forest Park","18,711","104","0","4","43","57","872","195","598","79","11"
"Forsyth","3,838","17","0","0","6","11","221","33","179","9",""
"Fort Gaines","1,122","0","0","0","0","0","0","0","0","0","0"
"Fort Oglethorpe","9,385","41","0","2","6","33","636","62","561","13","0"
"Fort Valley","9,944","116","0","4","19","93","660","196","456","8","0"
"Franklin Springs","965","0","0","0","0","0","21","2","19","0","0"
"Gainesville","34,249","116","2","12","46","56","1,582","332","1,176","74","1"
"Garden City","8,894","123","0","1","19","103","457","110","303","44","2"
"Glennville","3,616","11","0","1","3","7","164","29","127","8","1"
"Glenwood","757","0","0","0","0","0","0","0","0","0","0"
"Gordon","2,044","0","0","0","0","0","52","6","45","1","0"
"Grantville","3,081","14","0","1","1","12","83","19","59","5","0"
"Gray","3,319","2","0","0","2","0","39","4","35","0","0"
"Greensboro","3,403","29","0","1","4","24","138","50","85","3","1"
"Greenville","888","6","0","0","1","5","54","17","33","4","0"
"Griffin","23,954","155","1","5","47","102","1,531","304","1,183","44","9"
"Grovetown","11,364","17","0","6","5","6","223","46","169","8","0"
"Guyton","1,706","5","0","1","2","2","32","12","19","1","0"
"Hagan","1,009","2","0","0","0","2","15","6","9","0",""
"Hahira","2,773","1","0","0","0","1","49","13","33","3","0"
"Hampton","7,079","6","0","2","2","2","175","40","126","9","0"
"Hapeville","6,457","49","1","1","21","26","364","69","241","54",""
"Harlem","2,701","4","0","2","0","2","53","8","43","2","0"
"Hartwell","4,528","19","0","0","7","12","307","61","243","3","0"
"Hazlehurst","4,282","11","0","0","6","5","227","46","180","1","1"
"Helen","517","8","0","0","0","8","77","4","71","2","0"
"Hephzibah","4,064","25","0","0","1","24","117","29","75","13","0"
"Hiawassee","892","5","0","0","0","5","27","5","22","0","0"
"Hinesville","33,877","155","2","12","41","100","1,605","506","1,042","57",""
"Hiram","3,593","7","0","2","1","4","286","20","261","5",""
"Hoboken","535","0","0","0","0","0","4","1","3","0","0"
"Hogansville","3,100","23","1","1","2","19","106","22","77","7","0"
"Holly Springs","9,310","10","0","2","0","8","79","23","49","7","0"
"Homeland","922","0","0","0","0","0","0","0","0","0","0"
"Homerville","2,488","23","0","1","6","16","131","56","74","1","0"
"Jackson","5,111","29","0","1","9","19","187","44","134","9","0"
"Jasper","3,733","9","0","0","3","6","239","19","214","6","0"
"Jefferson","9,556","13","1","1","2","9","166","39","116","11","0"
"Jesup","10,348","57","0","5","10","42","740","114","597","29","0"
"Johns Creek","77,738","35","0","3","13","19","574","131","432","11","1"
"Jonesboro","4,786","31","1","2","7","21","229","43","164","22","0"
"Kennesaw","30,175","21","0","0","6","15","571","121","425","25",""
"Kingsland","16,156","74","0","1","8","65","535","126","399","10","2"
"Kingston","645","2","0","0","0","2","9","4","3","2","0"
"Lagrange","29,978","136","4","9","71","52","1,733","451","1,193","89","1"
"Lake City","2,646","8","0","0","7","1","139","14","103","22",""
"Lakeland","3,410","16","0","2","3","11","75","30","39","6","0"
"Lavonia","2,184","17","1","0","2","14","144","29","111","4","0"
"Lawrenceville","28,922","85","3","9","41","32","1,086","219","799","68","1"
"Leary","626","0","0","0","0","0","2","1","1","0",""
"Lilburn","11,749","53","0","0","26","27","740","114","594","32","0"
"Lincolnton","1,587","10","0","0","1","9","35","3","30","2","0"
"Lithonia","1,949","8","0","0","0","8","119","44","58","17","1"
"Locust Grove","5,473","20","0","2","3","15","290","35","247","8",""
"Loganville","10,596","19","0","1","5","13","325","44","258","23","0"
"Lookout Mountain","1,623","1","0","0","0","1","16","9","5","2","0"
"Ludowici","1,725","4","0","0","0","4","46","6","38","2","0"
"Lumber City","1,345","4","0","0","0","4","32","13","19","0",""
"Lumpkin","1,160","1","0","0","0","1","2","0","0","2","0"
"Macon","92,554","566","13","33","246","274","7,807","2,154","5,104","549","62"
"Madison","4,031","17","0","1","7","9","172","50","121","1","0"
"Manchester","4,286","14","1","0","2","11","245","52","178","15","1"
"Marietta","57,324","386","5","13","125","243","2,624","584","1,864","176","1"
"McCaysville","1,070","0","0","0","0","0","44","9","34","1","0"
"McDonough","22,375","39","0","2","15","22","790","144","593","53","0"
"McIntyre","659","1","0","0","0","1","22","4","18","0","0"
"McRae","5,816","12","0","0","1","11","88","22","64","2","0"
"Meigs","1,049","21","0","1","1","19","32","4","28","0","0"
"Midville","273","2","0","0","1","1","0","0","0","0",""
"Midway","2,149","11","0","0","2","9","82","32","43","7",""
"Milledgeville","17,948","37","0","2","13","22","871","209","642","20","2"
"Milton","33,091","14","1","2","5","6","327","83","244","0","1"
"Monroe","13,408","82","0","2","14","66","772","215","535","22","2"
"Montezuma","3,506","39","0","0","6","33","188","69","114","5",""
"Morrow","6,530","28","0","4","17","7","838","64","727","47","0"
"Moultrie","14,456","90","1","6","40","43","1,215","338","845","32","4"
