"Criminal Justice Information Services Division","Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home"
"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Forciblerape","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson"
"Aberdeen","2,016","0","0","0","0","0","3","0","3","0","1"
"American Falls","4,506","11","0","2","0","9","92","14","77","1","0"
"Bellevue","2,312","3","0","0","0","3","26","13","13","0","0"
"Blackfoot","12,031","28","0","9","0","19","478","103","367","8","0"
"Boise","207,945","510","1","66","59","384","5,328","809","4,347","172","53"
"Bonners Ferry","2,571","2","0","0","0","2","24","2","17","5","0"
"Buhl","4,168","7","0","0","0","7","121","24","94","3","1"
"Caldwell","46,748","149","2","4","11","132","1,373","261","1,063","49","7"
"Challis","1,093","2","0","0","0","2","9","0","9","0","0"
"Chubbuck","14,076","41","0","2","2","37","599","33","559","7","1"
"Cottonwood","910","0","0","0","0","0","14","3","8","3","0"
"Emmett","6,629","14","0","1","0","13","113","18","91","4","1"
"Filer","2,536","9","0","2","0","7","12","5","5","2","0"
"Fruitland","4,736","13","0","3","0","10","163","71","90","2","1"
"Garden City","11,093","49","1","5","3","40","418","67","337","14","1"
"Gooding","3,606","6","0","1","0","5","52","11","36","5","0"
"Grangeville","3,176","4","1","0","0","3","48","16","32","0","0"
"Hagerman","882","0","0","0","0","0","9","1","8","0","0"
"Hailey","8,048","20","0","0","0","20","77","30","41","6","0"
"Heyburn","3,123","1","0","0","0","1","28","11","16","1","1"
"Homedale","2,662","9","0","0","0","9","73","19","53","1","0"
"Idaho Falls","57,512","148","1","27","9","111","1,582","289","1,203","90","5"
"Jerome","11,010","31","0","6","2","23","312","62","242","8","2"
"Kamiah","1,309","2","0","1","0","1","23","4","19","0","0"
"Kellogg","2,143","7","0","0","1","6","64","11","50","3","2"
"Ketchum","2,719","13","0","0","0","13","52","14","36","2","0"
"Kimberly","3,300","4","0","1","0","3","44","13","31","0","0"
"McCall","3,024","17","1","7","0","9","138","17","118","3","2"
"Meridian","75,922","108","2","19","3","84","1,049","156","863","30","9"
"Montpelier","2,626","7","0","1","0","6","79","4","67","8","0"
"Moscow","24,063","19","1","3","3","12","716","110","591","15","12"
"Mountain Home","14,363","41","0","4","0","37","246","39","202","5","5"
"Nampa","82,459","227","0","37","9","181","2,475","514","1,864","97","14"
"Orofino","3,177","4","0","1","0","3","74","48","23","3","0"
"Osburn","1,572","2","0","0","0","2","20","2","17","1","0"
"Parma","2,005","4","0","0","1","3","14","3","9","2","0"
"Pinehurst","1,637","0","0","0","0","0","29","10","19","0","0"
"Pocatello","54,855","132","3","15","5","109","1,794","262","1,457","75","5"
"Ponderay","1,150","0","0","0","0","0","46","3","43","0","0"
"Post Falls","27,879","46","0","5","3","38","739","127","588","24","9"
"Preston","5,262","4","0","1","0","3","77","28","48","1","0"
"Priest River","1,770","2","0","1","0","1","29","6","22","1","0"
"Rathdrum","6,901","12","0","1","0","11","146","51","94","1","0"
"Rexburg","25,766","12","0","2","0","10","205","16","182","7","0"
"Rigby","3,989","2","0","1","0","1","101","16","81","4","0"
"Rupert","5,615","11","0","4","0","7","117","23","90","4","0"
"Salmon","3,146","12","0","1","1","10","46","10","35","1","0"
"Sandpoint","7,446","9","0","0","1","8","268","62","197","9","0"
"Shelley","4,458","6","0","3","0","3","39","12","26","1","0"
"Soda Springs","3,092","4","0","0","1","3","20","2","18","0","0"
"Spirit Lake","1,967","6","0","0","0","6","19","2","14","3","0"
"St. Anthony","3,581","3","0","0","0","3","36","10","25","1","0"
"St. Maries","2,429","7","1","0","0","6","14","5","8","1","0"
"Sun Valley","1,422","1","0","0","0","1","13","1","12","0","0"
"Twin Falls","44,613","120","2","20","14","84","1,477","225","1,196","56","3"
"Weiser","5,568","6","0","3","0","3","33","10","22","1","0"
"Wendell","2,813","4","0","4","0","0","34","4","26","4","0"
"Wilder","1,550","3","0","0","1","2","15","5","8","2","0"
