"Criminal Justice Information Services Division","Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home"
"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Forciblerape","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson"
"Alexandria","5,171","5","0","2","2","1","179","20","147","12","0"
"Anderson","56,416","203","1","30","87","85","2,949","665","2,052","232","18"
"Angola","8,656","2","0","0","1","1","538","33","492","13","0"
"Auburn","12,796","10","0","4","4","2","434","57","369","8","0"
"Aurora","3,769","15","0","2","4","9","269","29","239","1","0"
"Avon","12,510","42","0","2","4","36","612","35","563","14","0"
"Batesville","6,553","22","0","2","0","20","93","19","71","3","0"
"Bedford","13,482","17","0","5","4","8","476","46","398","32","4"
"Beech Grove","14,264","32","0","6","16","10","528","102","379","47","3"
"Berne","4,019","3","0","1","1","1","69","11","54","4","1"
"Bloomington","80,816","244","4","18","58","164","3,072","601","2,300","171","15"
"Bluffton","9,948","11","0","5","2","4","476","60","407","9","0"
"Boonville","6,278","69","0","1","0","68","148","16","121","11","2"
"Brazil","7,952","21","0","6","0","15","324","47","261","16","0"
"Bremen","4,611","6","0","0","1","5","73","18","54","1","0"
"Brownsburg","21,394","27","0","0","1","26","323","59","247","17","0"
"Burns Harbor","1,162","2","1","0","1","0","30","5","23","2","0"
"Carmel","79,596","17","1","8","2","6","831","69","729","33","0"
"Cedar Lake","11,619","10","0","3","6","1","379","65","299","15","2"
"Charlestown","7,624","5","0","0","1","4","460","106","348","6","1"
"Chesterfield","2,560","2","1","0","0","1","49","4","42","3","0"
"Chesterton","13,135","13","0","2","1","10","233","53","168","12","1"
"Clarksville","21,835","117","0","10","35","72","1,717","212","1,417","88","3"
"Clinton","4,918","10","0","0","0","10","44","12","27","5","0"
"Columbia City","8,795","10","0","3","0","7","176","27","146","3","0"
"Columbus","44,286","84","1","7","20","56","2,597","303","2,087","207","3"
"Corydon","3,138","3","0","1","0","2","41","8","32","1","0"
"Crawfordsville","15,996","30","0","4","2","24","672","146","492","34","2"
"Crown Point","27,457","17","1","5","7","4","475","50","407","18","1"
"Culver","1,360","3","0","0","0","3","41","5","35","1","0"
"Cumberland","5,195","21","2","1","5","13","189","38","142","9","0"
"Danville","9,047","10","0","0","0","10","138","21","110","7","0"
"Decatur","9,453","10","0","0","2","8","50","8","36","6","0"
"Delphi","2,908","10","0","3","1","6","60","10","46","4","0"
"Dyer","16,474","13","1","3","2","7","337","32","288","17","0"
"East Chicago","29,850","255","5","16","134","100","1,941","529","1,145","267","2"
"Ellettsville","6,411","35","0","0","0","35","96","33","53","10","0"
"Elwood","8,658","16","0","5","5","6","532","104","393","35","4"
"Evansville","118,029","491","3","56","154","278","5,456","1,074","4,151","231","88"
"Fairmount","2,969","16","0","0","0","16","48","19","28","1","1"
"Fishers","77,186","11","0","0","8","3","700","57","626","17","2"
"Fort Wayne","254,987","785","24","94","310","357","9,036","1,888","6,768","380","41"
"Frankfort","16,506","47","1","6","15","25","752","106","612","34","0"
"Franklin","23,833","59","0","5","12","42","991","99","878","14","0"
"Gary","80,704","639","30","47","328","234","5,338","2,618","1,926","794","45"
"Gas City","5,995","0","0","0","0","0","176","27","147","2","0"
"Goshen","31,881","36","1","7","17","11","1,130","212","876","42","5"
"Greendale","4,543","6","0","0","2","4","126","15","110","1","0"
"Greenfield","20,707","10","0","3","1","6","381","68","293","20","3"
"Greensburg","11,551","46","1","1","2","42","237","58","160","19","1"
"Greenwood","50,045","177","2","0","24","151","1,777","130","1,570","77","4"
"Griffith","16,979","38","3","3","14","18","641","112","479","50","0"
"Hagerstown","1,796","0","0","0","0","0","40","9","30","1","0"
"Hammond","81,243","547","9","45","184","309","3,819","1,032","2,303","484","21"
"Hartford City","6,252","10","0","0","3","7","213","49","158","6","0"
"Hebron","3,743","3","0","0","0","3","14","1","12","1","0"
"Highland","23,848","20","1","1","15","3","885","96","723","66","2"
"Hobart","29,207","65","0","8","21","36","1,479","161","1,225","93","3"
"Huntingburg","6,088","0","0","0","0","0","82","16","65","1","0"
"Huntington","17,480","12","0","5","2","5","478","66","395","17","8"
"Indianapolis","833,024","9,170","96","435","3,372","5,267","46,967","15,122","26,588","5,257","463"
"Jasper","15,115","6","2","1","0","3","147","22","110","15","1"
"Jeffersonville","45,183","454","3","6","44","401","2,258","500","1,588","170","1"
"Kendallville","9,912","8","0","4","2","2","314","38","266","10","0"
"Kokomo","45,700","184","3","20","73","88","2,558","505","1,954","99","3"
"Lafayette","67,483","408","3","38","48","319","3,000","635","2,190","175","20"
"Lake Station","12,636","35","0","9","5","21","536","107","392","37","13"
"La Porte","22,166","43","1","6","10","26","1,121","193","886","42","9"
"Lawrenceburg","5,068","13","0","1","7","5","196","16","178","2","0"
"Ligonier","4,428","0","0","0","0","0","41","12","26","3","0"
"Linton","5,441","1","0","0","0","1","220","0","220","0","0"
"Logansport","18,490","21","1","6","4","10","824","79","714","31","4"
"Long Beach","1,185","1","1","0","0","0","21","0","19","2","1"
"Lowell","9,323","24","0","0","0","24","183","13","169","1","1"
"Marion","30,101","62","0","9","45","8","1,428","259","1,065","104","10"
"Martinsville","11,888","17","0","7","1","9","1,046","159","855","32","2"
"Merrillville","35,426","112","2","3","36","71","1,380","151","1,082","147","2"
"Michigan City","31,460","96","2","9","41","44","1,840","297","1,421","122","8"
"Mishawaka","48,498","146","3","12","68","63","2,895","517","2,234","144","17"
"Monticello","5,405","2","0","0","1","1","131","18","102","11","1"
"Mooresville","9,374","9","0","4","1","4","298","41","240","17","0"
"Mount Vernon","6,721","36","1","3","2","30","599","206","381","12","5"
"Muncie","70,443","513","1","42","108","362","2,433","553","1,701","179","33"
"Munster","23,724","21","0","1","6","14","447","45","387","15","0"
"Nappanee","6,682","1","0","0","0","1","271","34","227","10","0"
"New Albany","36,558","112","1","21","41","49","2,210","428","1,642","140","3"
"New Castle","18,207","17","1","8","5","3","1,173","231","917","25","2"
"New Haven","14,870","25","0","5","11","9","401","60","317","24","1"
"New Whiteland","5,500","11","0","3","0","8","98","12","79","7","0"
"Noblesville","52,234","60","0","11","20","29","945","132","764","49","12"
"North Judson","1,781","14","0","1","1","12","82","15","64","3","0"
"North Liberty","1,906","11","0","1","0","10","27","7","19","1","0"
"North Vernon","6,762","8","1","2","3","2","280","56","217","7","0"
"Oakland City","2,441","4","0","0","1","3","72","18","53","1","0"
"Peru","11,475","21","1","3","6","11","212","57","143","12","2"
"Plainfield","27,772","43","0","16","6","21","716","75","589","52","2"
"Plymouth","10,084","3","0","0","1","2","526","70","433","23","1"
"Portage","37,016","111","1","3","7","100","1,179","183","939","57","2"
"Porter","4,883","6","1","2","0","3","99","31","58","10","1"
"Portland","6,255","0","0","0","0","0","227","18","205","4","1"
"Princeton","8,688","14","0","1","1","12","336","49","282","5","1"
"Rensselaer","5,889","24","0","1","1","22","246","40","202","4","0"
"Richmond","37,000","195","3","36","67","89","1,897","609","1,149","139","38"
"Rushville","6,373","5","0","1","2","2","358","72","275","11","1"
"Schererville","29,392","13","1","1","7","4","779","50","696","33","0"
"Scottsburg","6,781","40","0","0","8","32","313","56","254","3","0"
"Sellersburg","6,159","35","0","0","2","33","138","32","97","9","0"
"Seymour","17,592","82","1","3","5","73","1,093","153","881","59","3"
"Shelbyville","19,289","13","0","1","2","10","801","32","742","27","0"
"South Bend","101,685","744","9","60","406","269","6,096","2,335","3,437","324","43"
"South Whitley","1,760","0","0","0","0","0","39","6","31","2","0"
"Speedway","11,872","32","0","1","23","8","609","90","472","47","0"
"St. John","14,926","14","0","0","1","13","173","24","140","9","0"
"Tell City","7,309","7","0","0","2","5","204","43","155","6","2"
"Terre Haute","61,095","152","4","17","91","40","3,942","934","2,725","283","42"
"Tipton","5,132","12","0","0","3","9","238","50","184","4","1"
"Union City","3,602","7","0","1","0","6","113","26","83","4","0"
"Valparaiso","31,892","32","0","4","5","23","958","144","780","34","3"
"Vincennes","18,517","30","0","5","7","18","1,146","254","839","53","1"
"Walkerton","2,155","3","0","1","1","1","38","10","23","5","1"
"Warsaw","13,628","8","0","5","3","0","654","91","540","23","4"
"Washington","11,568","13","1","1","3","8","454","110","330","14","4"
"Waterloo","2,253","14","0","2","1","11","75","14","54","7","0"
"Westfield","30,222","21","0","8","4","9","496","57","413","26","0"
"West Lafayette","29,747","53","0","3","6","44","459","58","383","18","0"
"West Terre Haute","2,247","12","0","1","0","11","144","58","77","9","0"
"Westville","5,883","4","0","1","0","3","49","10","34","5","1"
"Whitestown","2,882","4","0","0","2","2","29","5","17","7","0"
"Whiting","5,023","8","1","0","4","3","243","79","154","10","0"
"Winchester","4,960","0","0","0","0","0","332","35","294","3","0"
"Winona Lake","4,933","4","0","0","0","4","11","2","7","2","1"
"Zionsville","14,232","7","0","0","0","7","126","21","98","7","0"
