"Criminal Justice Information Services Division","Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home"
"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Forciblerape","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson1"
"Abilene","6,887","7","0","1","1","5","234","42","187","5","1"
"Andale","934","0","0","0","0","0","4","1","3","0","0"
"Andover","11,866","11","0","5","1","5","248","18","221","9","4"
"Anthony","2,283","2","0","0","0","2","23","9","14","0","0"
"Arkansas City","12,494","64","1","2","3","58","496","83","393","20","1"
"Arma","1,490","4","0","0","0","4","22","5","17","0","0"
"Atchison","11,091","29","0","5","2","22","442","121","303","18","1"
"Atwood","1,202","1","0","0","0","1","10","2","8","0","0"
"Augusta","9,333","20","1","6","4","9","307","49","238","20","0"
"Baldwin City","4,544","4","0","1","0","3","125","9","112","4","1"
"Basehor","4,642","3","0","0","0","3","45","7","34","4","0"
"Baxter Springs","4,265","10","0","3","0","7","109","28","66","15","2"
"Bel Aire","6,812","3","0","1","0","2","49","18","31","0","3"
"Beloit","3,859","14","0","1","0","13","59","12","46","1","0"
"Bonner Springs","7,360","22","0","2","2","18","228","28","189","11","4"
"Bucklin","799","0","0","0","0","0","0","0","0","0","0"
"Burlington","2,691","1","0","0","0","1","29","12","14","3","0"
"Bushton","281","0","0","0","0","0","0","0","0","0","0"
"Cawker City","472","0","0","0","0","0","0","0","0","0","0"
"Chanute","9,177","37","0","7","0","30","306","121","169","16","2"
"Chapman","1,402","0","0","0","0","0","15","2","13","0","0"
"Chetopa","1,132","1","0","1","0","0","8","2","6","0","1"
"Clay Center","4,362","10","0","2","0","8","96","24","71","1","0"
"Clearwater","2,497","1","0","0","1","0","29","6","23","0","0"
"Coffeyville","10,360","86","0","4","8","74","564","142","407","15","2"
"Colby","5,421","21","0","4","1","16","102","21","76","5","2"
"Columbus","3,333","1","0","0","0","1","78","16","61","1","1"
"Concordia","5,429","14","0","4","0","10","165","34","127","4","1"
"Council Grove","2,196","5","0","0","0","5","34","6","26","2","1"
"Derby","22,299","54","0","10","4","40","603","99","484","20","5"
"Dodge City","27,514","115","0","11","17","87","921","215","654","52","2"
"Edwardsville","4,368","11","0","0","0","11","115","31","69","15","1"
"El Dorado","13,104","77","0","5","6","66","422","75","324","23","2"
"Elkhart","2,219","4","0","0","0","4","13","5","7","1","1"
"Ellinwood","2,145","4","0","1","1","2","39","13","26","0","0"
"Ellis","2,075","1","0","0","0","1","10","1","8","1","0"
"Ellsworth","3,140","7","0","2","0","5","52","20","31","1","0"
"Elwood","1,232","8","0","1","0","7","66","47","18","1","0"
"Emporia","25,074","77","0","13","4","60","1,050","173","856","21","2"
"Eskridge","537","0","0","0","0","0","1","0","1","0","0"
"Eudora","6,175","24","0","3","2","19","175","37","134","4","0"
"Fairway","3,907","4","0","0","2","2","59","15","36","8","0"
"Florence","468","0","0","0","0","0","3","1","2","0","0"
"Fort Scott","8,138","24","0","2","0","22","438","144","266","28","4"
"Fredonia","2,498","11","0","2","0","9","50","14","34","2","0"
"Frontenac","3,459","6","0","1","0","5","44","8","33","3","0"
"Galena","3,105","19","0","0","0","19","108","28","73","7","1"
"Garden City","26,827","97","1","15","10","71","852","118","702","32","11"
"Garden Plain","854","1","0","0","0","1","13","8","5","0","1"
"Gardner","19,244","51","0","7","1","43","306","38","260","8","8"
"Garnett","3,437","15","0","3","0","12","111","33","77","1","2"
"Geneseo","269","0","0","0","0","0","0","0","0","0","0"
"Girard","2,807","12","0","1","0","11","55","14","39","2","1"
"Goddard","4,372","5","0","2","0","3","83","31","46","6","0"
"Grandview Plaza","1,570","4","0","0","0","4","54","19","33","2","1"
"Great Bend","16,097","74","1","13","5","55","752","144","576","32","2"
"Halstead","2,098","1","0","0","0","1","21","6","15","0","0"
"Havensville","134","0","0","0","0","0","0","0","0","0","0"
"Hays","20,640","70","0","13","4","53","553","72","455","26","7"
"Haysville","10,895","32","0","5","0","27","273","55","206","12","4"
"Herington","2,542","6","0","1","0","5","52","9","39","4","0"
"Hesston","3,733","1","0","0","0","1","65","18","47","0","0"
"Hiawatha","3,192","3","0","1","0","2","83","2","79","2","0"
"Highland","1,018","2","0","0","0","2","22","17","5","0","2"
"Hill City","1,483","1","0","1","0","0","27","4","22","1","0"
"Hillsboro","3,012","7","0","0","0","7","48","28","20","0","1"
"Hoisington","2,723","4","0","0","0","4","51","14","36","1","0"
"Holcomb","2,107","1","0","0","0","1","37","10","26","1","0"
"Holton","3,350","8","0","1","1","6","72","13","54","5","1"
"Holyrood","450","0","0","0","0","0","3","2","1","0","3"
"Hugoton","3,929","2","0","0","0","2","12","0","12","0","0"
"Hutchinson","42,347","233","1","21","28","183","2,719","499","2,094","126","22"
"Independence","9,543","32","0","2","4","26","423","90","317","16","6"
"Inman","1,386","3","0","1","0","2","17","4","12","1","0"
"Iola","5,740","29","0","3","1","25","296","46","239","11","4"
"Junction City","23,501","139","0","15","26","98","583","121","444","18","14"
"Kanopolis","495","0","0","0","0","0","0","0","0","0","0"
"Kansas City2","146,712","947","27","95","291","534","7,883","1,827","4,792","1,264",""
"Kechi","1,921","0","0","0","0","0","14","1","13","0","0"
"Kingman","3,197","8","1","2","0","5","55","16","30","9","1"
"Kiowa","1,033","0","0","0","0","0","0","0","0","0","0"
"Lake Quivira","912","0","0","0","0","0","0","0","0","0","0"
"Lansing","11,337","31","0","1","1","29","108","41","58","9","1"
"Larned","4,080","15","0","1","0","14","117","26","88","3","1"
"Lawrence","88,200","335","0","33","37","265","3,793","502","3,098","193","14"
"Leavenworth","35,475","236","3","11","30","192","1,060","304","709","47","15"
"Leawood","32,069","18","0","1","3","14","445","44","386","15","1"
"Lebo","946","0","0","0","0","0","1","0","0","1","0"
"Lenexa","48,496","68","1","11","12","44","1,080","112","862","106","8"
"Leon","708","0","0","0","0","0","19","7","11","1","0"
"Liberal","20,655","59","1","7","5","46","515","135","368","12","1"
"Lindsborg","3,480","2","0","0","0","2","74","27","45","2","3"
"Lyndon","1,059","0","0","0","0","0","4","0","3","1","0"
"Lyons","3,763","7","0","0","0","7","11","4","6","1","0"
"Maize","3,442","9","0","1","0","8","65","10","55","0","0"
"Maple Hill","624","0","0","0","0","0","0","0","0","0","0"
"Marion","1,939","4","0","1","0","3","40","12","25","3","0"
"Marysville","3,315","10","1","3","0","6","61","14","45","2","2"
"McLouth","886","0","0","0","0","0","27","5","22","0","0"
"McPherson","13,239","33","1","2","3","27","348","140","195","13","2"
"Medicine Lodge","2,022","5","0","0","0","5","60","18","38","4","1"
"Meriden","818","0","0","0","0","0","2","0","2","0","0"
"Merriam","11,073","28","0","3","7","18","533","54","400","79","1"
"Minneapolis","2,045","5","0","3","0","2","37","13","24","0","1"
"Mission Hills","3,520","0","0","0","0","0","45","5","40","0","0"
"Moran","562","0","0","0","0","0","0","0","0","0","0"
"Moundridge","1,748","1","0","0","0","1","11","3","7","1","0"
"Mulberry","523","0","0","0","0","0","13","5","7","1","0"
"Mulvane","6,150","2","0","0","0","2","124","34","84","6","1"
"Neodesha","2,502","8","0","2","0","6","41","7","33","1","0"
"Newton","19,254","104","0","9","7","88","412","102","290","20","5"
"North Newton","1,770","1","0","0","0","1","19","7","12","0","0"
"Norton","2,947","2","0","0","0","2","49","4","35","10","0"
"Oakley","2,058","2","0","0","0","2","39","14","23","2","6"
"Olathe","126,671","226","6","48","20","152","2,204","259","1,774","171","19"
"Osage City","2,962","20","0","2","0","18","71","16","51","4","2"
"Osawatomie","4,475","16","0","6","0","10","146","20","121","5","0"
"Oskaloosa","1,120","0","0","0","0","0","0","0","0","0","0"
"Oswego","1,841","1","0","0","0","1","12","4","7","1","0"
"Ottawa","12,729","29","0","5","2","22","331","94","229","8","3"
"Overbrook","1,065","1","0","0","0","1","16","4","11","1","0"
"Overland Park","174,473","289","2","60","38","189","4,015","468","3,237","310","38"
"Paola","5,638","10","0","1","0","9","214","42","164","8","1"
"Park City","7,343","25","0","3","0","22","152","25","116","11","0"
"Parsons","10,567","91","1","7","3","80","546","98","427","21","9"
"Peabody","1,218","2","0","0","0","2","25","9","16","0","0"
"Perry","935","0","0","0","0","0","3","0","3","0","0"
"Prairie Village","21,583","24","0","5","6","13","271","64","194","13","5"
"Pratt","6,878","20","0","2","0","18","210","40","161","9","4"
"Rose Hill","3,956","1","0","1","0","0","85","8","72","5","1"
"Rossville","1,158","0","0","0","0","0","6","0","5","1","0"
"Russell","4,535","21","0","0","0","21","58","15","41","2","3"
"Sabetha","2,587","5","0","1","0","4","18","8","7","3","0"
"Salina","48,010","164","3","40","26","95","2,271","420","1,776","75","32"
"Scott City","3,840","6","0","1","0","5","44","6","35","3","2"
"Sedgwick","1,706","0","0","0","0","0","13","2","9","2","0"
"Shawnee","62,604","107","1","16","15","75","1,230","159","942","129","12"
"South Hutchinson","2,473","6","0","0","0","6","80","5","69","6","0"
"Spearville","778","0","0","0","0","0","18","5","12","1","0"
"Spring Hill","5,472","12","0","0","1","11","122","15","105","2","4"
"Sterling","2,343","3","0","1","0","2","48","15","32","1","0"
"Tonganoxie","5,028","10","0","0","0","10","77","8","64","5","1"
"Topeka","128,283","698","15","53","235","395","7,529","1,727","5,213","589",""
"Ulysses","6,200","11","0","0","0","11","75","26","45","4","1"
"Valley Center","6,865","9","0","0","1","8","112","24","80","8","1"
"Wa Keeney","1,874","4","0","1","0","3","9","2","7","0","0"
"Wathena","1,373","3","0","1","0","2","36","6","29","1","1"
"Waverly","596","0","0","0","0","0","2","0","2","0","0"
"Wellington","8,224","35","2","6","2","25","414","100","292","22","2"
"Wellsville","1,869","9","0","0","0","9","35","5","29","1","1"
"Westwood","2,056","2","0","0","1","1","47","7","36","4","0"
"Wichita","384,796","2,950","25","238","490","2,197","19,456","4,005","13,550","1,901","139"
"Winchester","554","0","0","0","0","0","4","0","4","0","0"
"Winfield","12,379","45","0","2","1","42","446","89","338","19","2"
"Yates Center","1,426","6","0","0","0","6","15","8","7","0","1"
