"Criminal Justice Information Services Division","Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home"
"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Forciblerape","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson1"
"Abington","16,082","22","0","1","6","15","351","102","226","23","1"
"Acton","22,058","33","0","0","2","31","201","23","173","5","0"
"Acushnet","10,366","16","0","0","3","13","120","43","72","5","0"
"Adams","8,537","26","0","6","1","19","200","65","124","11","0"
"Agawam","28,611","41","0","5","3","33","199","55","114","30","5"
"Amesbury","16,382","28","0","4","2","22","249","43","190","16","1"
"Amherst","38,050","82","0","19","4","59","384","179","187","18","0"
"Andover","33,403","14","2","2","5","5","309","52","233","24","3"
"Arlington","43,105","52","0","2","7","43","626","133","458","35","1"
"Ashburnham","6,118","10","0","2","0","8","68","18","48","2","0"
"Ashby","3,093","4","0","0","1","3","24","20","2","2","0"
"Ashfield","1,748","1","0","0","0","1","17","1","16","0","0"
"Ashland","16,694","19","0","3","2","14","160","53","98","9","1"
"Athol","11,655","54","0","6","4","44","296","89","197","10","1"
"Attleboro","43,859","168","1","7","20","140","927","249","607","71","3"
"Auburn","16,287","50","0","2","7","41","611","69","517","25","2"
"Avon","4,383","7","1","0","3","3","196","34","158","4","0"
"Ayer","7,472","19","0","2","1","16","177","89","86","2","2"
"Barnstable","45,468","303","1","28","32","242","1,278","360","855","63","4"
"Barre","5,431","29","0","1","0","28","108","35","71","2","0"
"Becket","1,790","1","0","0","0","1","57","47","10","0","0"
"Bedford","13,401","5","0","0","1","4","144","32","111","1","0"
"Bellingham","16,432","29","0","2","5","22","341","38","288","15","0"
"Belmont","24,880","23","0","5","3","15","289","94","180","15","0"
"Berkley","6,450","4","0","0","1","3","109","49","55","5","2"
"Bernardston","2,142","4","0","0","0","4","12","6","5","1","1"
"Beverly","39,743","92","1","2","9","80","743","130","584","29","2"
"Billerica","40,488","58","0","10","7","41","619","124","467","28","4"
"Blackstone","9,081","15","0","1","0","14","135","19","103","13","0"
"Boston","621,359","5,252","63","271","1,904","3,014","19,445","3,482","14,064","1,899",""
"Bourne","19,874","61","0","6","9","46","537","225","295","17","1"
"Boxborough","5,026","6","0","0","1","5","47","13","32","2","0"
"Boxford","8,014","1","0","0","1","0","28","13","15","0","0"
"Boylston","4,382","2","0","0","0","2","50","19","31","0","0"
"Brewster","9,880","25","0","5","2","18","223","59","159","5","0"
"Brockton","94,380","1,160","9","61","232","858","3,229","1,037","1,805","387","19"
"Brookline","59,090","124","0","1","29","94","832","178","634","20","0"
"Cambridge","105,803","479","5","24","152","298","3,159","539","2,465","155","8"
"Canton","21,692","26","0","0","4","22","301","75","210","16","2"
"Carlisle","4,882","0","0","0","0","0","19","12","7","0","0"
"Carver","11,579","30","0","2","2","26","271","95","166","10","6"
"Chatham","6,162","11","0","3","0","8","126","20","102","4","0"
"Chelmsford","34,008","32","0","1","4","27","520","60","441","19","1"
"Chelsea","35,391","617","2","33","228","354","1,353","394","770","189","4"
"Cheshire","3,255","3","0","0","0","3","6","2","4","0",""
"Chicopee","55,635","257","1","25","44","187","1,628","436","1,046","146","6"
"Chilmark","871","1","0","0","0","1","20","4","16","0","0"
"Cohasset","7,588","11","0","3","0","8","79","30","45","4","0"
"Cummington","877","0","0","0","0","0","3","3","0","0","0"
"Dalton","6,797","17","0","1","0","16","66","20","35","11","1"
"Danvers","26,654","60","1","1","10","48","852","88","739","25","3"
"Dartmouth","34,239","68","0","2","17","49","881","159","688","34","4"
"Dedham","24,880","21","0","0","3","18","670","72","573","25","0"
"Deerfield","5,156","13","0","0","1","12","100","49","50","1","0"
"Dennis","14,294","64","0","5","6","53","541","208","324","9","4"
"Dighton","7,129","4","0","2","0","2","38","15","21","2","0"
"Douglas","8,523","11","0","0","0","11","63","26","35","2","0"
"Dover","5,623","2","0","0","0","2","34","8","26","0","0"
"Dracut","29,637","13","0","1","11","1","274","12","232","30","0"
"Dudley","11,459","22","0","3","2","17","78","37","40","1","0"
"Duxbury","15,151","5","0","0","0","5","94","15","79","0","0"
"East Brookfield","2,196","1","0","0","1","0","41","13","23","5","0"
"Eastham","4,986","17","0","2","2","13","156","36","117","3","0"
"East Longmeadow","15,816","14","0","0","2","12","334","65","263","6","0"
"Easton","23,253","25","0","1","5","19","316","135","165","16","0"
"Edgartown","4,092","8","0","0","1","7","156","45","104","7","1"
"Egremont","1,232","3","0","0","0","3","21","4","17","0","0"
"Erving","1,811","1","0","0","0","1","53","18","33","2","0"
"Essex","3,525","3","0","1","1","1","40","14","26","0","0"
"Everett","41,921","195","0","25","58","112","1,056","241","681","134","3"
"Fairhaven","15,970","65","0","8","11","46","452","114","325","13","5"
"Fall River","89,399","1,089","2","52","274","761","3,187","863","2,027","297","35"
"Falmouth","31,723","157","0","12","26","119","1,067","581","447","39","6"
"Fitchburg","40,564","304","2","15","43","244","1,424","464","908","52","7"
"Framingham","68,734","187","0","6","21","160","1,126","212","830","84","0"
"Franklin","31,828","5","0","0","3","2","114","25","89","0","0"
"Freetown","8,924","15","0","0","1","14","165","62","97","6","2"
"Gardner","20,351","149","0","12","22","115","581","236","326","19","2"
"Georgetown","8,233","8","0","0","3","5","60","21","36","3","0"
"Gill","1,509","0","0","0","0","0","11","3","7","1","1"
"Gloucester","28,964","22","0","6","1","15","553","82","466","5","0"
"Grafton","17,873","20","0","2","1","17","135","43","87","5","2"
"Granby","6,278","7","0","0","1","6","65","12","53","0","2"
"Granville","1,576","1","0","0","0","1","0","0","0","0","0"
"Great Barrington","7,147","19","0","4","4","11","168","43","120","5","4"
"Groton","10,711","0","0","0","0","0","19","6","13","0","0"
"Groveland","6,498","1","0","0","0","1","25","2","21","2","0"
"Hadley","5,282","10","0","2","1","7","254","31","221","2","1"
"Halifax","7,564","9","0","1","0","8","81","28","49","4","0"
"Hamilton","7,811","2","0","0","0","2","52","17","32","3","0"
"Hampden","5,170","4","0","0","2","2","65","22","41","2","0"
"Hanover","13,964","2","0","0","1","1","288","31","253","4","0"
"Hanson","10,271","44","0","6","2","36","131","29","93","9","1"
"Hardwick","3,008","8","0","0","0","8","49","12","37","0","2"
"Harvard","6,560","3","0","0","0","3","48","20","28","0","3"
"Harwich","12,318","42","0","4","3","35","283","144","132","7","5"
"Hatfield","3,299","3","0","0","0","3","18","6","12","0","0"
"Haverhill","61,250","362","0","18","55","289","1,461","462","853","146","14"
"Hinsdale","2,044","6","0","1","0","5","29","17","12","0","1"
"Holbrook","10,857","61","0","6","18","37","159","42","109","8","0"
"Holden","17,452","6","0","1","0","5","117","21","91","5","1"
"Holliston","13,630","6","0","0","0","6","85","17","64","4","0"
"Holyoke","40,123","404","4","34","75","291","2,421","420","1,829","172","15"
"Hopedale","5,947","13","0","3","0","10","64","17","45","2","0"
"Hopkinton","15,016","0","0","0","0","0","95","2","93","0","0"
"Hubbardston","4,409","16","0","1","0","15","44","22","21","1","0"
"Hudson","19,179","10","0","4","2","4","209","24","181","4","0"
"Ipswich","13,255","6","1","0","1","4","191","65","124","2","1"
"Kingston","12,706","16","0","3","2","11","246","42","192","12","0"
"Lakeville","10,667","11","0","1","1","9","162","77","79","6","0"
"Lancaster","8,104","14","0","3","5","6","90","29","55","6","2"
"Lawrence","76,843","764","10","12","244","498","2,481","682","773","1,026",""
"Lee","5,979","10","0","2","0","8","127","34","90","3","0"
"Leicester","11,037","14","0","2","2","10","181","43","121","17","1"
"Lenox","5,056","4","0","0","0","4","111","24","86","1","0"
"Leominster","41,007","248","1","17","26","204","1,260","243","947","70","5"
"Lexington","31,585","13","0","0","0","13","332","69","263","0","4"
"Lincoln","6,401","8","0","0","0","8","57","16","41","0","0"
"Littleton","8,978","10","0","1","0","9","93","27","64","2","0"
"Longmeadow","15,880","11","0","0","3","8","189","41","146","2","5"
"Lowell","107,167","795","3","36","168","588","3,101","914","1,941","246","33"
"Ludlow","21,232","11","0","0","9","2","317","76","219","22","0"
"Lunenburg","10,147","29","0","0","2","27","272","59","207","6","0"
"Lynn","90,880","804","3","29","181","591","2,620","718","1,559","343","7"
"Lynnfield","11,667","11","0","0","2","9","228","63","159","6","0"
"Malden","59,812","250","2","14","80","154","1,307","317","872","118","2"
"Mansfield","23,325","47","2","9","3","33","395","149","224","22","1"
"Marblehead","19,929","31","0","0","1","30","211","34","164","13","1"
"Marion","4,937","5","0","1","0","4","59","13","44","2","0"
"Marlborough","38,734","183","0","10","11","162","773","129","609","35","2"
"Mashpee","14,091","36","1","6","7","22","331","61","254","16","2"
"Mattapoisett","6,082","7","0","0","0","7","100","22","76","2","0"
"Maynard","10,168","25","1","1","0","23","93","18","67","8","1"
"Medfield","12,097","7","0","0","1","6","57","16","41","0","0"
"Medway","12,830","6","1","0","0","5","99","20","78","1","0"
"Melrose","27,147","46","0","2","14","30","305","62","221","22","1"
"Mendon","5,875","7","0","0","1","6","30","8","19","3","0"
"Methuen","47,543","87","0","1","30","56","990","201","685","104","0"
"Middleboro","23,257","95","1","6","9","79","445","118","307","20","3"
"Middleton","9,042","10","0","0","0","10","100","3","96","1","0"
"Millbury","13,342","26","0","1","2","23","309","51","240","18","3"
"Millville","3,209","3","0","0","0","3","21","6","13","2","0"
"Milton","27,168","26","0","1","6","19","356","84","258","14",""
"Monson","8,612","31","0","1","1","29","110","55","50","5","0"
"Montague","8,488","60","0","0","4","56","213","75","132","6","3"
"Nahant","3,431","4","0","0","0","4","35","10","25","0","0"
"Nantucket","10,234","24","0","1","3","20","320","54","258","8","2"
"Natick","33,207","45","0","4","5","36","637","52","567","18","1"
"Needham","29,060","4","0","0","0","4","249","30","211","8","0"
"New Bedford","95,649","1,093","4","59","294","736","3,329","969","2,018","342","30"
"Newbury","6,707","11","0","1","0","10","47","19","27","1","0"
"Newburyport","17,522","28","0","1","3","24","206","21","177","8","1"
"Newton","85,665","80","0","2","19","59","1,181","212","942","27","3"
"Norfolk","11,295","1","0","0","0","1","80","29","48","3","0"
"Northampton","28,723","102","0","13","10","79","783","152","610","21","1"
"North Andover","28,525","9","0","0","0","9","338","52","273","13","0"
"Northborough","14,241","15","0","1","0","14","130","31","96","3","0"
"Northbridge","15,803","26","0","2","2","22","280","67","208","5","1"
"North Brookfield","4,709","21","0","1","2","18","77","30","39","8","0"
"Northfield","3,050","2","0","0","1","1","32","12","18","2","0"
"North Reading","14,983","18","0","3","4","11","145","28","111","6","1"
"Norton","19,147","7","0","1","0","6","126","55","64","7","0"
"Norwell","10,570","9","0","0","2","7","159","60","92","7","1"
"Norwood","28,776","20","0","4","7","9","469","84","358","27","0"
"Oak Bluffs","4,555","13","0","0","0","13","176","30","130","16","0"
"Orange","7,887","37","0","3","2","32","212","111","95","6","1"
"Orleans","5,926","14","0","1","0","13","236","93","142","1","0"
"Oxford","13,793","33","0","4","5","24","194","46","128","20","0"
"Palmer","12,214","54","0","6","3","45","198","59","123","16","1"
"Paxton","4,835","6","0","1","0","5","26","12","13","1","1"
"Peabody","51,563","124","2","9","13","100","1,282","212","996","74","2"
"Pelham","1,329","0","0","0","0","0","3","1","2","0","0"
"Pembroke","17,946","38","0","8","4","26","246","56","178","12","0"
