"Criminal Justice Information Services Division","Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home"
"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Forciblerape","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson"
"Adrian","21,117","103","0","35","10","58","679","168","491","20","6"
"Albion","8,610","66","3","3","10","50","268","88","179","1","2"
"Algonac","4,107","4","0","0","0","4","71","13","52","6","1"
"Allegan","4,994","3","0","0","0","3","61","6","55","0","0"
"Allen Park","28,189","38","0","6","6","26","575","116","402","57","0"
"Almont","2,672","10","0","1","1","8","79","31","46","2","0"
"Alpena","10,475","36","0","7","1","28","439","59","372","8","3"
"Ann Arbor","113,848","261","0","36","59","166","2,549","534","1,918","97","11"
"Argentine Township","6,908","13","0","4","0","9","41","11","28","2","0"
"Armada","1,729","1","0","0","0","1","10","2","8","0","0"
"Auburn","2,085","0","0","0","0","0","11","2","9","0","0"
"Auburn Hills","21,396","54","1","9","19","25","856","104","716","36","4"
"Au Gres-Sims","1,982","1","0","0","0","1","1","0","1","0","0"
"Bad Axe","3,127","7","0","1","0","6","107","8","98","1","0"
"Bancroft","545","1","0","0","0","1","2","1","1","0","0"
"Bangor","1,884","10","0","3","0","7","71","11","58","2","1"
"Baroda-Lake Township","3,842","3","0","0","0","3","55","11","43","1","0"
"Barry Township","3,375","0","0","0","0","0","39","8","28","3","0"
"Battle Creek","61,658","567","5","62","98","402","3,089","1,146","1,846","97","25"
"Bay City","34,906","170","0","36","35","99","797","244","524","29","13"
"Belding","5,753","11","0","8","1","2","137","23","111","3","1"
"Bellaire","1,085","1","0","1","0","0","4","1","3","0","0"
"Belleville","3,988","15","0","3","2","10","102","21","78","3","0"
"Bellevue","1,281","0","0","0","0","0","2","0","2","0","0"
"Berkley","14,959","11","1","2","3","5","174","36","124","14","0"
"Beverly Hills","10,259","5","0","0","3","2","126","24","99","3","0"
"Birch Run","1,554","3","0","0","1","2","94","12","78","4","0"
"Birmingham","20,088","23","0","0","7","16","407","48","344","15","2"
"Blackman Township","37,830","41","0","5","8","28","862","166","655","41","3"
"Blissfield","3,337","5","0","2","0","3","39","6","33","0","1"
"Bloomfield Hills","3,866","0","0","0","0","0","59","8","50","1","0"
"Bloomfield Township","41,039","20","0","0","9","11","457","91","345","21","3"
"Boyne City","3,732","3","0","1","1","1","89","11","76","2","0"
"Breckenridge","1,327","2","0","0","0","2","23","8","15","0","0"
"Bridgeport Township","10,506","31","0","7","1","23","159","68","83","8","1"
"Bridgman","2,289","3","0","1","0","2","33","4","29","0","0"
"Brighton","7,438","7","0","3","2","2","200","19","178","3","1"
"Bronson","2,347","3","0","1","0","2","64","12","52","0","0"
"Brown City","1,324","1","0","0","0","1","22","2","20","0","0"
"Brownstown Township","30,604","38","1","5","8","24","553","153","328","72","1"
"Buena Vista Township","8,669","93","1","7","10","75","336","176","140","20","6"
"Burr Oak","827","1","0","0","0","1","15","4","10","1","1"
"Cadillac","10,347","57","0","17","6","34","623","91","518","14","1"
"Calumet","725","0","0","0","0","0","13","5","8","0","0"
"Cambridge Township","5,729","1","0","0","0","1","28","6","22","0","1"
"Canton Township","90,105","132","0","21","32","79","1,395","222","1,094","79","10"
"Capac","1,889","5","0","2","0","3","59","8","49","2","0"
"Carleton","2,343","2","0","1","0","1","37","9","27","1","0"
"Caro","4,226","13","0","1","1","11","153","20","132","1","1"
"Carrollton Township","6,098","18","0","3","5","10","139","49","83","7","0"
"Caseville","776","2","0","2","0","0","45","15","29","1","0"
"Cass City","2,426","3","0","1","0","2","42","3","38","1","1"
"Cassopolis","1,773","2","0","0","0","2","26","9","13","4","0"
"Cedar Springs","3,506","41","0","5","3","33","90","23","63","4","1"
"Center Line","8,251","33","0","9","3","21","247","30","152","65","0"
"Central Lake","951","0","0","0","0","0","18","5","13","0","0"
"Charlevoix","2,511","4","0","4","0","0","112","3","109","0","0"
"Charlotte","9,067","24","0","13","1","10","281","36","241","4","1"
"Cheboygan","4,863","12","0","5","0","7","148","15","129","4","0"
"Chelsea","4,940","4","0","0","2","2","76","7","67","2","0"
"Chesaning","2,392","3","0","1","0","2","25","9","16","0","1"
"Chesterfield Township","43,348","143","0","5","12","126","963","120","793","50","2"
"Chocolay Township","5,899","1","0","0","1","0","66","1","64","1","0"
"Clare","3,116","10","0","2","1","7","106","16","89","1","0"
"Clawson","11,816","7","0","2","1","4","110","33","71","6","1"
"Clay Township","9,059","2","0","0","0","2","89","32","55","2","0"
"Clinton","2,334","4","0","2","0","2","25","3","20","2","2"
"Clinton Township","96,723","303","1","23","71","208","2,317","545","1,576","196","10"
"Clio","2,644","1","0","0","0","1","82","25","55","2","1"
"Coldwater","10,937","27","0","9","2","16","374","44","323","7","4"
"Coloma Township","6,498","18","0","5","0","13","133","31","101","1","0"
"Colon","1,172","0","0","0","0","0","16","2","14","0","1"
"Columbia Township","7,414","4","0","1","0","3","103","35","64","4","0"
"Concord","1,049","0","0","0","0","0","8","3","4","1","0"
"Corunna","3,494","5","0","2","0","3","48","3","44","1","1"
"Covert Township","2,886","15","0","4","1","10","80","19","55","6","1"
"Crystal Falls","1,468","1","0","0","0","1","14","1","13","0","0"
"Davison","5,169","10","0","2","2","6","84","9","64","11","0"
"Davison Township","19,560","27","1","10","3","13","371","113","233","25","1"
"Dearborn","98,079","359","3","22","104","230","3,757","612","2,705","440","12"
"Dearborn Heights","57,730","210","1","16","56","137","1,684","574","897","213","8"
"Decatur","1,818","4","0","1","0","3","69","10","56","3","1"
"Denton Township","5,553","4","0","0","0","4","86","8","74","4","0"
"Detroit","713,239","15,245","344","427","4,962","9,512","43,818","15,994","16,456","11,368","957"
"Dewitt","4,504","3","0","1","0","2","29","2","27","0","0"
"Dryden Township","4,764","4","0","0","0","4","34","11","22","1","0"
"East Grand Rapids","10,686","2","0","2","0","0","128","24","99","5","0"
"East Jordan","2,349","2","0","2","0","0","24","4","17","3","0"
"East Lansing","48,542","82","1","17","7","57","1,043","292","699","52","46"
"Eastpointe","32,418","233","0","18","54","161","1,050","279","537","234","8"
"Eaton Rapids","5,210","6","0","1","0","5","119","14","101","4","0"
"Elk Rapids","1,641","2","0","0","0","2","32","1","30","1","0"
"Elkton","807","0","0","0","0","0","19","2","17","0","0"
"Elsie","965","3","0","1","0","2","6","3","2","1","0"
"Emmett Township","11,761","69","0","4","19","46","718","125","581","12","1"
"Escanaba","12,606","39","1","6","2","30","717","81","625","11","2"
"Essexville","3,475","10","0","2","0","8","55","8","46","1","0"
"Evart","1,902","8","0","1","1","6","69","14","50","5","3"
"Fair Haven Township","1,106","3","0","1","0","2","9","3","5","1","0"
"Farmington","10,364","8","0","0","4","4","155","27","121","7","0"
"Farmington Hills","79,680","101","2","11","28","60","1,266","267","895","104","4"
"Fenton","11,747","18","0","1","6","11","314","49","247","18","2"
"Ferndale","19,885","82","0","1","30","51","597","139","381","77","2"
"Flint","102,357","2,392","52","85","607","1,648","6,618","3,628","2,220","770","287"
"Flint Township","31,905","315","6","20","114","175","2,119","525","1,447","147","7"
"Flushing","8,383","10","0","0","1","9","148","27","112","9","0"
"Flushing Township","10,632","6","0","0","1","5","116","54","57","5","0"
"Forsyth Township","6,159","11","1","5","1","4","68","11","50","7","0"
"Fowlerville","2,884","4","0","0","0","4","132","21","108","3","0"
"Frankenmuth","4,940","5","0","0","0","5","88","15","68","5","0"
"Frankfort","1,285","2","0","0","0","2","25","4","20","1","0"
"Franklin","3,148","0","0","0","0","0","60","20","38","2","0"
"Fraser","14,469","28","0","1","8","19","425","49","347","29","2"
"Gaines","380","0","0","0","0","0","0","0","0","0","0"
"Galesburg","2,007","1","0","1","0","0","40","18","21","1","0"
"Garden City","27,671","75","0","6","25","44","689","172","426","91","7"
"Gaylord","3,642","8","0","4","0","4","232","36","188","8","0"
"Genesee Township","21,565","91","0","9","15","67","620","250","316","54","5"
"Gerrish Township","2,991","2","0","1","0","1","25","1","24","0","1"
"Gibraltar","4,652","6","1","0","0","5","77","15","59","3","1"
"Gladstone","4,969","4","0","1","0","3","101","14","83","4","0"
"Gladwin","2,931","9","0","0","0","9","136","21","113","2","0"
"Grand Blanc Township","37,480","75","0","15","12","48","817","222","548","47","1"
"Grand Haven","10,404","19","0","12","1","6","292","39","252","1","1"
"Grand Ledge","7,780","3","0","0","0","3","193","21","171","1","0"
"Grand Rapids","187,898","1,395","10","81","464","840","6,174","1,952","3,897","325","71"
"Grandville","15,366","27","0","5","5","17","788","81","696","11","0"
"Grayling","1,883","7","0","2","1","4","126","5","119","2","0"
"Green Oak Township","17,463","16","0","3","3","10","255","43","203","9","0"
"Grosse Ile Township","10,363","4","0","1","0","3","60","7","50","3","0"
"Grosse Pointe","5,417","2","0","2","0","0","126","23","89","14","0"
"Grosse Pointe Farms","9,472","7","0","0","1","6","147","13","122","12","0"
"Grosse Pointe Park","11,546","11","0","0","6","5","239","16","181","42","1"
"Grosse Pointe Shores","3,006","0","0","0","0","0","6","1","5","0","0"
"Grosse Pointe Woods","16,123","12","0","1","3","8","211","33","150","28","0"
"Hamburg Township","21,149","8","0","2","0","6","141","23","115","3","1"
"Hampton Township","9,645","19","0","3","2","14","245","34","204","7","0"
"Hamtramck","22,406","307","2","6","115","184","952","394","355","203","14"
"Hancock","4,631","2","0","2","0","0","78","14","60","4","2"
"Harbor Beach","1,702","2","0","2","0","0","43","13","30","0","0"
"Harbor Springs","1,193","0","0","0","0","0","37","4","33","0","0"
"Harper Woods","14,225","104","0","2","40","62","1,068","101","765","202","3"
"Hart","2,124","7","0","5","0","2","142","5","136","1","0"
"Hartford","2,686","9","0","2","0","7","50","9","36","5","1"
"Hastings","7,344","19","0","6","0","13","223","32","182","9","0"
"Hazel Park","16,410","64","1","6","20","37","563","161","283","119","3"
"Hillsdale","8,299","26","0","3","1","22","296","50","240","6","4"
"Holland","33,026","118","0","24","10","84","1,082","221","843","18","7"
"Holly","6,081","25","0","6","1","18","174","31","134","9","2"
"Howard City","1,807","5","0","1","0","4","77","11","62","4","0"
"Howell","9,482","18","0","5","1","12","249","23","218","8","0"
"Huntington Woods","6,233","1","0","0","0","1","58","6","52","0","0"
"Huron Township","15,867","23","0","4","3","16","346","62","258","26","1"
"Imlay City","3,594","10","0","3","1","6","103","15","84","4","0"
"Inkster","25,350","459","9","32","96","322","998","440","453","105","22"
"Ionia","11,385","21","0","6","1","14","263","39","218","6","1"
"Iron River","3,027","5","0","0","1","4","84","22","54","8","0"
"Ironwood","5,383","11","0","2","0","9","138","12","124","2","0"
"Ishpeming","6,465","14","1","4","3","6","124","8","105","11","1"
"Ishpeming Township","3,510","0","0","0","0","0","12","2","10","0","0"
"Jonesville","2,256","6","0","0","0","6","76","21","55","0","0"
"Kalamazoo Township","21,901","86","0","12","16","58","516","183","305","28","5"
"Kalkaska","2,018","1","0","0","1","0","67","3","62","2","1"
"Keego Harbor","2,968","18","0","0","1","17","44","13","28","3","0"
"Kentwood","48,670","179","0","24","53","102","1,371","289","1,026","56","4"
"Kinross Township","7,555","1","0","0","0","1","42","8","32","2","0"
"Lake Angelus","290","0","0","0","0","0","10","3","7","0","0"
