"Criminal Justice Information Services Division","Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home"
"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Forciblerape","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson1"
"Aberdeen","5,633","19","0","0","3","16","219","74","132","13","0"
"Amory","7,344","16","0","1","8","7","324","96","214","14","1"
"Bay St. Louis","9,295","19","0","2","2","15","420","122","282","16","3"
"Belzoni","2,243","24","1","1","3","19","22","5","17","0","0"
"Biloxi","44,221","204","2","34","60","108","2,341","766","1,431","144","4"
"Brandon","21,787","13","1","2","7","3","247","95","144","8","0"
"Brookhaven","12,560","21","0","0","13","8","230","59","165","6","0"
"Byhalia","1,307","11","0","0","4","7","49","8","40","1","0"
"Carthage","5,094","8","1","0","4","3","43","22","11","10","0"
"Charleston","2,201","24","0","0","15","9","71","54","17","0","0"
"Clarksdale","18,030","150","8","4","40","98","1,189","619","503","67","20"
"Cleveland","12,381","53","2","8","11","32","941","168","752","21","7"
"Collins","2,596","19","0","2","11","6","170","32","132","6","0"
"Columbia","6,607","18","0","2","7","9","149","81","67","1","0"
"Columbus","23,729","81","7","9","26","39","1,156","336","784","36","1"
"Como","1,284","4","1","0","1","2","35","16","17","2","1"
"Crystal Springs","5,063","7","0","1","3","3","138","40","90","8","2"
"D'Iberville","9,522","27","6","3","10","8","609","55","535","19","1"
"Eupora","2,205","7","0","0","0","7","34","12","20","2","0"
"Florence","4,157","0","0","0","0","0","53","15","38","0","0"
"Flowood","7,853","38","0","0","4","34","495","77","408","10","0"
"Fulton","3,976","0","0","0","0","0","70","11","59","0","0"
"Gautier","18,642","50","1","12","7","30","699","204","453","42","2"
"Gloster","964","3","1","0","0","2","6","6","0","0","0"
"Greenwood","15,262","93","7","12","37","37","859","298","539","22","0"
"Gulfport","68,049","192","12","22","94","64","3,605","944","2,523","138","13"
"Heidelberg","721","1","0","0","0","1","22","6","14","2","0"
"Holly Springs","7,728","98","4","2","17","75","304","116","171","17","0"
"Horn Lake","26,165","24","1","3","15","5","617","154","433","30","5"
"Indianola","10,723","88","1","5","28","54","603","154","443","6",""
"Itta Bena","2,057","7","1","0","1","5","192","126","66","0","1"
"Iuka","3,039","14","0","3","1","10","115","58","55","2","0"
"Jackson","174,170","1,620","52","126","808","634","12,811","4,722","6,632","1,457","86"
"Kosciusko","7,430","16","0","2","5","9","176","89","87","0","0"
"Laurel","18,610","81","0","14","44","23","1,143","414","687","42","3"
"Leakesville","901","0","0","0","0","0","0","0","0","0","0"
"Leland","4,498","16","0","0","10","6","178","79","99","0","0"
"Louisville","6,656","13","0","1","4","8","117","86","26","5","0"
"Lucedale","2,934","9","0","0","3","6","62","6","54","2","0"
"Madison","24,240","20","0","1","7","12","220","18","199","3","0"
"Magee","4,425","29","0","1","4","24","60","33","25","2","2"
"McComb","12,838","69","4","1","30","34","695","171","504","20","0"
"Meridian","41,304","236","2","32","105","97","2,453","1,011","1,244","198","11"
"Morton","3,475","9","1","1","3","4","49","22","21","6","0"
"Natchez","15,852","65","4","10","33","18","972","234","715","23","16"
"New Albany","8,064","11","1","2","4","4","78","21","56","1","0"
"Newton","3,386","2","0","0","0","2","5","1","4","0","0"
"Ocean Springs","17,508","29","0","0","13","16","528","132","370","26","0"
"Olive Branch","33,611","92","2","7","21","62","979","414","517","48","2"
"Pascagoula","22,477","74","1","14","41","18","1,509","349","1,083","77","10"
"Pass Christian","4,630","7","0","3","0","4","171","43","122","6","0"
"Pearl","25,187","57","1","10","11","35","673","240","414","19","0"
"Petal2, 3","10,494","1","0","0","1","0","","","","6","0"
"Philadelphia","7,505","59","0","11","13","35","422","147","271","4","0"
"Picayune","10,919","48","2","2","15","29","464","107","339","18","3"
"Port Gibson","1,573","0","0","0","0","0","16","5","11","0","0"
"Purvis","2,183","1","0","0","0","1","0","0","0","0","0"
"Ridgeland","24,138","35","3","0","8","24","594","72","504","18","0"
"Roxie","499","0","0","0","0","0","0","0","0","0","0"
"Saltillo","4,770","8","0","1","1","6","111","48","63","0","0"
"Southaven","49,167","140","0","20","26","94","1,542","216","1,261","65","1"
"Starkville","23,978","41","0","3","15","23","865","187","662","16","3"
"Summit","1,711","1","0","0","1","0","29","9","19","1","0"
"Vicksburg","23,946","146","4","25","21","96","1,744","507","1,180","57","6"
"West Point","11,350","45","2","7","10","26","365","115","249","1","0"
"Wiggins","4,407","12","0","0","0","12","181","57","122","2","0"
"Winona","5,062","8","0","0","2","6","50","12","38","0","0"
"Yazoo City","11,446","36","1","7","10","18","379","181","179","19","2"
