"Criminal Justice Information Services Division","Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home"
"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Forciblerape","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson"
"Baker","1,756","5","0","1","0","4","23","3","17","3","0"
"Belgrade","7,455","20","0","6","1","13","217","23","190","4","0"
"Billings","105,095","313","2","36","36","239","4,693","669","3,689","335","9"
"Boulder","1,194","3","0","0","0","3","7","1","5","1","0"
"Bozeman","37,611","88","0","21","3","64","1,146","102","991","53","2"
"Bridger","714","0","0","0","0","0","1","0","1","0","0"
"Colstrip","2,234","3","0","0","0","3","29","1","25","3","0"
"Columbia Falls","4,730","5","0","1","0","4","97","8","82","7","0"
"Columbus","1,910","2","0","2","0","0","29","6","23","0","0"
"Conrad","2,593","12","0","1","0","11","40","3","34","3","1"
"Cut Bank","2,894","16","0","0","0","16","115","15","97","3","1"
"Dillon","4,171","7","0","0","0","7","58","11","40","7","1"
"East Helena","2,002","2","0","0","1","1","15","2","12","1","0"
"Ennis","845","0","0","0","0","0","3","1","2","0","0"
"Eureka","1,046","3","0","0","1","2","25","6","19","0","0"
"Fort Benton","1,477","1","0","0","0","1","17","0","15","2","0"
"Glasgow","3,279","3","0","0","0","3","47","2","36","9","0"
"Glendive","4,979","11","0","2","0","9","138","30","102","6","1"
"Great Falls","59,024","176","2","13","33","128","2,699","303","2,287","109","20"
"Hamilton","4,387","29","0","2","1","26","228","22","203","3","3"
"Havre","9,393","55","0","4","5","46","443","41","378","24","8"
"Helena","28,440","135","2","20","11","102","934","123","758","53","6"
"Hot Springs","549","2","0","0","0","2","2","0","2","0","0"
"Kalispell","20,104","58","0","9","5","44","853","101","714","38","3"
"Laurel","6,778","3","0","1","0","2","134","17","111","6","2"
"Lewistown","5,953","21","0","2","0","19","87","21","58","8","1"
"Libby","2,651","7","0","0","0","7","101","14","86","1","0"
"Livingston","7,107","18","0","4","0","14","120","15","98","7","0"
"Manhattan","1,533","3","0","2","0","1","13","1","10","2","0"
"Miles City","8,485","19","0","1","0","18","191","15","169","7","1"
"Missoula","67,381","192","0","26","20","146","2,415","299","2,019","97","14"
"Plains","1,057","0","0","0","0","0","16","1","13","2","0"
"Polson","4,528","16","0","2","0","14","286","29","246","11","3"
"Red Lodge","2,144","7","1","0","1","5","37","7","30","0","1"
"Ronan City","1,888","12","0","3","1","8","65","5","54","6","0"
"Sidney","5,237","16","0","2","0","14","97","12","78","7","1"
"Stevensville","1,825","5","0","0","0","5","25","5","18","2","0"
"St. Ignatius","849","3","0","1","0","2","17","3","14","0","0"
"Thompson Falls","1,325","6","0","1","0","5","31","6","23","2","1"
"Troy","946","1","0","0","0","1","34","3","30","1","1"
"West Yellowstone","1,282","2","0","0","0","2","2","0","2","0","0"
"Whitefish","6,413","8","0","4","0","4","177","11","159","7","2"
"Wolf Point","2,644","12","0","2","0","10","140","43","91","6","0"
