"Criminal Justice Information Services Division","Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home"
"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Forciblerape","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson"
"Alliance","8,567","25","1","0","2","22","165","53","106","6","1"
"Ashland","2,475","1","0","1","0","0","6","0","4","2","1"
"Auburn","3,491","2","0","0","1","1","24","6","17","1","0"
"Aurora","4,519","8","0","2","0","6","33","15","16","2","0"
"Beatrice","12,570","71","0","21","2","48","410","81","324","5","2"
"Bellevue","50,584","49","1","18","7","23","1,230","175","944","111","8"
"Bennington","1,471","1","0","0","0","1","17","4","12","1","0"
"Blair","8,061","3","0","0","1","2","97","8","87","2","2"
"Bridgeport","1,559","0","0","0","0","0","14","2","12","0","0"
"Broken Bow","3,591","9","0","5","0","4","42","4","37","1","0"
"Central City","2,960","1","0","0","0","1","52","5","47","0","0"
"Chadron","5,903","4","0","1","0","3","135","11","117","7","1"
"Columbus","22,308","19","1","3","3","12","493","78","394","21","2"
"Cozad","4,012","1","0","1","0","0","54","28","26","0","0"
"Crete","7,022","25","0","2","2","21","187","50","136","1","1"
"David City","2,932","1","0","1","0","0","44","1","37","6","0"
"Falls City","4,364","2","0","0","0","2","66","14","43","9","0"
"Fremont","26,633","43","0","13","4","26","721","138","560","23","5"
"Gering","8,576","4","0","0","1","3","157","35","115","7","0"
"Gothenburg","3,606","2","1","1","0","0","43","9","34","0","0"
"Grand Island","48,953","149","1","28","29","91","2,448","399","1,958","91","6"
"Hastings","25,129","47","1","14","8","24","874","108","740","26","6"
"Holdrege","5,544","8","0","2","0","6","124","19","102","3","0"
"Imperial","2,089","2","0","1","0","1","5","0","5","0","0"
"Kearney","31,062","45","0","9","2","34","861","129","714","18","4"
"La Vista","15,899","10","0","4","1","5","312","36","250","26","1"
"Lexington","10,321","15","0","6","1","8","316","95","208","13","2"
"Lincoln","260,685","966","4","166","177","619","10,189","1,401","8,424","364","25"
"Lyons","859","0","0","0","0","0","5","4","1","0","0"
"Madison","2,460","2","0","1","0","1","17","3","12","2","0"
"McCook","7,767","8","0","3","0","5","221","31","175","15","0"
"Milford","2,109","3","0","2","0","1","24","3","21","0","0"
"Minden","2,949","2","0","1","0","1","29","4","24","1","0"
"Mitchell","1,717","1","0","0","0","1","28","13","15","0","0"
"Nebraska City","7,354","3","0","0","2","1","162","20","134","8","0"
"Norfolk","24,426","27","0","12","3","12","675","70","581","24","1"
"North Platte","24,954","61","3","15","7","36","1,054","122","884","48","11"
"Ogallala","4,779","3","0","2","0","1","157","15","134","8","0"
"Omaha","412,608","2,309","43","220","696","1,350","18,764","3,321","12,793","2,650","91"
"O'Neill","3,738","1","0","1","0","0","8","4","3","1","0"
"Papillion","19,063","11","0","7","2","2","340","36","294","10","4"
"Plainview","1,257","0","0","0","0","0","7","1","5","1","0"
"Plattsmouth","6,560","8","0","5","0","3","163","18","143","2","1"
"Ralston","5,996","2","0","0","2","0","155","27","120","8","0"
"Scottsbluff","15,173","44","2","11","8","23","797","131","650","16","6"
"Scribner","865","0","0","0","0","0","8","6","2","0","0"
"Seward","7,026","2","0","2","0","0","70","5","63","2","0"
"Sidney","6,817","5","0","1","0","4","78","5","70","3","0"
"South Sioux City","13,472","23","1","3","1","18","389","65","308","16","0"
"St. Paul","2,310","1","0","0","0","1","5","0","5","0","0"
"Superior","1,974","3","0","1","0","2","7","5","2","0","0"
"Valentine","2,761","3","0","1","0","2","34","4","22","8","1"
"Valley","1,892","5","0","3","1","1","55","9","42","4","1"
"Wahoo","4,548","3","0","1","0","2","104","30","71","3","2"
"West Point","3,394","3","0","1","0","2","2","2","0","0","0"
"Wymore","1,470","0","0","0","0","0","40","2","37","1","0"
"York","7,835","4","0","0","2","2","213","35","169","9","0"
