"Criminal Justice Information Services Division","Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home"
"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Forciblerape","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson"
"Alamogordo","30,743","111","2","2","6","101","980","160","777","43","2"
"Albuquerque","551,961","4,207","35","264","998","2,910","27,976","5,985","19,168","2,823","133"
"Angel Fire","1,230","1","0","0","0","1","24","11","12","1","0"
"Artesia","11,427","130","0","7","3","120","472","172","283","17","2"
"Aztec","6,839","31","0","1","2","28","168","36","120","12","2"
"Bayard","2,354","20","0","0","0","20","32","10","21","1","0"
"Belen","7,350","72","0","2","10","60","647","230","387","30","6"
"Bernalillo","8,413","139","1","3","12","123","371","134","218","19","2"
"Bloomfield","8,203","74","1","5","2","66","148","41","107","0","1"
"Bosque Farms","3,948","1","0","0","0","1","55","15","40","0","0"
"Carlsbad","26,431","192","1","33","15","143","1,062","294","729","39","3"
"Carrizozo","1,007","1","0","0","0","1","16","8","7","1","0"
"Cimarron","1,032","0","0","0","0","0","4","1","3","0","0"
"Clovis","38,198","209","0","31","25","153","2,163","833","1,247","83","31"
"Corrales","8,422","14","0","2","0","12","61","20","41","0","0"
"Cuba","739","11","0","0","0","11","8","0","7","1","0"
"Deming","15,021","118","2","6","13","97","687","173","494","20","6"
"Dexter","1,280","0","0","0","0","0","7","2","4","1","0"
"Espanola","10,338","257","1","5","33","218","915","452","420","43","6"
"Estancia","1,674","0","0","0","0","0","20","6","14","0","0"
"Eunice","2,955","5","0","0","0","5","66","31","33","2","3"
"Farmington","46,390","504","2","73","40","389","1,628","244","1,291","93","10"
"Gallup","21,921","340","1","27","51","261","1,814","297","1,411","106","1"
"Grants","9,285","99","3","3","9","84","262","152","95","15","3"
"Hobbs","34,504","163","6","22","14","121","1,459","415","985","59","6"
"Jal","2,070","2","0","0","1","1","20","5","14","1","1"
"Las Cruces","98,710","424","3","17","68","336","4,546","1,120","3,164","262","2"
"Las Vegas","13,907","149","4","12","17","116","484","152","317","15","9"
"Logan","1,054","1","0","0","0","1","27","9","18","0","0"
"Lordsburg","2,828","3","0","0","0","3","2","1","0","1","1"
"Los Alamos","18,151","39","0","6","1","32","255","40","213","2","0"
"Los Lunas","15,001","173","0","8","3","162","547","79","391","77","0"
"Lovington","11,132","33","1","3","4","25","305","166","127","12","0"
"Magdalena","948","5","0","0","0","5","16","7","8","1","2"
"Mesilla","2,221","4","0","2","1","1","47","18","24","5","0"
"Milan","3,281","23","0","0","0","23","64","26","36","2","0"
"Moriarty","1,931","7","0","1","5","1","121","45","67","9","0"
"Portales","12,417","38","1","4","0","33","473","178","278","17","0"
"Questa","1,790","8","0","0","0","8","14","6","5","3","0"
"Raton","6,962","9","0","2","3","4","184","90","83","11","1"
"Rio Rancho","88,500","180","0","14","15","151","1,619","304","1,208","107","4"
"Roswell","48,907","300","5","15","36","244","2,686","619","1,978","89","21"
"Ruidoso","8,119","19","0","3","3","13","360","151","200","9","0"
"Ruidoso Downs","2,847","10","0","0","0","10","93","27","63","3","0"
"Santa Clara","1,705","15","1","0","0","14","25","14","11","0","0"
"Santa Fe","68,707","305","2","19","77","207","3,749","1,943","1,639","167","9"
"Santa Rosa","2,880","12","0","0","1","11","51","11","40","0","0"
"Silver City","10,430","82","1","9","4","68","547","134","388","25","4"
"Socorro","9,152","65","0","0","0","65","377","108","254","15","0"
"Sunland Park","14,264","12","0","3","2","7","176","43","116","17","1"
"Taos","5,780","49","1","5","7","36","472","178","277","17","1"
"Taos Ski Valley","70","1","0","0","0","1","7","0","7","0","0"
"Tatum","807","1","0","0","1","0","29","0","28","1","1"
"Texico","1,143","1","0","0","0","1","3","0","3","0","0"
"Truth or Consequences","6,547","33","0","3","1","29","167","44","114","9","1"
"Tucumcari","5,423","35","2","0","2","31","289","159","125","5","0"
"Tularosa","2,874","24","0","0","1","23","99","28","69","2","0"
