"Criminal Justice Information Services Division","Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home"
"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Forciblerape","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson1"
"Adams Village","1,783","0","0","0","0","0","30","8","22","0","0"
"Addison Town and Village","2,607","1","0","0","0","1","45","13","31","1","0"
"Akron Village","2,881","3","0","0","1","2","23","4","19","0","0"
"Albany","98,296","939","4","33","320","582","4,611","895","3,514","202","12"
"Albion Village","6,083","31","1","2","6","22","256","50","194","12","0"
"Alexandria Bay Village","1,083","1","0","0","0","1","29","10","19","0","1"
"Alfred Village","4,193","4","0","0","2","2","43","7","34","2","0"
"Allegany Village","1,824","7","0","0","0","7","26","5","21","0","0"
"Altamont Village","1,728","1","0","0","0","1","9","2","6","1","0"
"Amherst Town","117,610","124","0","7","41","76","2,004","221","1,736","47","2"
"Amity Town and Belmont Village","2,318","1","0","0","0","1","2","1","1","0","0"
"Amityville Village","9,566","8","0","0","6","2","169","19","145","5","0"
"Amsterdam","18,704","28","0","0","13","15","535","151","374","10","1"
"Andover Village","1,047","0","0","0","0","0","4","1","3","0","0"
"Angelica Village","873","0","0","0","0","0","3","1","2","0","0"
"Arcade Village","2,080","0","0","0","0","0","46","1","45","0","0"
"Ardsley Village","4,472","1","0","0","0","1","39","6","33","0","0"
"Asharoken Village","657","0","0","0","0","0","2","0","2","0","0"
"Attica Village","2,558","1","0","0","0","1","16","3","12","1","0"
"Auburn","27,811","130","2","21","17","90","917","177","716","24","2"
"Avon Village","3,409","1","0","0","0","1","29","5","22","2","0"
"Baldwinsville Village","7,411","5","0","1","1","3","120","23","94","3","1"
"Ballston Spa Village","5,433","18","0","2","1","15","152","31","116","5","0"
"Batavia","15,535","49","0","10","7","32","507","95","395","17","1"
"Bath Village","5,812","25","0","3","2","20","153","29","124","0","3"
"Beacon","15,611","67","0","0","17","50","314","64","239","11","0"
"Bedford Town","17,413","11","0","1","1","9","82","10","70","2","1"
"Bethlehem Town","33,807","26","0","5","6","15","514","92","406","16","4"
"Binghamton","47,589","268","0","17","76","175","2,284","415","1,796","73","2"
"Black River","1,354","0","0","0","0","0","10","5","5","0","0"
"Blooming Grove Town","12,183","8","0","0","0","8","103","25","73","5","0"
"Bolivar Village","1,052","4","0","0","0","4","9","4","5","0","0"
"Bolton Town","2,336","0","0","0","0","0","15","1","14","0","0"
"Boonville Village","2,081","1","0","0","1","0","15","3","12","0","0"
"Brant Town","2,074","1","0","0","0","1","13","4","9","0","1"
"Brewster","2,401","0","0","0","0","0","9","1","8","0","0"
"Briarcliff Manor Village","7,902","2","0","0","2","0","30","8","22","0","0"
"Brighton Town","36,774","41","0","8","16","17","947","150","766","31","1"
"Brockport Village","8,404","18","0","2","3","13","151","26","122","3","4"
"Bronxville Village","6,351","0","0","0","0","0","61","11","47","3","0"
"Brownville Village","1,124","0","0","0","0","0","5","0","5","0","0"
"Buffalo2","262,484","3,250","36","121","1,459","1,634","14,305","4,473","8,711","1,121","347"
"Cambridge Village","1,878","1","0","0","0","1","39","7","32","0","1"
"Camden Village","2,241","7","0","0","1","6","87","8","79","0","0"
"Camillus Town and Village","24,276","9","0","0","1","8","314","27","275","12","2"
"Canandaigua","10,592","32","0","4","3","25","312","51","250","11","0"
"Canisteo Village","2,280","7","0","0","0","7","39","3","35","1","0"
"Canton Village","6,342","2","0","2","0","0","62","4","58","0","0"
"Cape Vincent Village","729","2","0","0","0","2","5","2","3","0","0"
"Carmel Town","34,459","17","1","0","4","12","240","44","190","6","1"
"Carroll Town","3,540","1","0","0","0","1","6","3","3","0","0"
"Carthage Village","3,764","1","0","0","0","1","73","10","61","2","1"
"Caton","2,189","0","0","0","0","0","2","0","2","0","0"
"Catskill Village","4,099","16","0","0","2","14","132","14","118","0","0"
"Cayuga Heights Village","3,746","1","0","0","0","1","36","2","34","0","0"
"Cazenovia Village","2,848","2","0","0","1","1","40","4","35","1","0"
"Central Square Village","1,856","0","0","0","0","0","38","5","32","1","0"
"Centre Island Village","412","0","0","0","0","0","2","1","1","0","0"
"Chatham Village","1,778","13","0","0","0","13","76","14","61","1","0"
"Cheektowaga Town","79,194","175","2","10","80","83","2,753","362","2,294","97","3"
"Chester Town","8,048","1","0","1","0","0","6","0","5","1","0"
"Chittenango Village","5,104","2","0","0","0","2","77","10","62","5","0"
"Cicero Town","29,774","5","0","0","3","2","376","56","316","4","1"
"Clarkstown Town","79,221","100","0","5","31","64","1,517","111","1,370","36","3"
"Clayton Village","1,987","0","0","0","0","0","10","2","8","0","0"
"Clifton Springs Village","2,137","0","0","0","0","0","27","2","25","0","0"
"Clyde Village","2,102","2","0","0","1","1","38","9","29","0","0"
"Cobleskill Village","4,699","2","0","1","0","1","109","16","92","1","0"
"Coeymans Town","7,451","20","0","0","1","19","61","11","43","7","2"
"Cohocton Town","2,573","2","0","0","0","2","10","2","8","0","0"
"Cohoes","16,241","35","0","1","11","23","295","109","172","14","1"
"Colchester Town","2,086","0","0","0","0","0","6","3","3","0","0"
"Colonie Town","77,950","54","2","0","32","20","2,197","224","1,955","18","1"
"Cooperstown Village","1,860","0","0","0","0","0","27","2","25","0","0"
"Corning","11,233","38","0","5","8","25","365","65","297","3","0"
"Cornwall Town","9,671","3","0","0","0","3","104","13","89","2","0"
"Cortland","19,290","48","0","10","5","33","382","96","277","9","1"
"Crawford Town","9,358","12","0","0","4","8","122","29","87","6","1"
"Croton-on-Hudson Village","8,106","1","0","0","0","1","65","3","59","3","0"
"Cuba Town","3,258","7","0","3","0","4","90","18","72","0","1"
"Deerpark Town","7,937","16","0","1","3","12","198","69","122","7","1"
"Delhi Village","3,101","5","0","0","0","5","49","11","36","2","1"
"Depew Village","15,372","25","0","3","6","16","282","38","237","7","1"
"Deposit Village","1,670","0","0","0","0","0","10","4","6","0","0"
"Dewitt Town","22,856","33","0","1","13","19","722","89","613","20","0"
"Dobbs Ferry Village","10,924","15","0","0","9","6","140","17","116","7","1"
"Dolgeville Village","2,216","2","0","0","0","2","73","15","56","2","0"
"Dryden Village","1,898","0","0","0","0","0","44","2","40","2","0"
"Dunkirk","12,619","37","1","1","16","19","397","120","268","9","2"
"Durham Town","2,737","0","0","0","0","0","7","4","3","0","1"
"East Aurora-Aurora Town","13,844","10","0","2","3","5","151","26","121","4","4"
"Eastchester Town","19,642","4","0","0","2","2","166","15","147","4","0"
"East Greenbush Town","16,547","27","0","2","7","18","397","45","346","6","0"
"East Hampton Village","1,088","1","0","0","1","0","82","7","73","2","0"
"East Rochester Village","6,617","6","0","0","3","3","144","25","117","2","0"
"Eden Town","7,723","6","0","0","2","4","46","12","32","2","0"
"Ellenville Village","4,154","21","0","3","5","13","109","20","87","2","0"
"Ellicott Town","5,205","10","0","0","5","5","226","45","167","14","0"
"Ellicottville","1,605","0","0","0","0","0","104","13","91","0","0"
"Elmira","29,331","70","1","2","25","42","1,141","255","871","15","3"
"Elmira Heights Village","4,115","5","0","3","1","1","110","30","78","2","0"
"Elmira Town","5,986","0","0","0","0","0","1","0","1","0","0"
"Elmsford Village","4,685","11","0","2","4","5","59","7","39","13","0"
"Endicott Village","13,452","66","1","9","17","39","612","106","488","18","1"
"Evans Town","16,430","22","0","1","4","17","353","66","270","17","5"
"Fairport Village","5,377","7","0","0","5","2","60","11","49","0","0"
"Fallsburg Town","12,077","19","1","0","1","17","252","86","161","5","1"
"Fishkill Town","20,025","3","0","0","0","3","232","30","198","4","1"
"Fishkill Village","2,181","2","0","0","0","2","55","12","42","1","0"
"Floral Park Village","15,934","12","0","0","5","7","56","10","40","6","0"
"Florida Village","2,846","0","0","0","0","0","12","2","10","0","0"
"Fort Edward Village","3,390","4","0","1","0","3","20","3","17","0","0"
"Fort Plain Village","2,332","5","0","2","2","1","73","8","64","1","1"
"Frankfort Town","5,038","5","0","1","1","3","52","15","34","3","0"
"Frankfort Village","2,610","3","0","1","0","2","70","10","59","1","2"
"Franklinville Village","1,748","0","0","0","0","0","26","0","26","0","0"
"Fredonia Village","11,280","8","0","1","0","7","283","29","248","6","1"
"Freeport Village","43,053","174","5","7","89","73","914","185","663","66","7"
"Friendship Town","2,013","0","0","0","0","0","24","11","12","1","0"
"Fulton City","11,949","22","0","4","5","13","527","88","437","2","0"
"Garden City Village","22,472","13","1","0","6","6","337","32","302","3","1"
"Gates Town","28,528","47","2","5","12","28","1,166","99","1,017","50","2"
"Geddes Town","10,581","1","0","0","0","1","203","24","172","7","0"
"Geneseo Village","8,067","4","0","3","0","1","142","11","128","3","2"
"Geneva","13,321","43","0","2","20","21","369","103","262","4","4"
"Germantown Town","1,963","0","0","0","0","0","2","0","2","0","0"
"Glen Cove","27,085","18","0","0","8","10","213","39","170","4","4"
"Glen Park Village","504","0","0","0","0","0","2","0","2","0","0"
"Glens Falls","14,766","44","0","2","5","37","410","68","331","11","1"
"Gloversville","15,735","37","0","7","6","24","648","153","474","21","2"
"Goshen Town","8,266","2","0","0","0","2","78","21","53","4","0"
"Goshen Village","5,479","3","0","0","0","3","78","7","70","1","0"
"Gouverneur Village","3,967","10","0","2","0","8","332","71","257","4","0"
"Gowanda Village","2,721","6","0","0","1","5","52","17","32","3","0"
"Granville Village","2,554","3","0","0","2","1","34","9","25","0","0"
"Great Neck Estates Village","2,773","0","0","0","0","0","3","2","1","0","0"
"Greece Town","96,527","135","0","6","48","81","2,544","355","2,081","108","5"
"Greenburgh Town","43,055","57","1","3","11","42","698","80","598","20","0"
"Greene Village","1,587","0","0","0","0","0","0","0","0","0","0"
"Green Island Village","2,632","2","0","0","0","2","63","12","45","6","0"
"Greenport Town","4,184","1","0","0","0","1","120","6","112","2","0"
"Greenwich Village","1,785","2","0","0","0","2","44","9","34","1","0"
"Greenwood Lake Village","3,168","3","0","0","1","2","21","12","9","0","0"
"Groton Village","2,374","2","0","0","0","2","69","15","53","1","0"
"Guilderland Town","33,734","27","0","1","10","16","844","79","759","6","0"
"Hamburg Town","45,177","51","0","1","17","33","1,036","151","850","35",""
"Hamburg Village","9,451","8","0","4","0","4","213","35","175","3","0"
"Hamilton Village","4,258","1","0","0","0","1","29","4","24","1","0"
"Hammondsport Village","664","0","0","0","0","0","13","1","12","0","0"
"Hancock Village","1,036","8","0","0","0","8","8","0","7","1","0"
"Harriman Village","2,435","4","0","0","0","4","7","2","5","0","0"
"Hastings-on-Hudson Village","7,884","2","0","0","1","1","107","9","98","0","3"
"Haverstraw Town","36,799","85","2","4","34","45","427","112","302","13","3"
"Hempstead Village","54,133","439","8","10","207","214","1,049","295","600","154","8"
"Herkimer Village","7,778","64","0","3","10","51","363","65","298","0","1"
"Holley Village","1,819","5","0","0","0","5","49","14","33","2","0"
"Homer Village","3,306","1","0","0","0","1","38","6","32","0","0"
"Hornell","8,601","8","0","2","1","5","129","14","113","2","1"
"Horseheads Village","6,490","4","0","0","0","4","131","12","117","2","0"
"Hudson Falls Village","7,314","17","0","4","2","11","143","31","110","2","0"
"Hunter Town","2,744","1","0","0","0","1","0","0","0","0","0"
"Huntington Bay Village","1,431","0","0","0","0","0","9","3","6","0","0"
