"Criminal Justice Information Services Division","Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home"
"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Forciblerape","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson1"
"Ada","5,956","1","0","1","0","0","64","16","48","0","0"
"Akron","199,256","1,779","27","165","718","869","10,864","4,268","5,790","806","95"
"Alliance","22,338","85","2","24","20","39","979","239","715","25","6"
"Amberley Village","3,588","1","0","0","0","1","47","7","38","2","0"
"Amelia","4,805","0","0","0","0","0","67","4","62","1","1"
"Amherst","12,030","9","0","3","3","3","240","47","187","6","1"
"Arcanum","2,131","1","0","0","0","1","28","9","17","2","0"
"Arlington Heights","746","1","0","0","1","0","25","6","18","1","0"
"Ashland","20,377","17","0","9","2","6","593","99","488","6","0"
"Ashville","4,100","3","0","1","0","2","81","16","61","4","1"
"Athens","23,849","30","0","9","8","13","486","81","398","7","2"
"Aurora","15,559","12","0","0","1","11","142","34","107","1","3"
"Austintown","29,699","29","0","1","28","0","1,344","297","995","52","0"
"Barberton","26,569","67","1","8","27","31","1,276","232","990","54","14"
"Barnesville","4,196","1","0","0","1","0","14","5","9","0","1"
"Batavia","1,510","2","0","0","2","0","83","10","70","3","0"
"Bath Township, Summit County","9,709","2","0","0","1","1","129","24","104","1","0"
"Bazetta Township","5,878","3","0","0","0","3","222","34","185","3","0"
"Beachwood","11,962","37","0","1","8","28","489","61","422","6","0"
"Beavercreek","45,226","27","0","13","8","6","1,069","90","961","18","3"
"Beaver Township","6,716","6","0","0","1","5","145","55","90","0","0"
"Bedford","13,084","21","0","1","4","16","616","54","510","52","1"
"Bedford Heights","10,759","28","0","5","10","13","313","74","173","66","3"
"Bellaire","4,281","4","0","0","1","3","31","4","24","3","1"
"Bellbrook","6,948","2","0","0","1","1","63","10","53","0","1"
"Bellefontaine","13,380","38","1","6","13","18","806","130","653","23","0"
"Bellville","1,919","1","0","1","0","0","51","2","48","1","0"
"Belpre","6,446","5","0","1","2","2","76","16","57","3","2"
"Berea","19,107","8","0","2","1","5","276","35","225","16","4"
"Bethel","2,713","4","0","2","2","0","163","22","140","1","0"
"Bexley","13,067","10","0","1","6","3","348","70","273","5","0"
"Blue Ash","12,123","9","0","1","5","3","359","51","298","10","0"
"Bluffton","4,128","3","0","1","0","2","48","11","34","3","0"
"Bowling Green","30,050","54","1","16","13","24","777","108","652","17","0"
"Brecksville","13,666","3","0","0","1","2","71","12","58","1","0"
"Brewster","2,114","0","0","0","0","0","12","2","9","1","0"
"Brimfield Township","10,384","12","0","6","3","3","277","50","222","5","0"
"Broadview Heights","19,414","9","0","0","3","6","58","19","36","3","0"
"Brookfield Township","8,860","18","0","1","5","12","237","74","145","18","3"
"Brooklyn","11,177","22","0","2","14","6","519","50","418","51","1"
"Brook Park","19,226","19","0","0","4","15","151","52","77","22","1"
"Brookville","5,888","3","0","2","0","1","99","15","76","8","0"
"Brunswick","34,280","108","0","1","1","106","372","51","305","16","0"
"Brunswick Hills Township","9,905","0","0","0","0","0","27","6","18","3","0"
"Bryan","8,551","0","0","0","0","0","50","3","47","0","1"
"Burton","1,456","0","0","0","0","0","3","3","0","0","0"
"Butler Township","7,874","26","2","6","5","13","251","26","210","15","0"
"Cadiz","3,355","1","0","0","1","0","88","31","57","0","0"
"Cambridge","10,643","46","2","9","10","25","688","171","485","32","0"
"Campbell","8,241","3","0","0","3","0","95","50","41","4","1"
"Canal Fulton","5,483","4","0","0","1","3","84","22","58","4","0"
"Canfield","7,521","0","0","0","0","0","110","9","96","5","0"
"Canton","73,060","810","12","57","438","303","4,787","1,854","2,683","250","25"
"Cardington","2,048","3","0","1","0","2","33","6","25","2","0"
"Carlisle","4,919","3","0","0","1","2","99","18","79","2","0"
"Carrollton","3,243","17","0","0","0","17","16","7","9","0","0"
"Celina","10,408","23","0","4","5","14","529","70","442","17","1"
"Centerville","24,017","8","0","3","0","5","433","68","356","9","4"
"Chagrin Falls","4,116","0","0","0","0","0","39","6","31","2","0"
"Champion Township","9,619","9","0","1","2","6","250","60","185","5","0"
"Chardon","5,152","5","0","0","0","5","107","8","99","0","4"
"Cheviot","8,381","8","0","0","8","0","235","53","177","5","3"
"Chillicothe","21,917","118","1","8","37","72","2,141","426","1,668","47","18"
"Cincinnati","297,160","3,067","61","183","1,773","1,050","20,462","6,674","12,512","1,276","328"
"Circleville","13,324","37","0","5","28","4","1,183","262","905","16","0"
"Clayton","13,219","4","0","0","2","2","208","62","129","17","1"
"Clay Township, Ottawa County","2,724","0","0","0","0","0","22","4","16","2","0"
"Clearcreek Township","14,084","1","0","0","0","1","136","39","93","4","1"
"Cleveland","397,106","5,426","74","354","3,156","1,842","25,323","10,706","10,524","4,093","319"
"Cleveland Heights","46,155","143","1","7","102","33","1,018","318","675","25","0"
"Cleves","3,236","1","0","0","1","0","69","18","50","1","0"
"Clyde","6,330","9","0","1","2","6","203","50","151","2","0"
"Coitsville Township","1,393","1","0","0","0","1","41","14","25","2","0"
"Coldwater","4,430","0","0","0","0","0","47","12","35","0","0"
"Columbus","787,609","5,185","87","565","3,244","1,289","49,043","15,169","30,259","3,615",""
"Conneaut","12,850","35","0","4","2","29","353","106","243","4","0"
"Cortland","7,109","0","0","0","0","0","74","21","53","0","2"
"Covington","2,586","0","0","0","0","0","37","7","28","2","0"
"Crestline","4,633","8","0","2","1","5","46","18","24","4","0"
"Cuyahoga Falls","49,688","60","0","11","17","32","1,363","282","1,017","64","4"
"Dayton","141,631","1,355","33","98","638","586","8,323","3,121","4,569","633","149"
"Defiance","16,506","13","0","4","3","6","689","85","602","2","2"
"Delaware","34,778","74","1","32","20","21","1,020","229","754","37","7"
"Delhi Township","29,532","14","0","3","5","6","479","103","365","11","0"
"Delphos","7,106","2","0","2","0","0","243","85","157","1","0"
"Delta","3,105","1","0","0","0","1","43","11","32","0","0"
"Dover","12,835","4","0","2","1","1","65","14","49","2","0"
"Dublin","41,782","16","0","9","4","3","533","69","444","20","3"
"Eastlake","18,591","8","1","0","2","5","480","33","437","10","3"
"East Palestine","4,724","4","0","0","2","2","176","43","125","8","3"
"Eaton","8,413","7","0","2","0","5","407","95","305","7","0"
"Edgerton","2,013","1","0","0","0","1","17","1","16","0","0"
"Elida","1,906","2","0","1","0","1","6","1","5","0","0"
"Elyria","54,573","192","2","18","86","86","2,252","703","1,478","71","17"
"Englewood","13,475","14","0","1","8","5","364","40","314","10","0"
"Evendale","2,769","7","0","0","1","6","231","7","224","0","0"
"Fairborn","32,376","75","0","15","48","12","1,062","289","732","41","2"
"Fairfield","42,541","112","0","6","16","90","1,283","223","1,015","45","4"
"Fairfield Township","21,389","37","1","4","7","25","756","121","615","20","3"
"Fairport Harbor","3,111","12","0","5","3","4","133","23","107","3","2"
"Findlay","41,232","80","2","23","22","33","1,993","349","1,607","37","11"
"Forest","1,462","1","0","0","0","1","36","12","23","1","0"
"Forest Park","18,734","34","0","3","29","2","482","127","335","20","2"
"Fort Recovery","1,431","0","0","0","0","0","11","1","10","0","0"
"Fort Shawnee","3,729","1","0","1","0","0","52","15","37","0","0"
"Fostoria","13,451","25","0","5","5","15","288","84","201","3","2"
"Fowler","2,597","0","0","0","0","0","18","6","11","1","0"
"Fredericktown","2,495","1","0","0","1","0","69","15","54","0","0"
"Fremont","16,746","39","0","3","11","25","955","144","793","18","2"
"Gahanna","33,272","18","0","3","7","8","830","124","687","19","6"
"Galion","10,520","22","0","6","9","7","576","152","413","11","0"
"Gallipolis","3,644","7","0","2","2","3","368","44","321","3","0"
"Gates Mills","2,272","0","0","0","0","0","19","6","13","0","0"
"Geneva-on-the-Lake","1,289","0","0","0","0","0","15","5","9","1","0"
"Genoa","2,338","0","0","0","0","0","33","8","24","1","0"
"Georgetown","4,334","3","0","1","0","2","198","38","157","3","1"
"Germantown","5,551","2","0","1","0","1","107","22","84","1","1"
"German Township, Clark County","7,117","1","0","0","1","0","130","19","109","2","0"
"German Township, Montgomery County","2,884","0","0","0","0","0","68","20","44","4","0"
"Gibsonburg","2,583","2","0","0","0","2","64","18","46","0","0"
"Girard","9,965","30","0","0","6","24","367","120","242","5","11"
"Glendale","2,157","0","0","0","0","0","25","8","17","0","1"
"Glouster","1,792","1","0","1","0","0","75","26","49","0","2"
"Goshen Township, Clermont County","15,516","11","3","2","2","4","397","107","280","10","1"
"Goshen Township, Mahoning County","3,245","6","0","1","0","5","107","26","77","4","1"
"Grandview Heights","6,541","1","0","0","1","0","115","26","87","2","0"
"Granville","5,650","2","0","0","0","2","61","9","49","3","0"
"Greenfield","4,642","7","0","1","6","0","281","62","208","11","2"
"Greenhills","3,618","3","0","0","1","2","37","7","29","1","0"
"Greenville","13,237","48","0","2","7","39","553","132","390","31","6"
"Grove City","35,601","35","1","7","23","4","1,225","201","997","27","14"
"Groveport","5,367","9","0","1","1","7","126","20","99","7","0"
"Harrison","9,904","5","0","0","2","3","288","24","263","1","0"
"Hartville","2,946","0","0","0","0","0","55","8","47","0","0"
"Haskins","1,189","1","0","0","0","1","19","1","18","0","0"
"Heath","10,318","16","0","3","3","10","592","80","502","10","5"
"Hebron","2,338","0","0","0","0","0","38","9","29","0","0"
"Hicksville","3,584","1","0","0","0","1","45","10","35","0","1"
"Highland Heights","8,351","1","0","0","0","1","115","25","85","5","0"
"Hilliard","28,456","18","2","0","11","5","753","141","592","20","8"
"Hillsboro","6,610","6","0","2","1","3","368","42","323","3","0"
"Hinckley Township","7,652","5","0","0","2","3","60","9","48","3","0"
"Holland","1,765","9","0","0","7","2","178","21","156","1","0"
"Howland Township","17,340","13","0","1","4","8","527","142","374","11","0"
"Hubbard","7,880","7","0","1","0","6","194","35","156","3","0"
"Hubbard Township","5,658","6","0","1","0","5","148","41","99","8","0"
"Huber Heights","38,129","82","1","7","45","29","1,379","250","1,088","41","24"
"Hudson","22,278","2","0","0","1","1","135","31","104","0","0"
"Huron","7,154","3","0","1","0","2","45","3","40","2","0"
"Independence","7,138","2","0","0","1","1","126","24","98","4","0"
"Indian Hill","5,789","0","0","0","0","0","56","10","45","1","0"
"Jackson","6,402","3","0","0","3","0","352","56","288","8","0"
"Jackson Center","1,463","1","0","1","0","0","10","4","6","0","0"
"Jackson Township, Montgomery County","3,697","1","0","1","0","0","32","16","12","4","0"
"Jackson Township, Stark County","40,403","33","0","4","14","15","1,387","188","1,161","38","6"
"Jamestown","1,994","0","0","0","0","0","73","22","50","1","1"
"Johnstown","4,635","1","0","0","1","0","61","5","55","1","0"
"Kent","28,925","58","2","6","17","33","650","146","472","32","16"
"Kettering","56,204","64","0","23","26","15","1,266","301","907","58","8"
"Kirtland","6,871","0","0","0","0","0","38","9","29","0","0"
"Kirtland Hills","646","0","0","0","0","0","7","1","6","0","0"
"Lake Township","7,959","0","0","0","0","0","101","30","67","4","0"
"Lakewood","52,169","74","1","9","35","29","1,134","254","795","85","6"
"Lawrence Township","8,229","3","0","0","0","3","111","32","73","6","0"
"Lebanon","20,048","36","1","12","8","15","333","51","277","5","3"
"Lexington","4,826","3","0","2","1","0","91","11","79","1","0"
"Liberty Township","12,071","17","0","4","5","8","250","61","182","7","0"
