"Criminal Justice Information Services Division","Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home"
"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Forciblerape","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson1"
"Abington Township, Lackawanna County","1,749","2","0","0","0","2","20","9","9","2","0"
"Abington Township, Montgomery County","55,486","84","0","5","28","51","1,184","121","1,025","38","6"
"Adamstown","1,795","3","0","0","1","2","27","9","18","0","0"
"Adams Township, Butler County","11,689","7","0","1","0","6","87","14","71","2","0"
"Akron","3,888","2","0","0","0","2","30","5","23","2","0"
"Alburtis","2,369","1","0","0","0","1","19","1","18","0","0"
"Aldan","4,165","10","0","0","1","9","155","25","128","2","0"
"Aleppo Township","1,922","0","0","0","0","0","23","2","21","0","0"
"Aliquippa","9,468","41","0","1","8","32","188","67","103","18","1"
"Allegheny Township, Westmoreland County","8,190","4","0","0","3","1","107","11","92","4","0"
"Allentown","118,408","647","10","61","339","237","4,575","1,101","3,041","433","19"
"Altoona","46,468","143","0","26","39","78","1,090","301","745","44","18"
"Ambler","6,437","13","0","2","2","9","147","19","120","8","0"
"Ambridge","7,072","123","0","5","20","98","308","74","233","1","3"
"Amity Township","12,623","1","0","0","0","1","127","30","89","8","0"
"Annville Township","4,782","1","0","0","0","1","74","10","58","6","1"
"Archbald","7,006","26","0","1","0","25","28","8","20","0","0"
"Arnold","5,173","12","0","2","5","5","84","29","39","16","1"
"Ashland","2,826","6","0","0","2","4","50","17","33","0","0"
"Aspinwall","2,810","2","0","0","0","2","40","5","34","1","0"
"Aston Township","16,645","19","0","4","5","10","315","45","253","17","0"
"Atglen","1,410","1","0","0","0","1","3","0","3","0","0"
"Athens","3,378","11","0","5","0","6","83","12","71","0","0"
"Avalon","4,720","17","0","2","5","10","84","21","56","7","0"
"Avis","1,489","3","0","0","0","3","8","0","8","0","0"
"Avondale","1,269","2","0","0","0","2","6","2","4","0","0"
"Avonmore Boro","1,014","0","0","0","0","0","0","0","0","0","0"
"Baden","4,148","1","0","0","0","1","44","8","34","2","0"
"Baldwin Borough","19,830","19","1","4","5","9","157","34","110","13","0"
"Bally","1,093","2","0","0","1","1","0","0","0","0","0"
"Bangor","5,290","19","0","0","0","19","127","14","111","2","0"
"Beaver","4,545","2","0","0","1","1","96","16","78","2","0"
"Beaver Falls","9,016","54","1","2","11","40","297","57","229","11","0"
"Bedford","2,850","4","0","0","0","4","24","13","11","0","0"
"Bedminster Township","6,595","3","0","0","1","2","49","10","39","0","0"
"Bell Acres","1,392","0","0","0","0","0","1","0","1","0","0"
"Bellefonte","6,207","11","0","1","1","9","104","16","88","0","0"
"Bellevue","8,397","18","0","1","6","11","227","37","185","5","0"
"Bellwood","1,834","0","0","0","0","0","18","2","16","0","0"
"Ben Avon","1,787","0","0","0","0","0","28","3","25","0","0"
"Ben Avon Heights","372","0","0","0","0","0","3","0","3","0","0"
"Bendersville","643","0","0","0","0","0","2","0","2","0","0"
"Bensalem Township","60,620","93","0","14","60","19","2,288","299","1,871","118","35"
"Benton Area","1,953","0","0","0","0","0","0","0","0","0","0"
"Berks-Lehigh Regional","30,614","10","0","1","3","6","328","32","288","8","1"
"Berlin","2,111","0","0","0","0","0","0","0","0","0","0"
"Bern Township","6,819","22","0","2","2","18","73","10","57","6","1"
"Berwick","10,510","36","0","7","2","27","434","129","297","8","0"
"Bessemer","1,115","0","0","0","0","0","0","0","0","0","0"
"Bethel Park","32,416","26","0","1","3","22","327","39","280","8","0"
"Bethel Township, Armstrong County","1,187","0","0","0","0","0","0","0","0","0","0"
"Bethel Township, Berks County","4,125","3","0","0","0","3","35","10","24","1","0"
"Bethel Township, Delaware County","8,819","11","0","0","1","10","121","28","86","7","0"
"Bethlehem","75,221","219","3","17","97","102","1,862","371","1,405","86","4"
"Bethlehem Township","23,806","12","0","0","1","11","409","43","357","9","0"
"Biglerville","1,204","0","0","0","0","0","29","0","25","4","0"
"Birdsboro","5,179","6","0","0","0","6","102","27","71","4","1"
"Birmingham Township","4,221","0","0","0","0","0","23","8","11","4","0"
"Blacklick Township","2,019","0","0","0","0","0","0","0","0","0","0"
"Blairsville","3,423","18","0","1","0","17","92","20","72","0","0"
"Blakely","6,585","5","0","1","2","2","92","14","77","1","2"
"Blawnox","1,437","7","0","0","0","7","7","2","5","0","0"
"Bloomsburg Town","14,902","26","0","2","1","23","281","60","218","3","0"
"Blythe Township","927","0","0","0","0","0","1","0","1","0","0"
"Bolivar","466","1","0","0","0","1","0","0","0","0","0"
"Brackenridge","3,270","3","0","0","0","3","76","10","62","4","0"
"Braddock Hills","1,886","1","0","0","1","0","3","1","2","0","0"
"Bradford","8,798","47","1","6","3","37","381","50","329","2","4"
"Bradford Township","4,820","10","0","4","0","6","26","7","18","1","1"
"Branch Township","1,846","0","0","0","0","0","16","3","13","0","0"
"Brecknock Township, Berks County","4,600","0","0","0","0","0","26","5","21","0","0"
"Brentwood","9,674","13","0","0","4","9","190","35","144","11","0"
"Bridgeport","4,569","9","0","1","2","6","148","19","112","17","0"
"Bridgeville","5,164","4","0","1","0","3","90","17","71","2","0"
"Brighton Township","8,253","4","0","0","1","3","44","10","33","1","0"
"Bristol","9,757","22","0","2","16","4","369","30","314","25","1"
"Bristol Township","54,756","126","1","15","74","36","1,805","304","1,336","165","13"
"Brockway","2,079","2","0","0","0","2","10","6","4","0","0"
"Brookhaven","8,032","11","0","0","3","8","194","27","160","7","0"
"Brookville","3,937","8","0","2","0","6","68","12","51","5","0"
"Brownsville","2,338","7","0","0","3","4","57","18","36","3","0"
"Buckingham Township","20,139","9","1","3","1","4","124","22","97","5","0"
"Buffalo Township","7,330","10","0","1","0","9","51","15","35","1","0"
"Bushkill Township","8,204","13","0","3","0","10","81","16","60","5","0"
"Butler","13,801","85","0","0","29","56","571","98","464","9","7"
"Butler Township, Butler County","17,303","27","0","1","7","19","427","51","371","5","0"
"Butler Township, Luzerne County","9,250","40","0","0","2","38","122","33","82","7","0"
"Butler Township, Schuykill County","6,006","3","0","0","2","1","31","17","11","3","0"
"Caernarvon Township, Berks County","4,019","9","0","1","0","8","99","11","88","0","0"
"California","6,817","20","0","1","1","18","117","23","94","0","0"
"Caln Township","13,861","66","0","2","6","58","342","29","296","17","2"
"Cambria Township","6,118","4","0","1","0","3","90","14","67","9","1"
"Cambridge Springs","2,603","1","0","0","0","1","2","0","2","0","0"
"Camp Hill","7,913","2","0","0","2","0","125","14","109","2","1"
"Canton","1,982","3","0","1","0","2","34","11","22","1","0"
"Carbondale","8,919","15","0","2","1","12","155","31","114","10","0"
"Carlisle","18,742","58","0","8","26","24","464","53","405","6","4"
"Carmichaels","485","0","0","0","0","0","1","0","1","0","0"
"Carnegie","7,997","10","0","0","6","4","210","40","162","8","1"
"Carrolltown","856","0","0","0","0","0","12","1","10","1","0"
"Carroll Township, Washington County","5,658","21","0","1","0","20","58","9","47","2","0"
"Carroll Township, York County","5,958","7","0","0","1","6","107","24","81","2","0"
"Cass Township","1,964","5","0","1","0","4","15","4","11","0","1"
"Castle Shannon","8,343","13","0","0","3","10","88","16","71","1","0"
"Catasauqua","6,457","7","0","0","1","6","164","33","120","11","1"
"Catawissa","1,557","4","0","0","0","4","57","5","51","1","2"
"Cecil Township","11,307","2","0","0","1","1","8","3","5","0","0"
"Centerville","3,273","1","0","0","1","0","17","2","14","1","0"
"Central Berks Regional","9,420","14","0","2","4","8","199","26","156","17","3"
"Chalfont","4,022","4","0","1","0","3","63","6","57","0","0"
"Chambersburg","20,333","71","0","5","30","36","685","121","543","21","2"
"Charleroi","5,291","31","0","4","4","23","234","28","202","4","0"
"Chartiers Township","7,843","2","0","0","0","2","66","12","53","1","0"
"Cheltenham Township","36,910","76","2","7","45","22","1,026","188","803","35","4"
"Cherry Tree","365","0","0","0","0","0","0","0","0","0","0"
"Chester2","34,080","","21","23","214","","1,322","554","626","142","26"
"Chester Township","3,953","60","0","3","10","47","155","59","89","7","0"
"Cheswick","1,752","0","0","0","0","0","8","1","6","1","0"
"Chippewa Township","8,024","1","0","0","0","1","251","16","233","2","0"
"Christiana","1,172","4","0","0","0","4","16","2","13","1","0"
"Churchill","3,021","25","0","0","0","25","28","7","20","1","0"
"Clarion","5,293","3","0","0","0","3","104","19","81","4","0"
"Claysville","832","0","0","0","0","0","6","1","5","0","0"
"Clearfield","6,235","13","0","1","0","12","244","22","219","3","0"
"Cleona","2,087","0","0","0","0","0","16","1","15","0","1"
"Coaldale","2,288","3","0","0","1","2","10","10","0","0","0"
"Coal Township","10,416","25","0","2","0","23","191","18","170","3","5"
"Coatesville","13,142","149","2","2","61","84","462","114","307","41","0"
"Cochranton","1,140","0","0","0","0","0","11","10","1","0","0"
"Colebrookdale District","6,039","5","0","0","3","2","97","4","90","3","0"
"Collegeville","5,105","2","0","1","1","0","77","11","65","1","0"
"Collier Township","7,103","9","0","0","2","7","188","32","152","4","1"
"Collingdale","8,814","106","1","2","23","80","276","65","187","24","2"
"Colonial Regional","19,495","15","0","4","6","5","586","65","506","15","1"
"Columbia","10,433","23","0","2","13","8","319","67","233","19","2"
"Colwyn","2,554","17","0","0","6","11","87","35","43","9","0"
"Conemaugh Township, Somerset County","7,302","9","0","0","1","8","41","7","34","0","0"
"Conewago Township, Adams County","7,108","1","0","0","0","1","90","13","75","2","1"
"Conewango Township","3,605","7","0","0","0","7","177","15","161","1","0"
"Conneaut Lake Regional","3,597","0","0","0","0","0","56","7","49","0","0"
"Connellsville","7,661","25","1","2","10","12","344","48","288","8","0"
"Conoy Township","3,204","4","0","0","0","4","39","15","24","0","0"
"Conshohocken","7,858","20","0","0","0","20","133","16","115","2","0"
"Conway","2,183","0","0","0","0","0","18","6","12","0","0"
"Conyngham","1,920","0","0","0","0","0","12","0","12","0","0"
"Coopersburg","2,394","4","0","0","0","4","17","1","13","3","0"
"Coplay","3,202","1","0","0","0","1","44","9","35","0","0"
"Coraopolis","5,695","46","0","2","6","38","110","25","78","7","0"
"Cornwall","4,125","1","0","0","0","1","1","0","1","0","0"
"Corry","6,626","30","1","3","2","24","245","45","189","11","1"
"Crafton","6,426","27","0","0","2","25","147","22","124","1","0"
"Cranberry Township","28,188","7","0","0","1","6","342","44","292","6","2"
"Crescent Township","2,648","10","0","0","0","10","44","18","24","2","1"
"Cresson","1,716","2","0","0","0","2","24","6","18","0","0"
"Cresson Township","4,350","8","0","0","0","8","31","2","29","0","1"
"Croyle Township","2,346","0","0","0","0","0","22","0","22","0","0"
"Cumberland Township, Adams County","6,182","1","0","0","0","1","55","21","33","1","2"
"Cumberland Township, Greene County","6,644","10","0","2","0","8","168","43","116","9","0"
"Cumru Township","15,195","10","0","2","5","3","358","49","296","13","0"
"Curwensville","2,550","10","0","0","1","9","40","9","28","3","0"
"Dale","1,238","5","0","0","0","5","11","0","10","1","0"
"Dallas","2,813","1","0","0","0","1","30","5","24","1","0"
"Dallas Township","9,023","3","0","1","1","1","66","12","49","5","2"
"Dalton","1,238","4","0","0","0","4","14","4","9","1","1"
"Danville","4,714","18","1","0","1","16","124","12","110","2","0"
"Darby","10,721","406","0","11","78","317","588","234","298","56","1"
