"Criminal Justice Information Services Division","Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home"
"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Forciblerape","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson"
"Aberdeen","26,408","70","0","21","4","45","488","76","380","32","3"
"Armour","708","0","0","0","0","0","2","2","0","0","0"
"Avon","597","0","0","0","0","0","0","0","0","0","0"
"Belle Fourche","5,662","15","0","5","0","10","90","16","72","2","0"
"Box Elder","7,895","17","0","4","0","13","174","11","159","4","0"
"Brandon","8,892","2","0","0","0","2","30","0","30","0","0"
"Brookings","22,324","7","1","0","0","6","33","6","27","0","0"
"Burke","611","0","0","0","0","0","0","0","0","0","0"
"Canton","3,094","5","0","3","0","2","44","8","36","0","0"
"Centerville","893","1","0","0","1","0","1","1","0","0","0"
"Chamberlain","2,416","4","0","0","2","2","13","1","11","1","0"
"Deadwood","1,285","4","0","0","0","4","41","5","36","0","0"
"Eagle Butte","1,334","1","0","0","0","1","5","1","4","0","0"
"Estelline","777","0","0","0","0","0","6","4","2","0","0"
"Faith","426","0","0","0","0","0","2","0","2","0","0"
"Flandreau","2,369","14","0","0","0","14","45","3","36","6","0"
"Freeman","1,322","1","0","1","0","0","3","1","2","0","0"
"Gettysburg","1,176","1","0","1","0","0","1","0","1","0","0"
"Hermosa","403","0","0","0","0","0","0","0","0","0","0"
"Hot Springs","3,756","3","0","1","0","2","58","10","43","5","0"
"Hoven","411","0","0","0","0","0","0","0","0","0","0"
"Irene","425","0","0","0","0","0","1","1","0","0","0"
"Jefferson","554","0","0","0","0","0","0","0","0","0","0"
"Kadoka","662","1","0","0","0","1","8","8","0","0","0"
"Kimball","712","0","0","0","0","0","0","0","0","0","0"
"Lead","3,162","0","0","0","0","0","15","0","14","1","0"
"Lemmon","1,242","2","0","1","0","1","6","3","3","0","0"
"Lennox","2,137","1","0","0","0","1","12","4","8","0","0"
"Leola","463","0","0","0","0","0","0","0","0","0","0"
"Madison","6,553","5","0","0","0","5","100","12","80","8","0"
"Martin","1,084","6","0","1","0","5","6","1","4","1","0"
"McIntosh","175","0","0","0","0","0","0","0","0","0","0"
"Menno","615","0","0","0","0","0","0","0","0","0","0"
"Miller","1,507","0","0","0","0","0","6","1","5","0","0"
"Mitchell","15,440","44","0","6","2","36","406","50","334","22","1"
"Mobridge","3,507","7","1","0","0","6","85","8","72","5","0"
"North Sioux City","2,561","0","0","0","0","0","46","6","40","0","0"
"Parkston","1,526","0","0","0","0","0","2","1","1","0","0"
"Philip","788","0","0","0","0","0","2","1","1","0","0"
"Pierre","13,812","26","0","7","2","17","498","82","392","24","3"
"Rapid City","68,782","437","3","99","57","278","2,960","560","2,244","156","9"
"Rosholt","428","0","0","0","0","0","0","0","0","0","0"
"Scotland","851","0","0","0","0","0","0","0","0","0","0"
"Selby","650","0","0","0","0","0","0","0","0","0","0"
"Sioux Falls","155,760","440","5","108","75","252","4,707","880","3,554","273","60"
"Sisseton","2,500","12","0","1","0","11","99","13","74","12","0"
"Spearfish","10,622","18","0","3","0","15","337","36","291","10","0"
"Springfield","2,013","0","0","0","0","0","0","0","0","0","0"
"Sturgis","6,708","10","0","1","0","9","121","22","91","8","0"
"Summerset","1,836","0","0","0","0","0","17","5","11","1","0"
"Tea","3,852","3","0","0","0","3","92","19","66","7","2"
"Tripp","655","0","0","0","0","0","0","0","0","0","0"
"Tyndall","1,080","0","0","0","0","0","0","0","0","0","0"
"Vermillion","10,700","5","0","1","0","4","52","8","39","5","0"
"Viborg","792","0","0","0","0","0","4","1","3","0","0"
"Wagner","1,585","0","0","0","0","0","11","0","9","2","2"
"Watertown","21,743","67","1","15","3","48","531","82","412","37","2"
"Whitewood","938","5","0","0","1","4","7","0","7","0","0"
"Wilmot","498","0","0","0","0","0","0","0","0","0","0"
"Winner","2,932","6","0","1","0","5","16","5","11","0","0"
"Worthing","888","0","0","0","0","0","0","0","0","0","0"
"Yankton","14,630","33","1","12","2","18","363","40","302","21","0"
