"Criminal Justice Information Services Division","Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home"
"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Forciblerape","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson"
"Adamsville","2,227","5","0","0","0","5","48","10","36","2","1"
"Alamo","2,483","12","0","0","2","10","44","12","30","2","0"
"Alcoa","8,525","89","0","5","22","62","521","83","418","20","1"
"Alexandria","975","6","0","0","0","6","24","9","14","1","0"
"Algood","3,527","10","0","0","1","9","127","21","105","1","0"
"Ardmore","1,224","5","0","0","0","5","38","14","21","3","0"
"Ashland City","4,582","20","1","3","2","14","260","61","186","13","1"
"Athens","13,579","177","1","6","32","138","1,021","185","796","40","2"
"Atoka","8,463","9","0","1","0","8","130","24","98","8","0"
"Baileyton","435","2","0","0","1","1","9","3","5","1","0"
"Baneberry","486","0","0","0","0","0","0","0","0","0","0"
"Bartlett","55,106","116","0","6","6","104","808","134","632","42","4"
"Baxter","1,377","7","0","0","1","6","78","20","55","3","0"
"Bean Station","2,851","11","0","0","5","6","137","34","102","1","0"
"Belle Meade","2,938","0","0","0","0","0","52","8","44","0","0"
"Bells","2,459","17","1","1","3","12","40","11","26","3","0"
"Benton","1,397","3","0","0","0","3","48","10","36","2","0"
"Berry Hill","542","2","0","0","0","2","74","9","61","4","0"
"Bethel Springs","724","0","0","0","0","0","2","1","1","0","0"
"Big Sandy","562","0","0","0","0","0","3","1","2","0","0"
"Blaine","1,873","4","0","0","1","3","24","7","15","2","0"
"Bluff City","1,749","11","0","1","1","9","61","8","50","3","0"
"Bolivar","5,466","36","1","1","3","31","352","134","207","11","2"
"Bradford","1,057","5","0","0","0","5","12","4","8","0","0"
"Brentwood","37,394","18","0","1","2","15","373","51","313","9","1"
"Brighton","2,760","8","0","0","0","8","42","9","30","3","0"
"Bristol","26,943","115","0","20","11","84","1,187","196","943","48","5"
"Brownsville","10,385","155","1","8","15","131","585","234","346","5","2"
"Bruceton","1,491","18","0","1","0","17","25","9","16","0","1"
"Burns","1,481","2","1","0","0","1","19","9","8","2","0"
"Calhoun","494","1","0","0","0","1","7","0","7","0","0"
"Camden","3,614","9","0","1","1","7","200","53","141","6","2"
"Carthage","2,327","4","0","0","0","4","55","12","43","0","0"
"Caryville","2,318","11","0","0","1","10","93","16","70","7","0"
"Celina","1,508","7","0","0","1","6","22","8","13","1","1"
"Centerville","3,677","7","1","0","1","5","61","13","47","1","1"
"Chapel Hill","1,458","3","0","0","0","3","8","2","6","0","0"
"Charleston","657","1","0","0","0","1","11","3","8","0","0"
"Chattanooga","169,187","1,460","24","36","385","1,015","10,635","2,503","7,338","794","11"
"Church Hill","6,798","20","0","0","4","16","118","27","88","3","2"
"Clarksburg","397","0","0","0","0","0","6","0","4","2","0"
"Clarksville","134,128","883","8","61","128","686","4,217","1,333","2,666","218","22"
"Cleveland","41,657","437","2","21","50","364","2,260","437","1,735","88","9"
"Clifton","2,718","0","0","0","0","0","14","2","11","1","0"
"Clinton","9,930","49","1","1","6","41","457","76","355","26","3"
"Collegedale","8,357","11","0","2","1","8","175","30","141","4","1"
"Collierville","44,362","46","0","6","4","36","690","100","577","13","0"
"Collinwood","991","1","0","0","1","0","11","7","2","2","0"
"Columbia","34,994","304","3","21","31","249","1,408","276","1,079","53","2"
"Coopertown","4,317","3","0","0","0","3","36","13","20","3","0"
"Copperhill","357","0","0","0","0","0","5","2","3","0","0"
"Cornersville","1,205","1","0","0","0","1","3","0","2","1","0"
"Covington","9,120","59","1","4","17","37","460","120","326","14","0"
"Cowan","1,753","3","0","0","0","3","22","1","20","1","0"
"Cross Plains","1,729","9","0","1","1","7","44","6","37","1","0"
"Crossville","10,892","166","0","7","22","137","1,207","252","908","47","1"
"Crump","1,441","4","0","1","1","2","30","10","19","1","2"
"Cumberland City","314","1","0","0","0","1","10","3","6","1","0"
"Cumberland Gap","498","2","1","0","0","1","2","0","2","0","0"
"Dandridge","2,837","10","0","2","1","7","105","17","83","5","2"
"Dayton","7,256","13","0","0","4","9","216","32","178","6","0"
"Decatur","1,612","3","0","0","0","3","47","12","32","3","0"
"Decaturville","875","1","0","0","0","1","7","1","5","1","0"
"Decherd","2,382","6","0","1","0","5","54","13","41","0","0"
"Dickson","14,669","98","4","8","10","76","800","97","678","25","0"
"Dover","1,430","2","0","0","0","2","25","3","21","1","0"
"Dresden","3,032","9","0","0","0","9","97","17","79","1","0"
"Dunlap","4,858","19","0","2","0","17","202","34","152","16","1"
"Eagleville","609","0","0","0","0","0","1","0","1","0","0"
"East Ridge","21,168","170","1","4","45","120","979","264","640","75","5"
"Elizabethton","14,304","44","1","2","9","32","819","131","667","21","2"
"Elkton","583","0","0","0","0","0","3","2","1","0","0"
"Englewood","1,546","7","0","0","1","6","35","9","24","2","0"
"Erin","1,336","3","0","0","0","3","33","5","27","1","1"
"Erwin","6,152","14","0","0","2","12","152","27","120","5","0"
"Estill Springs","2,074","2","0","0","1","1","35","10","22","3","0"
"Ethridge","469","1","0","0","0","1","23","5","18","0","0"
"Etowah","3,521","16","0","2","3","11","148","41","97","10","1"
"Fairview","7,790","11","0","1","0","10","112","21","86","5","2"
"Fayetteville","6,889","61","0","1","11","49","464","93","362","9","3"
"Franklin","63,051","103","0","11","11","81","1,021","88","898","35","3"
"Friendship","674","2","0","0","0","2","5","1","4","0","0"
"Gadsden","474","2","0","0","0","2","5","2","3","0","0"
"Gainesboro","971","2","0","0","0","2","44","1","43","0","0"
"Gallatin","30,551","86","0","7","17","62","625","87","519","19","0"
"Gallaway","686","7","0","0","1","6","20","5","14","1","0"
"Gates","653","1","0","0","0","1","14","8","6","0","0"
"Gatlinburg","3,980","22","2","1","5","14","367","132","230","5","3"
"Germantown","39,194","28","0","3","3","22","473","123","343","7","2"
"Gibson","400","2","0","0","0","2","9","4","5","0","0"
"Gleason","1,458","6","0","0","0","6","10","3","7","0","0"
"Goodlettsville","16,065","71","0","4","24","43","1,078","158","897","23","2"
"Gordonsville","1,224","3","0","0","1","2","29","9","20","0","0"
"Grand Junction","328","2","0","0","0","2","15","2","12","1","0"
"Graysville","1,516","2","0","0","0","2","21","1","20","0","0"
"Greenbrier","6,491","18","0","0","3","15","100","28","69","3","0"
"Greeneville","15,198","82","1","4","19","58","861","166","659","36","1"
"Greenfield","2,202","3","0","0","1","2","37","12","23","2","0"
"Halls","2,275","4","0","2","0","2","33","10","23","0","0"
"Harriman","6,407","37","0","6","3","28","342","83","232","27","0"
"Henderson","6,366","26","1","0","2","23","179","56","118","5","0"
"Hendersonville","51,835","121","2","5","15","99","908","141","716","51","6"
"Hohenwald","3,791","24","0","0","1","23","149","23","123","3","0"
"Hollow Rock","724","6","0","0","0","6","21","7","10","4","0"
"Hornbeak","428","0","0","0","0","0","3","1","2","0","0"
"Humboldt","8,528","86","1","6","4","75","412","103","296","13","3"
"Huntingdon","4,021","10","0","1","1","8","151","16","130","5","0"
"Huntland","880","4","0","0","0","4","5","1","3","1","0"
"Jacksboro","2,038","3","0","0","0","3","158","9","149","0","0"
"Jackson","65,799","675","6","43","156","470","3,746","1,126","2,397","223","20"
"Jamestown","1,977","4","0","0","0","4","146","18","128","0","1"
"Jasper","3,309","15","0","0","0","15","76","21","51","4","0"
"Jefferson City","8,120","12","0","2","5","5","471","97","358","16","0"
"Jellico","2,376","3","0","0","2","1","94","13","71","10","3"
"Johnson City","63,722","278","3","7","59","209","2,958","682","2,187","89","6"
"Jonesborough","5,097","12","0","0","2","10","103","24","71","8","0"
"Kenton","1,293","3","0","0","0","3","24","9","14","1","0"
"Kimball","1,408","8","0","0","3","5","92","9","76","7","0"
"Kingsport","48,640","428","3","22","62","341","3,240","552","2,556","132","12"
"Kingston","5,988","8","0","0","2","6","105","18","80","7","0"
"Kingston Springs","2,781","2","0","0","1","1","16","5","10","1","0"
"Knoxville","180,488","1,691","17","94","559","1,021","12,879","2,544","9,515","820","26"
"Lafayette","4,514","13","0","1","0","12","67","24","39","4","0"
"La Follette","7,523","61","1","3","11","46","713","251","444","18","2"
"Lake City","1,797","13","0","1","2","10","100","25","68","7","2"
"La Vergne","32,882","132","2","9","12","109","823","299","485","39","4"
"Lawrenceburg","10,522","93","0","7","7","79","547","132","396","19","2"
"Lebanon","26,426","183","0","9","35","139","1,091","223","808","60","0"
"Lenoir City","8,720","49","0","1","10","38","527","131","374","22","2"
"Lewisburg","11,200","70","2","14","7","47","313","80","223","10","5"
"Lexington","7,721","77","0","0","5","72","498","97","391","10","0"
"Livingston","4,095","26","0","0","0","26","107","21","78","8","0"
"Lookout Mountain","1,849","0","0","0","0","0","14","2","10","2","0"
"Loretto","1,729","1","0","0","0","1","31","9","22","0","0"
"Loudon","5,430","7","0","0","0","7","63","4","53","6","0"
"Madisonville","4,618","20","0","0","3","17","303","74","216","13","3"
"Manchester","10,193","60","1","2","7","50","642","107","500","35","1"
"Martin","11,576","45","1","3","1","40","295","62","230","3","2"
"Maryville","27,713","74","0","8","22","44","852","148","665","39","2"
"Mason","1,624","20","0","0","3","17","29","10","19","0","0"
"Maury City","680","3","0","0","0","3","5","1","3","1","0"
"Maynardville","2,435","5","0","0","0","5","113","26","84","3","0"
"McEwen","1,766","2","0","0","1","1","14","4","8","2","0"
"McKenzie","5,358","32","1","1","4","26","172","43","126","3","3"
"McMinnville","13,728","76","0","6","5","65","627","133","462","32","3"
"Medina","3,510","5","0","0","0","5","50","11","38","1","1"
"Memphis","652,725","10,336","117","398","3,083","6,738","42,355","13,254","25,667","3,434","319"
"Milan","7,922","66","1","3","8","54","313","81","228","4","3"
"Millersville","6,498","13","0","1","0","12","138","44","84","10","0"
"Millington","10,268","89","0","1","18","70","554","82","438","34","1"
"Minor Hill","542","0","0","0","0","0","0","0","0","0","0"
"Monteagle","1,203","3","0","0","1","2","21","7","11","3","1"
"Monterey","2,876","10","0","1","1","8","48","20","23","5","0"
"Morristown","29,400","195","1","13","35","146","1,964","200","1,667","97","4"
"Moscow","561","2","0","0","1","1","25","3","22","0","0"
"Mountain City","2,554","5","0","0","0","5","37","5","29","3","0"
"Mount Carmel","5,478","6","0","1","1","4","80","19","58","3","0"
"Mount Juliet","23,885","55","0","1","10","44","459","77","367","15","0"
"Mount Pleasant","4,602","29","0","1","0","28","126","27","94","5","1"
"Munford","5,980","28","2","1","1","24","129","26","97","6","1"
"Murfreesboro","109,736","654","3","30","131","490","4,851","1,383","3,283","185","2"
"Nashville","612,789","7,239","50","373","1,889","4,927","29,256","7,541","19,987","1,728","103"
"Newbern","3,343","22","1","0","3","18","120","33","86","1","0"
"New Hope","1,092","0","0","0","0","0","0","0","0","0","0"
"New Market","1,346","1","0","0","1","0","7","2","5","0","0"
"Newport","7,008","78","0","6","15","57","698","87","585","26","2"
"New Tazewell","3,064","6","0","0","2","4","54","20","31","3","0"
"Niota","725","3","0","0","0","3","12","4","8","0","0"
"Nolensville","5,914","2","0","0","0","2","42","8","31","3","0"
"Norris","1,504","2","0","1","0","1","43","8","34","1","0"
"Oakland","6,683","7","0","1","0","6","64","4","60","0","0"
"Oak Ridge","29,595","137","2","15","24","96","1,154","258","868","28","3"
