"Criminal Justice Information Services Division","Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home"
"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Forciblerape","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson"
"Barre","9,062","22","0","8","4","10","447","72","364","11","4"
"Barre Town","7,933","4","0","0","0","4","131","30","94","7","0"
"Bellows Falls","3,151","6","0","0","0","6","82","11","70","1","0"
"Bennington","15,781","22","0","2","1","19","480","102","365","13","0"
"Berlin","2,890","4","0","2","0","2","48","0","48","0","0"
"Brandon","3,970","0","0","0","0","0","82","19","61","2","1"
"Brattleboro","12,059","49","1","3","9","36","429","95","323","11","4"
"Chester","3,157","3","0","2","0","1","44","31","11","2","0"
"Colchester","17,086","28","0","2","6","20","590","93","488","9","0"
"Dover","1,125","1","0","0","0","1","132","11","118","3","0"
"Essex","19,609","16","0","3","4","9","488","72","405","11","2"
"Fair Haven","2,737","2","0","1","0","1","74","14","59","1","0"
"Hardwick","3,013","2","0","0","1","1","70","20","45","5","0"
"Hartford","9,963","12","0","2","3","7","196","59","127","10","0"
"Hinesburg","4,401","1","0","0","0","1","48","7","39","2","0"
"Manchester","4,396","5","0","1","0","4","97","39","55","3","0"
"Middlebury","8,505","7","0","2","1","4","188","26","161","1","0"
"Milton","10,363","17","0","1","0","16","219","63","150","6","2"
"Montpelier","7,864","12","0","2","0","10","334","33","286","15","2"
"Morristown","5,233","5","0","0","0","5","97","16","81","0","0"
"Newport","4,594","13","0","3","0","10","111","30","80","1","1"
"Northfield","6,214","5","0","1","0","4","92","23","63","6","1"
"Norwich","3,418","0","0","0","0","0","18","6","10","2","0"
"Randolph","4,783","2","0","0","0","2","42","10","32","0","0"
"Richmond","4,086","1","0","0","0","1","47","11","36","0","0"
"Rutland","16,513","59","0","4","14","41","1,081","245","810","26","2"
"Shelburne","7,152","4","0","1","1","2","54","9","43","2","0"
"South Burlington","17,924","22","0","7","0","15","711","63","616","32","0"
"Springfield","9,383","19","0","1","4","14","225","64","152","9","5"
"St. Albans","6,926","46","0","4","3","39","342","42","290","10","1"
"St. Johnsbury","7,611","7","0","0","1","6","110","20","88","2","0"
"Stowe","4,319","3","0","0","0","3","168","19","147","2","0"
"Swanton","6,434","3","0","0","1","2","58","13","40","5","0"
"Vergennes","2,591","3","0","1","0","2","27","5","20","2","0"
"Waterbury","5,070","2","0","0","0","2","21","1","20","0","0"
"Williston","8,708","5","0","0","0","5","235","31","196","8","0"
"Wilmington","1,878","0","0","0","0","0","38","6","29","3","0"
"Windsor","3,557","4","0","1","1","2","44","13","30","1","0"
"Winooski","7,275","26","0","3","3","20","256","37","210","9","4"
"Woodstock","3,051","0","0","0","0","0","3","2","1","0","0"
