"Criminal Justice Information Services Division","Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home"
"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Forciblerape","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson"
"Aberdeen","17,161","62","1","11","16","34","951","188","694","69","1"
"Airway Heights","6,210","5","0","0","4","1","183","34","134","15","0"
"Algona","3,061","4","0","0","0","4","50","8","33","9","0"
"Anacortes","16,026","24","0","6","4","14","501","91","387","23","4"
"Arlington","18,207","31","0","5","10","16","782","161","554","67","0"
"Asotin","1,271","4","0","0","0","4","30","10","18","2","0"
"Auburn","71,281","279","2","23","107","147","3,797","762","2,435","600","29"
"Bainbridge Island","23,386","14","0","3","2","9","322","104","217","1","3"
"Battle Ground","17,847","32","0","9","2","21","406","60","330","16","0"
"Bellevue","124,283","140","1","23","58","58","3,539","607","2,775","157","25"
"Bellingham","82,154","199","1","35","55","108","3,738","646","2,961","131","7"
"Bingen","723","0","0","0","0","0","28","4","22","2","1"
"Black Diamond","4,216","1","0","0","0","1","60","13","46","1","0"
"Blaine","4,757","13","0","3","0","10","159","19","138","2","2"
"Bonney Lake","17,647","31","1","2","4","24","496","93","378","25","2"
"Bothell","34,031","27","0","7","10","10","899","149","687","63","7"
"Bremerton","38,321","241","1","41","53","146","2,038","397","1,457","184","14"
"Brewster","2,407","5","0","1","1","3","43","9","34","0","0"
"Brier","6,182","2","0","0","0","2","78","14","64","0","2"
"Buckley","4,906","5","0","0","1","4","134","22","106","6","3"
"Burien","33,836","223","0","46","68","109","2,353","659","1,207","487","10"
"Burlington","8,520","15","0","1","11","3","1,026","139","834","53","3"
"Camas","19,659","9","0","4","2","3","301","45","243","13","2"
"Carnation","1,814","0","0","0","0","0","34","10","24","0","0"
"Castle Rock","2,013","2","0","1","0","1","39","11","25","3","0"
"Centralia","16,592","85","1","16","16","52","789","165","565","59","1"
"Chehalis","7,373","19","0","3","4","12","388","48","322","18","2"
"Cheney","10,756","23","0","4","5","14","296","50","230","16","1"
"Chewelah","2,648","4","0","0","0","4","83","21","56","6","0"
"Clarkston","7,342","14","0","0","2","12","412","55","355","2","2"
"Cle Elum","1,901","5","0","1","0","4","122","25","90","7","1"
"Clyde Hill","3,031","0","0","0","0","0","37","7","29","1","0"
"Colfax","2,849","2","0","1","1","0","24","3","19","2","0"
"College Place","8,903","13","0","3","1","9","188","28","154","6","1"
"Colton","425","0","0","0","0","0","0","0","0","0","0"
"Colville","4,746","5","0","1","3","1","146","12","131","3","0"
"Connell","4,275","7","0","2","0","5","36","7","28","1","0"
"Cosmopolis","1,675","2","0","2","0","0","12","4","8","0","1"
"Coulee Dam","1,115","5","0","0","0","5","30","7","22","1","0"
"Coupeville","1,860","1","0","1","0","0","66","31","34","1","0"
"Covington","17,851","44","0","11","18","15","577","134","393","50","0"
"Des Moines","30,139","90","1","7","37","45","1,048","230","627","191","8"
"Dupont","8,328","5","0","0","0","5","37","10","20","7","1"
"Duvall","6,800","0","0","0","0","0","43","9","33","1","0"
"East Wenatchee","13,397","31","0","6","7","18","546","64","468","14","3"
"Eatonville","2,801","2","0","1","0","1","44","12","31","1","1"
"Edgewood","9,534","14","1","0","4","9","248","98","133","17","1"
"Edmonds","40,332","71","0","8","22","41","942","255","630","57","11"
"Ellensburg","18,459","29","1","8","6","14","771","153","580","38","4"
"Elma","3,156","8","0","2","2","4","164","35","113","16","1"
"Enumclaw","10,836","15","1","5","2","7","279","55","204","20","2"
"Ephrata","7,784","16","0","1","6","9","310","74","227","9","3"
"Everett","104,635","450","5","49","143","253","7,503","1,163","5,415","925","27"
"Everson","2,520","4","0","1","0","3","43","6","37","0","0"
"Fife","9,317","62","0","5","13","44","495","104","328","63","0"
"Fircrest","6,599","17","0","2","1","14","133","32","94","7","0"
"Forks","3,587","14","0","1","2","11","80","16","61","3","0"
"Gig Harbor","7,238","18","0","1","7","10","489","93","358","38","1"
"Goldendale","3,460","7","0","0","0","7","95","22","63","10","1"
"Grand Coulee","1,004","8","0","0","0","8","71","30","38","3","0"
"Grandview","11,032","20","1","6","6","7","294","83","192","19","16"
"Granger","3,297","12","0","4","2","6","127","54","66","7","4"
"Granite Falls","3,417","19","0","3","1","15","130","30","89","11","2"
"Hoquiam","8,863","34","0","7","5","22","491","97","382","12","2"
"Ilwaco","951","1","0","0","0","1","21","6","14","1","0"
"Issaquah","30,911","26","0","4","9","13","735","120","579","36","4"
"Kelso","12,112","49","1","9","13","26","683","131","506","46","3"
"Kenmore","20,781","23","0","4","5","14","338","94","233","11","3"
"Kennewick","75,077","226","2","27","35","162","2,628","404","2,056","168","35"
"Kent","93,861","577","1","60","210","306","4,989","1,223","2,977","789","18"
"Kettle Falls","1,620","2","0","1","0","1","57","3","53","1","0"
"Kirkland","49,552","74","1","20","15","38","1,472","253","1,122","97","5"
"Kittitas","1,403","0","0","0","0","0","11","5","6","0","0"
"La Center","2,844","1","0","0","1","0","44","4","37","3","0"
"Lacey","43,058","95","0","8","19","68","1,381","267","1,056","58","1"
"Lake Forest Park","12,796","14","0","3","5","6","270","85","168","17","1"
"Lake Stevens","28,509","35","0","9","10","16","523","108","345","70","19"
"Lakewood","59,075","506","2","43","117","344","2,729","603","1,839","287","18"
"Langley","1,051","0","0","0","0","0","26","7","19","0","0"
"Liberty Lake","7,710","1","0","0","0","1","88","18","68","2","0"
"Long Beach","1,414","3","0","0","0","3","58","22","35","1","0"
"Longview","37,223","162","2","35","38","87","1,997","317","1,483","197","57"
"Lynden","12,138","22","1","2","1","18","189","36","148","5","1"
"Lynnwood","36,398","101","1","10","41","49","2,124","247","1,751","126","4"
"Mabton","2,322","3","0","0","0","3","62","13","43","6","1"
"Maple Valley","23,040","25","0","7","7","11","361","125","213","23","4"
"Marysville","60,962","94","0","17","20","57","1,844","376","1,227","241","10"
"McCleary","1,679","0","0","0","0","0","20","5","14","1","0"
"Medina","3,016","0","0","0","0","0","43","11","31","1","0"
"Mercer Island","23,055","11","0","0","3","8","407","59","334","14","8"
"Mill Creek","18,530","16","0","1","3","12","399","89","281","29","4"
"Milton","7,077","8","0","0","4","4","266","49","194","23","1"
"Monroe","17,575","33","1","6","5","21","514","79","379","56","2"
"Montesano","4,038","0","0","0","0","0","73","17","48","8","0"
"Morton","1,144","2","0","0","0","2","41","15","26","0","1"
"Moses Lake","20,686","69","1","9","17","42","1,466","277","1,116","73","2"
"Mountlake Terrace","20,221","33","1","7","11","14","602","137","410","55","9"
"Mount Vernon","32,241","100","2","24","34","40","1,804","351","1,377","76","9"
"Moxee","3,360","0","0","0","0","0","33","5","23","5","0"
"Mukilteo","20,572","17","0","2","5","10","504","123","350","31","3"
"Napavine","1,794","1","0","0","0","1","47","9","36","2","0"
"Newcastle","10,543","11","0","6","3","2","211","71","129","11","2"
"Normandy Park","6,434","3","0","0","1","2","211","49","150","12","0"
"North Bend","5,821","25","0","7","1","17","224","37","178","9","7"
"Oak Harbor","22,421","54","0","12","3","39","567","167","390","10","9"
"Oakville","695","1","0","0","1","0","21","9","9","3","0"
"Ocean Shores","5,656","6","0","2","1","3","152","48","99","5","0"
"Odessa","924","1","0","1","0","0","18","8","10","0","0"
"Olympia","47,207","126","0","17","31","78","1,976","342","1,535","99","6"
"Omak","4,921","19","0","1","3","15","166","32","118","16","0"
"Oroville","1,712","1","0","0","0","1","86","30","56","0","0"
"Orting","6,852","9","0","2","4","3","227","41","177","9","3"
"Othello","7,480","29","0","1","4","24","462","82","345","35","2"
"Pacific","6,710","13","0","3","2","8","162","45","92","25","0"
"Pasco","60,719","208","2","25","31","150","1,596","368","1,055","173","13"
"Port Angeles","19,337","102","2","17","14","69","963","196","722","45","2"
"Port Orchard","11,319","60","0","9","4","47","643","123","444","76","2"
"Port Townsend","9,256","24","0","2","4","18","268","55","203","10","2"
"Poulsbo","9,344","23","0","3","4","16","315","48","261","6","2"
"Prosser","5,804","19","0","5","3","11","161","48","98","15","2"
"Pullman","30,267","27","0","1","2","24","481","97","370","14","8"
"Puyallup","37,603","106","0","12","42","52","2,642","345","2,036","261","9"
"Quincy","6,856","39","2","3","2","32","363","100","239","24","1"
"Rainier","1,822","5","0","0","0","5","47","19","26","2","0"
"Raymond","2,927","4","0","1","0","3","91","24","66","1","0"
"Reardan","580","0","0","0","0","0","3","1","2","0","0"
"Redmond","54,993","47","0","18","10","19","1,391","160","1,176","55","4"
"Renton","92,354","292","1","33","115","143","4,223","917","2,748","558","8"
"Republic","1,090","3","0","0","0","3","12","3","9","0","0"
"Richland","48,812","89","1","13","8","67","1,398","260","1,075","63","14"
"Ridgefield","4,838","2","0","0","0","2","68","10","53","5","1"
"Ritzville","1,699","1","0","0","0","1","61","20","40","1","1"
"Roy","805","2","0","0","1","1","26","7","18","1","0"
"Royal City","2,174","5","0","1","0","4","30","6","24","0","0"
"Ruston","761","4","0","0","1","3","32","9","20","3","1"
"Sammamish","46,498","16","0","8","1","7","356","107","235","14","1"
"SeaTac","27,331","125","0","16","50","59","1,476","311","731","434","0"
"Seattle","618,209","3,664","20","100","1,418","2,126","31,792","6,807","21,585","3,400","84"
"Sedro Woolley","10,705","14","0","5","6","3","583","124","411","48","3"
"Selah","7,259","3","0","0","1","2","198","41","142","15","2"
"Sequim","6,710","12","0","3","3","6","311","40","263","8","3"
"Shelton","9,988","74","0","14","8","52","768","167","519","82","1"
"Shoreline","53,839","84","0","16","34","34","1,692","351","1,210","131","11"
"Snohomish","9,241","23","0","5","2","16","431","85","321","25","3"
"Snoqualmie","10,837","5","0","1","0","4","144","19","112","13","1"
"Soap Lake","1,538","2","0","0","0","2","27","12","14","1","0"
"South Bend","1,663","3","0","1","0","2","12","6","6","0","0"
"Spokane","212,194","1,304","4","84","484","732","15,039","3,030","10,231","1,778","72"
"Spokane Valley","91,163","175","0","22","58","95","5,001","917","3,613","471","17"
"Stanwood","6,329","12","0","2","4","6","188","46","140","2","0"
"Steilacoom","6,079","16","0","0","1","15","51","18","30","3","0"
"Sumas","1,328","1","0","0","0","1","27","5","22","0","0"
"Sumner","9,599","30","0","4","11","15","532","113","371","48","3"
"Sunnyside","16,107","45","0","4","5","36","676","153","430","93","1"
"Tacoma","201,510","1,507","11","125","446","925","12,062","2,709","7,228","2,125","80"
"Tenino","1,722","2","0","0","0","2","40","10","27","3","1"
"Tieton","1,210","1","0","0","0","1","14","9","4","1","0"
"Tonasket","1,048","3","0","0","0","3","48","14","30","4","1"
"Toppenish","9,089","29","1","5","13","10","540","127","358","55","5"
"Tukwila","19,407","190","0","16","95","79","2,884","315","2,140","429","6"
"Tumwater","17,644","44","1","6","7","30","552","119","403","30","3"
"Twisp","933","2","0","0","0","2","27","7","15","5","0"
"Union Gap","6,142","36","0","3","12","21","662","88","523","51","1"
"University Place","31,633","86","1","8","34","43","733","222","449","62","5"
"Vancouver","164,329","633","9","102","185","337","6,447","950","4,629","868","33"
"Walla Walla","32,229","130","3","22","20","85","1,383","244","1,104","35","11"
"Wapato","5,075","37","1","7","12","17","323","143","130","50","3"
"Warden","2,734","1","0","0","0","1","27","7","12","8","0"
"Washougal","14,316","36","2","8","3","23","276","39","225","12","10"
