"Criminal Justice Information Services Division","Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home"
"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Forciblerape","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson1"
"Apache Junction","36,986","130","1","13","21","95","1,025","236","719","70","1"
"Avondale","78,364","233","7","4","72","150","3,682","685","2,752","245","10"
"Benson","5,219","9","0","6","0","3","136","25","105","6","0"
"Bisbee","5,694","79","1","0","2","76","171","3","160","8","0"
"Buckeye","52,213","54","3","1","11","39","1,372","374","924","74","1"
"Bullhead City","40,277","86","5","0","26","55","1,626","330","1,195","101","2"
"Camp Verde","11,033","21","1","0","0","20","276","44","221","11","4"
"Casa Grande","50,132","211","3","4","46","158","2,857","767","1,934","156",""
"Chandler2","242,721","628","4","64","149","411","6,571","1,147","5,168","256","78"
"Chino Valley","10,981","77","2","3","1","71","219","45","162","12",""
"Clarkdale","4,158","6","0","0","0","6","83","23","55","5","0"
"Clifton","3,414","5","0","0","0","5","33","12","20","1","0"
"Coolidge","12,206","70","2","5","10","53","656","117","507","32","8"
"Cottonwood","11,434","51","0","0","7","44","411","37","357","17","14"
"Douglas","17,743","199","1","2","5","191","614","92","487","35","3"
"Eagar","5,008","4","1","0","0","3","136","37","95","4","0"
"El Mirage","32,685","86","3","7","18","58","946","292","582","72","3"
"Eloy","17,149","84","1","7","9","67","569","179","358","32","22"
"Flagstaff","66,633","262","0","28","45","189","2,834","242","2,533","59","23"
"Florence","25,795","29","0","0","1","28","224","47","169","8","0"
"Fredonia","1,328","4","0","0","0","4","12","4","7","1","0"
"Gilbert","214,264","205","5","19","59","122","3,386","726","2,496","164","25"
"Glendale","232,997","1,145","12","54","413","666","14,934","2,847","10,863","1,224","78"
"Goodyear","67,033","103","0","12","24","67","1,774","479","1,188","107","13"
"Holbrook","5,105","58","1","2","1","54","334","85","231","18","0"
"Jerome","451","7","0","0","0","7","24","8","13","3","0"
"Kingman","28,588","93","0","9","8","76","1,775","406","1,269","100","4"
"Lake Havasu City","53,513","58","2","10","7","39","1,356","256","1,012","88","4"
"Mammoth","1,473","7","0","0","0","7","37","15","21","1","0"
"Marana","35,617","35","0","0","13","22","1,157","126","936","95","2"
"Maricopa","44,881","58","1","9","12","36","844","155","634","55","1"
"Mesa","451,391","1,804","14","172","469","1,149","14,140","2,681","10,572","887","97"
"Miami","1,833","17","0","0","0","17","89","41","41","7","10"
"Nogales","21,177","45","1","0","10","34","497","75","375","47","0"
"Oro Valley","41,786","21","1","4","3","13","679","95","553","31","2"
"Page","7,331","71","2","2","7","60","494","59","399","36","1"
"Paradise Valley","13,177","9","2","3","0","4","256","129","119","8","1"
"Parker","3,107","29","0","0","2","27","195","51","129","15","1"
"Payson","15,337","48","1","0","7","40","421","134","270","17","1"
"Peoria","158,347","296","9","24","77","186","4,673","929","3,478","266","7"
"Phoenix","1,485,509","9,458","123","556","3,516","5,263","60,777","17,912","35,678","7,187","306"
"Pima","2,408","2","0","0","0","2","39","10","27","2","0"
"Pinetop-Lakeside","4,327","38","0","0","1","37","215","33","181","1","1"
"Prescott","40,420","168","2","14","19","133","1,104","197","883","24","9"
"Prescott Valley","39,407","89","4","1","8","76","750","95","622","33","3"
"Sahuarita","25,736","11","0","2","2","7","374","49","311","14","14"
"San Luis","28,168","29","0","6","1","22","582","158","352","72","4"
"Scottsdale","223,432","329","3","42","115","169","6,047","1,255","4,551","241","27"
"Sedona","10,173","20","0","4","4","12","219","50","161","8","0"
"Show Low","10,773","87","0","4","6","77","569","107","450","12","0"
"Sierra Vista","46,612","130","0","24","28","78","1,541","246","1,217","78","5"
"Snowflake-Taylor","9,803","27","0","0","0","27","117","33","82","2","2"
"Somerton","14,687","18","0","0","0","18","224","70","143","11","0"
"South Tucson","5,757","159","0","5","40","114","1,003","140","829","34","2"
"Springerville","2,008","10","0","0","0","10","67","23","42","2","0"
"Surprise","120,793","162","3","8","62","89","2,488","519","1,851","118","14"
"Tempe","166,061","878","11","44","253","570","7,824","1,250","6,085","489","25"
"Thatcher","4,908","3","0","0","0","3","134","29","104","1","0"
"Tolleson","6,728","54","1","2","13","38","638","226","372","40","1"
"Tucson3","531,535","3,851","43","234","1,260","2,314","","5,021","","2,499","198"
"Wickenburg","6,538","15","0","3","3","9","185","65","104","16","4"
"Willcox","3,837","8","0","0","1","7","244","48","188","8","6"
"Winslow","9,757","101","2","2","3","94","630","76","539","15","1"
"Yuma","95,568","508","5","27","61","415","3,353","955","2,162","236","35"
