"Criminal Justice Information Services Division","Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home"
"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Forciblerape","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson"
"Ansonia","19,271","29","0","4","15","10","455","80","317","58","1"
"Avon","18,162","5","0","2","2","1","169","25","143","1","0"
"Berlin","19,935","21","0","0","5","16","309","55","243","11","2"
"Bethel","18,822","6","0","3","2","1","321","48","263","10","2"
"Bloomfield","20,557","31","0","5","8","18","505","69","404","32","0"
"Branford","28,055","21","0","0","10","11","675","56","595","24","1"
"Bridgeport","146,030","1,760","22","388","606","744","5,153","1,377","2,908","868","25"
"Bristol","60,688","93","3","9","51","30","1,590","355","1,123","112","7"
"Brookfield","16,662","2","0","0","0","2","191","36","149","6","0"
"Canton","10,328","1","0","1","0","0","88","7","78","3","0"
"Cheshire","29,295","4","0","0","4","0","265","48","210","7","0"
"Clinton","13,326","27","0","16","3","8","302","53","241","8","1"
"Coventry","12,451","2","0","2","0","0","170","67","101","2","0"
"Cromwell","14,075","11","0","1","6","4","290","44","233","13","0"
"Danbury","81,891","109","1","23","45","40","1,562","287","1,201","74","6"
"Darien","20,998","2","0","0","1","1","99","13","85","1","0"
"Derby","12,917","28","1","8","10","9","397","92","271","34","2"
"East Hampton","13,024","5","1","1","1","2","148","34","109","5","0"
"East Hartford","51,431","192","2","26","83","81","1,573","362","1,029","182","11"
"East Haven","29,288","32","1","6","15","10","875","166","642","67","4"
"Easton","7,584","0","0","0","0","0","40","17","22","1","0"
"East Windsor","11,200","18","0","7","6","5","338","61","268","9","4"
"Enfield","44,806","30","0","0","12","18","820","198","591","31","5"
"Fairfield","60,122","33","0","2","13","18","1,301","231","1,000","70","1"
"Farmington","25,429","24","0","2","17","5","629","50","549","30","1"
"Glastonbury","34,547","22","0","3","9","10","326","55","258","13","1"
"Granby","11,321","2","0","0","1","1","96","5","91","0","0"
"Greenwich","61,948","23","0","2","6","15","368","45","301","22","4"
"Groton","10,397","17","0","4","3","10","157","8","139","10","3"
"Groton Long Point","518","0","0","0","0","0","14","3","9","2","0"
"Groton Town","29,231","48","0","8","8","32","610","72","515","23","6"
"Guilford","22,400","24","0","3","7","14","293","51","235","7","0"
"Hamden","61,032","322","2","3","39","278","1,382","196","1,089","97","2"
"Hartford","125,203","1,655","23","27","640","965","5,319","1,050","3,467","802","88"
"Madison","18,288","2","0","0","1","1","116","25","89","2","1"
"Manchester","58,444","111","1","12","46","52","1,797","288","1,417","92","7"
"Meriden","60,934","222","5","25","76","116","1,812","421","1,223","168","9"
"Middlebury","7,583","4","0","2","1","1","70","20","45","5","0"
"Middletown","47,878","72","1","1","25","45","900","156","661","83","3"
"Milford","52,817","46","0","2","33","11","1,586","150","1,371","65","4"
"Monroe","19,728","3","0","1","1","1","159","41","115","3","0"
"Naugatuck","31,896","30","0","7","11","12","632","92","498","42","2"
"New Britain","73,458","317","3","5","179","130","2,917","775","1,749","393","0"
"New Canaan","19,992","6","1","0","2","3","130","14","114","2","0"
"New Haven","129,934","1,870","17","55","844","954","6,516","1,451","4,351","714","15"
"Newington","30,668","28","1","8","14","5","784","99","636","49","4"
"New London","27,643","366","3","10","45","308","764","183","515","66","10"
"New Milford","28,047","21","0","9","1","11","363","4","335","24","1"
"Newtown","27,904","7","0","5","0","2","185","32","151","2","1"
"North Branford","14,422","5","1","1","1","2","201","34","160","7","0"
"North Haven","24,119","12","0","0","11","1","578","63","478","37","0"
"Norwalk","86,693","272","3","9","68","192","1,713","250","1,352","111","4"
"Norwich","40,517","99","1","18","35","45","963","274","639","50","15"
"Old Saybrook","10,293","9","0","0","0","9","162","7","152","3","0"
"Orange","13,971","7","0","2","5","0","376","33","332","11","4"
"Plainfield","15,410","14","0","3","5","6","121","36","72","13","1"
"Plainville","17,778","44","0","0","4","40","665","145","482","38","0"
"Plymouth","12,202","8","0","4","0","4","210","38","157","15","2"
"Portland","9,556","10","0","0","2","8","76","21","52","3","0"
"Putnam","9,588","29","0","6","3","20","200","51","142","7","3"
"Redding","9,275","0","0","0","0","0","59","8","47","4","0"
"Ridgefield","24,952","1","0","0","1","0","88","10","77","1","1"
"Rocky Hill","19,776","3","0","2","1","0","276","33","234","9","0"
"Seymour","16,558","10","0","2","2","6","161","45","106","10","1"
"Shelton","40,062","22","0","7","12","3","432","134","265","33","0"
"Simsbury","23,591","7","1","0","2","4","176","25","147","4","0"
"Southington","43,219","28","1","5","11","11","751","130","585","36","7"
"South Windsor","25,798","9","0","3","2","4","372","48","307","17","0"
"Stamford","124,201","351","5","25","145","176","1,932","290","1,472","170","10"
"Stonington","18,556","11","0","3","1","7","330","66","257","7","1"
"Stratford","52,041","104","0","15","28","61","1,413","245","1,070","98","9"
"Suffield","15,789","4","0","1","0","3","131","25","105","1","0"
"Thomaston","7,859","4","0","0","0","4","138","58","72","8","0"
"Torrington","36,264","51","0","18","11","22","842","111","711","20","4"
"Trumbull","36,474","14","0","0","11","3","531","52","449","30","0"
"Vernon","29,217","46","0","5","7","34","311","65","237","9","2"
"Wallingford","45,183","15","0","2","10","3","914","161","728","25","2"
"Waterbury","110,486","328","5","7","185","131","4,713","662","3,538","513","8"
"Waterford","19,529","45","1","0","6","38","515","55","451","9","0"
"Watertown","22,437","25","2","4","3","16","520","86","412","22","0"
"West Hartford","63,487","46","0","2","35","9","1,695","243","1,348","104","2"
"West Haven","55,626","319","1","1","58","259","1,447","197","1,076","174","1"
"Weston","10,309","3","0","0","0","3","41","11","30","0","0"
"Westport","26,728","11","0","0","2","9","318","40","271","7","0"
"Wethersfield","26,762","23","0","1","11","11","410","62","328","20","1"
"Willimantic","17,818","27","0","1","13","13","433","104","276","53","4"
"Wilton","18,291","2","1","0","0","1","93","17","75","1","0"
"Winchester","11,205","15","0","2","4","9","253","81","161","11","1"
"Windsor","29,145","15","0","4","7","4","429","55","361","13","0"
"Windsor Locks","12,541","10","0","2","4","4","225","49","166","10","0"
"Wolcott","16,697","6","0","1","5","0","318","78","226","14","0"
"Woodbridge","9,000","8","0","1","2","5","107","23","77","7","0"
