"Criminal Justice Information Services Division","Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home"
"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Forciblerape","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson"
"Bethany Beach","1,089","1","0","0","0","1","121","17","103","1","0"
"Blades","1,275","7","0","1","3","3","31","7","22","2","0"
"Bridgeville","2,104","17","0","2","2","13","70","14","52","4","1"
"Camden","3,558","17","0","1","5","11","295","18","275","2","0"
"Cheswold","1,416","2","0","0","0","2","17","3","14","0","0"
"Clayton","2,999","13","0","1","0","12","41","8","33","0","0"
"Dagsboro","822","0","0","0","0","0","24","5","17","2","0"
"Delaware City","1,725","3","0","0","2","1","38","11","27","0","0"
"Delmar","1,648","10","0","2","3","5","64","26","37","1","0"
"Dewey Beach","351","7","0","0","1","6","76","9","63","4","0"
"Dover","36,961","280","1","13","61","205","2,189","116","2,008","65","10"
"Ellendale","390","0","0","0","0","0","4","4","0","0","0"
"Elsmere","6,240","64","0","0","17","47","169","40","117","12","0"
"Felton","1,334","8","0","0","0","8","28","4","24","0","0"
"Fenwick Island","388","0","0","0","0","0","35","7","28","0","0"
"Frankford","871","2","0","1","0","1","8","3","5","0","0"
"Georgetown","6,596","60","0","4","23","33","308","67","230","11","1"
"Greenwood","1,001","4","0","1","1","2","23","9","13","1","0"
"Harrington","3,659","28","0","2","2","24","191","57","129","5","0"
"Laurel","3,810","44","0","3","10","31","238","72","159","7","1"
"Lewes","2,820","9","0","1","1","7","64","11","51","2","1"
"Middletown","19,203","59","0","3","22","34","468","60","387","21","1"
"Milford","9,816","124","1","6","34","83","771","150","613","8","3"
"Millsboro","3,985","23","0","0","6","17","145","28","112","5","0"
"Milton","2,650","10","0","0","0","10","89","32","56","1","0"
"Newark","31,965","130","0","8","43","79","1,017","177","806","34","6"
"New Castle","5,378","17","0","0","6","11","295","39","249","7","0"
"Newport","1,074","8","0","0","3","5","59","15","38","6","0"
"Ocean View","1,933","1","0","0","0","1","42","22","20","0","0"
"Rehoboth Beach","1,364","10","0","1","1","8","160","39","121","0","0"
"Seaford","7,113","80","1","3","20","56","576","70","502","4","0"
"Selbyville","2,216","7","0","2","1","4","131","28","100","3","0"
"Smyrna","10,292","39","0","1","17","21","325","63","254","8","0"
"South Bethany","461","0","0","0","0","0","12","1","11","0","0"
"Wilmington","72,088","1,228","26","34","474","694","3,824","1,212","2,247","365","1"
"Wyoming","1,349","1","0","0","0","1","27","12","14","1","0"
