"Criminal Justice Information Services Division","Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home"
"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Forciblerape","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson"
"Alexandria","8,557","3","0","2","0","1","197","26","161","10","0"
"Anchorage","2,372","1","0","0","0","1","35","5","30","0","0"
"Ashland","21,707","56","0","4","30","22","1,298","274","992","32","4"
"Auburn","1,340","1","0","0","0","1","12","3","8","1","2"
"Audubon Park","1,490","1","0","0","0","1","69","20","46","3","0"
"Augusta","1,197","1","0","1","0","0","28","7","21","0","1"
"Barbourville","3,178","3","0","0","1","2","45","11","31","3","0"
"Bardstown","11,869","22","0","6","8","8","469","125","319","25","1"
"Bardwell","717","0","0","0","0","0","2","1","1","0","0"
"Beattyville","1,299","2","0","1","0","1","9","3","6","0","0"
"Beaver Dam","3,454","1","0","0","0","1","52","8","44","0","0"
"Bellevue","6,011","12","0","1","5","6","234","62","161","11","2"
"Benham","498","0","0","0","0","0","0","0","0","0","0"
"Benton","4,341","5","0","1","1","3","105","22","80","3","0"
"Berea","13,798","16","0","1","4","11","444","149","267","28","1"
"Bloomfield","852","0","0","0","0","0","2","2","0","0","0"
"Bowling Green","59,043","189","4","36","75","74","3,025","547","2,322","156","5"
"Brandenburg","2,733","4","0","0","1","3","26","3","21","2","0"
"Brownsville","833","2","0","0","0","2","5","4","1","0","0"
"Burkesville","1,520","0","0","0","0","0","6","3","2","1","0"
"Burnside","620","3","1","1","0","1","31","5","23","3","0"
"Cadiz","2,557","9","0","1","2","6","103","21","78","4","0"
"Calvert City","2,561","4","0","3","0","1","31","7","22","2","0"
"Campbellsville","9,209","26","3","0","15","8","314","84","224","6","2"
"Carlisle","1,999","2","0","0","1","1","21","8","11","2","0"
"Carrollton","4,021","7","1","2","0","4","81","31","46","4","2"
"Catlettsburg","1,859","3","0","1","0","2","45","14","30","1","0"
"Cave City","2,252","5","0","1","0","4","48","19","24","5","0"
"Centertown","429","0","0","0","0","0","1","0","1","0","0"
"Central City","5,955","3","0","0","0","3","86","5","76","5","0"
"Clarkson","883","0","0","0","0","0","1","0","1","0","0"
"Clay City","1,082","0","0","0","0","0","11","6","5","0","0"
"Clinton","1,361","0","0","0","0","0","5","1","4","0","0"
"Cloverport","1,168","0","0","0","0","0","0","0","0","0","0"
"Coal Run Village","1,707","1","0","0","1","0","53","9","42","2","1"
"Cold Spring","5,968","2","0","0","2","0","208","13","192","3","0"
"Columbia","4,468","4","0","1","3","0","47","20","24","3","0"
"Corbin","7,351","16","1","3","7","5","301","87","206","8","4"
"Cumberland","2,226","4","0","2","0","2","29","16","11","2","0"
"Cynthiana","6,396","16","0","2","6","8","372","60","297","15","1"
"Danville","16,314","48","2","6","21","19","594","139","442","13","3"
"Dawson Springs","2,769","2","0","0","0","2","31","11","17","3","1"
"Dayton","5,388","17","0","4","6","7","297","108","176","13","2"
"Dry Ridge","2,210","0","0","0","0","0","12","0","11","1","0"
"Earlington","1,416","0","0","0","0","0","1","0","0","1","0"
"Eddyville","2,559","0","0","0","0","0","51","5","45","1","0"
"Edgewood","8,633","3","0","1","0","2","129","10","109","10","0"
"Edmonton","1,595","0","0","0","0","0","6","2","4","0","0"
"Elizabethtown","29,118","37","1","9","9","18","1,083","133","911","39","11"
"Elkton","2,067","3","0","1","0","2","38","18","16","4","0"
"Elsmere","8,509","25","0","4","8","13","211","60","141","10","0"
"Eminence","2,508","1","0","0","0","1","43","10","33","0","0"
"Erlanger","22,034","26","1","6","11","8","600","88","481","31","1"
"Evarts","959","1","0","0","0","1","16","9","7","0","1"
"Falmouth","2,152","4","0","0","3","1","57","23","33","1","0"
"Ferguson","934","0","0","0","0","0","2","0","2","0","0"
"Flatwoods","7,431","2","0","0","1","1","53","31","18","4","1"
"Flemingsburg","2,693","1","0","0","0","1","55","11","42","2","1"
"Florence","30,765","89","0","15","48","26","1,629","191","1,369","69","8"
"Fort Mitchell","8,264","3","0","0","2","1","180","38","137","5","0"
"Fort Thomas","16,478","2","0","1","1","0","196","43","145","8","1"
"Fort Wright","5,764","9","0","0","8","1","332","29","295","8","1"
"Frankfort1","25,648","132","1","13","63","55","1,267","334","875","58","6"
"Franklin","8,453","22","1","5","10","6","333","86","236","11","1"
"Fulton","2,428","7","0","2","4","1","106","22","82","2","1"
"Gamaliel","377","0","0","0","0","0","0","0","0","0","0"
"Georgetown1","29,765","171","0","21","29","121","1,089","213","829","47","0"
"Glasgow","14,095","26","0","10","5","11","313","68","234","11","3"
"Graymoor-Devondale","2,897","2","0","0","1","1","35","12","22","1","0"
"Grayson","4,210","6","0","0","2","4","65","24","36","5","0"
"Greensburg","2,162","2","0","1","0","1","53","9","41","3","0"
"Greenup","1,190","0","0","0","0","0","2","0","1","1","0"
"Greenville","4,294","0","0","0","0","0","16","5","10","1","0"
"Guthrie","1,423","2","0","0","1","1","13","3","9","1","0"
"Hardinsburg","2,369","2","0","2","0","0","7","3","3","1","1"
"Harlan","1,735","7","0","0","2","5","77","11","64","2","0"
"Harrodsburg","8,342","12","0","1","5","6","179","70","94","15","1"
"Hartford","2,707","4","0","2","0","2","10","4","4","2","1"
"Hawesville","947","0","0","0","0","0","0","0","0","0","0"
"Hazard","4,474","19","0","2","7","10","314","59","251","4","2"
"Henderson","28,926","73","0","16","34","23","841","142","651","48","1"
"Heritage Creek","1,087","0","0","0","0","0","5","2","2","1","0"
"Highland Heights1","6,978","1","1","0","0","0","75","18","52","5","1"
"Hillview","8,279","7","0","1","3","3","215","63","145","7","0"
"Hodgenville","3,239","2","0","0","1","1","13","5","4","4","0"
"Hopkinsville","31,499","134","2","14","56","62","1,383","391","936","56","7"
"Horse Cave","2,321","1","0","0","0","1","6","4","2","0","0"
"Hurstbourne Acres","1,831","0","0","0","0","0","5","3","2","0","0"
"Independence","24,927","19","0","5","6","8","302","79","204","19","2"
"Indian Hills","2,898","2","0","0","2","0","36","16","20","0","0"
"Inez","708","0","0","0","0","0","2","0","2","0","0"
"Irvine","2,720","0","0","0","0","0","18","6","9","3","0"
"Irvington","1,195","0","0","0","0","0","3","3","0","0","0"
"Jackson","2,231","2","0","0","1","1","55","21","32","2","0"
"Jamestown","1,804","0","0","0","0","0","13","1","11","1","0"
"Jeffersontown","26,874","39","0","4","27","8","592","169","386","37","0"
"Jenkins","2,203","0","0","0","0","0","1","0","1","0","0"
"La Center","1,012","0","0","0","0","0","4","0","4","0","0"
"La Grange","8,149","5","0","1","3","1","137","27","103","7","2"
"Lakeside Park-Crestview Hills","5,856","1","0","1","0","0","143","15","121","7","0"
"Lancaster","3,445","5","0","0","1","4","97","43","53","1","2"
"Lawrenceburg","10,642","4","0","0","1","3","96","26","64","6","0"
"Lebanon","5,601","12","0","4","0","8","171","55","108","8","0"
"Lebanon Junction","1,837","0","0","0","0","0","34","11","18","5","1"
"Leitchfield","6,766","8","0","3","0","5","165","34","124","7","2"
"Lewisburg","811","0","0","0","0","0","2","1","1","0","0"
"Lewisport","1,677","1","0","0","0","1","6","0","6","0","0"
"Lexington1","302,332","1,066","12","102","606","346","13,399","2,854","9,641","904","60"
"Liberty","2,168","1","0","0","1","0","5","2","3","0","0"
"London","8,078","13","1","0","8","4","393","54","320","19","0"
"Louisa","2,500","1","0","0","0","1","46","14","32","0","0"
"Louisville Metro","666,200","3,989","62","183","1,394","2,350","28,606","7,008","19,411","2,187","223"
"Loyall","1,454","0","0","0","0","0","12","2","10","0","0"
"Ludlow","4,438","5","0","3","1","1","224","84","125","15","1"
"Lynnview","923","0","0","0","0","0","5","4","1","0","0"
"Madisonville","19,637","35","0","13","9","13","602","110","468","24","2"
"Manchester","1,261","4","0","0","1","3","49","7","38","4","0"
"Marion","3,053","2","0","0","1","1","75","17","57","1","0"
"Martin","631","2","0","0","2","0","19","5","11","3","0"
"Mayfield","10,155","17","0","1","3","13","163","56","98","9","1"
"Maysville","9,117","16","0","3","5","8","411","72","327","12","2"
"Meadow Vale","745","0","0","0","0","0","6","1","5","0","0"
"Middlesboro","10,358","23","0","0","17","6","785","86","673","26","1"
"Monticello","6,240","9","1","0","4","4","181","60","115","6","0"
"Morehead","6,914","4","0","2","1","1","134","19","108","7","0"
"Morganfield","3,308","0","0","0","0","0","44","9","35","0","1"
"Morgantown","2,425","2","0","0","1","1","41","10","27","4","0"
"Mortons Gap","865","0","0","0","0","0","4","1","3","0","0"
"Mount Sterling","6,977","21","0","2","11","8","440","71","353","16","2"
"Mount Vernon","2,486","2","0","0","1","1","52","27","23","2","1"
"Mount Washington","9,237","6","0","2","2","2","189","76","108","5","0"
"Muldraugh","981","2","0","0","1","1","17","9","7","1","0"
"Munfordville","1,621","0","0","0","0","0","12","3","9","0","0"
"Murray","17,938","30","2","3","6","19","623","161","441","21","3"
"Newport","15,412","85","1","13","50","21","1,265","273","931","61","12"
"Nicholasville","28,366","63","0","15","28","20","1,322","357","932","33","3"
"Northfield","1,030","0","0","0","0","0","7","0","7","0","0"
"Oak Grove","7,469","20","1","4","7","8","285","78","186","21","3"
"Olive Hill","1,596","0","0","0","0","0","50","15","34","1","0"
"Owensboro","57,751","125","0","28","45","52","2,518","469","1,928","121","12"
"Owenton","1,332","0","0","0","0","0","27","10","15","2","0"
"Owingsville","1,554","1","0","0","0","1","20","4","16","0","0"
"Paducah","25,199","78","2","14","40","22","1,280","143","1,091","46","6"
"Paintsville","3,473","3","0","0","2","1","89","12","71","6","0"
"Paris","8,580","19","1","3","5","10","341","95","224","22","2"
"Park Hills","2,991","2","0","0","1","1","89","38","46","5","1"
"Pewee Valley","1,467","0","0","0","0","0","4","1","2","1","0"
"Pikeville","6,909","9","1","1","2","5","439","46","385","8","1"
"Pineville","1,884","1","0","0","0","1","63","11","52","0","2"
"Pioneer Village","2,057","0","0","0","0","0","7","2","5","0","0"
"Powderly","741","0","0","0","0","0","14","1","12","1","0"
"Prestonsburg","3,246","4","0","0","1","3","72","13","57","2","0"
"Princeton","6,339","16","0","4","3","9","145","49","87","9","1"
"Prospect","4,747","1","0","0","1","0","11","3","7","1","0"
"Providence","3,213","2","0","0","0","2","28","13","15","0","0"
"Raceland","2,426","3","0","0","0","3","35","7","27","1","0"
"Radcliff","22,148","51","0","13","27","11","621","153","457","11","2"
"Ravenna","608","0","0","0","0","0","14","6","8","0","0"
"Richmond","31,890","87","0","8","50","29","1,721","377","1,290","54","6"
"Russell","3,385","2","0","1","1","0","68","10","58","0","1"
"Russell Springs","2,453","4","0","0","2","2","64","12","49","3","0"
"Russellville","6,968","18","0","4","2","12","269","65","199","5","1"
"Sadieville","309","0","0","0","0","0","1","0","1","0","0"
"Salyersville","1,870","0","0","0","0","0","4","3","1","0","0"
"Science Hill","702","0","0","0","0","0","7","3","4","0","0"
"Scottsville","4,275","1","0","0","1","0","25","15","10","0","0"
"Shelbyville","14,425","37","1","3","16","17","353","135","204","14","1"
"Shepherdsville","11,372","24","0","3","11","10","349","104","223","22","2"
"Shively","15,422","84","6","7","55","16","658","221","382","55","0"
"Silver Grove","1,112","1","0","0","1","0","42","13","28","1","0"
