"Criminal Justice Information Services Division","Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home"
"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Forciblerape","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson1"
"Abbeville","12,389","118","6","3","19","90","541","191","332","18",""
"Addis","3,666","4","1","0","0","3","6","0","6","0","0"
"Alexandria","48,449","815","9","14","142","650","3,630","974","2,472","184",""
"Baker","14,017","11","0","1","6","4","374","81","288","5",""
"Bastrop","11,280","170","0","3","33","134","1,105","304","751","50","6"
"Baton Rouge","231,500","2,507","66","64","1,033","1,344","12,059","3,826","7,751","482","187"
"Berwick","4,934","3","0","0","0","3","65","14","47","4","0"
"Blanchard","2,939","0","0","0","0","0","30","7","20","3","0"
"Bogalusa","12,296","122","4","10","32","76","709","250","425","34","2"
"Bossier City","63,116","236","2","19","52","163","2,435","417","1,949","69",""
"Breaux Bridge","8,301","17","1","0","1","15","225","32","190","3",""
"Broussard","8,351","24","1","1","3","19","301","115","171","15",""
"Brusly","2,640","0","0","0","0","0","3","1","2","0","0"
"Bunkie","4,177","77","0","1","8","68","214","97","110","7","0"
"Carencro","7,668","57","1","1","10","45","301","93","199","9","0"
"Clarence","501","0","0","0","0","0","0","0","0","0","0"
"Clinton","1,651","3","1","0","0","2","8","3","5","0","0"
"Coushatta","1,934","14","0","0","1","13","50","9","41","0","0"
"Covington","8,933","44","0","2","5","37","469","100","359","10","0"
"Denham Springs","10,451","76","0","3","26","47","913","125","770","18","0"
"De Quincy","3,277","0","0","0","0","0","31","6","21","4",""
"De Ridder","10,774","69","0","3","2","64","200","45","155","0","0"
"Epps","857","0","0","0","0","0","0","0","0","0","0"
"Erath","2,136","16","0","0","5","11","17","2","15","0","0"
"Eunice","10,481","116","1","7","7","101","594","201","379","14","0"
"Farmerville","3,884","22","0","0","2","20","235","65","164","6","0"
"Ferriday","3,540","29","0","2","2","25","123","62","59","2","0"
"Florien","645","0","0","0","0","0","0","0","0","0","0"
"Folsom","729","0","0","0","0","0","21","4","15","2","0"
"Franklin","7,645","73","0","1","9","63","413","108","304","1",""
"Franklinton","3,877","19","0","2","1","16","156","39","114","3","0"
"French Settlement","1,142","4","0","0","0","4","15","6","9","0","0"
"Georgetown","325","0","0","0","0","0","0","0","0","0","0"
"Glenmora","1,358","3","0","0","0","3","16","7","9","0",""
"Golden Meadow","2,121","2","0","1","0","1","2","1","1","0","0"
"Gonzales2","10,095","","0","2","11","","727","72","650","5",""
"Grambling","4,987","18","0","0","1","17","86","83","2","1",""
"Gramercy","3,581","16","0","2","1","13","79","10","66","3","0"
"Greenwood","3,264","19","0","0","1","18","61","17","39","5","0"
"Gretna","17,844","76","0","3","21","52","585","99","433","53","3"
"Hammond","20,355","332","4","15","103","210","2,440","993","1,446","1","0"
"Harahan","9,334","14","1","1","3","9","119","27","86","6","2"
"Haughton","3,557","3","0","0","0","3","3","1","2","0","0"
"Houma","33,945","210","2","7","59","142","1,768","281","1,423","64","5"
"Independence","1,695","20","0","1","4","15","100","29","62","9","0"
"Iowa","3,035","65","1","0","5","59","61","7","47","7","2"
"Jeanerette","5,575","9","0","0","0","9","120","21","92","7","0"
"Jena","3,439","7","0","0","0","7","0","0","0","0","0"
"Jennings2","10,477","","0","1","9","","305","55","250","0",""
"Jonesville","2,258","21","0","0","2","19","62","16","45","1","0"
"Kaplan","4,649","7","0","3","1","3","93","17","76","0",""
"Kenner","67,110","139","2","12","61","64","2,509","387","1,973","149","6"
"Kentwood","2,238","7","0","1","3","3","154","36","115","3","0"
"Kinder","2,491","6","0","0","0","6","85","0","79","6",""
"Lafayette","122,852","779","11","11","202","555","6,815","1,330","5,244","241","32"
"Lake Arthur","2,762","4","0","1","1","2","24","8","16","0",""
"Lake Providence","3,937","31","0","0","3","28","57","25","32","0","0"
"Leesville","6,623","30","0","3","1","26","285","8","274","3","0"
"Livonia","1,443","3","0","0","0","3","6","2","4","0","0"
"Lutcher","3,529","14","0","0","1","13","36","7","29","0","0"
"Mamou","3,253","4","0","1","3","0","102","20","82","0",""
"Mandeville","11,777","26","0","5","2","19","342","52","282","8","1"
"Mansfield","5,059","80","1","4","10","65","313","79","228","6","0"
"Many","2,901","28","0","1","3","24","189","30","158","1","0"
"Marion","770","7","0","1","0","6","29","8","21","0","0"
"Marksville","5,715","89","1","2","5","81","447","105","327","15",""
"Monroe","49,474","490","5","18","137","330","3,775","1,172","2,525","78","0"
"Moreauville","930","3","0","0","0","3","8","0","8","0","0"
"Morgan City","12,376","46","0","7","11","28","387","66","311","10",""
"Napoleonville","657","0","0","0","0","0","0","0","0","0","0"
"Natchitoches","18,378","157","1","6","19","131","1,108","384","713","11","4"
"New Orleans","362,874","2,958","193","136","1,065","1,564","13,689","3,423","8,051","2,215",""
"Norwood","321","0","0","0","0","0","0","0","0","0","0"
"Oil City","1,023","0","0","0","0","0","8","4","3","1","0"
"Opelousas","16,767","280","6","15","50","209","1,234","334","864","36","3"
"Patterson","6,099","19","1","0","1","17","24","1","23","0","0"
"Pearl River","2,553","11","0","1","0","10","80","18","54","8","0"
"Pineville","14,721","126","0","6","13","107","810","161","631","18",""
"Plaquemine2","7,122","","0","2","5","","464","51","409","4",""
"Pollock","469","2","0","1","0","1","9","3","6","0","0"
"Ponchatoula","6,680","72","0","2","17","53","510","189","312","9","0"
"Port Allen2","5,281","","0","0","1","","","6","","1",""
"Port Vincent","757","6","0","0","0","6","17","4","11","2","0"
"Ruston","22,046","106","2","5","26","73","869","200","654","15","0"
"Scott","8,776","21","0","1","2","18","222","30","177","15","0"
"Shreveport","202,164","1,550","17","92","433","1,008","9,862","2,425","6,973","464","79"
"Slidell","27,581","106","2","13","17","74","1,633","178","1,414","41","0"
"Springhill","5,310","13","1","0","1","11","97","5","90","2",""
"St. Francisville","1,746","12","0","1","0","11","57","14","43","0","1"
"St. Gabriel","6,700","26","0","1","3","22","99","45","51","3","0"
"St. Martinville","6,236","43","0","0","1","42","119","32","84","3","0"
"Stonewall","1,836","3","0","0","0","3","14","3","10","1","0"
"Sulphur","20,671","159","0","7","19","133","983","271","693","19","2"
"Thibodaux","14,701","65","1","1","13","50","581","74","498","9","1"
"Tickfaw","707","5","0","0","0","5","30","4","25","1","0"
"Vidalia","4,336","30","0","0","1","29","105","18","87","0","0"
"Vinton","3,254","0","0","0","0","0","75","25","50","0",""
"Walker","6,279","44","0","0","9","35","389","54","322","13","0"
"West Monroe","13,250","47","0","3","9","35","1,040","155","868","17","3"
"Westwego","8,586","34","1","5","4","24","170","43","121","6","0"
"Wilson","593","0","0","0","0","0","0","0","0","0","0"
"Winnfield","4,787","45","1","0","8","36","205","71","129","5","1"
"Zachary","15,092","37","0","4","0","33","403","26","368","9","0"
"Zwolle","1,791","18","0","1","3","14","85","43","42","0","0"
