"Criminal Justice Information Services Division","Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home"
"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Forciblerape","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson1"
"Aberdeen","15,208","75","0","7","34","34","464","92","338","34","4"
"Annapolis","39,255","177","2","4","54","117","1,042","185","775","82","8"
"Baltimore","625,474","8,789","218","315","3,605","4,651","29,149","7,770","17,397","3,982","242"
"Baltimore City Sheriff","","0","0","0","0","0","0","0","0","0","0"
"Bel Air","10,285","40","1","1","4","34","366","27","331","8","2"
"Berlin","4,534","8","0","1","2","5","119","28","90","1","0"
"Berwyn Heights","3,181","10","1","0","5","4","49","13","34","2","0"
"Bladensburg","9,322","93","2","3","47","41","469","106","266","97","0"
"Boonsboro","3,386","0","0","0","0","0","15","3","12","0","1"
"Bowie","55,765","79","1","0","38","40","906","175","678","53","5"
"Brentwood","3,104","4","0","0","1","3","30","11","16","3","0"
"Brunswick","6,014","5","0","0","1","4","104","16","87","1","2"
"Cambridge","12,454","128","1","9","33","85","706","126","554","26","7"
"Capitol Heights","4,419","10","0","0","1","9","58","14","35","9","0"
"Centreville","4,376","2","0","0","1","1","42","11","29","2","1"
"Chestertown","5,305","35","0","1","14","20","140","26","109","5","0"
"Cheverly","6,291","23","0","0","10","13","120","17","83","20","0"
"Chevy Chase Village","2,008","0","0","0","0","0","53","4","47","2","1"
"Colmar Manor","1,431","7","0","0","3","4","30","4","18","8","0"
"Cottage City","1,329","8","0","1","5","2","45","10","23","12","0"
"Crisfield","2,736","13","2","0","4","7","38","7","31","0","0"
"Cumberland","20,939","166","0","15","27","124","1,415","317","1,068","30","8"
"Delmar","3,047","11","1","1","2","7","68","20","43","5","1"
"Denton","4,450","16","0","3","6","7","177","47","123","7","1"
"District Heights","5,948","15","3","0","4","8","141","33","83","25","0"
"Easton","16,202","56","0","7","13","36","449","95","348","6","0"
"Edmonston","1,471","3","0","0","2","1","66","15","45","6","1"
"Elkton","15,681","195","2","11","48","134","1,265","234","1,000","31","12"
"Fairmount Heights","1,523","1","0","0","1","0","11","3","8","0","0"
"Federalsburg","2,758","44","1","4","1","38","88","30","57","1","0"
"Forest Heights","2,495","4","0","0","3","1","38","25","12","1","0"
"Frederick","66,808","381","1","26","106","248","1,899","245","1,527","127",""
"Frostburg","9,049","14","0","1","5","8","244","67","173","4","0"
"Fruitland","4,937","19","0","2","1","16","251","35","214","2","0"
"Glenarden","6,113","5","1","0","0","4","98","20","71","7","0"
"Greenbelt","23,506","115","1","6","69","39","1,035","247","651","137","0"
"Greensboro","1,945","4","0","1","1","2","61","22","37","2","0"
"Hagerstown","40,275","197","3","11","75","108","1,456","310","1,020","126","24"
"Hampstead","6,393","4","0","1","1","2","73","12","60","1","2"
"Hancock","1,568","3","0","1","1","1","22","7","14","1","1"
"Havre de Grace","13,166","31","0","3","8","20","367","73","281","13",""
"Hurlock","2,113","10","0","1","3","6","97","53","42","2","0"
"Hyattsville","17,889","100","0","5","74","21","1,179","138","973","68","0"
"Landover Hills","1,720","6","0","1","3","2","69","9","53","7","0"
"La Plata","8,982","37","0","0","9","28","254","33","216","5","1"
"Laurel","25,591","134","0","1","48","85","811","125","594","92","0"
"Lonaconing","1,220","1","0","0","0","1","0","0","0","0","0"
"Luke","65","0","0","0","0","0","0","0","0","0","0"
"Manchester","4,859","2","0","0","0","2","44","7","35","2","2"
"Morningside","2,047","10","0","0","5","5","89","14","67","8","0"
"Mount Rainier","8,234","73","1","1","39","32","277","62","149","66","0"
"New Carrollton","12,366","30","0","0","21","9","212","55","135","22","1"
"North East","3,719","9","0","1","5","3","166","18","138","10","0"
"Oakland","1,941","3","0","0","0","3","31","1","30","0","0"
"Ocean City","7,179","93","0","12","21","60","1,407","211","1,180","16","4"
"Ocean Pines","11,935","14","0","0","1","13","83","40","41","2","0"
"Oxford","661","0","0","0","0","0","4","1","3","0","0"
"Perryville","4,429","8","0","1","5","2","129","20","101","8","0"
"Pocomoke City","4,230","15","0","1","1","13","187","35","151","1","2"
"Princess Anne","3,301","28","0","4","0","24","167","47","117","3","0"
"Ridgely","1,650","9","0","0","2","7","80","17","60","3","0"
"Rising Sun","2,824","2","0","0","1","1","72","10","62","0","1"
"Riverdale Park","7,087","38","1","0","16","21","178","27","125","26","0"
"Rock Hall","1,324","1","0","0","0","1","23","10","13","0","0"
"Salisbury","30,778","366","1","18","118","229","1,859","336","1,470","53","8"
"Seat Pleasant","4,628","44","2","1","10","31","173","34","107","32","0"
"Smithsburg","3,020","1","0","0","0","1","32","7","25","0","0"
"Snow Hill","2,124","8","0","0","0","8","47","13","32","2","1"
"St. Michaels","1,045","9","0","2","1","6","59","9","49","1","0"
"Sykesville","4,482","3","0","0","1","2","44","9","35","0","2"
"Takoma Park","17,185","64","0","1","42","21","491","73","364","54","4"
"Taneytown","6,801","7","0","0","1","6","101","10","91","0","1"
"Thurmont","6,320","7","0","0","1","6","51","15","35","1","1"
"Trappe","1,095","6","0","3","0","3","19","1","17","1","0"
"University Park","2,595","0","0","0","0","0","47","10","34","3","0"
"Upper Marlboro","644","1","0","0","1","0","13","2","11","0","0"
"Westminster","18,786","122","0","0","23","99","784","106","664","14","5"
