"Criminal Justice Information Services Division","Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home"
"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Forciblerape","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson"
"Adrian","1,677","8","0","0","0","8","53","18","31","4","0"
"Advance","1,342","0","0","0","0","0","25","2","23","0","1"
"Alma","401","0","0","0","0","0","0","0","0","0","0"
"Alton","883","18","0","0","0","18","37","13","22","2","1"
"Anderson","1,958","15","0","1","0","14","65","14","49","2","0"
"Appleton City","1,111","6","0","0","0","6","26","10","14","2","0"
"Arbyrd","510","0","0","0","0","0","0","0","0","0","0"
"Archie","1,178","0","0","0","0","0","11","4","4","3","0"
"Arnold","20,920","30","1","3","8","18","725","53","648","24","0"
"Ashland","3,784","7","0","1","0","6","50","6","43","1","1"
"Aurora","7,528","69","0","1","2","66","336","56","251","29","1"
"Auxvasse","987","5","0","0","0","5","59","22","36","1","1"
"Ava","2,969","6","0","0","1","5","147","34","108","5","0"
"Ballwin","30,454","18","0","1","1","16","216","52","154","10","1"
"Bates City","218","0","0","0","0","0","2","0","2","0","0"
"Battlefield","5,645","2","0","0","2","0","86","28","56","2","2"
"Bella Villa","730","4","0","0","0","4","5","4","1","0","0"
"Belle","1,549","5","0","0","0","5","19","8","10","1","0"
"Bellefontaine Neighbors","10,877","59","0","1","17","41","432","155","202","75","0"
"Bellerive","188","0","0","0","0","0","1","1","0","0","0"
"Bellflower","395","1","0","0","0","1","0","0","0","0","0"
"Bel-Nor","1,501","3","0","2","0","1","24","6","15","3","0"
"Bel-Ridge","2,741","49","0","1","7","41","133","57","69","7","0"
"Belton","23,295","71","0","7","10","54","656","101","524","31","6"
"Berkeley","8,993","261","1","7","23","230","516","226","234","56","10"
"Bernie","1,952","2","0","0","0","2","23","6","16","1","1"
"Bethany","3,265","2","0","0","0","2","58","15","36","7","0"
"Beverly Hills","575","9","0","0","1","8","29","20","9","0","0"
"Billings","1,052","1","0","0","1","0","25","8","15","2","0"
"Birch Tree","679","9","0","0","0","9","14","4","7","3","0"
"Bismarck","1,554","2","0","1","0","1","4","3","1","0","2"
"Blackburn","247","0","0","0","0","0","0","0","0","0","0"
"Bloomfield","1,932","10","0","0","0","10","34","11","23","0","0"
"Blue Springs","52,848","128","4","12","20","92","1,767","260","1,378","129","5"
"Bolivar","10,353","47","0","2","1","44","346","71","271","4","1"
"Bonne Terre","6,891","4","0","0","1","3","60","15","33","12","0"
"Boonville","8,362","26","0","1","0","25","268","39","224","5","1"
"Bowling Green","5,356","6","0","1","0","5","162","23","135","4","1"
"Branson","10,759","165","0","2","20","143","1,297","149","1,103","45","1"
"Branson West","480","6","0","0","0","6","52","3","48","1","0"
"Braymer","869","0","0","0","0","0","10","5","5","0","0"
"Breckenridge Hills","4,753","15","0","1","4","10","187","76","103","8","0"
"Brentwood","8,068","13","0","0","8","5","252","14","232","6","1"
"Bridgeton","11,569","76","1","3","18","54","1,118","88","989","41","1"
"Brookfield","4,482","3","0","0","1","2","124","49","70","5","0"
"Bucklin","460","1","0","0","0","1","5","3","2","0","0"
"Buckner","3,092","7","0","4","1","2","65","21","39","5","0"
"Buffalo","3,086","4","0","0","0","4","155","37","118","0","0"
"Butler","4,217","5","0","0","1","4","202","31","158","13","1"
"Butterfield Village","468","0","0","0","0","0","5","2","3","0","0"
"Byrnes Mill","2,796","5","0","0","0","5","33","0","31","2","0"
"Cabool","2,144","3","0","1","0","2","41","12","26","3","1"
"California","4,312","14","0","3","6","5","84","13","64","7","0"
"Calverton Park","1,294","3","0","1","1","1","16","6","8","2","0"
"Camden Point","483","0","0","0","0","0","1","1","0","0","0"
"Camdenton","3,698","22","0","1","0","21","269","29","233","7","0"
"Cameron","9,943","31","0","0","1","30","216","49","161","6","1"
"Campbell","1,998","4","0","0","0","4","90","34","52","4","0"
"Canalou","335","0","0","0","0","0","1","0","0","1","0"
"Canton","2,370","4","0","0","0","4","69","9","56","4","0"
"Cape Girardeau","38,474","243","3","12","66","162","2,628","500","2,052","76","16"
"Cardwell","715","1","0","0","0","1","8","4","3","1","0"
"Carl Junction","7,525","2","0","0","0","2","166","29","132","5","1"
"Carterville","1,912","4","0","1","1","2","12","1","10","1","1"
"Carthage","14,529","26","1","4","3","18","450","65","366","19","3"
"Caruthersville","6,139","105","0","3","14","88","283","98","176","9","2"
"Cassville","3,243","20","0","1","1","18","342","33","304","5","1"
"Center","515","0","0","0","0","0","10","2","8","0","0"
"Centralia","4,111","8","0","0","2","6","103","19","81","3","1"
"Chaffee","2,958","5","0","1","0","4","39","15","22","2","1"
"Charlack","1,365","5","1","1","2","1","39","9","26","4","0"
"Charleston","5,941","75","2","4","5","64","144","32","108","4","6"
"Chesterfield","47,560","23","0","2","7","14","755","68","667","20","1"
"Chillicothe","9,462","14","0","2","2","10","304","66","221","17","2"
"Clarkton","1,290","9","0","0","0","9","33","6","24","3","1"
"Claycomo","1,454","6","0","3","0","3","43","4","36","3","0"
"Clayton","15,966","24","0","3","6","15","270","59","192","19","0"
"Cleveland","666","1","0","1","0","0","2","2","0","0","0"
"Clever","2,175","13","0","1","0","12","4","1","2","1","0"
"Clinton","9,003","47","0","1","2","44","433","97","309","27","1"
"Cole Camp","1,126","3","0","1","0","2","19","6","10","3","0"
"Columbia","110,646","476","3","41","162","270","4,221","784","3,294","143","14"
"Concordia","2,443","4","0","1","0","3","57","22","33","2","0"
"Conway","791","0","0","0","0","0","7","1","6","0","0"
"Cool Valley","1,197","5","0","0","3","2","59","11","48","0","0"
"Corder","403","0","0","0","0","0","0","0","0","0","0"
"Cottleville","3,121","0","0","0","0","0","79","4","75","0","0"
"Country Club Hills","1,275","10","0","1","6","3","66","20","42","4","0"
"Country Club Village","2,442","7","0","0","0","7","20","3","14","3","0"
"Crane","1,468","1","0","1","0","0","33","11","22","0","0"
"Creighton","351","0","0","0","0","0","0","0","0","0","0"
"Crestwood","11,931","11","0","0","2","9","281","11","264","6","0"
"Creve Coeur","17,863","17","0","4","4","9","270","46","218","6","1"
"Crocker","1,136","10","0","1","1","8","44","12","28","4","1"
"Crystal City","4,879","18","0","2","2","14","217","25","190","2","0"
"Cuba","3,376","8","0","1","0","7","149","29","114","6","0"
"Delta","446","0","0","0","0","0","0","0","0","0","0"
"Desloge","5,082","5","0","0","1","4","290","19","265","6","0"
"De Soto","6,433","25","0","0","3","22","312","39","253","20","2"
"Des Peres","8,388","13","0","3","5","5","457","26","430","1","0"
"Dexter","7,838","25","0","1","4","20","318","59","246","13","1"
"Diamond","909","4","0","1","0","3","9","2","6","1","0"
"Dixon","1,583","3","0","0","0","3","61","10","48","3","1"
"Doniphan","2,007","18","0","1","1","16","201","29","167","5","1"
"Doolittle","629","4","0","0","0","4","6","1","5","0","0"
"Drexel","971","3","0","2","0","1","15","6","9","0","0"
"Duenweg","1,133","3","0","1","1","1","25","12","11","2","1"
"Duquesne","1,781","5","0","0","0","5","57","14","39","4","1"
"East Prairie","3,170","14","0","0","0","14","157","27","124","6","0"
"Edgar Springs","207","0","0","0","0","0","2","1","1","0","0"
"Edmundson","836","8","0","1","2","5","33","5","23","5","0"
"Eldon","4,580","11","0","0","1","10","248","56","185","7","2"
"El Dorado Springs","3,590","30","0","1","4","25","208","48","158","2","2"
"Ellington","974","2","0","0","0","2","2","1","0","1","1"
"Ellisville","9,148","6","0","0","0","6","109","19","85","5","0"
"Ellsinore","455","4","0","1","0","3","1","1","0","0","0"
"Elsberry","1,956","11","0","0","0","11","27","10","16","1","1"
"Eminence","600","0","0","0","0","0","5","2","3","0","0"
"Emma","232","0","0","0","0","0","0","0","0","0","0"
"Eureka","10,206","11","0","1","1","9","248","21","212","15","0"
"Excelsior Springs","11,255","29","0","3","2","24","495","96","367","32","2"
"Exeter","765","0","0","0","0","0","0","0","0","0","0"
"Fair Grove","1,407","0","0","0","0","0","18","9","9","0","0"
"Fair Play","476","0","0","0","0","0","3","0","3","0","0"
"Fairview","385","0","0","0","0","0","0","0","0","0","0"
"Farmington","16,317","52","0","3","3","46","788","45","722","21","0"
"Fayette","2,706","4","0","1","0","3","12","1","10","1","0"
"Ferguson","21,238","80","2","3","38","37","1,041","247","699","95","0"
"Ferrelview","460","4","0","0","0","4","14","6","8","0","0"
"Festus","11,665","40","0","4","4","32","291","35","247","9","2"
"Flordell Hills","824","5","0","0","2","3","49","17","28","4","0"
"Florissant","52,243","79","0","3","29","47","1,170","244","787","139","2"
"Foley","163","1","0","0","0","1","1","0","1","0","0"
"Fordland","807","3","0","0","0","3","20","7","12","1","1"
"Foristell","508","2","0","0","0","2","25","4","20","1","0"
"Forsyth","2,303","5","0","0","0","5","87","15","66","6","0"
"Fredericktown","3,983","5","0","1","1","3","170","18","146","6","1"
"Freeman","487","0","0","0","0","0","0","0","0","0","0"
"Frontenac","3,766","3","0","0","1","2","59","12","45","2","0"
"Fulton","12,833","36","0","2","9","25","463","69","379","15","1"
"Gallatin","1,764","2","0","0","0","2","12","4","8","0","0"
"Garden City","1,654","4","0","0","1","3","30","16","13","1","0"
"Gerald","1,355","2","0","1","0","1","37","12","24","1","0"
"Gideon","1,085","7","0","0","0","7","0","0","0","0","0"
"Gladstone","25,832","73","5","3","13","52","726","125","526","75","8"
"Glasgow","1,112","1","0","0","0","1","9","3","6","0","0"
"Glendale","5,936","3","2","0","0","1","84","7","75","2","0"
"Glen Echo Park","160","1","1","0","0","0","4","2","2","0","0"
"Goodman","1,245","2","0","2","0","0","21","7","11","3","1"
"Gower","1,531","0","0","0","0","0","15","7","6","2","0"
"Grain Valley","12,922","30","0","5","2","23","231","42","167","22","1"
"Granby","2,150","2","0","0","0","2","11","3","7","1","0"
"Grandin","246","1","0","0","0","1","0","0","0","0","0"
"Grandview1","24,601","90","0","5","38","47","798","209","504","85","3"
"Greendale","652","2","0","0","0","2","16","2","12","2","0"
"Greenfield","1,361","2","0","0","0","2","14","3","9","2","1"
"Greenville","496","2","0","0","0","2","10","3","7","0","0"
"Greenwood","5,249","5","0","0","2","3","56","15","36","5","0"
"Hallsville","1,524","3","0","0","0","3","18","3","15","0","0"
"Hamilton","1,790","3","0","0","0","3","43","11","30","2","0"
"Hannibal","17,914","59","0","5","10","44","1,107","165","901","41","1"
"Hardin","562","0","0","0","0","0","3","0","3","0","0"
"Harrisonville","10,095","24","0","4","1","19","463","46","396","21","0"
"Hartville","611","2","0","0","0","2","6","0","6","0","0"
"Hawk Point","677","0","0","0","0","0","15","3","12","0","0"
"Hayti","2,924","15","0","2","3","10","187","21","164","2","0"
"Hayti Heights","624","0","0","0","0","0","2","0","2","0","0"
"Hazelwood","25,743","88","2","3","23","60","995","178","737","80","4"
"Henrietta","367","2","0","0","0","2","5","2","3","0","0"
"Herculaneum","3,486","2","0","0","0","2","73","10","59","4","1"
"Hermann","2,427","2","0","0","0","2","71","13","58","0","0"
"Higginsville","4,783","2","0","2","0","0","120","26","85","9","1"
"Highlandville","927","0","0","0","0","0","0","0","0","0","0"
"Hillsboro","2,833","10","0","3","1","6","74","10","61","3","3"
"Hillsdale","1,480","35","1","1","1","32","46","19","23","4","0"
