"Criminal Justice Information Services Division","Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home"
"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Forciblerape","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson"
"Alexandria","1,612","2","0","0","0","2","52","21","29","2","0"
"Alstead","1,936","0","0","0","0","0","9","2","7","0","0"
"Alton","5,274","1","0","0","1","0","100","24","75","1","1"
"Amherst","11,251","4","0","3","0","1","220","18","201","1","2"
"Antrim","2,649","4","0","3","0","1","69","7","51","11","0"
"Ashland","2,075","2","0","0","1","1","39","10","28","1","1"
"Atkinson","6,787","0","0","0","0","0","33","11","22","0","0"
"Auburn","4,980","5","0","0","1","4","114","28","85","1","1"
"Barnstead","4,615","3","0","0","0","3","70","26","41","3","0"
"Barrington","8,647","1","0","0","0","1","97","22","70","5","0"
"Bartlett","2,783","1","0","1","0","0","42","9","31","2","0"
"Bedford","21,297","8","0","1","1","6","393","43","343","7","2"
"Belmont","7,385","15","0","6","1","8","197","37","152","8","2"
"Bennington","1,482","1","0","0","0","1","66","19","44","3","5"
"Berlin","9,964","14","0","5","2","7","169","49","117","3","2"
"Bethlehem","2,525","2","0","1","0","1","32","12","17","3","0"
"Boscawen","3,975","4","0","0","2","2","82","3","73","6","0"
"Bow","7,539","1","0","0","0","1","77","13","61","3","0"
"Bradford","1,654","0","0","0","0","0","15","5","9","1","0"
"Brentwood","4,508","5","0","2","0","3","38","8","29","1","0"
"Bristol","3,053","5","0","1","0","4","103","42","58","3","0"
"Campton","3,331","2","0","0","0","2","85","25","57","3","2"
"Candia","3,931","2","0","0","0","2","59","12","46","1","0"
"Canterbury","2,360","0","0","0","0","0","20","2","17","1","1"
"Carroll","756","1","0","0","0","1","55","5","50","0","0"
"Center Harbor","1,101","0","0","0","0","0","33","13","19","1","0"
"Charlestown","5,092","4","0","0","0","4","56","13","36","7","2"
"Claremont","13,293","39","1","6","2","30","477","66","397","14","3"
"Colebrook","2,278","2","0","1","1","0","49","6","43","0","0"
"Concord","42,815","92","0","22","19","51","1,272","182","1,063","27","15"
"Conway","10,096","45","0","6","9","30","438","59","370","9","5"
"Dalton","969","4","1","1","0","2","12","2","9","1","0"
"Danville","4,409","2","0","0","0","2","72","14","53","5","0"
"Deerfield","4,303","1","0","1","0","0","54","13","41","0","0"
"Deering","1,920","0","0","0","0","0","21","6","14","1","1"
"Derry","33,284","60","0","8","5","47","793","182","574","37","18"
"Dover","30,226","36","1","8","9","18","623","87","528","8","14"
"Dublin","1,596","1","0","0","0","1","18","6","12","0","0"
"Dunbarton","2,766","4","0","0","0","4","18","6","12","0","0"
"Durham","14,712","21","0","5","0","16","116","18","96","2","2"
"Effingham","1,463","2","0","0","0","2","40","17","21","2","0"
"Enfield","4,578","5","0","0","0","5","55","18","36","1","0"
"Epping","6,443","11","0","3","1","7","222","23","195","4","4"
"Epsom","4,580","8","0","1","2","5","62","18","38","6","1"
"Exeter","14,380","16","0","8","1","7","155","19","129","7","5"
"Farmington","6,840","16","2","7","1","6","209","71","131","7","2"
"Fitzwilliam","2,395","1","0","0","0","1","32","10","18","4","1"
"Franconia","1,104","1","0","1","0","0","38","11","26","1","0"
"Fremont","4,305","6","0","1","0","5","59","15","44","0","0"
"Gilford","7,156","16","0","5","0","11","214","38","170","6","0"
"Gilmanton","3,791","1","0","0","0","1","45","24","18","3","1"
"Goffstown","17,723","8","0","1","2","5","244","48","194","2","0"
"Grantham","2,972","1","1","0","0","0","21","4","17","0","0"
"Greenland","3,569","4","2","1","0","1","70","12","58","0","0"
"Hampstead","8,567","2","0","0","0","2","119","35","72","12","1"
"Hampton","15,510","25","0","7","1","17","318","40","261","17","1"
"Hampton Falls","2,246","0","0","0","0","0","32","12","20","0","0"
"Hancock","1,661","0","0","0","0","0","8","1","7","0","0"
"Hanover","11,265","11","0","8","0","3","230","16","212","2","3"
"Haverhill","4,696","8","0","0","1","7","99","23","73","3","1"
"Henniker","4,849","10","0","3","0","7","83","13","67","3","3"
"Hillsborough","6,038","11","0","4","1","6","115","10","97","8","1"
"Hinsdale","4,044","8","0","0","2","6","137","8","127","2","1"
"Hooksett","13,489","22","0","5","5","12","431","49","376","6","1"
"Hopkinton","5,606","10","0","0","0","10","55","4","51","0","0"
"Hudson","24,574","30","0","6","5","19","423","68","335","20","4"
"Jaffrey","5,451","1","0","1","0","0","77","25","51","1","0"
"Keene","23,399","61","0","6","13","42","831","114","688","29","4"
"Kingston","6,058","5","0","2","0","3","70","17","45","8","0"
"Laconia","16,016","60","0","10","8","42","714","120","575","19","5"
"Lancaster","3,476","7","1","1","3","2","135","18","114","3","0"
"Lebanon","13,145","39","0","10","8","21","432","43","384","5","8"
"Lee","4,366","3","0","0","0","3","33","5","26","2","1"
"Lincoln","1,661","7","0","1","0","6","110","22","86","2","2"
"Lisbon","1,594","0","0","0","0","0","23","7","15","1","0"
"Litchfield","8,307","6","0","1","1","4","78","25","51","2","2"
"Londonderry","24,257","25","0","3","3","19","407","71","320","16","5"
"Loudon","5,333","3","0","0","0","3","150","20","126","4","1"
"Madison","2,496","1","0","1","0","0","28","6","22","0","0"
"Manchester","110,040","624","1","72","205","346","3,848","849","2,848","151","55"
"Marlborough","2,060","0","0","0","0","0","29","11","17","1","0"
"Meredith","6,267","9","0","2","0","7","189","38","147","4","0"
"Merrimack","25,606","6","0","0","1","5","223","33","181","9","0"
"Middleton","1,798","7","0","0","0","7","22","10","12","0","1"
"Milford","15,181","32","0","3","8","21","333","43","275","15","2"
"Milton","4,636","14","0","4","0","10","89","30","53","6","3"
"Mont Vernon","2,420","2","0","1","0","1","16","4","10","2","1"
"Moultonborough","4,037","6","0","4","0","2","81","29","51","1","0"
"Nashua","86,870","204","0","37","48","119","2,361","375","1,902","84","31"
"New Boston","5,345","2","0","0","0","2","45","20","24","1","2"
"Newbury","2,078","0","0","0","0","0","22","11","11","0","0"
"New Durham","2,659","4","0","0","0","4","46","18","28","0","0"
"Newfields","1,688","0","0","0","0","0","18","7","11","0","0"
"New Hampton","2,174","1","0","1","0","0","68","8","59","1","0"
"Newington","756","1","0","0","1","0","241","7","234","0","0"
"New Ipswich","5,123","0","0","0","0","0","22","7","14","1","2"
"New London","4,407","0","0","0","0","0","38","9","28","1","0"
"Newport","6,476","17","0","6","0","11","289","58","219","12","0"
"Newton","4,628","1","0","0","0","1","70","11","57","2","0"
"Northfield","4,842","9","0","2","1","6","121","22","90","9","2"
"North Hampton","4,323","4","0","1","1","2","73","10","63","0","1"
"Northumberland","2,264","2","0","0","0","2","36","12","23","1","2"
"Northwood","4,263","10","0","2","0","8","95","18","65","12","0"
"Nottingham","4,811","4","0","1","0","3","49","11","34","4","0"
"Orford","1,235","1","0","0","0","1","14","3","10","1","0"
"Ossipee","4,338","7","0","1","2","4","105","5","91","9","0"
"Pelham","12,954","11","0","1","1","9","217","40","168","9","1"
"Pembroke","7,137","7","0","1","1","5","99","16","82","1","2"
"Peterborough","6,310","6","0","0","0","6","113","20","90","3","2"
"Pittsfield","4,119","9","0","1","1","7","110","35","73","2","0"
"Plaistow","7,651","1","0","1","0","0","212","22","185","5","0"
"Plymouth","6,992","11","0","5","2","4","227","18","209","0","16"
"Portsmouth","20,888","34","0","5","11","18","588","60","512","16","1"
"Raymond","10,190","23","1","8","1","13","185","38","142","5","2"
"Rindge","6,011","6","0","2","1","3","59","12","44","3","0"
"Rochester","29,992","75","0","7","19","49","1,094","131","934","29","7"
"Rollinsford","2,548","5","0","1","1","3","43","6","36","1","0"
"Rye","5,326","3","0","2","0","1","91","2","85","4","0"
"Salem","28,926","38","2","6","12","18","902","88","771","43","10"
"Sanbornton","2,978","3","0","1","0","2","64","14","45","5","0"
"Sandown","6,019","5","1","0","0","4","50","15","33","2","0"
"Sandwich","1,324","1","0","0","0","1","59","23","36","0","1"
"Seabrook","8,738","23","0","3","4","16","217","36","175","6","0"
"Somersworth","11,862","53","0","12","12","29","573","62","501","10","4"
"South Hampton","819","0","0","0","0","0","1","0","1","0","0"
"Strafford","4,024","1","0","0","0","1","24","3","20","1","0"
"Stratham","7,293","4","0","1","0","3","81","8","71","2","2"
"Sugar Hill","563","0","0","0","0","0","6","4","2","0","0"
"Sunapee","3,349","1","0","0","0","1","44","16","28","0","1"
"Thornton","2,489","4","0","1","0","3","32","9","23","0","0"
"Tilton","3,581","13","0","3","2","8","199","17","177","5","0"
"Troy","2,142","3","0","0","0","3","23","1","22","0","0"
"Wakefield","5,068","5","0","1","1","3","118","41","65","12","1"
"Washington","1,117","2","0","1","0","1","21","11","10","0","0"
"Waterville Valley","246","1","0","0","0","1","25","4","20","1","1"
"Weare","8,824","10","0","2","1","7","122","35","82","5","1"
"Webster","1,877","1","0","0","0","1","38","5","32","1","0"
"Wilton","3,692","10","0","4","0","6","73","20","50","3","3"
"Winchester","4,337","14","0","4","2","8","114","27","86","1","3"
"Windham","13,664","15","0","7","1","7","141","28","108","5","2"
"Wolfeboro","6,258","8","0","4","0","4","101","23","73","5","1"
"Woodstock","1,374","5","0","0","1","4","59","12","45","2","0"
