"Criminal Justice Information Services Division","Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home"
"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Forciblerape","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson"
"Barrington","16,268","6","0","2","3","1","179","30","146","3","1"
"Bristol","22,900","15","0","2","1","12","259","45","211","3","1"
"Burrillville","15,941","8","0","2","2","4","231","71","146","14","1"
"Central Falls","19,360","142","1","14","47","80","590","133","337","120","5"
"Charlestown","7,793","5","0","0","0","5","127","26","99","2","0"
"Coventry","34,850","25","1","5","1","18","677","150","490","37","12"
"Cranston","80,315","130","2","16","34","78","1,908","392","1,362","154","17"
"Cumberland","33,475","18","0","3","5","10","541","112","404","25","3"
"East Greenwich","13,085","1","0","0","1","0","162","30","128","4","1"
"East Providence","46,994","71","2","13","14","42","834","144","631","59","9"
"Foster","4,603","4","0","0","0","4","48","17","28","3","0"
"Glocester","9,738","6","0","0","0","6","42","12","24","6","0"
"Hopkinton","8,151","4","0","2","0","2","129","19","106","4","2"
"Jamestown","5,386","2","0","0","0","2","93","8","83","2","0"
"Johnston","28,743","38","1","3","7","27","531","109","363","59","7"
"Lincoln","21,088","18","0","4","5","9","506","98","376","32","1"
"Little Compton","3,480","0","0","0","0","0","46","11","35","0","0"
"Middletown","16,096","6","0","0","3","3","271","34","230","7","2"
"Narragansett","15,799","6","0","0","0","6","280","50","219","11","0"
"Newport","24,595","104","1","11","15","77","987","223","742","22","12"
"New Shoreham","1,046","2","0","0","0","2","38","2","35","1","0"
"North Kingstown","26,371","9","0","3","1","5","434","90","330","14","1"
"North Providence","32,048","53","0","8","10","35","534","148","315","71","1"
"North Smithfield","11,957","10","0","2","3","5","326","32","274","20","1"
"Pawtucket","71,085","288","4","35","81","168","2,449","679","1,393","377","23"
"Portsmouth","17,331","5","0","0","0","5","251","53","188","10","5"
"Providence","177,882","1,133","17","84","362","670","7,977","1,929","4,884","1,164","24"
"Richmond","7,674","0","0","0","0","0","83","12","71","0","0"
"Scituate","10,320","4","0","0","0","4","87","27","53","7","0"
"Smithfield","21,411","13","0","1","0","12","293","37","237","19","2"
"South Kingstown","30,524","26","0","4","6","16","273","67","197","9","5"
"Tiverton","15,728","22","0","2","2","18","402","122","258","22","2"
"Warren","10,584","19","0","2","7","10","281","71","202","8","4"
"Warwick","82,282","102","1","15","29","57","2,117","334","1,688","95","8"
"Westerly","22,686","17","1","3","5","8","424","57","358","9","1"
"West Warwick","29,053","67","1","12","6","48","584","158","386","40","8"
"Woonsocket","41,147","220","0","23","59","138","1,259","346","840","73","20"
