"Criminal Justice Information Services Division","Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home"
"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Forciblerape","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson"
"Abbeville","5,232","59","0","1","5","53","204","59","143","2","1"
"Aiken","29,909","112","7","7","40","58","1,614","246","1,290","78","1"
"Allendale","3,424","25","0","0","3","22","148","85","58","5","2"
"Anderson","27,127","250","7","10","38","195","1,970","386","1,458","126","7"
"Andrews","2,879","20","1","0","3","16","207","46","155","6","0"
"Bamberg","3,638","26","0","0","5","21","139","34","102","3","0"
"Barnwell","4,739","79","2","1","22","54","392","150","229","13","4"
"Batesburg-Leesville","5,503","58","1","4","3","50","301","51","236","14","1"
"Beaufort","12,653","139","2","4","29","104","824","147","656","21","2"
"Belton","4,204","7","0","0","0","7","187","29","146","12","1"
"Bennettsville","9,034","143","1","2","14","126","543","97","431","15","3"
"Bishopville","3,457","54","0","2","10","42","339","74","248","17","1"
"Blacksburg","1,873","18","0","2","1","15","114","41","65","8","0"
"Blackville","2,401","30","3","0","6","21","107","30","72","5","0"
"Bluffton","12,855","39","0","5","15","19","461","72","372","17","4"
"Branchville","1,028","1","0","0","0","1","18","2","15","1","0"
"Burnettown","2,713","6","0","0","0","6","61","17","42","2","0"
"Calhoun Falls","2,001","6","0","0","1","5","52","14","35","3","1"
"Camden","6,968","87","0","2","6","79","489","164","313","12","1"
"Cayce","12,864","103","3","4","13","83","688","120","497","71","1"
"Central","5,224","19","1","1","5","12","269","29","236","4","0"
"Chapin","1,485","7","0","1","2","4","62","7","55","0","0"
"Charleston","123,856","296","12","19","104","161","3,373","374","2,764","235","6"
"Cheraw","5,885","32","0","5","6","21","386","65","304","17","1"
"Chesnee","883","2","0","0","0","2","62","5","54","3","1"
"Chester","5,623","70","0","4","7","59","322","85","231","6","0"
"Chesterfield","1,473","9","0","0","1","8","72","5","66","1","0"
"Clemson","14,079","42","1","4","3","34","465","86","343","36","1"
"Clinton","8,570","67","1","7","5","54","456","109","334","13","1"
"Clio","722","5","0","0","2","3","44","8","35","1","0"
"Clover","5,245","129","0","3","5","121","177","38","131","8","1"
"Cottageville","766","1","0","0","1","0","22","9","10","3","2"
"Coward","764","1","0","0","0","1","11","1","8","2","0"
"Cowpens","2,202","5","0","0","1","4","45","12","32","1","0"
"Darlington","6,313","58","1","2","12","43","523","59","453","11","1"
"Denmark","3,562","39","0","1","13","25","192","88","98","6","1"
"Duncan","3,240","7","0","1","3","3","78","12","61","5","1"
"Easley","20,249","106","3","10","12","81","1,329","224","1,048","57","1"
"Edgefield","4,763","17","1","3","0","13","76","20","56","0","0"
"Edisto Beach","415","2","0","0","0","2","71","13","47","11","0"
"Ehrhardt","550","3","0","0","0","3","17","2","15","0","0"
"Elgin","1,336","11","0","0","6","5","72","14","56","2","2"
"Elloree","704","1","0","0","0","1","12","1","10","1","0"
"Estill","2,033","31","0","1","4","26","103","39","62","2","0"
"Fairfax","1,992","10","0","1","1","8","113","43","67","3","0"
"Florence","37,681","328","3","25","83","217","2,897","566","2,190","141","6"
"Folly Beach","2,700","8","0","0","1","7","101","37","64","0","0"
"Forest Acres","10,596","74","0","5","24","45","839","181","625","33","0"
"Fort Lawn","897","2","0","0","0","2","45","10","32","3","0"
"Fort Mill","11,132","25","1","0","1","23","224","33","182","9","0"
"Fountain Inn","8,012","36","1","0","1","34","167","32","126","9","0"
"Gaffney","12,574","77","2","11","7","57","453","105","322","26","0"
"Gaston","1,690","6","0","0","2","4","68","10","57","1","0"
"Georgetown","9,225","108","1","2","17","88","734","156","555","23","2"
"Goose Creek","37,387","117","2","15","21","79","927","161","704","62","5"
"Great Falls","1,984","13","0","0","1","12","84","23","60","1","0"
"Greeleyville","431","0","0","0","0","0","22","14","7","1","0"
"Greenville","60,953","509","1","21","104","383","3,223","603","2,411","209","12"
"Greenwood","23,564","344","3","16","48","277","1,715","486","1,182","47","7"
"Greer","26,249","121","1","16","20","84","826","181","587","58","4"
"Hampton","2,796","16","0","1","7","8","129","43","84","2","1"
"Hardeeville","3,047","31","2","2","5","22","204","36","146","22","1"
"Harleyville","706","7","0","0","1","6","42","19","20","3","1"
"Hartsville","7,796","95","5","5","24","61","942","168","724","50","1"
"Hemingway","459","5","0","0","2","3","47","9","35","3","1"
"Holly Hill","1,280","14","0","0","0","14","100","11","82","7","0"
"Honea Path","3,655","37","1","0","1","35","272","80","183","9","1"
"Inman","2,375","15","0","2","2","11","74","5","65","4","0"
"Isle of Palms","4,265","8","0","0","1","7","162","32","124","6","1"
"Jackson","1,722","5","0","0","1","4","30","10","18","2","0"
"Jamestown","75","0","0","0","0","0","3","3","0","0","0"
"Johnsonville","1,505","9","0","0","1","8","48","21","27","0","0"
"Johnston","2,354","14","0","0","3","11","49","17","30","2","0"
"Jonesville","910","1","0","0","0","1","20","3","16","1","0"
"Kingstree","3,325","51","0","2","14","35","321","83","214","24","1"
"Lake City","6,789","62","1","3","12","46","546","115","399","32","3"
"Lake View","808","11","0","0","2","9","47","14","33","0","0"
"Lamar","988","8","0","0","1","7","39","10","26","3","1"
"Lancaster","8,749","160","3","8","23","126","631","117","495","19","9"
"Landrum","2,423","11","0","0","3","8","40","10","27","3","0"
"Latta","1,378","34","1","0","4","29","142","32","107","3","4"
"Laurens","9,221","100","2","2","25","71","663","130","516","17","2"
"Lexington","18,352","57","0","5","7","45","757","44","677","36","0"
"Liberty","3,309","12","0","0","3","9","110","8","91","11","0"
"Lyman","3,305","3","0","0","1","2","116","16","99","1","0"
"Lynchburg","371","2","0","0","0","2","22","8","14","0","0"
"Manning","4,118","61","0","3","12","46","367","54","297","16","1"
"Marion","6,960","106","2","6","28","70","634","252","363","19","3"
"Mauldin","23,631","48","0","5","6","37","461","84","345","32","1"
"Mayesville","738","0","0","0","0","0","11","1","7","3","0"
"McColl","2,157","29","0","3","4","22","89","33","52","4","0"
"McCormick","2,774","16","0","1","4","11","71","20","49","2","0"
"Moncks Corner","8,229","46","1","3","8","34","520","54","444","22","6"
"Mount Pleasant","70,016","153","0","5","6","142","1,230","172","1,000","58","3"
"Mullins","4,680","89","2","3","12","72","443","150","284","9","1"
"Myrtle Beach","28,085","472","7","43","195","227","4,313","670","3,300","343","13"
"Newberry","10,430","85","0","3","15","67","501","111","383","7","1"
"New Ellenton","2,079","15","0","0","3","12","59","18","39","2","0"
"Nichols","369","4","0","0","0","4","5","0","5","0","0"
"Ninety Six","2,023","6","0","1","0","5","35","19","14","2","0"
"North Augusta","21,639","46","2","3","17","24","883","127","691","65","1"
"North Charleston","100,675","737","13","61","212","451","5,757","854","4,363","540","17"
"Orangeburg","14,017","59","0","5","26","28","906","244","611","51","5"
"Pacolet","2,277","27","0","1","20","6","96","20","66","10","1"
"Pageland","2,733","33","0","2","1","30","200","36","154","10","1"
"Pelion","692","4","0","0","0","4","15","4","11","0","0"
"Pickens","3,165","15","0","1","2","12","170","30","125","15","0"
"Port Royal","10,893","36","1","4","13","18","243","61","170","12","3"
"Prosperity","1,198","2","0","0","0","2","29","9","20","0","0"
"Ridgeland","4,123","11","2","1","7","1","141","30","108","3","0"
"Rock Hill","68,064","447","8","36","112","291","2,575","403","2,008","164","9"
"Salem","136","0","0","0","0","0","0","0","0","0","0"
"Salley","404","0","0","0","0","0","7","2","5","0","0"
"Saluda","3,600","47","0","0","3","44","106","40","63","3","0"
"Santee","964","4","0","0","2","2","76","10","54","12","0"
"Scranton","946","1","0","0","1","0","13","2","11","0","0"
"Seneca","8,194","63","0","1","8","54","297","63","212","22","1"
"Simpsonville","18,829","57","0","11","7","39","647","82","533","32","1"
"Society Hill","565","0","0","0","0","0","21","3","17","1","0"
"Spartanburg","37,689","537","2","20","120","395","2,694","479","2,120","95","14"
"Springdale","2,709","7","0","0","3","4","76","12","57","7","0"
"St. George","2,161","28","0","1","3","24","115","21","85","9","0"
"St. Matthews","2,038","18","0","0","3","15","60","15","36","9","0"
"St. Stephen","1,767","10","0","0","3","7","134","65","66","3","0"
"Sullivans Island","1,847","1","0","0","0","1","25","5","20","0","0"
"Summerton","1,002","9","0","1","3","5","44","8","34","2","0"
"Summerville","45,209","83","2","2","32","47","1,319","192","1,022","105","0"
"Sumter","40,911","403","7","8","65","323","2,147","599","1,409","139","15"
"Surfside Beach","3,976","19","0","3","5","11","396","89","294","13","0"
"Swansea","852","7","0","0","2","5","32","4","25","3","0"
"Tega Cay","7,847","6","0","0","0","6","90","15","73","2","0"
"Travelers Rest","4,725","8","0","0","2","6","346","29","306","11","0"
"Turbeville","767","5","0","0","1","4","21","6","13","2","0"
"Union","8,390","64","0","6","11","47","449","118","323","8","2"
"Wagener","808","8","0","0","1","7","31","8","21","2","0"
"Walhalla","4,313","12","0","1","1","10","130","27","95","8","1"
"Walterboro","5,411","78","0","2","16","60","486","69","392","25","2"
"Ware Shoals","2,189","30","0","2","7","21","169","54","109","6","0"
"Wellford","2,423","1","0","0","0","1","55","18","29","8","0"
"West Columbia","15,610","146","1","5","37","103","831","143","621","67","2"
"Westminster","2,445","34","0","0","1","33","115","23","90","2","0"
"West Pelzer","895","7","0","1","0","6","152","9","138","5","0"
"West Union","295","5","0","1","0","4","41","8","32","1","0"
"Whitmire","1,464","4","0","1","0","3","51","17","34","0","1"
"Williamston","4,002","34","0","2","9","23","185","28","151","6","0"
"Williston","3,133","12","0","0","3","9","119","37","78","4","0"
"Winnsboro","3,527","32","1","3","6","22","214","32","181","1","1"
"York","7,963","56","0","6","13","37","447","66","368","13","2"
