"Criminal Justice Information Services Division","Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home"
"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Forciblerape","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson"
"American Fork/Cedar Hills","37,549","34","0","5","6","23","819","117","672","30","2"
"Big Water","491","2","0","2","0","0","1","0","1","0","0"
"Blanding","3,440","7","0","0","0","7","52","17","35","0","0"
"Bluffdale","7,848","5","0","0","1","4","107","30","70","7","1"
"Bountiful","43,888","37","1","17","2","17","940","143","748","49","0"
"Brian Head","85","0","0","0","0","0","23","8","14","1","0"
"Brigham City","18,255","56","0","7","4","45","668","95","554","19","3"
"Cedar City","29,608","76","1","17","3","55","745","117","600","28","1"
"Centerfield","1,395","1","0","0","1","0","5","3","2","0","0"
"Centerville","15,807","5","0","2","0","3","488","58","411","19","1"
"Clearfield","31,032","51","0","9","6","36","735","92","626","17","1"
"Clinton","21,064","12","0","3","0","9","320","38","273","9","0"
"Cottonwood Heights","34,528","42","1","12","12","17","864","159","646","59","3"
"Draper","43,600","43","1","6","4","32","866","153","677","36","4"
"East Carbon","1,312","18","0","3","0","15","139","49","83","7","0"
"Enoch","5,958","23","0","1","0","22","73","27","38","8","0"
"Fairview","1,273","0","0","0","0","0","12","3","8","1","0"
"Farmington","18,836","6","0","3","0","3","283","7","257","19","5"
"Grantsville","9,185","11","0","0","1","10","88","40","31","17","2"
"Harrisville","5,722","5","0","0","4","1","291","36","248","7","0"
"Heber","11,954","1","0","1","0","0","75","15","59","1","0"
"Helper","2,219","8","7","0","1","0","52","11","41","0","1"
"Hurricane","14,284","21","0","5","1","15","282","29","241","12","2"
"Kamas","1,899","1","0","0","0","1","23","3","19","1","0"
"Kanab","4,450","5","0","0","0","5","53","4","44","5","1"
"Kaysville","28,153","12","0","3","0","9","290","55","222","13","0"
"La Verkin","4,222","8","0","2","0","6","75","13","62","0","1"
"Layton","69,420","84","0","33","7","44","1,908","326","1,513","69","9"
"Lehi","49,375","18","0","4","3","11","653","126","498","29","0"
"Lindon","10,488","14","0","2","0","12","273","28","236","9","0"
"Logan","49,672","32","0","1","3","28","1,047","206","805","36","3"
"Lone Peak","26,123","7","0","2","1","4","201","64","130","7","0"
"Mapleton","8,309","2","0","1","0","1","93","12","80","1","0"
"Moab","5,170","12","0","2","0","10","212","25","170","17","1"
"Monticello","2,008","5","0","1","0","4","31","3","26","2","0"
"Moroni","1,451","0","0","0","0","0","10","0","10","0","0"
"Mount Pleasant","3,323","7","0","0","4","3","64","14","48","2","0"
"Naples","1,811","1","0","1","0","0","52","8","39","5","0"
"Nephi","5,509","5","0","2","0","3","118","17","97","4","0"
"North Ogden","17,838","7","0","4","1","2","286","64","211","11","2"
"North Park","12,496","11","0","8","0","3","275","66","203","6","3"
"North Salt Lake","16,831","24","0","9","4","11","477","58","383","36","1"
"Ogden","85,083","353","2","25","96","230","4,001","734","3,051","216","13"
"Orem","91,953","41","2","11","21","7","2,168","203","1,887","78","0"
"Park City","7,928","25","0","3","5","17","444","21","409","14","0"
"Parowan","2,864","4","0","0","1","3","73","21","50","2","0"
"Payson","19,052","16","2","3","1","10","574","82","477","15","1"
"Perry","4,600","12","0","5","1","6","102","24","77","1","3"
"Pleasant Grove","34,900","10","0","1","2","7","516","68","427","21","1"
"Pleasant View","8,198","7","0","1","0","6","94","17","72","5","0"
"Price","8,799","23","1","4","0","18","405","70","325","10","3"
"Provo","116,879","149","0","36","19","94","2,465","301","2,051","113","5"
"Richfield","7,714","15","0","4","1","10","244","28","208","8","1"
"Riverdale","8,658","14","0","4","3","7","458","51","389","18","0"
"Roosevelt","6,189","9","0","3","0","6","233","37","186","10","1"
"Roy","37,900","43","1","24","7","11","772","113","636","23","4"
"Salem","6,692","3","0","0","0","3","96","14","79","3","0"
"Salina","2,543","3","0","2","0","1","106","16","87","3","1"
"Salt Lake City","192,465","1,300","8","122","316","854","14,357","1,824","10,827","1,706","39"
"Sandy","90,405","147","2","24","35","86","2,663","453","2,068","142","2"
"Santa Clara/Ivins","13,266","3","0","1","0","2","87","38","49","0","0"
"Santaquin/Genola","10,934","0","0","0","0","0","145","33","110","2","0"
"Saratoga Springs","18,546","14","0","2","4","8","184","25","156","3","0"
"Smithfield","9,805","3","0","1","1","1","98","22","70","6","1"
"South Jordan","52,071","23","0","4","10","9","1,029","173","797","59","0"
"South Ogden","16,986","13","0","5","2","6","319","99","208","12","1"
"South Salt Lake","24,340","208","3","51","30","124","1,574","241","1,127","206","2"
"Spanish Fork","36,141","14","0","7","3","4","485","82","393","10","4"
"Springdale","550","0","0","0","0","0","29","7","22","0","0"
"Springville","30,690","35","0","4","7","24","680","66","598","16","1"
"St. George","75,780","155","0","27","23","105","1,561","307","1,167","87","5"
"Stockton","636","0","0","0","0","0","2","2","0","0","0"
"Sunset","5,283","0","0","0","0","0","138","14","119","5","0"
"Syracuse","25,090","10","0","5","0","5","226","27","195","4","0"
"Tooele","32,641","96","0","15","17","64","1,396","214","1,112","70","18"
"Tremonton","7,799","17","0","4","1","12","180","28","144","8","3"
"Vernal","9,373","43","0","7","3","33","394","62","317","15","3"
"Washington","19,509","38","1","6","4","27","609","73","513","23","0"
"West Bountiful","5,429","7","0","1","1","5","163","19","133","11","0"
"West Jordan","107,103","199","2","24","33","140","2,966","474","2,264","228","9"
"West Valley","133,725","599","1","90","120","388","5,569","940","3,972","657","19"
"Willard","1,806","1","0","0","1","0","14","2","12","0","0"
"Woods Cross","10,066","13","0","7","1","5","242","68","155","19","0"
