"Criminal Justice Information Services Division","Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home"
"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Forciblerape","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson"
"Abingdon","8,273","14","2","1","3","8","270","36","227","7","2"
"Alexandria","145,892","243","0","9","138","96","2,990","281","2,383","326","8"
"Altavista","3,500","5","0","0","0","5","79","11","65","3","0"
"Amherst","2,242","0","0","0","0","0","27","5","21","1","0"
"Appalachia","1,778","5","0","0","1","4","71","27","44","0","4"
"Ashland","7,336","26","0","2","4","20","234","12","214","8","1"
"Bedford","6,249","12","0","3","3","6","205","20","176","9","0"
"Berryville","4,299","1","0","0","0","1","39","2","35","2","1"
"Big Stone Gap","5,684","7","0","1","2","4","187","37","145","5","0"
"Blacksburg","43,070","39","0","12","11","16","475","80","377","18","7"
"Blackstone","3,656","14","2","0","3","9","97","14","76","7","0"
"Bloxom","394","0","0","0","0","0","0","0","0","0","0"
"Bluefield","5,462","12","0","1","0","11","240","22","211","7","0"
"Bowling Green","1,127","0","0","0","0","0","0","0","0","0","0"
"Boykins","565","0","0","0","0","0","14","2","12","0","0"
"Bridgewater","5,722","3","0","1","0","2","87","59","27","1","0"
"Bristol","17,946","60","2","5","17","36","653","117","505","31","3"
"Broadway","3,745","1","0","0","0","1","4","0","2","2","0"
"Brookneal","1,127","0","0","0","0","0","17","1","16","0","0"
"Burkeville","437","0","0","0","0","0","8","0","8","0","0"
"Cape Charles","1,019","2","0","2","0","0","7","1","5","1","0"
"Charlottesville","43,991","198","2","17","50","129","1,502","162","1,246","94","9"
"Chase City","2,368","4","0","0","2","2","75","10","62","3","0"
"Chatham","1,272","0","0","0","0","0","14","2","12","0","0"
"Chesapeake","227,531","839","12","36","202","589","6,292","1,034","4,979","279","27"
"Chilhowie","1,792","0","0","0","0","0","57","5","50","2","0"
"Chincoteague","2,989","5","0","1","1","3","61","5","50","6","0"
"Christiansburg","21,262","30","0","7","4","19","675","87","576","12","3"
"Clarksville","1,149","2","0","0","0","2","25","7","18","0","0"
"Clifton Forge","3,909","6","0","1","0","5","94","19","73","2","0"
"Clintwood","1,414","1","0","0","0","1","35","7","28","0","1"
"Coeburn","2,168","11","0","3","2","6","78","15","60","3","0"
"Colonial Beach","3,609","8","1","2","0","5","31","1","28","2","0"
"Colonial Heights","17,632","40","0","2","9","29","976","57","878","41","7"
"Covington","6,004","13","1","0","1","11","147","26","118","3","4"
"Crewe","2,351","7","0","3","2","2","76","20","51","5","0"
"Culpeper","16,846","45","0","8","13","24","573","34","516","23","0"
"Damascus","822","7","0","1","0","6","23","1","19","3","0"
"Danville","43,324","135","3","15","54","63","1,944","422","1,477","45","15"
"Dayton","1,552","0","0","0","0","0","8","1","7","0","0"
"Dublin","2,547","2","0","0","0","2","60","8","50","2","0"
"Dumfries","5,227","4","0","0","1","3","73","9","58","6","0"
"Edinburg","1,059","0","0","0","0","0","8","4","3","1","0"
"Elkton","2,767","0","0","0","0","0","43","7","31","5","0"
"Emporia","5,936","32","0","3","5","24","299","71","213","15","2"
"Exmore","1,474","6","0","0","3","3","76","18","52","6","0"
"Fairfax City","22,798","19","0","4","6","9","440","22","396","22","1"
"Falls Church","12,892","11","1","1","7","2","211","14","194","3","0"
"Farmville","8,297","11","0","3","2","6","376","34","332","10","1"
"Franklin","8,683","35","2","4","11","18","362","40","304","18","1"
"Fredericksburg","25,974","108","2","1","19","86","1,022","87","914","21","5"
"Front Royal","14,718","19","0","6","5","8","496","51","425","20","1"
"Galax","7,060","36","0","10","1","25","285","17","262","6","0"
"Gate City","2,066","4","0","2","0","2","46","14","31","1","0"
"Glen Lyn","115","0","0","0","0","0","7","3","3","1","0"
"Gordonsville","1,534","4","0","0","1","3","15","2","11","2","0"
"Gretna","1,268","0","0","0","0","0","20","1","16","3","0"
"Grottoes","2,708","2","0","0","0","2","34","2","30","2","0"
"Grundy","1,007","0","0","0","0","0","16","0","15","1","0"
"Halifax","1,317","0","0","0","0","0","9","0","9","0","0"
"Hampton","137,905","314","9","16","146","143","4,657","758","3,637","262","27"
"Harrisonburg","50,524","110","1","14","25","70","1,067","152","888","27","6"
"Haymarket","1,877","1","0","0","0","1","27","1","26","0","0"
"Haysi","495","0","0","0","0","0","16","7","8","1","1"
"Herndon","23,966","28","0","5","5","18","367","27","332","8","0"
"Hillsville","2,704","7","0","1","2","4","88","8","79","1","0"
"Honaker","1,457","0","0","0","0","0","7","4","3","0","0"
"Hopewell","22,829","91","2","3","32","54","878","209","615","54","5"
"Hurt","1,304","1","1","0","0","0","6","1","2","3","0"
"Independence","946","2","0","0","0","2","12","0","11","1","0"
"Jonesville","1,026","4","0","0","1","3","21","3","18","0","0"
"Kenbridge","1,267","1","0","0","0","1","4","0","4","0","0"
"Kilmarnock","1,491","2","1","0","0","1","37","7","30","0","0"
"La Crosse","609","0","0","0","0","0","3","0","2","1","0"
"Lawrenceville","1,439","1","0","0","0","1","30","7","22","1","0"
"Lebanon","3,465","10","0","1","2","7","147","5","140","2","0"
"Leesburg","44,889","72","1","11","18","42","974","46","907","21","7"
"Lexington","7,072","1","0","0","0","1","88","37","51","0","0"
"Louisa","1,583","2","0","0","1","1","54","9","44","1","1"
"Luray","4,932","5","0","1","3","1","140","25","114","1","0"
"Lynchburg","77,347","267","3","34","46","184","2,093","365","1,659","69","13"
"Manassas","39,733","135","2","8","51","74","900","111","741","48","7"
"Manassas Park","15,501","21","0","1","1","19","233","20","200","13","0"
"Marion","6,001","24","0","0","5","19","194","31","156","7","4"
"Martinsville","13,708","39","1","6","7","25","412","77","315","20","5"
"Middleburg","709","1","0","0","0","1","9","0","9","0","0"
"Middletown","1,302","1","0","0","0","1","26","4","22","0","0"
"Mount Jackson","2,031","1","0","0","0","1","22","7","14","1","0"
"Narrows","2,033","5","0","1","0","4","20","3","17","0","0"
"New Market","2,185","1","0","0","0","1","24","5","19","0","0"
"Newport News","181,591","754","20","50","271","413","5,722","1,029","4,431","262","71"
"Norfolk","245,303","1,332","34","75","491","732","11,391","2,261","8,403","727","58"
"Norton","4,099","4","0","0","0","4","215","10","202","3","0"
"Occoquan","986","0","0","0","0","0","1","0","1","0","0"
"Onancock","1,284","2","0","2","0","0","16","3","13","0","0"
"Onley","524","0","0","0","0","0","4","0","4","0","0"
"Orange","4,831","3","0","1","1","1","131","12","118","1","0"
"Parksley","854","2","0","1","1","0","13","1","11","1","0"
"Pearisburg","2,791","2","0","1","0","1","94","4","90","0","1"
"Pembroke","1,128","1","0","0","0","1","36","6","30","0","0"
"Pennington Gap","1,857","1","0","0","1","0","73","17","56","0","2"
"Petersburg","32,682","172","5","7","56","104","1,311","391","820","100","5"
"Pocahontas","389","3","2","0","0","1","1","1","0","0","0"
"Poquoson","12,132","10","0","0","0","10","34","3","30","1","4"
"Portsmouth","96,739","461","11","41","182","227","4,821","1,218","3,392","211","14"
"Pound","1,051","1","0","0","0","1","16","5","10","1","0"
"Pulaski","9,116","35","0","3","7","25","347","56","281","10","2"
"Purcellville","8,132","4","0","1","0","3","59","3","54","2","0"
"Radford","16,595","78","1","9","9","59","457","102","336","19","2"
"Rich Creek","776","1","0","1","0","0","1","0","1","0","0"
"Richlands","5,839","9","0","0","4","5","265","49","212","4","3"
"Richmond","207,799","1,348","42","38","633","635","9,103","2,030","6,138","935","50"
"Roanoke","97,780","542","9","40","141","352","4,771","940","3,583","248","42"
"Rocky Mount","4,873","14","0","2","0","12","213","17","192","4","0"
"Rural Retreat","1,498","0","0","0","0","0","8","1","7","0","0"
"Salem","25,236","8","0","0","5","3","578","75","476","27","0"
"Saltville","2,089","2","0","0","0","2","66","18","46","2","0"
"Shenandoah","2,392","3","0","0","0","3","55","17","36","2","0"
"Smithfield","8,197","14","1","0","4","9","102","8","90","4","1"
"South Boston","8,191","29","0","1","8","20","432","91","327","14","1"
"South Hill","4,686","20","0","2","6","12","189","18","158","13","0"
"Stanley","1,702","1","0","1","0","0","30","5","24","1","0"
"Staunton","24,031","42","0","8","11","23","527","62","456","9","5"
"Stephens City","1,881","1","0","1","0","0","38","2","35","1","0"
"St. Paul","985","4","0","1","0","3","32","3","29","0","0"
"Strasburg","6,514","8","0","0","1","7","85","5","80","0","1"
"Tappahannock","2,411","11","0","3","2","6","146","25","120","1","0"
"Tazewell","4,640","7","0","1","0","6","144","56","86","2","1"
"Timberville","2,560","0","0","0","0","0","8","1","7","0","0"
"Victoria","1,739","7","0","0","1","6","16","4","11","1","2"
"Vienna","16,140","6","0","1","3","2","184","30","149","5","0"
"Vinton","8,220","36","0","1","2","33","240","23","212","5","0"
"Virginia Beach","447,588","758","21","58","326","353","11,717","1,573","9,662","482","123"
"Warrenton","9,842","22","0","3","4","15","190","16","172","2","0"
"Warsaw","1,524","0","0","0","0","0","17","2","14","1","0"
"Waverly","2,174","6","0","1","0","5","22","3","18","1","1"
"Waynesboro","21,546","70","0","11","9","50","744","88","617","39","1"
"Weber City","1,329","1","0","0","1","0","16","0","16","0","0"
"West Point","3,352","2","0","1","0","1","53","18","31","4","0"
"White Stone","352","0","0","0","0","0","3","0","3","0","0"
"Williamsburg","14,603","20","0","2","8","10","259","26","222","11","0"
"Winchester","26,880","59","0","9","17","33","1,194","161","1,004","29","5"
"Windsor","2,662","3","0","0","0","3","61","17","44","0","0"
"Wise","3,332","9","0","0","1","8","79","8","67","4","0"
"Woodstock","5,189","9","0","3","1","5","179","19","153","7","1"
"Wytheville","8,293","15","0","0","5","10","160","7","147","6","0"
