"Criminal Justice Information Services Division","Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home"
"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Forciblerape","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson"
"Alderson","1,193","0","0","0","0","0","30","5","25","0","0"
"Barboursville","3,976","2","0","0","1","1","370","32","338","0","1"
"Beckley","17,675","189","6","21","55","107","1,588","335","1,221","32","6"
"Belington","1,914","4","0","0","0","4","11","2","9","0","0"
"Benwood","1,406","0","0","0","0","0","1","0","1","0","0"
"Bridgeport","8,200","7","0","1","2","4","221","20","200","1","1"
"Capon Bridge","351","0","0","0","0","0","0","0","0","0","0"
"Chapmanville","1,222","3","0","0","0","3","50","5","44","1","0"
"Clarksburg","16,649","112","1","10","10","91","665","110","532","23","3"
"Clearview","562","0","0","0","0","0","0","0","0","0","0"
"Dunbar","7,876","38","0","5","7","26","238","70","155","13","1"
"East Bank","955","0","0","0","0","0","6","3","3","0","0"
"Eleanor","1,533","1","0","0","0","1","0","0","0","0","0"
"Elkins","7,108","64","0","5","3","56","283","70","210","3","4"
"Glasgow","901","1","0","0","0","1","6","1","5","0","0"
"Glen Dale","1,511","8","0","1","0","7","26","8","17","1","1"
"Glenville","1,538","0","0","0","0","0","18","3","15","0","0"
"Hamlin","1,134","16","0","0","0","16","26","1","24","1","0"
"Harpers Ferry/Bolivar","1,350","1","0","0","1","0","4","2","2","0","0"
"Harrisville","1,850","1","0","1","0","0","5","0","5","0","0"
"Hinton","2,664","13","0","0","4","9","165","50","115","0","0"
"Hurricane1","6,333","11","1","2","1","7","","31","","5","0"
"Kenova","3,188","10","0","0","1","9","171","38","127","6","1"
"Keyser","5,421","8","0","0","1","7","113","26","87","0","0"
"Kingwood","2,958","0","0","0","0","0","0","0","0","0","0"
"Lewisburg","3,859","8","0","2","0","6","160","6","147","7","0"
"Lumberport","884","0","0","0","0","0","1","0","1","0","0"
"Martinsburg","17,487","89","0","3","33","53","886","127","732","27","7"
"Mason","966","2","0","0","1","1","10","3","7","0","0"
"Matoaka","224","0","0","0","0","0","0","0","0","0","0"
"Milton","2,422","1","0","0","1","0","35","2","32","1","0"
"Monongah","1,050","0","0","0","0","0","0","0","0","0","0"
"Moorefield","2,523","21","0","0","0","21","21","4","16","1","1"
"Morgantown","30,294","107","1","4","26","76","823","175","632","16","9"
"Mount Hope","1,400","2","0","0","1","1","29","11","17","1","0"
"New Cumberland","1,100","0","0","0","0","0","1","1","0","0","0"
"Nitro","7,163","10","0","1","4","5","269","42","215","12","0"
"Nutter Fort","1,602","1","0","0","0","1","12","3","7","2","0"
"Oak Hill","7,672","9","0","1","0","8","196","53","137","6","0"
"Oceana","1,372","40","0","1","2","37","106","16","88","2","0"
"Paden City","2,601","0","0","0","0","0","1","1","0","0","0"
"Parkersburg","31,558","146","1","17","22","106","1,698","433","1,199","66","25"
"Parsons","1,452","0","0","0","0","0","0","0","0","0","0"
"Pennsboro","1,161","1","0","0","0","1","1","0","1","0","0"
"Philippi","2,955","33","0","0","0","33","22","12","10","0","0"
"Point Pleasant","4,343","7","1","1","0","5","143","32","104","7","0"
"Princeton","6,453","74","3","1","16","54","452","114","334","4","1"
"Ravenswood","3,876","9","0","0","2","7","70","9","59","2","0"
"Reedsville","597","0","0","0","0","0","0","0","0","0","0"
"Ridgeley","675","0","0","0","0","0","0","0","0","0","0"
"Ripley","3,255","0","0","0","0","0","11","1","10","0","0"
"Romney","1,837","1","0","0","0","1","2","2","0","0","0"
"Ronceverte","1,781","0","0","0","0","0","14","5","8","1","0"
"Shepherdstown","1,749","1","0","0","1","0","15","2","13","0","0"
"Shinnston","2,213","7","0","0","0","7","44","10","34","0","1"
"Sistersville","1,383","0","0","0","0","0","20","4","16","0","0"
"Sophia","1,348","6","0","1","1","4","71","22","46","3","0"
"South Charleston","13,396","74","0","3","15","56","492","66","411","15","1"
"Spencer","2,311","1","0","0","0","1","71","13","58","0","0"
"St. Albans","11,001","24","0","0","9","15","459","81","354","24","1"
"Stonewood","1,814","0","0","0","0","0","0","0","0","0","0"
"Summersville","3,576","42","0","0","0","42","122","9","108","5","2"
"Terra Alta","1,487","1","0","0","0","1","3","0","3","0","0"
"Triadelphia","804","0","0","0","0","0","1","1","0","0","0"
"Vienna","10,770","13","0","1","3","9","294","19","271","4","0"
"Wayne","1,425","0","0","0","0","0","10","2","8","0","0"
"Weirton","19,652","17","0","2","2","13","308","61","231","16","1"
"Welch","2,366","20","0","0","1","19","21","0","21","0","0"
"Wellsburg","2,778","1","0","0","0","1","37","7","28","2","0"
"Weston","4,107","0","0","0","0","0","8","1","7","0","0"
"West Union","821","0","0","0","0","0","6","4","2","0","0"
"Wheeling","28,356","245","0","17","42","186","767","265","455","47","1"
"White Sulphur Springs","2,464","0","0","0","0","0","1","1","0","0","0"
"Williamson","3,164","9","0","0","2","7","49","17","30","2","0"
"Winfield","2,322","1","0","0","1","0","10","0","10","0","0"
