"Criminal Justice Information Services Division","Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home"
"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Forciblerape","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson"
"Adams","1,957","3","0","0","0","3","97","25","72","0","0"
"Albany","1,022","5","0","0","0","5","24","3","20","1","0"
"Algoma","3,177","4","0","2","0","2","99","2","95","2","0"
"Altoona","6,806","36","0","5","2","29","106","15","87","4","0"
"Amery","2,898","4","0","0","0","4","51","16","35","0","0"
"Antigo","8,177","24","0","0","0","24","551","83","448","20","0"
"Appleton","73,431","213","0","28","22","163","1,392","254","1,111","27","3"
"Arcadia","2,952","3","0","0","0","3","24","3","21","0","0"
"Ashland","8,230","31","0","1","2","28","455","56","386","13","1"
"Ashwaubenon","17,204","41","1","6","2","32","662","55","594","13","0"
"Athens","1,110","2","0","0","0","2","6","0","5","1","0"
"Bangor","1,477","0","0","0","0","0","25","3","22","0","0"
"Baraboo","12,138","25","0","4","2","19","446","52","388","6","5"
"Barneveld","1,229","0","0","0","0","0","15","0","15","0","0"
"Bayfield","491","0","0","0","0","0","11","2","8","1","0"
"Beaver Dam","16,235","8","0","0","3","5","490","83","402","5","0"
"Belleville","2,425","0","0","0","0","0","11","0","11","0","0"
"Beloit","37,008","119","1","8","38","72","1,294","299","946","49","13"
"Beloit Town","7,672","23","0","1","9","13","154","32","116","6","0"
"Berlin","5,551","3","0","1","0","2","168","24","141","3","2"
"Big Bend","1,296","1","0","0","0","1","50","15","32","3","0"
"Black River Falls","3,652","12","0","1","0","11","195","8","187","0","0"
"Blair","1,379","1","0","1","0","0","10","4","6","0","0"
"Blanchardville","826","0","0","0","0","0","4","0","3","1","0"
"Bloomer","3,569","2","0","1","0","1","30","8","21","1","6"
"Bloomfield","6,317","11","0","1","0","10","95","13","76","6","0"
"Boscobel","3,240","31","0","0","0","31","63","15","48","0","0"
"Brandon-Fairwater","1,260","0","0","0","0","0","5","0","5","0","0"
"Brillion","3,190","2","0","0","0","2","35","7","28","0","0"
"Brodhead","3,304","4","0","2","1","1","93","7","79","7","0"
"Brookfield","38,098","19","3","1","4","11","1,108","85","1,012","11","0"
"Brookfield Township","6,145","16","0","0","1","15","139","14","123","2","0"
"Brown Deer","12,092","14","0","0","2","12","331","55","265","11","1"
"Burlington","10,490","16","0","2","2","12","292","24","266","2","0"
"Butler","1,851","6","0","1","0","5","44","15","26","3","0"
"Caledonia","24,764","55","0","2","5","48","348","85","256","7","0"
"Campbellsport","2,030","0","0","0","0","0","16","5","11","0","0"
"Campbell Township","4,362","5","0","1","1","3","98","21","76","1","0"
"Cashton","1,114","0","0","0","0","0","2","2","0","0","0"
"Cedarburg","11,465","2","0","0","0","2","127","14","111","2","0"
"Chenequa","593","0","0","0","0","0","1","0","1","0","0"
"Chetek","2,228","3","0","0","1","2","24","6","18","0","0"
"Chilton","3,984","5","0","0","1","4","49","4","44","1","0"
"Chippewa Falls","13,773","28","0","3","4","21","219","55","154","10","0"
"Cleveland","1,481","0","0","0","0","0","14","2","10","2","0"
"Clinton","2,158","1","0","0","1","0","27","5","21","1","0"
"Clintonville","4,594","5","0","3","1","1","237","24","210","3","1"
"Colby-Abbotsford","4,181","2","0","0","0","2","52","12","39","1","0"
"Columbus","5,010","7","0","1","0","6","115","16","99","0","0"
"Cornell","1,479","0","0","0","0","0","44","4","38","2","0"
"Cottage Grove","6,311","4","0","0","0","4","158","21","132","5","3"
"Crandon","1,911","1","0","0","0","1","42","3","36","3","0"
"Cross Plains","3,612","1","0","1","0","0","41","1","38","2","0"
"Cuba City","2,090","0","0","0","0","0","33","4","29","0","0"
"Cumberland","2,176","3","1","0","0","2","56","7","49","0","0"
"Dane","1,014","0","0","0","0","0","0","0","0","0","0"
"Darien","1,589","3","0","0","0","3","21","1","20","0","0"
"Darlington","2,455","3","0","0","2","1","38","6","32","0","0"
"Deforest","9,108","8","0","2","1","5","115","12","102","1","0"
"Delafield","7,118","2","0","1","1","0","171","15","155","1","0"
"Delavan","8,514","11","0","1","3","7","283","23","250","10","0"
"Delavan Town","5,319","2","0","1","0","1","120","25","87","8","0"
"Denmark","2,154","0","0","0","0","0","7","1","6","0","0"
"De Pere","24,122","20","3","5","1","11","285","49","231","5","0"
"Dodgeville","4,689","5","0","0","0","5","51","8","41","2","0"
"Durand","1,923","2","0","0","0","2","13","2","8","3","1"
"Eagle River","1,403","3","0","1","0","2","78","9","67","2","0"
"Edgar","1,485","0","0","0","0","0","3","0","3","0","0"
"Edgerton","5,468","5","0","0","3","2","132","20","110","2","0"
"Eleva","677","0","0","0","0","0","11","5","5","1","0"
"Elkhart Lake","966","0","0","0","0","0","25","1","23","1","0"
"Elkhorn","10,144","6","0","0","1","5","216","29","184","3","0"
"Elk Mound","882","0","0","0","0","0","10","1","9","0","0"
"Ellsworth","3,289","2","0","0","1","1","78","11","62","5","1"
"Elm Grove","5,962","1","0","0","0","1","46","12","34","0","0"
"Evansville","5,019","7","0","0","0","7","121","21","98","2","0"
"Everest","17,123","16","1","1","1","13","352","67","275","10","5"
"Fall Creek","1,333","0","0","0","0","0","28","19","9","0","0"
"Fall River","1,718","0","0","0","0","0","24","6","16","2","2"
"Fennimore","2,502","0","0","0","0","0","121","22","99","0","0"
"Fitchburg","25,731","52","3","5","11","33","491","80","395","16","0"
"Fond du Lac","43,319","183","0","35","11","137","1,210","118","1,057","35","6"
"Fontana","1,682","5","0","0","0","5","25","4","21","0","0"
"Fort Atkinson","12,439","16","0","0","0","16","267","34","226","7","2"
"Fountain City","859","2","0","1","0","1","4","2","2","0","0"
"Fox Lake","1,521","0","0","0","0","0","6","2","4","0","0"
"Fox Point","6,751","0","0","0","0","0","82","14","66","2","0"
"Fox Valley Metro","20,425","17","0","1","2","14","276","48","223","5","1"
"Franklin","35,711","16","0","4","3","9","766","90","669","7","1"
"Frederic","1,135","1","0","0","0","1","11","1","10","0","0"
"Freedom","5,892","1","0","0","0","1","12","2","9","1","0"
"Geneva Town","5,024","0","0","0","0","0","108","25","82","1","0"
"Genoa City","3,060","0","0","0","0","0","37","7","29","1","0"
"Germantown","19,874","11","0","1","4","6","387","29","351","7","0"
"Gillett","1,384","0","0","0","0","0","19","6","13","0","0"
"Glendale","12,968","23","0","0","19","4","938","34","867","37","0"
"Grafton","11,510","5","0","0","1","4","164","12","151","1","1"
"Grand Chute","21,102","29","1","0","7","21","843","54","766","23","3"
"Grand Rapids","7,670","0","0","0","0","0","46","11","34","1","0"
"Green Bay","106,080","514","1","44","87","382","2,978","659","2,210","109","15"
"Greendale","14,153","11","0","0","1","10","522","27","489","6","0"
"Greenfield","36,998","53","1","4","24","24","1,269","163","1,074","32","6"
"Green Lake","965","2","0","0","1","1","17","1","15","1","0"
"Hales Corners","7,750","7","0","3","2","2","147","17","125","5","0"
"Hartford","14,314","8","0","0","2","6","317","43","269","5","0"
"Hartland","9,159","8","0","4","0","4","110","13","97","0","0"
"Hazel Green","1,260","1","0","0","0","1","9","2","7","0","0"
"Highland","841","0","0","0","0","0","20","15","5","0","0"
"Hobart-Lawrence","10,615","6","0","0","0","6","69","16","49","4","0"
"Holmen","9,104","10","0","0","1","9","240","90","146","4","0"
"Horicon","3,660","0","0","0","0","0","60","3","57","0","0"
"Hortonville","2,735","0","0","0","0","0","82","6","76","0","0"
"Hudson","12,848","6","0","2","0","4","500","29","457","14","1"
"Independence","1,348","0","0","0","0","0","13","6","5","2","0"
"Iron Ridge","930","0","0","0","0","0","11","4","7","0","0"
"Iron River","1,133","2","0","0","0","2","16","10","6","0","0"
"Jackson","6,796","3","0","1","0","2","49","7","42","0","0"
"Janesville","63,642","179","2","21","35","121","2,463","339","2,059","65","6"
"Jefferson","8,017","15","1","5","0","9","256","23","229","4","1"
"Juneau","2,819","1","1","0","0","0","47","7","40","0","1"
"Kaukauna","15,601","17","0","3","2","12","186","14","170","2","0"
"Kenosha","99,993","274","1","36","105","132","2,999","707","2,194","98","15"
"Kewaskum","4,030","1","0","0","1","0","39","7","32","0","0"
"Kewaunee","2,963","3","1","0","0","2","56","8","48","0","0"
"Kiel","3,730","6","0","0","1","5","65","6","58","1","0"
"Kronenwetter","7,248","6","0","3","0","3","59","15","41","3","0"
"La Crosse","51,851","154","4","21","38","91","1,954","404","1,501","49","2"
"Ladysmith","3,392","8","0","0","1","7","8","1","6","1","0"
"Lake Delton","2,946","19","0","4","2","13","625","27","591","7","1"
"Lake Geneva","7,699","14","0","0","3","11","266","35","225","6","0"
"Lake Hallie","6,503","18","0","1","2","15","259","21","231","7","0"
"Lake Mills","5,741","3","0","2","0","1","43","8","35","0","0"
"Lancaster","3,878","3","0","0","0","3","46","4","41","1","0"
"Lodi","3,062","2","0","0","0","2","72","11","60","1","0"
"Lomira","2,433","3","0","2","0","1","49","3","45","1","0"
"Luxemburg","2,524","0","0","0","0","0","23","0","19","4","0"
"Madison","237,508","897","3","114","241","539","7,753","1,601","5,898","254","45"
"Manawa","1,381","1","0","0","0","1","11","5","5","1","0"
"Manitowoc","33,631","62","0","4","12","46","991","128","844","19","3"
"Marathon City","1,533","5","0","0","0","5","12","2","10","0","0"
"Marinette","10,971","11","0","2","9","0","443","67","360","16","1"
"Marion","1,270","2","0","1","0","1","29","4","24","1","0"
"Markesan","1,483","0","0","0","0","0","37","4","33","0","0"
"Marshall Village","3,937","1","0","1","0","0","58","11","47","0","1"
"Marshfield","19,178","13","1","1","4","7","558","68","476","14","0"
"Mauston","4,444","18","0","4","1","13","151","21","125","5","0"
"Mayville","5,159","1","0","0","0","1","96","12","83","1","0"
"McFarland","7,957","3","0","0","0","3","151","14","136","1","0"
"Medford","4,332","1","0","1","0","0","69","4","63","2","0"
"Menasha","17,487","34","0","10","2","22","429","68","354","7","1"
"Menomonee Falls","35,795","14","0","1","6","7","408","51","346","11","0"
"Mequon","23,237","16","0","0","3","13","198","66","129","3","0"
"Merrill","9,639","32","0","3","0","29","272","62","204","6","3"
"Middleton","17,774","17","0","4","8","5","423","86","329","8","0"
"Milton","5,552","16","0","0","7","9","126","16","107","3","0"
"Milwaukee","599,395","7,759","91","230","3,027","4,411","30,228","6,977","18,448","4,803","306"
"Mineral Point","2,485","1","0","0","0","1","53","6","46","1","0"
"Minocqua","4,372","17","0","2","0","15","132","12","118","2","0"
"Mishicot","1,439","0","0","0","0","0","1","0","1","0","0"
"Monona","7,678","6","0","0","3","3","516","28","480","8","0"
"Monroe","10,869","12","0","0","0","12","309","30","272","7","1"
"Montello","1,502","4","0","0","0","4","31","5","26","0","0"
"Mosinee","4,007","1","0","0","0","1","115","16","96","3","0"
"Mount Horeb","7,142","3","1","1","1","0","125","17","107","1","0"
"Mount Pleasant","26,262","19","1","2","7","9","890","105","770","15","1"
"Mukwonago","7,389","6","0","0","0","6","155","18","134","3","0"
"Mukwonago Town","7,996","0","0","0","0","0","50","5","45","0","0"
"Muskego","24,249","4","0","1","1","2","243","52","181","10","1"
"Neenah","25,681","35","0","2","2","31","495","76","404","15","0"
"Neillsville","2,473","1","0","0","0","1","42","5","37","0","0"
