"Criminal Justice Information Services Division","Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home"
"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson"
"Anchorage","299,455","2,435","14","408","","522","1,491","12,032","1,318","9,845","869","74"
"Bethel","6,463","56","0","10","","2","44","149","26","78","45","17"
"Bristol Bay Borough","985","1","1","0","","0","0","9","0","3","6","0"
"Cordova","2,273","9","0","0","","0","9","35","0","33","2","0"
"Craig","1,263","27","0","0","","0","27","26","4","21","1","1"
"Dillingham","2,438","47","0","16","","1","30","42","2","28","12","0"
"Fairbanks","32,505","213","0","34","","37","142","1,269","116","1,050","103","4"
"Haines","2,561","7","0","0","","0","7","62","12","48","2","0"
"Homer","5,309","63","0","0","","1","62","238","15","213","10","0"
"Juneau","32,946","134","0","18","","15","101","1,063","101","926","36","10"
"Kenai","7,422","30","0","6","","1","23","301","47","236","18","0"
"Ketchikan","8,305","32","0","4","","1","27","278","16","256","6","0"
"Kodiak","6,564","87","0","1","","4","82","290","36","235","19","2"
"Kotzebue","3,375","85","0","24","","3","58","168","25","110","33","3"
"Nome","3,805","34","0","4","","1","29","56","10","40","6","0"
"North Pole","2,236","19","0","1","","1","17","79","6","67","6","2"
"North Slope Borough","9,674","79","0","9","","1","69","121","34","72","15","2"
"Palmer","6,453","20","0","7","","0","13","163","13","145","5","2"
"Petersburg","2,981","6","0","0","","0","6","88","16","69","3","0"
"Seward","2,749","6","0","0","","1","5","115","13","97","5","0"
"Sitka","9,093","7","0","0","","0","7","207","21","174","12","1"
"Skagway","956","3","0","0","","0","3","10","1","9","0","0"
"Soldotna","4,418","19","0","5","","2","12","154","8","138","8","1"
"Unalaska","4,340","15","0","2","","0","13","74","3","66","5","1"
"Valdez","4,032","16","0","0","","0","16","97","11","82","4","0"
"Wasilla","8,645","42","1","4","","6","31","627","64","520","43","1"
"Wrangell","2,414","6","0","0","","0","6","23","6","16","1","0"
