"Criminal Justice Information Services Division","Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home"
"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson"
"Bisbee","5,463","74","1","","1","0","72","217","8","202","7","0"
"Buckeye","55,710","49","1","","1","17","30","1,328","334","925","69","8"
"Bullhead City","39,577","76","0","","0","25","51","1,716","363","1,252","101","11"
"Camp Verde","10,942","33","0","","2","0","31","259","57","185","17","0"
"Casa Grande","50,058","229","5","","12","57","155","1,975","474","1,415","86","37"
"Chandler","248,718","575","2","","52","162","359","5,900","993","4,628","279","77"
"Chino Valley","10,850","50","1","","1","2","46","207","34","163","10","0"
"Clarkdale","4,090","5","0","","1","0","4","51","19","32","0","1"
"Clifton","3,499","11","0","","0","0","11","42","8","31","3","0"
"Coolidge","11,820","66","0","","5","13","48","662","144","488","30","4"
"Cottonwood","11,285","44","0","","1","3","40","401","40","346","15","7"
"Eagar","5,034","15","0","","0","1","14","106","25","75","6","0"
"El Mirage","32,837","86","1","","4","18","63","1,173","297","802","74","5"
"Eloy","17,602","72","1","","8","7","56","506","156","311","39","28"
"Flagstaff","67,963","246","1","","25","43","177","2,869","220","2,594","55","25"
"Florence","26,682","24","1","","0","2","21","198","29","168","1","0"
"Fredonia","1,318","3","0","","0","0","3","12","4","8","0","1"
"Gilbert","225,232","193","1","14","","47","131","3,472","647","2,672","153","22"
"Glendale","234,006","905","13","","49","335","508","13,626","2,410","10,166","1,050","60"
"Globe","7,414","77","0","","0","7","70","488","122","365","1","5"
"Goodyear","71,048","94","4","","16","20","54","1,716","433","1,201","82","31"
"Holbrook","4,988","49","0","","0","6","43","362","109","237","16","2"
"Huachuca City","1,811","0","0","0","","0","0","13","4","8","1","0"
"Jerome","444","3","0","","0","0","3","21","5","16","0","0"
"Kearny","2,010","8","0","","0","0","8","30","16","14","0","0"
"Kingman","28,400","128","1","","11","19","97","1,621","398","1,159","64","2"
"Lake Havasu City","52,891","87","1","","17","11","58","1,252","285","899","68","6"
"Mammoth","1,473","5","0","","0","0","5","26","5","20","1","1"
"Marana","37,469","37","1","","4","10","22","1,056","134","882","40","4"
"Maricopa","44,871","62","0","","10","6","46","819","155","633","31","2"
"Mesa","456,155","1,807","22","","203","478","1,104","12,916","2,357","9,607","952","124"
"Miami","1,793","19","0","","0","1","18","82","52","27","3","13"
"Nogales","20,736","39","0","","0","5","34","523","94","372","57","0"
"Page","7,330","59","1","","2","4","52","467","48","391","28","12"
"Paradise Valley","13,286","13","0","","1","0","12","215","63","146","6","1"
"Payson","15,192","56","1","","4","3","48","483","94","368","21","0"
"Peoria","161,641","254","4","","16","59","175","3,830","717","2,906","207","7"
"Phoenix","1,502,139","9,492","118","","635","3,233","5,506","60,085","16,747","36,983","6,355","269"
"Pima","2,427","4","0","","0","0","4","56","11","42","3","0"
"Pinetop-Lakeside","4,266","34","0","","2","1","31","193","21","170","2","1"
"Prescott","40,752","124","0","","7","11","106","1,085","182","855","48","4"
"Prescott Valley","39,209","82","0","","6","6","70","751","109","612","30","3"
"Quartzsite3","3,648","16","0","","0","0","16","93","19","70","4","0"
"Sahuarita","26,535","17","0","","2","1","14","349","37","304","8","2"
"San Luis","28,231","37","1","","4","3","29","539","139","345","55","1"
"Scottsdale","225,523","337","4","","37","101","195","5,766","1,093","4,465","208","15"
"Sedona","10,036","20","0","","6","1","13","217","41","171","5","1"
"Show Low","10,732","125","0","","6","6","113","577","73","494","10","2"
"Snowflake-Taylor","9,651","21","0","","0","2","19","109","37","68","4","1"
"Somerton","15,014","15","0","","0","1","14","187","48","119","20","0"
"South Tucson","5,694","150","5","","16","40","89","849","104","714","31","1"
"Springerville","2,009","9","0","","2","0","7","60","13","44","3","2"
"St. Johns","3,584","19","0","","3","0","16","127","44","76","7","0"
"Surprise","122,497","149","0","","14","49","86","2,120","402","1,572","146","6"
"Tempe","168,501","831","3","","62","224","542","7,876","1,276","6,113","487","44"
"Thatcher","4,999","1","0","","0","0","1","144","31","113","0","0"
"Tolleson","6,754","37","1","","1","10","25","676","194","441","41","2"
"Tucson","525,486","3,368","47","","216","1,002","2,103","34,587","4,957","27,440","2,190","151"
"Wickenburg","6,583","15","0","","3","1","11","197","81","108","8","0"
"Willcox","3,678","11","0","","3","3","5","263","37","210","16","0"
"Williams","3,019","12","0","","2","2","8","97","25","70","2","1"
"Winslow","9,326","95","1","","1","10","83","385","57","318","10","1"
"Yuma","96,014","587","5","46","","64","472","3,375","805","2,348","222","25"
