"Criminal Justice Information Services Division","Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home"
"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson"
"Arkadelphia","10,829","40","1","6","","4","29","358","93","255","10","2"
"Ashdown","4,616","11","0","3","","1","7","173","21","150","2","1"
"Ash Flat","1,069","1","1","0","","0","0","19","4","14","1","0"
"Atkins","3,036","2","0","0","","0","2","99","29","63","7","0"
"Bald Knob","2,931","3","0","1","","0","2","152","28","115","9","1"
"Barling","4,733","19","0","1","","0","18","100","17","76","7","1"
"Bay","1,825","1","0","1","","0","0","33","15","18","0","0"
"Bearden","930","4","0","0","","0","4","32","16","13","3","0"
"Beebe","7,744","19","0","3","","3","13","314","110","183","21","0"
"Bella Vista","27,606","26","0","8","","1","17","133","55","73","5","1"
"Benton","32,548","107","0","12","","18","77","1,370","313","976","81","4"
"Bentonville","39,132","61","0","12","","2","47","686","117","557","12","2"
"Berryville","5,417","7","0","2","","0","5","285","71","206","8","0"
"Blytheville","15,220","235","3","12","","53","167","1,281","535","695","51","6"
"Booneville","3,922","4","0","2","","0","2","165","38","122","5","0"
"Bradford","768","3","0","0","","0","3","27","9","18","0","1"
"Brinkley","3,024","13","0","0","","6","7","74","28","43","3","1"
"Brookland","1,863","2","0","0","","0","2","33","14","14","5","1"
"Bryant","19,366","12","0","5","","7","0","905","204","668","33","0"
"Bull Shoals","1,975","8","0","1","","0","7","28","9","18","1","0"
"Cabot","24,695","55","0","11","","13","31","923","393","486","44","0"
"Caddo Valley","622","1","0","1","","0","0","38","8","29","1","0"
"Camden","11,726","63","0","7","","14","42","484","129","345","10","1"
"Cammack Village","760","0","0","0","","0","0","18","7","11","0","0"
"Caraway","1,279","6","0","0","","1","5","9","9","0","0","1"
"Carlisle","2,210","12","0","3","","2","7","61","34","25","2","0"
"Cave City","1,881","4","0","2","","0","2","46","16","25","5","1"
"Cave Springs","2,060","5","0","0","","0","5","26","15","11","0","0"
"Centerton","10,377","19","0","2","","1","16","63","18","44","1","1"
"Charleston","2,532","11","0","2","","0","9","31","11","20","0","0"
"Cherokee Village","4,613","8","0","6","","0","2","96","39","55","2","0"
"Clarendon","1,576","2","0","0","","0","2","19","8","10","1","0"
"Clarksville","9,319","15","0","8","","0","7","374","86","283","5","2"
"Clinton","2,561","3","0","1","","0","2","58","9","41","8","0"
"Conway","64,060","239","1","22","","49","167","2,774","367","2,299","108","6"
"Corning","3,254","13","0","1","","0","12","40","24","14","2","3"
"Cotter","954","2","0","0","","0","2","14","0","14","0","0"
"Crossett","5,383","27","0","3","","2","22","338","160","171","7","3"
"Danville","2,370","3","0","1","","0","2","15","6","8","1","0"
"Dardanelle","4,672","21","0","5","","5","11","234","94","130","10","0"
"Decatur","1,766","9","0","1","","0","8","24","12","12","0","0"
"De Queen","6,636","11","0","4","","1","6","204","58","133","13","1"
"Dermott","2,775","3","0","0","","0","3","28","21","7","0","1"
"Des Arc","1,657","0","0","0","","0","0","12","4","7","1","0"
"De Witt","3,259","20","0","1","","2","17","133","51","78","4","0"
"Diaz","1,274","6","0","0","","0","6","35","18","15","2","0"
"Dover","1,393","2","0","2","","0","0","46","14","31","1","1"
"Dumas","4,481","11","0","0","","5","6","81","33","43","5","0"
"Earle","2,342","4","0","0","","1","3","87","39","46","2","1"
"El Dorado","18,375","164","1","13","","17","133","982","364","565","53","4"
"England","2,806","22","0","2","","5","15","97","30","63","4","0"
"Eudora","2,169","8","0","0","","0","8","94","36","53","5","2"
"Fairfield Bay","2,295","5","0","1","","0","4","48","18","28","2","0"
"Farmington","6,230","22","1","7","","1","13","84","16","66","2","1"
"Fayetteville","77,900","339","3","33","","33","270","3,171","538","2,473","160","7"
"Flippin","1,343","3","1","0","","0","2","78","9","69","0","0"
"Fordyce","4,218","16","0","3","","1","12","212","71","136","5","3"
"Forrest City","15,184","135","3","4","","29","99","1,080","338","715","27","4"
"Fort Smith","87,821","606","4","79","","94","429","4,621","975","3,447","199","9"
"Gassville","2,048","1","0","0","","0","1","42","9","31","2","0"
"Gentry","3,341","6","0","1","","0","5","28","12","16","0","0"
"Glenwood","2,218","7","0","0","","0","7","61","21","39","1","0"
"Gosnell","3,455","25","0","1","","0","24","77","45","30","2","0"
"Gravette","2,409","4","0","1","","0","3","50","23","24","3","0"
"Greenbrier","5,082","0","0","0","","0","0","8","2","5","1","0"
"Green Forest","2,768","14","0","3","","1","10","80","16","61","3","0"
"Greenland","1,312","6","2","0","","0","4","21","8","12","1","0"
"Greenwood","9,223","19","0","0","","0","19","56","28","27","1","0"
"Greers Ferry","881","3","0","0","","0","3","23","6","14","3","1"
"Gurdon","2,184","12","1","0","","0","11","45","26","19","0","0"
"Hamburg","2,828","22","0","0","","0","22","50","26","24","0","1"
"Hampton","1,306","5","0","0","","1","4","33","12","21","0","0"
"Hardy","763","2","0","0","","0","2","46","13","30","3","0"
"Harrisburg","2,317","10","0","2","","0","8","80","24","56","0","1"
"Harrison","13,234","71","0","13","","2","56","692","168","502","22","2"
"Heber Springs","7,146","18","0","2","","2","14","323","125","184","14","1"
"Helena-West Helena","11,591","148","3","16","","42","87","846","347","486","13","15"
"Highfill","620","0","0","0","","0","0","7","2","5","0","1"
"Highland","1,031","1","0","0","","0","1","6","2","4","0","0"
"Hope","10,020","82","2","13","","10","57","547","189","340","18","5"
"Hot Springs","35,551","140","7","25","","57","51","3,181","721","2,294","166","3"
"Hoxie","2,690","6","0","2","","1","3","20","6","11","3","0"
"Jacksonville","28,739","217","3","9","","23","182","1,443","339","1,035","69","6"
"Jonesboro","71,114","313","2","36","","58","217","2,995","979","1,930","86","12"
"Kensett","1,682","3","0","0","","1","2","51","16","31","4","0"
"Lake City","2,199","3","0","0","","1","2","8","4","2","2","0"
"Lakeview","727","1","0","0","","0","1","12","3","9","0","0"
"Lake Village","2,482","31","1","0","","1","29","113","33","77","3","1"
"Lamar","1,678","3","0","3","","0","0","37","13","23","1","0"
"Leachville","1,941","5","0","1","","0","4","18","7","9","2","0"
"Lepanto","1,861","10","0","1","","0","9","60","12","46","2","0"
"Lincoln","2,345","3","0","0","","1","2","23","13","9","1","0"
"Little Rock","197,399","2,777","35","119","","944","1,679","15,529","3,794","10,655","1,080","93"
"Lonoke","4,244","32","0","2","","5","25","216","56","158","2","0"
"Lowell","7,832","6","0","3","","0","3","152","35","108","9","0"
"Magnolia","11,682","48","0","2","","7","39","510","280","222","8","4"
"Malvern","10,981","8","1","1","","2","4","49","22","25","2","0"
"Marianna","4,035","8","0","2","","6","0","198","99","95","4","3"
"Marion","12,258","91","0","13","","8","70","405","144","244","17","5"
"Marmaduke","1,147","4","0","1","","0","3","37","8","27","2","1"
"Marvell","1,112","2","0","0","","0","2","18","7","10","1","0"
"Maumelle","17,686","20","0","3","","6","11","368","74","281","13","0"
"Mayflower","2,336","6","0","1","","0","5","57","6","43","8","0"
"McCrory","1,673","0","0","0","","0","0","32","5","27","0","0"
"McGehee","4,024","57","0","2","","2","53","181","111","68","2","0"
"McRae","691","1","0","0","","0","1","26","11","15","0","0"
"Mena","5,721","21","0","4","","0","17","319","94","219","6","0"
"Mineral Springs","1,200","1","0","0","","0","1","27","16","11","0","0"
"Monette","1,502","3","0","1","","0","2","14","4","10","0","0"
"Monticello","9,830","47","0","4","","2","41","495","120","354","21","1"
"Morrilton","6,789","18","1","2","","0","15","356","40","310","6","3"
"Mountain Home","12,246","24","0","21","","0","3","567","46","507","14","0"
"Mountain View","2,838","10","0","0","","0","10","113","23","88","2","0"
"Mulberry","1,634","10","0","2","","2","6","87","33","54","0","1"
"Murfreesboro","1,635","0","0","0","","0","0","8","0","8","0","0"
"Nashville","4,607","5","0","0","","0","5","290","112","176","2","1"
"Newport","7,658","28","0","7","","16","5","609","190","406","13","2"
"North Little Rock","65,398","461","13","11","","138","299","3,901","864","2,762","275","10"
"Ola","1,257","3","0","0","","1","2","27","6","21","0","0"
"Osceola","7,494","99","0","12","","7","80","459","188","258","13","2"
"Ozark","3,653","18","0","8","","1","9","153","51","97","5","0"
"Pangburn","607","0","0","0","","0","0","33","11","21","1","0"
"Paragould","27,294","127","0","23","","18","86","1,692","483","1,073","136","11"
"Paris","3,457","35","0","2","","2","31","238","112","114","12","0"
"Pea Ridge","5,006","6","0","2","","1","3","63","18","44","1","1"
"Perryville","1,448","1","0","0","","0","1","25","3","22","0","0"
"Piggott","3,751","9","0","2","","0","7","153","87","65","1","0"
"Plummerville","822","7","0","1","","1","5","16","5","11","0","0"
"Pottsville","3,064","6","0","1","","0","5","48","18","27","3","1"
"Prairie Grove","4,737","14","0","2","","0","12","81","16","64","1","0"
"Quitman","752","0","0","0","","0","0","26","7","19","0","1"
"Redfield","1,428","1","0","1","","0","0","21","6","15","0","0"
"Rison","1,329","2","0","0","","0","2","42","32","8","2","0"
"Rogers","59,787","208","0","31","","11","166","1,709","225","1,453","31","1"
"Russellville","28,760","94","0","14","","16","64","1,150","227","832","91","3"
"Salem","1,650","8","0","0","","0","8","42","19","23","0","0"
"Sheridan","4,834","13","0","2","","0","11","196","60","132","4","2"
"Sherwood","29,900","130","1","10","","17","102","1,290","356","868","66","1"
"Siloam Springs","15,873","46","0","8","","1","37","514","155","346","13","2"
"Springdale","73,939","354","3","77","","29","245","2,651","473","2,056","122","13"
"Stamps","1,635","4","0","0","","2","2","34","12","20","2","1"
"Star City","2,206","12","0","3","","0","9","31","15","16","0","1"
"Stuttgart","9,263","44","1","1","","10","32","451","210","222","19","8"
"Swifton","773","0","0","0","","0","0","13","4","8","1","0"
"Texarkana","30,074","305","2","17","","44","242","1,704","409","1,237","58","2"
"Trumann","7,163","60","0","8","","4","48","589","173","404","12","5"
"Van Buren","23,063","107","0","10","","6","91","892","256","609","27","2"
"Vilonia","4,202","6","0","2","","0","4","104","45","56","3","0"
"Waldron","3,516","16","0","2","","1","13","198","75","119","4","2"
"Walnut Ridge","4,714","6","0","0","","0","6","82","27","54","1","0"
"Ward","4,454","28","0","2","","1","25","125","49","71","5","0"
"Warren","5,947","22","0","3","","5","14","123","79","42","2","0"
"White Hall","5,381","5","1","1","","0","3","102","37","59","6","1"
"Wynne","8,323","33","5","5","","4","19","458","166","286","6","1"
