"Criminal Justice Information Services Division","Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home"
"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson"
"Arvada","110,792","163","0","33","","34","96","2,666","331","2,138","197","22"
"Aspen","6,685","14","0","5","","0","9","314","17","286","11","0"
"Ault","1,565","0","0","0","","0","0","2","0","0","2","0"
"Aurora","343,484","1,436","23","224","","468","721","10,786","1,981","7,805","1,000","80"
"Avon","6,336","9","0","3","","0","6","140","12","124","4","1"
"Basalt","3,818","2","0","0","","0","2","63","11","50","2","0"
"Berthoud","5,316","3","0","1","","1","1","45","13","28","4","0"
"Black Hawk","119","6","0","3","","2","1","205","2","195","8","0"
"Blue River","854","1","0","0","","1","0","4","0","4","0","0"
"Boulder","102,828","218","0","38","","40","140","2,948","612","2,236","100","27"
"Bow Mar","900","0","0","0","","0","0","10","3","7","0","0"
"Breckenridge","4,568","22","1","4","","2","15","349","19","328","2","1"
"Broomfield","59,424","33","1","12","","6","14","1,204","106","1,054","44","4"
"Brush","5,529","6","0","1","","1","4","36","10","19","7","0"
"Buena Vista","2,678","0","0","0","","0","0","5","0","4","1","0"
"Burlington","3,939","11","0","3","","0","8","98","23","71","4","1"
"Campo","109","0","0","0","","0","0","0","0","0","0","0"
"Canon City","16,474","80","0","3","","7","70","595","94","482","19","7"
"Carbondale","6,522","11","0","6","","0","5","87","5","80","2","1"
"Castle Rock","52,309","45","0","12","","6","27","556","83","448","25","7"
"Cedaredge","2,192","0","0","0","","0","0","29","13","16","0","0"
"Centennial","104,771","141","6","25","","20","90","1,194","186","936","72","16"
"Center","2,281","10","0","0","","2","8","49","16","33","0","0"
"Central City","675","4","0","0","","0","4","45","2","40","3","0"
"Cherry Hills Village","6,297","1","0","0","","0","1","55","13","37","5","0"
"Colorado Springs","436,108","1,893","26","370","","418","1,079","18,175","3,726","12,521","1,928","62"
"Columbine Valley","1,315","0","0","0","","0","0","7","3","4","0","0"
"Commerce City","49,200","156","1","36","","20","99","1,546","250","1,113","183","7"
"Cortez","8,470","18","2","4","","0","12","348","16","321","11","1"
"Craig","8,909","18","0","6","","0","12","238","47","182","9","2"
"Crested Butte","1,510","0","0","0","","0","0","21","7","14","0","0"
"Cripple Creek","1,179","9","0","2","","1","6","75","11","60","4","0"
"Dacono","4,373","1","0","0","","0","1","1","0","0","1","0"
"Del Norte","1,675","1","0","0","","0","1","33","4","28","1","0"
"Delta","8,799","25","0","16","","1","8","380","52","303","25","1"
"Denver","648,981","4,087","40","514","","1,132","2,401","23,711","4,918","15,306","3,487","96"
"Dillon","906","2","0","0","","0","2","18","0","18","0","0"
"Durango","17,303","47","0","14","","2","31","464","52","396","16","3"
"Eagle","6,466","8","0","3","","0","5","77","2","73","2","1"
"Eaton","4,575","6","0","0","","0","6","3","2","1","0","0"
"Edgewater","5,241","2","1","0","","0","1","77","6","65","6","0"
"Elizabeth","1,366","1","0","1","","0","0","19","1","18","0","0"
"Empire","279","2","0","0","","0","2","4","2","2","0","0"
"Erie","19,627","11","0","1","","1","9","103","15","84","4","0"
"Estes Park","6,064","5","0","0","","0","5","44","4","40","0","0"
"Evans","19,893","69","0","2","","5","62","341","80","237","24","5"
"Fairplay","667","3","0","1","","0","2","11","3","8","0","0"
"Federal Heights","11,894","55","0","17","","8","30","628","81","476","71","2"
"Firestone","11,128","2","0","1","","0","1","91","6","83","2","0"
"Florence","3,888","3","0","0","","1","2","27","5","19","3","1"
"Fort Collins","150,066","357","0","57","","37","263","3,808","531","3,137","140","12"
"Fort Lupton","7,649","3","0","2","","0","1","24","6","14","4","0"
"Fort Morgan","11,487","33","0","21","","2","10","383","51","318","14","3"
"Fountain","27,163","78","0","19","","7","52","619","127","457","35","5"
"Frederick","9,639","6","0","5","","1","0","84","6","74","4","0"
"Frisco","2,740","8","0","0","","0","8","42","3","36","3","0"
"Fruita","12,723","20","0","11","","2","7","201","34","158","9","2"
"Garden City","243","19","0","2","","2","15","36","4","25","7","0"
"Georgetown","1,019","2","0","0","","0","2","7","2","3","2","0"
"Glendale","4,502","47","0","8","","19","20","451","45","370","36","0"
"Glenwood Springs","9,715","26","0","4","","3","19","427","50","353","24","0"
"Golden","19,334","33","1","5","","6","21","402","43","334","25","3"
"Granby","1,733","5","0","1","","0","4","54","6","47","1","0"
"Grand Junction","60,167","262","2","63","","48","149","2,552","298","2,141","113","26"
"Greeley","96,111","491","2","74","","68","347","3,219","475","2,558","186","26"
"Greenwood Village","14,614","19","0","0","","4","15","466","63","388","15","3"
"Gunnison","5,884","17","1","3","","0","13","189","24","156","9","2"
"Hayden","1,780","0","0","0","","0","0","22","9","10","3","0"
"Hotchkiss","917","2","0","1","","0","1","21","3","13","5","0"
"Hudson","2,390","6","0","2","","0","4","30","1","24","5","0"
"Idaho Springs","1,683","16","0","3","","0","13","57","8","48","1","0"
"Ignacio","709","0","0","0","","0","0","0","0","0","0","0"
"Johnstown","11,437","4","0","2","","1","1","84","11","69","4","0"
"Keenesburg","1,171","10","0","1","","0","9","27","9","17","1","0"
"Kersey","1,500","6","0","2","","0","4","25","8","17","0","0"
"Kiowa","717","1","0","1","","0","0","0","0","0","0","0"
"Lafayette","26,145","50","0","12","","5","33","449","58","374","17","8"
"La Junta","7,023","16","1","2","","2","11","377","105","261","11","3"
"Lakeside","8","5","0","0","","3","2","548","0","548","0","0"
"Lakewood","146,298","624","6","107","","113","398","6,892","872","5,397","623","28"
"Lamar","7,801","15","1","3","","2","9","268","60","203","5","0"
"La Salle","2,017","6","0","0","","0","6","18","6","10","2","0"
"La Veta","773","5","2","2","","0","1","11","4","7","0","0"
"Leadville","2,596","13","0","1","","0","12","28","8","13","7","2"
"Limon","1,864","7","0","0","","1","6","15","2","13","0","0"
"Littleton","44,375","44","1","17","","6","20","1,278","213","959","106","7"
"Lone Tree","12,056","5","0","0","","1","4","637","30","601","6","0"
"Longmont","89,434","226","0","76","","19","131","2,009","266","1,634","109","64"
"Louisville","19,291","18","0","0","","1","17","309","64","229","16","0"
"Loveland","71,325","150","1","42","","19","88","1,665","184","1,423","58","17"
"Mancos","1,343","1","0","0","","0","1","1","0","0","1","0"
"Manitou Springs","5,220","14","1","3","","1","9","133","29","100","4","0"
"Mead","3,886","7","0","1","","0","6","63","11","46","6","1"
"Meeker","2,528","1","0","0","","0","1","22","5","17","0","1"
"Milliken","5,839","5","0","3","","0","2","45","4","39","2","0"
"Minturn","1,025","1","0","0","","0","1","5","0","4","1","0"
"Monte Vista","4,423","16","0","2","","2","12","183","69","111","3","1"
"Montrose","18,918","48","0","1","","4","43","589","79","496","14","3"
"Monument","5,800","5","0","3","","0","2","173","32","139","2","1"
"Morrison","434","2","0","0","","0","2","4","0","3","1","0"
"Mount Crested Butte","799","1","0","0","","0","1","10","0","10","0","0"
"New Castle","4,571","3","0","2","","0","1","49","6","40","3","0"
"Northglenn","37,232","95","0","22","","10","63","1,103","144","824","135","4"
"Oak Creek","870","0","0","0","","0","0","15","3","12","0","0"
"Pagosa Springs","1,710","10","0","3","","0","7","75","15","54","6","1"
"Paonia","1,417","0","0","0","","0","0","16","1","15","0","0"
"Parachute","1,100","6","0","1","","1","4","22","11","10","1","0"
"Parker","47,748","53","0","20","","4","29","522","74","427","21","10"
"Pueblo","108,062","1,011","2","165","","211","633","7,596","1,900","5,168","528","30"
"Rangely","2,479","4","0","0","","0","4","13","3","10","0","0"
"Rifle","9,306","36","5","13","","0","18","304","36","258","10","0"
"Rocky Ford","3,906","2","0","1","","0","1","15","7","8","0","0"
"Salida","5,346","11","0","0","","0","11","218","30","180","8","1"
"Sheridan","5,880","13","0","1","","3","9","438","36","357","45","1"
"Silt","2,991","5","0","1","","1","3","62","9","51","2","0"
"Silverthorne","3,921","6","0","1","","0","5","98","11","83","4","0"
"Snowmass Village","2,851","0","0","0","","0","0","38","1","37","0","0"
"South Fork","375","0","0","0","","0","0","0","0","0","0","0"
"Springfield","1,438","3","0","1","","0","2","16","4","12","0","0"
"Steamboat Springs","12,008","37","0","6","","0","31","227","29","184","14","2"
"Sterling","14,690","27","0","17","","1","9","480","115","354","11","2"
"Stratton","673","1","0","0","","1","0","16","8","6","2","0"
"Telluride","2,313","6","0","1","","1","4","107","9","96","2","1"
"Thornton","125,775","331","5","67","","53","206","3,296","431","2,513","352","15"
"Timnath","1,436","0","0","0","","0","0","23","1","21","1","0"
"Trinidad","8,689","8","0","1","","2","5","126","27","96","3","2"
"Vail","5,241","18","0","1","","0","17","275","16","251","8","0"
"Walsenburg","2,960","18","0","3","","6","9","92","20","72","0","2"
"Walsh","538","2","0","0","","0","2","0","0","0","0","0"
"Westminster","110,093","214","2","26","","52","134","2,987","382","2,283","322","15"
"Wheat Ridge","30,882","103","0","12","","19","72","1,128","179","806","143","8"
"Windsor","20,094","6","0","0","","0","6","172","38","131","3","2"
"Woodland Park","7,185","10","0","2","","0","8","195","11","179","5","2"
"Wray","2,373","1","0","0","","0","1","4","0","4","0","0"
"Yuma","3,563","2","0","1","","0","1","16","1","14","1","0"
