"Criminal Justice Information Services Division","Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home"
"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson"
"Ansonia","19,128","33","0","5","","16","12","393","59","284","50","1"
"Avon","18,325","12","0","8","","3","1","143","20","117","6","1"
"Berlin","20,657","14","0","5","","4","5","277","41","225","11","1"
"Bethel","19,338","3","0","2","","0","1","180","31","143","6","2"
"Bloomfield","20,637","46","1","9","","10","26","464","51","391","22","1"
"Branford","28,021","16","0","0","","3","13","634","55","539","40","1"
"Bridgeport","147,076","1,397","11","","82","584","720","4,464","1,191","2,610","663","31"
"Bristol","60,642","82","2","15","","45","20","1,400","310","963","127","6"
"Brookfield","16,884","9","0","0","","0","9","162","16","141","5","0"
"Canton","10,369","2","0","2","","0","0","72","15","56","1","0"
"Cheshire","29,310","2","0","0","","1","1","204","28","166","10","1"
"Clinton","13,179","21","1","6","","2","12","266","58","208","0","2"
"Coventry","12,419","9","1","1","","2","5","146","39","101","6","0"
"Cromwell","14,290","9","0","0","","8","1","277","16","257","4","0"
"Danbury","83,363","108","2","","25","53","28","1,257","221","972","64","2"
"Darien","21,229","2","0","0","","0","2","80","13","65","2","0"
"Derby","12,806","22","0","2","","11","9","316","51","240","25","3"
"East Hampton","12,934","5","0","0","","0","5","139","43","93","3","0"
"East Hartford","51,275","182","1","31","","63","87","1,445","327","998","120","9"
"East Haven","29,166","29","0","3","","12","14","754","95","558","101","2"
"Easton","7,636","1","0","0","","0","1","30","15","14","1","0"
"East Windsor","11,455","16","1","3","","8","4","317","48","260","9","4"
"Enfield","44,661","50","0","","1","19","30","857","142","690","25","0"
"Fairfield","60,772","28","0","5","","16","7","1,148","173","936","39","1"
"Farmington","25,587","20","0","3","","11","6","658","47","591","20","0"
"Glastonbury","34,782","17","0","0","","5","12","274","66","201","7","0"
"Granby","11,326","5","0","2","","0","3","98","21","75","2","0"
"Greenwich","62,576","12","0","2","","6","4","459","77","340","42","3"
"Groton","9,359","7","0","0","","0","7","134","6","124","4","4"
"Groton Long Point","519","0","0","","0","0","0","3","0","3","0","0"
"Groton Town","29,946","47","0","17","","8","22","585","75","492","18","7"
"Guilford","22,409","5","0","","1","0","4","253","28","218","7","0"
"Hamden","60,829","319","0","12","","62","245","1,358","234","1,047","77","1"
"Hartford","124,927","1,473","23","","53","557","840","5,036","981","3,416","639","45"
"Madison","18,294","2","0","1","","0","1","112","16","96","0","0"
"Manchester","58,304","101","3","","16","50","32","1,505","221","1,231","53","3"
"Meriden","60,558","175","0","","19","85","71","1,503","385","972","146","5"
"Middlebury","7,570","1","0","0","","0","1","68","10","53","5","0"
"Middletown","47,221","60","0","12","","22","26","827","87","666","74","0"
"Milford","53,041","42","0","","1","23","18","1,555","148","1,302","105","0"
"Monroe","19,889","1","0","0","","1","0","157","25","123","9","0"
"Naugatuck","31,744","33","0","10","","13","10","767","200","507","60","0"
"New Britain","73,134","264","1","","20","110","133","2,261","610","1,415","236","7"
"New Canaan","20,224","4","0","3","","1","0","123","12","106","5","0"
"New Haven","131,071","1,643","19","76","","770","778","6,068","1,082","4,233","753","15"
"Newington","30,612","23","0","","6","9","8","725","78","613","34","0"
"New London","27,738","299","3","23","","50","223","791","236","494","61","6"
"New Milford","27,743","27","0","5","","5","17","308","9","286","13","5"
"Newtown","28,188","2","0","2","","0","0","123","23","96","4","1"
"North Branford","14,369","5","0","2","","0","3","170","14","144","12","1"
"North Haven","24,013","22","0","4","","14","4","470","50","387","33","0"
"Norwalk","87,590","239","0","14","","61","164","1,728","245","1,377","106","3"
"Norwich","40,485","130","1","","14","29","86","1,002","306","644","52","7"
"Old Saybrook","10,239","7","0","2","","0","5","112","11","98","3","1"
"Orange","13,926","10","0","0","","9","1","329","25","290","14","0"
"Plainfield","15,224","15","0","2","","3","10","109","6","87","16","4"
"Plainville","17,850","45","0","","8","12","25","488","76","396","16","1"
"Plymouth","12,043","9","0","3","","0","6","206","52","140","14","4"
"Portland","9,463","10","0","","0","0","10","43","9","29","5","0"
"Putnam","9,461","26","0","5","","2","19","177","29","141","7","3"
"Redding","9,341","2","0","0","","0","2","45","13","32","0","0"
"Ridgefield","25,168","0","0","0","","0","0","76","7","69","0","0"
"Rocky Hill","19,731","9","0","","1","7","1","298","27","256","15","0"
"Seymour","16,568","16","0","4","","6","6","232","69","146","17","0"
"Shelton","40,475","18","0","3","","7","8","447","111","296","40","0"
"Simsbury","23,651","6","0","2","","2","2","158","24","128","6","0"
"Southington","43,542","34","0","12","","15","7","795","139","614","42","8"
"South Windsor","25,871","13","0","","4","6","3","387","61","316","10","0"
"Stamford","125,876","334","1","28","","160","145","1,938","354","1,435","149","5"
"Stonington","18,561","10","0","4","","2","4","400","92","300","8","1"
"Stratford","52,285","74","0","8","","41","25","1,429","251","1,042","136","2"
"Suffield","15,908","6","0","4","","0","2","98","26","66","6","0"
"Thomaston","7,758","6","0","0","","2","4","108","46","57","5","0"
"Torrington","35,634","59","0","15","","11","33","856","94","728","34","1"
"Trumbull","36,665","9","0","0","","9","0","548","84","433","31","0"
"Vernon","29,104","47","0","8","","13","26","266","64","186","16","3"
"Wallingford","45,185","17","1","5","","7","4","635","77","531","27","0"
"Waterbury","109,763","410","5","","2","242","161","4,636","566","3,381","689","2"
"Waterford","19,541","41","0","0","","6","35","500","72","421","7","0"
"Watertown","22,183","32","0","4","","3","25","401","60","298","43","0"
"West Hartford","63,276","45","0","2","","35","8","1,379","176","1,120","83","0"
"West Haven","55,349","290","2","","0","68","220","1,516","178","1,095","243","0"
"Weston","10,402","1","0","1","","0","0","37","13","24","0","0"
"Westport","27,279","2","0","0","","1","1","256","47","198","11","0"
"Wethersfield","26,722","17","0","3","","6","8","385","44","313","28","0"
"Willimantic","17,839","33","0","5","","14","14","361","58","251","52","1"
"Wilton","18,803","0","0","0","","0","0","113","26","81","6","0"
"Winchester","11,019","14","0","3","","0","11","192","36","150","6","1"
"Windsor","29,154","25","1","3","","14","7","419","48","353","18","1"
"Windsor Locks","12,560","18","0","7","","7","4","228","42","175","11","0"
"Wolcott","16,735","4","0","2","","2","0","297","43","220","34","1"
"Woodbridge","8,954","5","0","0","","2","3","96","14","65","17","0"
