"Criminal Justice Information Services Division","Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home"
"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson"
"Bethany Beach","1,111","2","0","0","","0","2","89","9","80","0","0"
"Blades","1,293","7","0","0","","1","6","40","18","22","0","0"
"Bridgeville","2,138","9","0","0","","1","8","49","8","40","1","0"
"Camden","3,516","7","0","1","","3","3","279","9","268","2","0"
"Cheswold","1,432","6","0","1","","1","4","16","2","12","2","0"
"Clayton","3,035","8","0","3","","0","5","53","9","44","0","0"
"Dagsboro","838","4","0","0","","1","3","37","4","32","1","0"
"Delaware City","1,719","4","0","1","","0","3","57","18","36","3","0"
"Delmar","1,655","5","0","1","","1","3","53","7","43","3","0"
"Dewey Beach","352","17","0","3","","2","12","87","13","74","0","0"
"Dover","37,402","266","1","16","","58","191","2,093","88","1,919","86","0"
"Elsmere","6,165","25","0","0","","6","19","156","44","103","9","0"
"Felton","1,351","5","0","0","","2","3","29","3","26","0","0"
"Fenwick Island","395","0","0","0","","0","0","14","5","9","0","0"
"Georgetown","6,689","48","0","5","","19","24","379","77","296","6","0"
"Greenwood","1,017","8","0","1","","1","6","29","8","20","1","0"
"Harrington","3,697","25","0","3","","7","15","163","32","128","3","0"
"Laurel","3,873","54","0","2","","20","32","195","60","130","5","0"
"Lewes","2,869","6","0","0","","0","6","75","14","58","3","0"
"Middletown","19,658","48","0","5","","16","27","335","45","281","9","0"
"Milford","9,872","83","1","12","","19","51","591","88","483","20","0"
"Millsboro","4,018","14","0","1","","1","12","180","41","133","6","0"
"Milton","2,687","17","0","3","","2","12","82","37","43","2","0"
"Newark","32,674","117","0","7","","30","80","827","103","710","14","2"
"New Castle","5,388","19","0","1","","4","14","293","51","237","5","0"
"Newport","1,064","10","0","1","","4","5","64","14","47","3","0"
"Ocean View","1,972","2","0","0","","0","2","62","37","25","0","0"
"Rehoboth Beach","1,387","11","0","1","","1","9","149","23","119","7","0"
"Seaford","7,241","75","0","12","","14","49","540","92","439","9","0"
"Selbyville","2,281","11","0","0","","1","10","70","18","50","2","0"
"Smyrna","10,900","69","0","7","","18","44","328","52","267","9","0"
"Wilmington","71,460","1,161","19","24","","453","665","3,718","960","2,387","371","2"
"Wyoming","1,400","5","0","2","","1","2","22","6","15","1","0"
