"Criminal Justice Information Services Division","Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home"
"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson"
"Alachua","9,338","36","0","2","","2","32","166","40","120","6","1"
"Altamonte Springs","42,040","150","0","8","","37","105","1,564","300","1,180","84","3"
"Altha","536","1","0","0","","0","1","3","3","0","0","0"
"Apalachicola","2,269","1","0","0","","0","1","35","8","27","0","0"
"Apopka","45,397","178","1","11","","57","109","1,527","231","1,202","94","6"
"Arcadia","7,615","82","2","3","","9","68","172","43","123","6","4"
"Astatula","1,838","4","0","1","","0","3","26","15","9","2","0"
"Atlantic Beach","12,933","61","0","6","","13","42","353","89","245","19","0"
"Atlantis","2,064","9","0","0","","1","8","7","7","0","0","0"
"Auburndale","14,048","55","0","13","","12","30","609","137","454","18","1"
"Aventura","37,357","56","0","2","","27","27","2,029","76","1,910","43","0"
"Bal Harbour Village","2,623","0","0","0","","0","0","35","13","20","2","0"
"Bartow","17,781","93","1","5","","16","71","1,006","157","812","37","2"
"Bay Harbor Islands","5,881","6","0","0","","1","5","49","4","41","4","0"
"Belleair","3,904","2","0","0","","1","1","87","22","61","4","1"
"Belleair Beach","1,573","4","0","0","","0","4","21","9","11","1","0"
"Belleair Bluffs","2,046","5","0","1","","0","4","42","10","32","0","0"
"Belle Glade","17,925","348","5","19","","52","272","825","285","498","42","4"
"Belle Isle","6,371","18","0","3","","4","11","199","71","124","4","0"
"Belleview","4,532","19","0","1","","12","6","206","75","129","2","1"
"Biscayne Park","3,192","2","0","0","","0","2","25","19","4","2","0"
"Blountstown","2,527","5","0","0","","1","4","46","5","40","1","0"
"Boca Raton","88,749","165","4","8","","54","99","2,302","464","1,744","94","2"
"Bonifay","2,766","10","0","0","","3","7","51","2","45","4","0"
"Bowling Green","2,902","7","0","0","","1","6","56","17","35","4","0"
"Boynton Beach","70,692","367","8","8","","100","251","3,006","611","2,278","117","3"
"Bradenton","51,023","351","9","17","","115","210","2,004","438","1,480","86","9"
"Bradenton Beach","1,196","1","0","1","","0","0","37","5","31","1","0"
"Brooksville","7,705","71","0","2","","14","55","316","67","242","7","1"
"Bunnell","2,740","62","0","0","","11","51","118","43","57","18","0"
"Cape Coral","163,461","197","3","7","","40","147","3,375","803","2,427","145","4"
"Carrabelle","2,872","6","0","0","","0","6","17","6","8","3","0"
"Casselberry","26,518","151","0","13","","35","103","1,138","195","901","42","3"
"Cedar Key","696","0","0","0","","0","0","21","5","15","1","0"
"Chattahoochee","3,055","23","0","1","","2","20","59","26","30","3","0"
"Chiefland","2,219","4","0","0","","2","2","272","123","148","1","0"
"Chipley","3,572","15","0","1","","1","13","154","29","118","7","0"
"Clearwater","108,908","618","4","50","","177","387","4,316","851","3,284","181","14"
"Clermont","29,620","84","0","5","","11","68","879","165","667","47","0"
"Clewiston","6,999","51","0","3","","7","41","300","58","230","12","3"
"Cocoa","17,238","321","3","26","","65","227","1,167","312","802","53","9"
"Cocoa Beach","11,268","83","1","5","","13","64","706","79","613","14","1"
"Coconut Creek","55,659","80","0","10","","26","44","1,478","278","1,132","68","0"
"Cooper City","33,706","50","0","3","","11","36","558","105","436","17","0"
"Coral Gables","50,250","84","0","3","","39","42","2,214","391","1,740","83","1"
"Coral Springs","126,608","237","0","24","","99","114","2,565","389","2,067","109","9"
"Crescent City","1,554","19","0","0","","5","14","65","17","46","2","0"
"Crestview","22,818","180","0","39","","44","97","802","149","612","41","6"
"Cross City","1,697","7","0","1","","1","5","60","16","42","2","0"
"Cutler Bay","42,831","135","1","10","","55","69","1,694","226","1,382","86","1"
"Dade City","6,529","37","0","5","","0","32","278","61","202","15","1"
"Dania","30,871","189","3","16","","75","95","1,389","308","951","130","1"
"Davenport","3,006","5","0","0","","1","4","73","34","36","3","1"
"Davie","96,581","306","1","26","","93","186","3,393","651","2,480","262","7"
"Daytona Beach","62,381","799","4","57","","195","543","4,024","745","2,912","367","5"
"Daytona Beach Shores","4,260","16","0","0","","2","14","149","35","107","7","0"
"Deerfield Beach","78,203","305","2","28","","105","170","2,386","624","1,606","156","2"
"De Funiak Springs","5,584","37","0","5","","2","30","353","99","250","4","1"
"Deland","27,575","149","4","3","","44","98","1,351","247","1,065","39","2"
"Delray Beach","62,887","487","0","29","","147","311","3,107","588","2,308","211","6"
"Doral","48,896","79","0","5","","18","56","2,307","196","1,993","118","2"
"Dunedin","35,493","92","0","12","","14","66","771","185","565","21","2"
"Dunnellon3","1,750","9","0","0","","0","9","","13","","1","0"
"Eatonville","2,252","30","1","1","","2","26","88","29","46","13","0"
"Edgewater","20,820","21","1","0","","3","17","576","149","395","32","0"
"Edgewood","2,664","1","0","0","","1","0","53","24","27","2","0"
"El Portal","2,411","15","1","0","","7","7","97","65","23","9","0"
"Eustis","19,001","52","0","2","","9","41","633","133","485","15","1"
"Fellsmere","5,314","8","0","0","","1","7","89","21","62","6","0"
"Fernandina Beach","11,770","36","0","3","","7","26","295","61","227","7","0"
"Flagler Beach","4,611","16","0","2","","3","11","88","18","63","7","0"
"Florida City","12,132","345","1","2","","137","205","1,356","317","981","58","2"
"Fort Lauderdale","172,398","1,456","13","73","","701","669","9,650","2,654","6,429","567","30"
"Fort Myers","66,835","752","10","45","","185","512","2,279","392","1,726","161","16"
"Fort Pierce","42,866","588","7","29","","113","439","2,298","624","1,560","114","13"
"Fort Walton Beach","20,568","56","2","3","","14","37","661","93","535","33","1"
"Fruitland Park","4,208","13","0","1","","3","9","186","48","132","6","2"
"Gainesville","126,589","806","6","62","","155","583","4,986","742","4,000","244","13"
"Golden Beach","956","1","0","0","","0","1","13","7","6","0","0"
"Graceville","2,215","4","2","0","","0","2","26","5","18","3","0"
"Greenacres City","38,735","184","2","7","","65","110","1,368","316","967","85","2"
"Green Cove Springs","6,994","49","0","9","","6","34","221","49","162","10","1"
"Gretna","1,420","9","0","0","","0","9","13","11","2","0","0"
"Gulf Breeze","6,044","3","0","0","","0","3","98","16","80","2","1"
"Gulfport","12,081","48","0","4","","17","27","506","116","362","28","10"
"Gulf Stream","812","0","0","0","","0","0","15","0","15","0","0"
"Haines City","21,154","64","1","6","","12","45","669","157","494","18","0"
"Hallandale","38,710","279","6","17","","91","165","1,864","402","1,322","140","2"
"Havana","1,705","3","0","0","","0","3","29","5","23","1","0"
"Hialeah","234,182","774","13","41","","231","489","6,550","763","5,079","708","12"
"Hialeah Gardens","22,728","42","0","1","","13","28","800","66","679","55","0"
"Highland Beach","3,642","1","0","0","","0","1","32","4","28","0","0"
"High Springs","5,545","21","0","2","","3","16","163","53","106","4","0"
"Hillsboro Beach","1,957","0","0","0","","0","0","21","0","20","1","0"
"Holly Hill","11,619","80","0","7","","25","48","626","162","413","51","2"
"Hollywood","146,643","720","16","63","","253","388","6,550","1,500","4,478","572","6"
"Holmes Beach","4,000","5","0","2","","0","3","111","13","92","6","0"
"Homestead","64,024","917","2","32","","342","541","3,274","900","2,223","151","10"
"Howey-in-the-Hills","1,127","3","0","0","","0","3","3","1","1","1","0"
"Hypoluxo","2,664","9","0","3","","1","5","45","9","35","1","0"
"Indialantic","2,735","3","0","0","","0","3","61","20","41","0","0"
"Indian Creek Village","90","0","0","0","","0","0","0","0","0","0","0"
"Indian Harbour Beach","8,256","1","0","0","","1","0","164","37","123","4","0"
"Indian River Shores","3,989","0","0","0","","0","0","17","3","14","0","0"
"Indian Rocks Beach","4,150","10","0","1","","0","9","95","14","79","2","0"
"Indian Shores","1,432","4","0","0","","0","4","54","6","48","0","0"
"Interlachen","1,373","4","0","0","","1","3","64","8","53","3","1"
"Jacksonville","845,745","5,246","93","452","","1,424","3,277","33,007","7,069","24,361","1,577","97"
"Jacksonville Beach","21,783","113","0","21","","24","68","890","115","735","40","6"
"Jasper","4,450","11","0","0","","2","9","60","30","24","6","0"
"Jennings","876","3","0","0","","3","0","8","4","4","0","0"
"Juno Beach","3,268","2","0","1","","1","0","77","15","61","1","0"
"Jupiter","57,826","127","0","7","","36","84","1,094","163","864","67","2"
"Jupiter Inlet Colony","417","0","0","0","","0","0","3","0","2","1","0"
"Jupiter Island","843","0","0","0","","0","0","13","3","8","2","0"
"Kenneth City","5,001","29","0","4","","7","18","146","19","115","12","1"
"Key Biscayne","12,891","4","0","0","","0","4","260","15","226","19","0"
"Key Colony Beach","819","0","0","0","","0","0","11","3","8","0","0"
"Key West","25,185","179","0","20","","37","122","1,475","263","1,111","101","3"
"Kissimmee","64,617","542","3","36","","132","371","2,963","802","2,042","119","2"
"Lady Lake","14,148","23","0","0","","6","17","202","37","151","14","0"
"Lake Alfred","5,148","17","0","1","","4","12","165","65","89","11","3"
"Lake City","12,115","188","3","2","","29","154","1,043","216","801","26","4"
"Lake Clarke Shores","3,472","5","0","0","","1","4","69","28","39","2","0"
"Lake Hamilton","1,276","2","0","0","","0","2","79","17","46","16","0"
"Lake Helen","2,619","5","1","2","","0","2","69","17","48","4","0"
"Lakeland","100,725","460","7","52","","143","258","5,410","1,130","4,082","198","4"
"Lake Mary","14,836","17","0","2","","3","12","290","66","212","12","0"
"Lake Park","8,363","67","1","9","","24","33","831","96","680","55","1"
"Lake Placid","2,125","9","0","2","","2","5","121","16","99","6","0"
"Lake Wales","14,854","48","1","3","","15","29","603","186","396","21","1"
"Lake Worth","36,055","459","4","45","","171","239","2,062","584","1,338","140","18"
"Lantana","10,689","75","0","6","","26","43","519","102","399","18","0"
"Largo","77,913","352","3","47","","94","208","2,924","650","2,134","140","6"
"Lauderdale-by-the-Sea","6,322","11","0","1","","3","7","126","37","83","6","1"
"Lauderdale Lakes","34,124","336","5","31","","108","192","1,710","539","1,076","95","3"
"Lauderhill","69,798","459","6","21","","172","260","2,724","946","1,609","169","13"
"Lawtey","722","0","0","0","","0","0","5","3","2","0","0"
"Leesburg","20,910","172","0","8","","31","133","952","239","680","33","2"
"Lighthouse Point","10,831","8","0","1","","1","6","262","63","188","11","0"
"Live Oak","6,941","70","0","1","","16","53","337","186","139","12","2"
"Longboat Key","7,026","5","0","0","","1","4","75","18","57","0","0"
"Longwood","13,781","69","0","2","","10","57","380","101","260","19","0"
"Lynn Haven","19,112","63","0","3","","4","56","535","61","460","14","0"
"Madeira Beach","4,290","30","0","4","","2","24","204","27","176","1","0"
"Madison","2,746","51","0","2","","10","39","223","66","155","2","0"
"Maitland","16,527","23","0","1","","5","17","463","139","296","28","0"
"Manalapan","434","2","0","0","","0","2","23","3","20","0","0"
"Mangonia Park","1,940","79","0","7","","24","48","219","39","164","16","0"
"Marco Island","16,942","4","0","0","","0","4","177","31","145","1","1"
"Margate","55,576","123","1","1","","35","86","1,160","409","694","57","3"
"Marianna","9,706","77","0","2","","13","62","269","64","200","5","0"
"Mascotte","5,211","16","0","1","","1","14","148","49","95","4","0"
"Medley","862","6","0","0","","1","5","225","20","177","28","0"
"Melbourne","77,277","657","6","61","","136","454","3,377","741","2,526","110","18"
"Melbourne Beach","3,116","4","0","0","","0","4","39","23","15","1","0"
"Melbourne Village","666","0","0","0","","0","0","18","1","17","0","0"
