"Criminal Justice Information Services Division","Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home"
"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson3"
"Abbeville","2,888","3","0","","0","2","1","22","3","16","3","0"
"Adairsville","4,686","13","0","","0","1","12","52","15","31","6","0"
"Adel","5,240","18","0","","5","5","8","189","64","121","4","0"
"Adrian","656","0","0","","0","0","0","2","0","2","0","0"
"Alapaha","646","5","0","","0","1","4","6","0","6","0","0"
"Albany","77,365","749","8","","21","183","537","4,661","1,319","3,169","173","19"
"Alma","3,529","24","0","","2","8","14","208","45","158","5",""
"Alpharetta","63,442","47","2","","2","23","20","1,228","128","1,074","26","2"
"Alto","1,159","0","0","","0","0","0","28","16","10","2",""
"Americus","16,190","231","0","","0","40","191","1,246","605","613","28","1"
"Aragon","1,233","3","0","","0","0","3","51","8","40","3","0"
"Arcade","1,752","4","1","","0","0","3","35","4","29","2",""
"Arlington","1,412","61","0","","0","3","58","124","52","71","1",""
"Ashburn","3,814","40","2","","2","5","31","184","55","121","8",""
"Athens-Clarke County","120,122","404","2","","37","125","240","4,074","967","2,912","195","18"
"Atlanta","451,020","5,517","84","","105","2,363","2,965","27,528","5,938","17,158","4,432","71"
"Attapulgus","441","0","0","","0","0","0","2","1","1","0","0"
"Austell","6,820","40","0","","2","4","34","191","37","139","15","0"
"Bainbridge","12,575","88","1","","1","7","79","568","128","430","10",""
"Baldwin","3,289","3","0","","2","0","1","49","14","30","5","0"
"Ball Ground","1,484","1","0","","0","0","1","12","4","8","0","0"
"Barnesville","6,489","9","0","","0","2","7","327","41","275","11",""
"Baxley","4,434","15","0","","0","2","13","289","84","201","4","0"
"Berlin","562","0","0","","0","0","0","0","0","0","0","0"
"Blackshear","3,499","14","0","","3","3","8","150","27","118","5","0"
"Blairsville","549","0","0","","0","0","0","21","0","21","0","0"
"Blakely","4,771","32","0","","0","4","28","205","57","143","5","0"
"Bloomingdale","2,762","3","0","","1","0","2","62","18","39","5",""
"Blue Ridge","1,262","3","0","","0","0","3","23","5","18","0",""
"Blythe","721","0","0","","0","0","0","14","5","8","1","0"
"Boston","1,318","11","0","","1","1","9","48","11","36","1","0"
"Bowdon","2,042","16","0","","0","0","16","73","13","58","2","0"
"Braselton","7,973","13","0","","5","4","4","127","24","93","10","0"
"Braswell","382","0","0","","0","0","0","0","0","0","0","0"
"Bremen","6,203","11","0","","2","1","8","173","21","145","7","0"
"Brooklet","1,430","3","0","","0","0","3","11","5","6","0","0"
"Brunswick","15,709","162","3","","4","38","117","1,110","331","732","47","3"
"Buchanan","1,162","5","0","","0","0","5","43","11","30","2",""
"Buena Vista","2,188","8","0","","0","0","8","75","18","55","2","0"
"Butler","1,899","5","0","","0","0","5","24","6","16","2","1"
"Byron","4,772","8","0","","0","0","8","150","50","89","11","0"
"Cairo","9,875","29","1","","8","7","13","222","43","172","7","1"
"Calhoun","15,866","44","0","","7","7","30","784","104","662","18","0"
"Canton","24,042","23","0","","1","11","11","406","59","326","21",""
"Carrollton","25,164","124","1","","14","31","78","1,090","147","895","48","3"
"Cartersville","19,835","51","0","","3","8","40","927","164","718","45",""
"Cave Spring","1,191","2","0","","0","0","2","18","3","12","3","0"
"Cedartown","9,779","53","0","","2","21","30","920","211","689","20","0"
"Centerville","7,644","19","0","","0","11","8","416","88","323","5","4"
"Chatsworth","4,284","10","0","","0","1","9","162","27","127","8",""
"Chattahoochee Hills","2,588","0","0","","0","0","0","39","15","14","10",""
"Chickamauga","3,125","6","0","","0","0","6","68","12","52","4",""
"Clarkston","7,790","67","0","","1","53","13","312","139","146","27",""
"Claxton","2,643","8","1","","1","3","3","148","43","104","1","0"
"Clayton","2,216","14","0","","0","0","14","97","28","64","5",""
"Cleveland","3,739","14","0","","3","1","10","206","38","168","0","0"
"Climax","275","0","0","","0","0","0","0","0","0","0","0"
"Cochran","4,782","14","0","","1","3","10","247","62","181","4","0"
"College Park","14,871","324","4","","13","155","152","1,664","402","993","269","5"
"Colquitt","1,932","8","0","","0","2","6","69","19","49","1","0"
"Columbus","201,165","1,022","22","","36","481","483","12,475","3,355","8,012","1,108","37"
"Commerce","6,476","24","0","","0","1","23","115","27","84","4","0"
"Conyers","15,465","103","4","","7","34","58","1,046","163","831","52","6"
"Coolidge","525","0","0","","0","0","0","4","3","1","0","0"
"Cordele","11,358","87","0","","9","31","47","847","215","618","14","1"
"Cornelia","4,170","6","0","","1","0","5","186","16","163","7","0"
"Covington","13,416","47","1","","4","11","31","761","143","592","26","0"
"Cuthbert","3,610","2","0","","0","2","0","55","19","36","0","0"
"Dalton","33,475","66","0","","7","12","47","1,319","201","1,063","55","4"
"Danielsville","563","0","0","","0","0","0","22","1","19","2","0"
"Dawson","4,352","30","0","","1","3","26","85","85","0","0","0"
"Decatur","20,001","40","1","","0","28","11","690","127","528","35","0"
"Demorest","1,987","0","0","","0","0","0","21","5","14","2","0"
"Dillard","340","0","0","","0","0","0","7","1","6","0",""
"Doerun","785","6","0","","1","1","4","43","18","25","0","0"
"Donalsonville","2,822","7","0","","0","2","5","106","15","90","1","0"
"Doraville","8,530","44","0","","2","20","22","407","75","301","31",""
"Douglas","11,892","100","2","","15","26","57","883","95","763","25","0"
"Douglasville","31,347","213","1","","12","46","154","1,999","238","1,651","110","11"
"Dublin","16,217","85","2","","5","30","48","1,186","235","915","36","0"
"Duluth","28,350","42","1","","4","19","18","655","91","545","19",""
"Dunwoody","47,531","57","1","","2","30","24","1,838","249","1,521","68",""
"East Ellijay","539","7","0","","0","1","6","87","3","84","0","0"
"Eastman","5,295","56","0","","4","9","43","450","83","358","9","0"
"East Point","36,172","420","12","","12","252","144","3,905","938","2,221","746",""
"Eatonton","6,483","36","0","","1","3","32","217","43","170","4",""
"Edison","1,470","0","0","","0","0","0","17","5","12","0",""
"Elberton","4,476","59","0","","1","4","54","309","46","259","4",""
"Ellaville","1,808","9","0","","2","0","7","17","4","13","0","0"
"Ellijay","1,630","1","0","","0","0","1","22","7","14","1",""
"Emerson","1,486","3","0","","0","0","3","58","9","45","4","0"
"Ephesus","420","0","0","","0","0","0","0","0","0","0","0"
"Eton","902","0","0","","0","0","0","18","2","16","0","0"
"Euharlee","4,156","1","0","","0","0","1","127","13","106","8","0"
"Fairburn","13,938","52","0","","5","23","24","509","114","343","52","3"
"Fairmount","727","1","0","","1","0","0","5","2","3","0","0"
"Fayetteville","16,216","30","0","","0","20","10","513","66","422","25","0"
"Fitzgerald","9,034","52","1","","6","13","32","500","189","295","16",""
"Flowery Branch","6,117","1","0","","0","0","1","95","15","75","5",""
"Folkston","5,646","9","0","","0","1","8","73","18","48","7","0"
"Forsyth","3,960","16","0","","1","4","11","232","26","195","11","0"
"Fort Oglethorpe","9,504","28","0","","0","2","26","695","58","618","19","0"
"Fort Valley","9,688","104","1","","3","10","90","436","123","300","13","0"
"Franklin","974","4","0","","2","0","2","24","7","17","0","0"
"Franklin Springs","1,025","0","0","","0","0","0","9","3","6","0","0"
"Gainesville","35,111","115","1","","21","39","54","1,505","209","1,230","66","4"
"Garden City","8,968","159","0","","0","37","122","424","156","237","31",""
"Glennville","5,210","15","0","","0","3","12","138","30","107","1",""
"Glenwood","717","3","1","","0","2","0","4","0","2","2","0"
"Gordon","2,044","0","0","","0","0","0","22","1","20","1","0"
"Gray","3,244","3","0","","0","0","3","68","9","55","4",""
"Greensboro","3,371","22","0","","1","1","20","162","26","132","4","0"
"Greenville","854","0","0","","0","0","0","28","10","15","3","0"
"Griffin","23,313","186","3","","14","59","110","1,882","373","1,464","45","1"
"Grovetown","12,525","4","0","","1","3","0","213","54","142","17","0"
"Hahira","2,877","3","0","","0","0","3","46","8","28","10",""
"Hampton","7,133","9","0","","0","3","6","113","29","79","5","0"
"Hapeville","6,799","74","4","","0","40","30","532","60","384","88",""
"Harlem","2,811","3","0","","1","0","2","38","7","28","3",""
"Harrison","476","0","0","","0","0","0","0","0","0","0","0"
"Hazlehurst","4,279","7","1","","0","4","2","180","25","152","3","0"
"Helen","520","6","0","","0","0","6","62","9","51","2","0"
"Helena","3,147","5","0","","0","3","2","29","7","21","1",""
"Hinesville","35,311","120","3","","8","42","67","1,444","351","1,035","58","9"
"Hiram","3,613","9","0","","0","3","6","452","19","425","8","0"
"Hoboken","533","1","0","","0","0","1","6","3","2","1","0"
"Holly Springs","9,807","4","0","","1","0","3","98","24","63","11","0"
"Homeland","880","0","0","","0","0","0","0","0","0","0","0"
"Homerville","2,413","20","0","","0","4","16","202","67","128","7","0"
"Jackson","4,941","20","0","","1","3","16","95","36","51","8","0"
"Jefferson","9,638","11","2","","2","1","6","149","20","121","8","0"
"Jeffersonville","962","0","0","","0","0","0","9","4","5","0","0"
"Jesup","10,289","53","0","","1","19","33","826","117","694","15","0"
"Johns Creek","84,093","37","4","","4","11","18","619","136","468","15","1"
"Jonesboro","4,530","19","0","","0","9","10","225","65","146","14","0"
"Kennesaw","31,289","34","0","","0","7","27","503","72","415","16","0"
"Kingsland","16,393","84","0","","4","5","75","468","100","353","15","1"
"Lafayette","7,062","16","0","","1","0","15","411","54","343","14",""
"Lagrange","30,723","99","4","","5","43","47","1,734","346","1,308","80","6"
"Lakeland","3,402","10","1","","2","1","6","73","25","38","10","0"
"Lake Park","755","2","0","","0","0","2","14","3","10","1","0"
"Lavonia","2,121","20","0","","0","2","18","142","13","127","2","0"
"Lawrenceville","29,821","65","0","","7","38","20","871","161","645","65","2"
"Lilburn","12,455","39","1","","0","16","22","713","67","618","28","0"
"Lincolnton","1,491","7","0","","0","2","5","42","4","37","1",""
"Locust Grove","5,734","10","0","","0","4","6","333","37","286","10","0"
"Loganville","10,699","16","0","","0","1","15","304","38","250","16","2"
"Lookout Mountain","1,577","0","0","","0","0","0","19","5","13","1",""
"Lumber City","1,266","4","0","","0","1","3","19","7","11","1","0"
"Lumpkin","1,083","0","0","","0","0","0","0","0","0","0","0"
"Macon","91,177","583","18","","46","231","288","6,800","1,993","4,318","489","43"
"Madison","3,983","15","0","","0","4","11","223","57","161","5","0"
"Manchester","4,069","18","0","","3","2","13","175","42","119","14","1"
"Marietta","58,893","450","5","","12","127","306","2,499","457","1,861","181","2"
"McCaysville","1,043","2","0","","1","0","1","27","4","22","1",""
"McDonough","22,713","56","2","","6","23","25","837","104","691","42","2"
"McIntyre","650","2","0","","0","0","2","22","3","19","0","0"
"McRae","5,588","17","0","","0","1","16","71","25","44","2","0"
"Meigs","1,035","6","0","","0","0","6","24","8","16","0",""
"Midville","267","0","0","","0","0","0","0","0","0","0","0"
"Midway","2,152","10","0","","1","3","6","71","22","45","4","0"
"Milledgeville","19,927","61","1","","4","23","33","876","219","629","28","2"
"Milton","35,751","8","0","","4","1","3","419","37","382","0","0"
"Monroe","13,364","97","1","","1","22","73","1,057","384","636","37",""
"Montezuma","3,318","19","0","","0","1","18","159","59","93","7","1"
"Morrow","6,948","33","0","","2","17","14","855","58","764","33","0"
"Moultrie","14,554","92","2","","6","33","51","1,001","238","736","27",""
