"Criminal Justice Information Services Division","Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home"
"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson"
"Aberdeen","1,959","2","0","1","","0","1","16","1","12","3","0"
"American Falls","4,404","4","0","1","","1","2","58","10","46","2","0"
"Bellevue","2,269","0","0","0","","0","0","19","11","7","1","0"
"Blackfoot","11,826","23","1","6","","1","15","449","83","346","20","2"
"Boise","214,330","600","3","123","","45","429","4,741","825","3,703","213","48"
"Bonners Ferry","2,586","13","0","0","","1","12","52","10","42","0","0"
"Buhl","4,183","7","0","1","","0","6","68","16","52","0","2"
"Caldwell","48,069","133","0","19","","6","108","1,128","190","892","46","5"
"Cascade","893","0","0","0","","0","0","25","3","21","1","0"
"Challis","1,084","0","0","0","","0","0","6","0","6","0","0"
"Chubbuck","14,224","34","0","2","","3","29","603","39","553","11","1"
"Coeur d'Alene","46,023","257","0","53","","20","184","1,735","359","1,259","117","8"
"Cottonwood","926","1","0","0","","0","1","7","0","7","0","0"
"Emmett","6,509","8","1","0","","0","7","88","40","48","0","0"
"Filer","2,575","3","0","1","","0","2","10","6","2","2","0"
"Fruitland","4,734","5","0","0","","1","4","80","26","47","7","2"
"Garden City","11,342","65","0","21","","5","39","425","63","347","15","7"
"Gooding","3,502","3","0","1","","0","2","51","15","34","2","0"
"Grangeville","3,153","4","0","0","","0","4","56","17","37","2","0"
"Hagerman","862","0","0","0","","0","0","8","0","7","1","0"
"Hailey","7,915","14","1","1","","0","12","72","29","42","1","0"
"Heyburn","3,134","3","0","0","","0","3","42","18","22","2","0"
"Homedale","2,606","9","0","1","","0","8","52","16","35","1","0"
"Idaho Falls","58,188","124","0","31","","19","74","1,623","304","1,210","109","6"
"Jerome","11,059","30","0","7","","3","20","205","59","128","18","0"
"Kamiah","1,323","3","0","0","","1","2","16","5","11","0","0"
"Kellogg","2,109","8","0","2","","0","6","73","30","34","9","0"
"Ketchum","2,670","3","0","0","","0","3","51","5","44","2","0"
"Kimberly","3,351","1","0","0","","0","1","26","16","10","0","0"
"Lewiston","32,093","49","0","8","","8","33","1,169","264","853","52","1"
"McCall","2,851","15","0","3","","1","11","82","19","62","1","0"
"Meridian","82,064","115","0","33","","5","77","1,030","193","812","25","17"
"Montpelier","2,520","5","0","0","","0","5","60","9","50","1","0"
"Moscow","24,714","25","1","8","","2","14","749","116","607","26","3"
"Mountain Home","13,644","39","1","11","","0","27","202","24","175","3","3"
"Nampa","84,634","202","1","42","","16","143","1,876","434","1,319","123","15"
"Orofino","3,098","7","0","1","","0","6","66","23","43","0","0"
"Osburn","1,542","3","1","0","","0","2","15","8","5","2","0"
"Parma","2,030","0","0","0","","0","0","20","9","9","2","0"
"Payette","7,442","19","0","5","","0","14","240","69","166","5","0"
"Pinehurst","1,616","2","0","1","","0","1","22","14","7","1","0"
"Pocatello","54,935","195","0","21","","27","147","1,776","278","1,415","83","7"
"Ponderay","1,110","1","0","0","","0","1","78","9","66","3","0"
"Post Falls","28,959","71","1","9","","5","56","803","100","650","53","1"
"Preston","5,128","5","0","1","","0","4","49","11","36","2","0"
"Priest River","1,706","1","0","0","","0","1","39","14","21","4","0"
"Rathdrum","7,078","9","0","1","","0","8","150","56","86","8","0"
"Rexburg","26,298","7","0","0","","0","7","193","29","157","7","0"
"Rigby","4,031","5","0","0","","0","5","73","19","51","3","0"
"Rupert","5,500","11","0","0","","1","10","136","31","102","3","1"
"Salmon","3,020","8","0","1","","0","7","40","11","25","4","0"
"Sandpoint","7,412","19","0","0","","0","19","335","65","265","5","0"
"Shelley","4,408","1","0","0","","0","1","43","11","32","0","0"
"Shoshone","1,488","13","0","1","","0","12","4","2","2","0","0"
"Soda Springs","2,946","14","0","0","","1","13","37","18","19","0","0"
"Spirit Lake","2,016","6","0","2","","0","4","24","6","17","1","0"
"St. Anthony","3,446","4","0","0","","0","4","26","5","21","0","0"
"St. Maries","2,335","9","0","0","","1","8","32","10","18","4","0"
"Sun Valley","1,391","8","0","0","","0","8","10","1","8","1","0"
"Twin Falls","45,378","118","0","18","","10","90","1,320","196","1,073","51","7"
"Wendell","2,740","6","0","1","","0","5","26","6","19","1","0"
"Wilder","1,568","3","0","0","","0","3","17","6","11","0","0"
