"Criminal Justice Information Services Division","Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home"
"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson"
"Addison","37,378","40","1","","8","5","26","640","97","527","16","5"
"Albany","878","0","0","","0","0","0","5","0","5","0","0"
"Albers","1,187","0","0","","0","0","0","0","0","0","0","0"
"Albion","1,975","0","0","","0","0","0","33","8","22","3","1"
"Algonquin","29,980","18","0","","3","2","13","519","33","475","11","6"
"Alsip","19,461","42","0","","9","16","17","564","114","423","27","2"
"Altamont","2,309","5","0","","0","1","4","62","10","51","1","1"
"Alton","27,277","108","0","","9","34","65","1,272","309","912","51","3"
"Amboy","2,392","8","0","","1","0","7","24","8","16","0","0"
"Anna","4,380","21","0","","1","1","19","131","35","92","4","0"
"Antioch","14,393","16","1","","4","1","10","238","21","217","0","0"
"Arlington Heights","75,978","42","0","","7","7","28","800","125","659","16","6"
"Arthur","2,281","2","0","","1","0","1","42","8","34","0","0"
"Ashland","1,292","1","0","","0","0","1","13","4","9","0","0"
"Ashton","929","0","0","","0","0","0","0","0","0","0","0"
"Athens","1,982","0","0","","0","0","0","13","4","9","0","0"
"Atwood","1,207","1","0","","1","0","0","7","2","5","0","0"
"Aurora","200,551","601","4","","53","119","425","2,972","576","2,285","111","20"
"Aviston","2,059","0","0","","0","0","0","2","0","2","0","0"
"Bannockburn","1,577","0","0","","0","0","0","33","1","32","0","0"
"Barrington","10,356","2","0","","2","0","0","138","19","116","3","0"
"Barrington Hills","4,229","0","0","","0","0","0","12","2","8","2","0"
"Bartlett","41,733","18","1","","1","5","11","270","22","240","8","2"
"Bartonville","6,439","14","0","","1","1","12","228","47","174","7","0"
"Batavia","26,401","20","0","","0","1","19","351","42","304","5","3"
"Beardstown","5,924","8","0","","0","1","7","27","5","18","4","0"
"Beecher","4,454","1","0","","0","0","1","60","8","52","0","0"
"Bellwood","19,155","132","3","","4","42","83","385","110","238","37","0"
"Belvidere","25,308","29","3","","5","3","18","375","62","300","13","0"
"Benld","1,520","0","0","","0","0","0","1","1","0","0","0"
"Bensenville","18,534","25","0","","7","5","13","263","55","193","15","6"
"Benton","7,063","16","0","","0","3","13","180","53","126","1","0"
"Berkeley","5,237","13","0","","1","4","8","92","14","75","3","1"
"Berwyn","56,838","117","2","","6","61","48","1,198","342","777","79","4"
"Bethalto","9,441","39","1","","9","1","28","157","28","123","6","0"
"Blandinsville","646","0","0","","0","0","0","4","0","4","0","0"
"Bloomingdale","22,301","10","0","","1","5","4","631","41","585","5","2"
"Bloomington","78,060","399","2","","57","59","281","1,901","402","1,446","53","8"
"Blue Island","23,846","108","0","","6","57","45","648","163","407","78","0"
"Blue Mound","1,147","5","0","","0","0","5","16","5","11","0","1"
"Bluffs","701","0","0","","0","0","0","10","7","3","0","0"
"Bolingbrook","74,224","174","1","","17","38","118","1,131","118","952","61","7"
"Bradley","15,860","26","0","","2","4","20","669","63","599","7","1"
"Braidwood","6,214","7","0","","0","1","6","69","19","48","2","1"
"Bridgeview","16,541","30","0","","2","11","17","520","53","434","33","3"
"Broadview","7,971","32","0","","4","19","9","345","41","292","12","0"
"Brookfield","19,050","17","0","","4","5","8","363","74","278","11","1"
"Buda","526","1","0","","0","0","1","0","0","0","0","0"
"Buffalo Grove","41,774","8","0","","0","1","7","333","38","285","10","1"
"Bull Valley","1,062","0","0","","0","0","0","3","1","2","0","0"
"Burbank","29,183","78","2","","1","23","52","460","52","393","15","1"
"Burnham","4,239","16","0","","4","6","6","160","37","98","25","0"
"Burr Ridge","10,737","2","1","","0","1","0","111","15","93","3","0"
"Byron","3,697","0","0","","0","0","0","52","3","49","0","0"
"Cahokia","14,819","65","1","","7","19","38","687","218","469","0","2"
"Cairo","2,608","120","2","","2","4","112","224","57","155","12","22"
"Cambridge","2,139","3","0","","0","0","3","9","4","5","0","0"
"Campton Hills","11,327","0","0","","0","0","0","47","5","42","0","0"
"Canton","14,461","27","0","","7","1","19","367","67","289","11","2"
"Carbondale","26,248","244","2","","14","41","187","1,031","272","731","28","8"
"Carlinville","5,828","15","1","","1","1","12","165","27","134","4","1"
"Carlyle","3,278","15","0","","1","0","14","64","3","61","0","0"
"Carol Stream","40,376","29","0","","3","7","19","454","54","385","15","11"
"Carpentersville","38,342","26","0","","2","17","7","557","108","437","12","2"
"Carrollton","2,409","2","1","","0","0","1","31","8","21","2","0"
"Carthage","2,567","1","0","","0","0","1","18","12","6","0","0"
"Cary","18,090","11","0","","1","4","6","131","16","114","1","1"
"Caseyville","4,193","61","0","","1","5","55","115","33","71","11","0"
"Central City","1,147","2","0","","0","0","2","37","9","28","0","0"
"Centralia","12,805","67","0","","9","7","51","819","237","564","18","0"
"Champaign","82,966","654","4","","39","119","492","2,275","506","1,698","71","9"
"Channahon","12,604","0","0","","0","0","0","83","10","70","3","0"
"Charleston","21,926","22","0","","3","2","17","88","18","70","0","0"
"Chebanse","1,039","1","0","","0","0","1","1","1","0","0","0"
"Chenoa","3,250","4","0","","0","1","3","27","8","18","1","0"
"Cherry Valley","3,137","18","0","","1","4","13","343","25","309","9","0"
"Chester","8,448","14","0","","2","1","11","42","7","34","1","3"
"Chicago3, 4","2,720,554","","414","","","11,815","","95,908","17,775","65,497","12,636","403"
"Chicago Ridge","14,463","22","0","","4","10","8","658","47","579","32","0"
"Chillicothe","6,135","13","0","","0","1","12","140","20","118","2","0"
"Cicero","84,204","346","3","","14","162","167","1,830","503","1,044","283","16"
"Clarendon Hills","8,614","0","0","","0","0","0","61","6","55","0","0"
"Coal City","5,547","6","0","","0","1","5","118","14","103","1","2"
"Coal Valley","3,783","8","0","","1","0","7","28","4","23","1","0"
"Cobden","1,136","8","0","","0","0","8","18","5","12","1","0"
"Colchester","1,393","2","0","","0","0","2","2","0","1","1","0"
"Colfax","1,062","1","0","","0","0","1","11","3","8","0","0"
"Collinsville","25,135","33","0","","5","6","22","780","133","614","33","1"
"Colona","5,151","1","0","","0","0","1","68","14","52","2","0"
"Columbia","9,960","10","1","","2","2","5","91","33","57","1","0"
"Cortland","4,326","2","0","","0","0","2","20","0","20","0","1"
"Country Club Hills","16,954","44","1","","7","26","10","554","88","436","30","2"
"Countryside","5,982","4","0","","0","4","0","173","13","151","9","1"
"Crest Hill","20,865","26","1","","5","12","8","327","84","230","13","1"
"Crete","8,278","18","0","","1","3","14","161","26","130","5","2"
"Crystal Lake","40,383","47","0","","7","7","33","784","66","701","17","6"
"Danvers","1,155","1","0","","0","0","1","10","3","7","0","0"
"Darien","22,365","12","0","","3","3","6","255","52","199","4","0"
"Davis","660","0","0","","0","0","0","2","0","2","0","0"
"Decatur","75,190","351","5","","9","84","253","2,369","793","1,512","64","20"
"Deer Creek","705","0","0","","0","0","0","10","2","8","0","0"
"Deerfield","18,283","2","0","","0","1","1","184","25","159","0","0"
"De Kalb","43,765","204","2","","32","28","142","1,218","181","1,006","31","11"
"Delavan","1,681","1","0","","0","0","1","29","13","16","0","0"
"De Pue","1,778","2","0","","0","0","2","9","1","8","0","0"
"De Soto","1,591","4","0","","0","0","4","5","0","5","0","0"
"Des Plaines","58,975","56","2","","7","12","35","791","153","595","43","8"
"Diamond","2,520","0","0","","0","0","0","19","0","19","0","0"
"Divernon","1,173","0","0","","0","0","0","16","6","10","0","0"
"Dixmoor","3,651","20","1","","1","8","10","164","63","76","25","12"
"Dixon","15,304","13","0","","9","0","4","363","41","316","6","0"
"Dolton","23,309","166","0","","3","123","40","1,502","455","887","160","3"
"Downers Grove","49,558","25","1","","1","7","16","719","115","588","16","7"
"Dupo","4,042","32","0","","0","1","31","69","18","47","4","2"
"Du Quoin","5,993","8","0","","0","0","8","97","15","78","4","2"
"Dwight","4,206","3","0","","0","0","3","49","8","40","1","0"
"Earlville","1,673","2","0","","0","0","2","38","7","31","0","0"
"East Alton","6,181","13","0","","5","0","8","236","51","178","7","0"
"East Dubuque","1,692","15","0","","0","0","15","22","4","14","4","0"
"East Dundee","2,889","1","0","","1","0","0","101","10","88","3","0"
"East Hazel Crest","1,557","3","0","","0","3","0","33","9","23","1","1"
"East Moline","21,430","63","0","","4","6","53","488","98","376","14","4"
"Easton","308","0","0","","0","0","0","1","0","1","0","0"
"East Peoria","23,458","85","0","","20","6","59","679","186","476","17","3"
"Edwardsville","24,511","15","0","","1","3","11","406","40","357","9","0"
"Effingham","12,633","24","1","","2","2","19","413","48","357","8","0"
"Elburn","5,689","2","0","","0","0","2","42","14","28","0","1"
"Eldorado","4,121","10","0","","0","0","10","153","42","101","10","0"
"Elgin","110,454","236","3","","56","63","114","1,902","351","1,462","89","14"
"Elizabeth","757","2","0","","0","0","2","1","0","1","0","0"
"Elk Grove Village","33,414","25","0","","4","7","14","624","89","501","34","3"
"Elmhurst","45,501","12","0","","2","4","6","555","57","476","22","1"
"Elmwood","2,105","2","0","","0","0","2","26","15","11","0","0"
"Elmwood Park","24,998","29","0","","0","11","18","363","68","258","37","1"
"El Paso","2,810","2","0","","2","0","0","55","16","39","0","0"
"Elwood","2,279","3","0","","0","0","3","19","2","15","2","0"
"Erie","1,576","3","0","","0","1","2","17","3","14","0","0"
"Eureka","5,360","7","0","","2","1","4","82","13","69","0","0"
"Evanston","75,709","189","1","","10","63","115","1,902","361","1,474","67","12"
"Evergreen Park","19,951","28","0","","0","20","8","617","62","545","10","1"
"Fairbury","3,731","3","0","","0","0","3","89","22","67","0","0"
"Fairfield","5,068","17","0","","4","0","13","128","42","86","0","1"
"Fairmont City","2,573","3","0","","0","1","2","49","10","36","3","0"
"Fairview Heights","16,960","34","0","","4","10","20","729","66","639","24","5"
"Farmington","2,405","8","0","","1","0","7","71","9","59","3","0"
"Fayetteville","355","1","0","","0","0","1","10","5","5","0","0"
"Findlay","669","0","0","","0","0","0","6","2","3","1","0"
"Fisher","1,924","3","0","","0","0","3","24","7","17","0","1"
"Flora","5,054","5","0","","0","0","5","162","19","142","1","0"
"Flossmoor","9,526","15","1","","1","9","4","157","33","120","4","0"
"Forest Park","14,233","42","0","","0","17","25","782","91","637","54","7"
"Forest View","700","1","0","","0","1","0","50","14","25","11","0"
"Fox Lake","10,537","14","0","","3","1","10","205","23","182","0","0"
"Fox River Grove","4,740","5","0","","2","1","2","54","1","52","1","0"
"Frankfort","18,115","11","0","","4","1","6","202","25","177","0","1"
"Franklin Grove","979","0","0","","0","0","0","15","3","11","1","0"
"Franklin Park","18,417","21","0","","7","3","11","309","46","213","50","4"
"Freeburg","4,363","11","0","","0","1","10","49","14","34","1","0"
"Fulton","3,415","4","0","","0","0","4","58","20","36","2","1"
"Galena","3,392","1","0","","0","0","1","36","2","32","2","0"
"Galesburg","31,602","125","2","","25","11","87","1,140","227","891","22","1"
"Geneseo","6,541","7","0","","2","0","5","98","10","87","1","0"
"Geneva","21,790","5","0","","1","1","3","235","13","220","2","3"
"Genoa","5,185","6","0","","3","0","3","45","9","36","0","1"
"Germantown","1,297","0","0","","0","0","0","16","4","12","0","0"
"Gibson City","3,388","3","1","","0","0","2","41","14","27","0","0"
