"Criminal Justice Information Services Division","Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home"
"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson3"
"Albion","2,344","0","0","","0","0","0","0","0","0","0","0"
"Alexandria","5,060","6","0","","2","2","2","121","18","96","7","1"
"Anderson","55,367","200","5","","36","103","56","2,664","605","1,829","230","55"
"Angola","8,587","6","1","","2","2","1","387","25","358","4","0"
"Auburn","12,802","11","0","","5","0","6","249","34","203","12","0"
"Aurora","3,721","20","0","","2","0","18","213","16","193","4","0"
"Batesville","6,489","26","0","","1","1","24","111","25","82","4","0"
"Bedford","13,400","70","0","","5","2","63","452","60","360","32","1"
"Beech Grove","14,384","33","0","","4","14","15","539","92","383","64","7"
"Berne","3,964","1","0","","0","0","1","31","5","23","3","0"
"Bloomington","82,415","275","2","","34","78","161","2,606","516","1,942","148","35"
"Boonville","6,197","20","0","","0","0","20","197","23","165","9","4"
"Bremen","4,597","15","0","","0","0","15","59","11","44","4","0"
"Brownsburg","22,908","33","0","","1","5","27","385","55","304","26","1"
"Carmel","84,880","20","0","","4","11","5","744","128","573","43","0"
"Cedar Lake","11,688","13","0","","3","1","9","248","57","179","12","1"
"Chesterfield","2,508","1","0","","0","0","1","51","5","43","3","0"
"Clarksville","21,865","122","5","","7","27","83","1,529","172","1,310","47","4"
"Clinton","4,810","16","0","","1","0","15","82","27","50","5","0"
"Columbia City","8,850","4","0","","1","1","2","141","13","121","7","0"
"Columbus","45,874","82","1","","17","19","45","2,124","241","1,754","129","3"
"Crawfordsville","16,055","23","0","4","","4","15","533","112","400","21","4"
"Cumberland","5,218","20","0","","0","12","8","192","26","158","8","3"
"Danville","9,151","30","0","","2","3","25","89","15","67","7","0"
"Decatur","9,345","10","0","","3","2","5","186","15","161","10","0"
"Delphi","2,887","13","0","","2","3","8","62","13","47","2","0"
"Dyer","16,369","11","0","","0","5","6","197","17","167","13","0"
"East Chicago","29,397","196","10","","14","91","81","1,462","301","936","225","2"
"Edinburgh","4,509","14","0","1","","2","11","455","19","433","3","0"
"Ellettsville","6,584","25","0","","0","1","24","76","20","55","1","0"
"Elwood","8,492","7","0","","0","0","7","285","78","188","19","1"
"Evansville","120,284","564","5","","54","211","294","5,859","996","4,371","492","48"
"Fairmount","2,906","4","0","","0","0","4","9","5","3","1","0"
"Fishers","83,358","16","0","","2","7","7","826","78","719","29","1"
"Fort Wayne","254,820","949","31","95","","447","376","9,807","2,396","7,025","386","25"
"Franklin","24,034","69","0","","2","8","59","916","54","853","9","1"
"Garrett","6,291","2","0","","1","0","1","281","56","209","16","0"
"Gary","78,819","883","54","","47","327","455","4,719","1,454","2,533","732","67"
"Goshen","32,195","30","1","","8","10","11","1,098","198","830","70","5"
"Greenfield","21,175","12","0","","1","8","3","407","40","350","17",""
"Greensburg","11,675","32","0","","2","3","27","59","13","44","2","0"
"Greenwood4","53,208","200","1","1","","9","189","1,908","175","1,645","88","5"
"Griffith","16,671","30","0","","2","18","10","565","100","411","54","0"
"Hagerstown","1,764","3","0","0","","0","3","34","11","20","3","0"
"Hammond","79,329","654","9","","37","228","380","3,235","608","2,221","406","33"
"Hartford City","6,053","6","0","","1","3","2","247","55","188","4","0"
"Highland","23,372","9","0","","0","4","5","758","119","585","54","3"
"Hobart","28,631","61","1","","2","13","45","1,537","143","1,309","85","3"
"Huntington","17,271","27","0","","8","3","16","373","60","304","9","2"
"Indianapolis","850,220","10,479","129","656","","3,800","5,894","44,606","13,445","26,156","5,005","317"
"Jasper","15,195","48","0","0","","0","48","135","28","101","6","0"
"Jeffersonville","45,846","349","1","","4","43","301","1,678","328","1,211","139","0"
"Knox","3,657","6","0","","1","0","5","44","6","38","0","1"
"Kokomo","56,878","185","2","","18","66","99","2,210","496","1,600","114","5"
"Lafayette","68,173","389","2","35","","67","285","3,416","718","2,466","232","13"
"Lake Station","12,335","50","0","","6","9","35","581","103","417","61","0"
"La Porte","22,112","44","1","2","","16","25","869","150","690","29","2"
"Lawrenceburg","5,012","8","0","","1","0","7","179","15","164","0","0"
"Ligonier","4,385","0","0","","0","0","0","18","1","14","3","0"
"Linton","5,359","0","0","0","","0","0","182","0","181","1","0"
"Long Beach","1,173","0","0","0","","0","0","11","3","5","3","0"
"Lowell","9,354","18","0","0","","0","18","105","11","93","1","0"
"Marion","29,549","80","4","","7","34","35","1,148","162","911","75","4"
"Martinsville","11,823","7","0","","2","1","4","712","82","594","36","1"
"Merrillville","35,756","99","3","","1","33","62","1,337","246","979","112","2"
"Mishawaka","47,967","136","0","","20","61","55","2,704","305","2,259","140","12"
"Mooresville","9,490","7","0","1","","0","6","306","31","245","30","0"
"Mount Vernon","6,586","12","0","","0","2","10","347","117","211","19","0"
"Muncie","70,059","288","0","","29","96","163","3,007","532","2,321","154","24"
"Nappanee","6,694","3","0","","1","1","1","113","27","81","5","1"
"New Albany","36,490","87","0","","13","27","47","2,002","354","1,514","134","3"
"New Haven","15,575","24","0","","2","13","9","532","83","422","27","0"
"New Whiteland","5,668","6","0","0","","2","4","26","7","16","3","0"
"North Judson","1,759","6","0","","1","0","5","46","4","41","1","1"
"North Liberty","1,890","0","0","","0","0","0","10","3","7","0","0"
"North Manchester","5,987","11","0","","7","0","4","108","19","89","0","0"
"North Vernon","6,640","22","0","","2","0","20","392","38","338","16","0"
"Peru","11,219","21","1","","1","2","17","133","52","76","5","0"
"Plainfield","29,644","50","0","2","","7","41","886","78","755","53","0"
"Plymouth","10,034","7","0","1","","2","4","316","17","290","9","0"
"Portage","36,862","70","0","","8","13","49","866","124","697","45","0"
"Porter","4,883","1","0","","0","0","1","86","9","71","6","0"
"Portland","6,278","1","0","0","","0","1","244","12","214","18","0"
"Rensselaer","5,905","26","0","","3","2","21","218","20","196","2","0"
"Rushville","6,204","10","0","","5","1","4","290","48","234","8","0"
"Schererville","28,054","20","0","","1","9","10","674","53","589","32","0"
"Scottsburg","6,614","28","0","","1","5","22","300","45","248","7","0"
"Sellersburg5","6,150","","0","","0","3","","109","17","77","15","0"
"Seymour","18,655","100","0","","7","6","87","1,201","143","958","100","2"
"Shelbyville5","19,159","","0","","4","3","","448","55","365","28","0"
"South Bend","100,711","664","9","93","","363","199","4,890","1,468","3,096","326","25"
"South Whitley","1,728","1","0","","1","0","0","32","2","29","1","0"
"Speedway","11,967","29","2","","2","20","5","628","87","495","46","0"
"Tell City","7,228","4","0","1","","1","2","137","22","108","7","0"
"Terre Haute4","61,215","177","4","22","","54","97","3,261","850","2,130","281","52"
"Tipton","4,983","14","0","","0","3","11","143","31","107","5","0"
"Valparaiso","32,090","33","0","","2","7","24","665","87","555","23","0"
"Walkerton","2,284","1","0","","1","0","0","44","12","27","5","0"
"Warsaw","13,897","106","0","","6","1","99","447","49","382","16","2"
"Washington","11,813","43","1","","6","2","34","755","143","572","40","1"
"Waterloo","2,240","11","0","1","","0","10","78","12","62","4","6"
"Westfield","32,698","21","2","1","","5","13","488","64","412","12","1"
"West Lafayette","30,687","37","0","","6","6","25","536","90","430","16","0"
"Whitestown","3,778","19","0","","0","0","19","114","11","98","5","0"
"Whiting","4,918","4","0","","0","0","4","162","10","132","20","0"
"Winchester","4,866","1","0","","0","0","1","241","37","198","6","0"
"Winona Lake","4,934","12","0","0","","0","12","27","8","19","0","0"
"Zionsville","24,433","2","0","","0","1","1","63","10","50","3","0"
