"Criminal Justice Information Services Division","Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home"
"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson"
"Adel","3,990","7","0","0","","0","7","70","23","45","2","0"
"Albia","3,829","8","0","0","","0","8","58","8","45","5","1"
"Algona","5,495","15","0","1","","0","14","60","31","28","1","0"
"Altoona","15,683","19","0","1","","4","14","567","47","506","14","1"
"Ames","61,193","88","0","34","","11","43","1,439","224","1,181","34","10"
"Anamosa","5,653","2","0","0","","0","2","94","15","77","2","0"
"Ankeny","50,194","43","0","5","","4","34","697","118","543","36","4"
"Bettendorf","34,548","86","0","8","","7","71","495","84","399","12","4"
"Bloomfield","2,591","6","0","1","","0","5","17","0","11","6","0"
"Blue Grass","1,590","0","0","0","","0","0","8","1","7","0","0"
"Boone","12,515","77","0","11","","1","65","264","63","186","15","0"
"Buffalo","1,299","5","0","0","","0","5","9","1","6","2","0"
"Camanche","4,422","5","0","1","","0","4","35","7","28","0","0"
"Carlisle","3,939","5","0","3","","0","2","22","12","7","3","1"
"Carroll","9,988","6","0","2","","0","4","124","23","90","11","2"
"Carter Lake","3,755","19","0","3","","0","16","161","40","96","25","1"
"Cedar Falls","40,213","52","0","19","","3","30","495","80","391","24","3"
"Cedar Rapids","128,642","392","4","46","","90","252","4,707","977","3,433","297","19"
"Centerville","5,444","28","0","5","","2","21","188","68","107","13","7"
"Chariton","4,243","18","0","2","","2","14","145","47","93","5","3"
"Charles City","7,471","19","0","4","","0","15","131","25","103","3","0"
"Cherokee","5,149","14","1","1","","0","12","79","23","54","2","0"
"Clarinda","5,455","26","0","1","","0","25","189","67","111","11","4"
"Clear Lake","7,731","6","0","1","","0","5","232","45","179","8","0"
"Clinton","26,572","178","0","21","","18","139","1,046","206","795","45","11"
"Clive","16,467","28","0","0","","3","25","338","43","277","18","0"
"Coralville","19,949","44","0","15","","11","18","627","74","542","11","4"
"Council Bluffs","62,021","584","0","75","","80","429","4,614","947","3,126","541","28"
"Cresco","3,894","5","0","2","","0","3","35","10","25","0","1"
"Davenport","101,834","654","2","88","","167","397","4,248","961","3,048","239","30"
"Decorah","8,103","1","0","0","","0","1","64","9","52","3","0"
"Denison","8,411","4","0","0","","2","2","84","16","58","10","1"
"Des Moines","207,391","1,026","11","90","","211","714","10,015","2,311","6,854","850","33"
"De Witt","5,273","8","0","0","","0","8","79","35","41","3","0"
"Dubuque","58,313","132","0","14","","36","82","1,641","409","1,172","60","26"
"Dyersville","4,093","10","0","0","","1","9","57","8","46","3","1"
"Eagle Grove","3,496","14","0","1","","1","12","40","16","21","3","1"
"Eldora","2,694","21","0","1","","1","19","54","20","32","2","1"
"Eldridge","5,979","13","0","0","","4","9","44","10","30","4","0"
"Emmetsburg","3,820","1","0","0","","0","1","7","4","2","1","0"
"Estherville","6,179","24","0","4","","0","20","66","20","42","4","0"
"Evansdale","4,754","21","0","6","","0","15","88","37","49","2","0"
"Fairfield","9,488","13","0","1","","1","11","337","165","163","9","2"
"Forest City","3,967","3","0","0","","0","3","25","3","18","4","0"
"Fort Dodge","24,632","157","0","15","","13","129","1,106","141","881","84","12"
"Fort Madison","11,012","52","0","8","","1","43","244","66","166","12","1"
"Glenwood","5,220","28","1","5","","1","21","97","29","55","13","1"
"Grinnell","9,090","34","0","1","","1","32","210","68","136","6","2"
"Grundy Center","2,719","0","0","0","","0","0","10","0","10","0","0"
"Hampton","4,378","3","0","2","","0","1","17","1","16","0","0"
"Hawarden","2,548","2","0","0","","0","2","20","7","12","1","0"
"Hiawatha","7,173","4","0","1","","0","3","106","36","63","7","1"
"Humboldt","4,644","4","0","0","","0","4","51","7","34","10","0"
"Indianola","14,993","73","0","8","","1","64","349","76","254","19","13"
"Iowa City","70,855","228","0","28","","56","144","1,850","357","1,411","82","7"
"Iowa Falls","5,117","3","0","1","","1","1","138","6","131","1","1"
"Jefferson","4,233","1","0","1","","0","0","64","11","53","0","2"
"Johnston","19,175","7","0","2","","0","5","178","44","125","9","3"
"Keokuk","10,720","103","0","8","","1","94","503","113","363","27","1"
"Le Claire","3,918","16","0","0","","0","16","33","5","27","1","0"
"Le Mars","9,788","10","0","3","","1","6","230","61","159","10","8"
"Leon","1,896","5","0","1","","1","3","28","0","27","1","0"
"Lisbon","2,172","3","0","0","","0","3","15","2","13","0","0"
"Manchester","5,103","13","0","3","","0","10","89","18","67","4","2"
"Maquoketa","6,066","21","0","5","","2","14","178","32","140","6","1"
"Marengo","2,485","3","0","0","","1","2","3","1","2","0","0"
"Marion","36,181","56","0","15","","5","36","573","117","439","17","5"
"Marshalltown","27,722","172","0","2","","5","165","735","165","533","37","4"
"Mason City","27,747","30","1","8","","4","17","1,130","216","884","30","7"
"Monticello","3,795","9","0","0","","0","9","38","11","25","2","0"
"Mount Vernon","4,609","5","0","3","","1","1","39","2","36","1","0"
"Muscatine","23,027","146","1","29","","2","114","539","115","401","23","8"
"New Hampton","3,542","2","0","0","","0","2","22","2","20","0","0"
"Newton","15,064","41","0","16","","1","24","503","76","409","18","4"
"North Liberty","14,821","44","0","15","","0","29","119","15","93","11","1"
"Norwalk","9,554","10","0","2","","0","8","74","7","66","1","1"
"Oelwein","6,350","34","0","2","","3","29","137","35","96","6","0"
"Orange City","6,187","3","0","0","","0","3","53","13","37","3","0"
"Osage","3,626","8","0","2","","0","6","54","33","20","1","0"
"Osceola","5,064","10","0","0","","0","10","124","19","91","14","0"
"Oskaloosa","11,570","49","1","6","","2","40","230","65","157","8","0"
"Ottumwa","24,738","74","0","19","","5","50","1,187","283","835","69","10"
"Pella","10,418","35","0","1","","1","33","153","63","88","2","2"
"Perry","8,065","29","0","4","","0","25","178","27","143","8","1"
"Pleasant Hill","9,072","6","0","1","","0","5","111","36","67","8","1"
"Prairie City","1,672","3","0","0","","0","3","34","17","16","1","0"
"Red Oak","5,614","19","1","1","","0","17","258","114","138","6","3"
"Sergeant Bluff","4,280","15","0","0","","1","14","66","12","53","1","0"
"Sheldon","5,096","10","0","0","","1","9","69","27","38","4","0"
"Shenandoah","5,084","3","0","1","","0","2","81","7","65","9","0"
"Sioux City","82,676","324","3","46","","40","235","3,658","604","2,814","240","7"
"Spencer","11,186","19","0","17","","1","1","246","78","164","4","0"
"Spirit Lake","4,955","9","0","1","","0","8","200","94","101","5","1"
"State Center","1,477","0","0","0","","0","0","13","5","7","1","0"
"Storm Lake","10,812","54","0","3","","0","51","265","46","208","11","11"
"Story City","3,424","2","0","0","","0","2","32","13","19","0","0"
"Toledo","2,257","46","0","2","","0","44","43","6","35","2","0"
"Urbandale","41,499","67","0","5","","7","55","670","129","516","25","2"
"Vinton","5,187","4","0","0","","0","4","75","24","48","3","1"
"Walcott","1,626","3","0","1","","0","2","12","3","9","0","1"
"Washington","7,346","54","0","8","","3","43","81","16","58","7","1"
"Waukee","16,633","10","0","1","","0","9","134","36","97","1","1"
"Waukon","3,861","1","0","0","","0","1","5","2","3","0","0"
"Waverly","10,089","54","0","5","","1","48","117","26","83","8","0"
"Webster City","7,830","28","0","1","","1","26","176","40","124","12","0"
"West Burlington","3,027","7","0","0","","1","6","313","31","274","8","0"
"West Des Moines","60,068","90","1","16","","12","61","1,658","205","1,377","76","3"
"West Liberty","3,729","7","0","0","","0","7","36","14","21","1","1"
"Williamsburg","3,076","1","0","0","","1","0","20","8","12","0","0"
"Wilton","2,810","3","0","1","","0","2","19","8","10","1","0"
"Windsor Heights","4,880","10","0","2","","1","7","192","33","153","6","1"
"Winterset","5,174","6","0","2","","0","4","115","46","67","2","1"
