"Criminal Justice Information Services Division","Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home"
"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson"
"Abilene","6,743","11","0","1","","0","10","155","36","113","6","2"
"Andover","12,188","8","0","3","","0","5","364","21","328","15","1"
"Anthony","2,203","14","0","0","","0","14","45","15","25","5","0"
"Arkansas City","12,322","87","0","11","","4","72","503","117","366","20","4"
"Arma","1,482","5","0","1","","0","4","27","11","15","1","0"
"Atchison","10,940","33","0","6","","1","26","357","87","257","13","2"
"Atwood","1,215","4","0","1","","0","3","26","7","17","2","0"
"Auburn","1,229","0","0","0","","0","0","0","0","0","0","0"
"Augusta","9,197","33","0","5","","1","27","372","48","315","9","0"
"Baldwin City","4,527","0","0","0","","0","0","78","20","51","7","0"
"Basehor","4,828","0","0","0","","0","0","51","11","36","4","0"
"Baxter Springs","4,139","5","0","0","","0","5","105","27","76","2","3"
"Bel Aire","6,857","9","0","3","","2","4","95","13","80","2","1"
"Belleville","1,928","6","0","0","","0","6","69","15","51","3","0"
"Beloit","3,832","14","0","5","","0","9","16","3","12","1","0"
"Bentley","527","0","0","0","","0","0","1","0","1","0","0"
"Benton","871","0","0","0","","0","0","5","1","4","0","0"
"Bonner Springs","7,450","24","1","3","","2","18","352","71","254","27","2"
"Bucklin","808","0","0","0","","0","0","0","0","0","0","0"
"Burlington","2,645","4","0","1","","0","3","31","2","26","3","0"
"Burrton","899","1","0","0","","0","1","16","8","8","0","1"
"Caney","2,135","1","0","0","","0","1","33","8","19","6","0"
"Chanute","9,176","38","1","3","","0","34","331","49","270","12","2"
"Chase","463","0","0","0","","0","0","0","0","0","0","0"
"Clay Center","4,306","16","0","0","","1","15","71","29","41","1","0"
"Clearwater","2,491","3","0","0","","0","3","45","9","33","3","1"
"Coffeyville","9,902","100","0","9","","6","85","631","174","432","25","4"
"Colby","5,403","19","1","4","","1","13","120","21","91","8","1"
"Columbus","3,232","1","0","1","","0","0","94","25","61","8","1"
"Concordia","5,296","27","0","6","","0","21","198","42","148","8","2"
"Council Grove","2,154","6","0","0","","0","6","49","14","33","2","0"
"Derby","23,104","36","1","5","","2","28","552","113","416","23","3"
"Dodge City","28,265","68","1","11","","11","45","856","193","618","45","2"
"Edwardsville","4,387","13","0","2","","1","10","92","29","56","7","1"
"El Dorado","12,859","52","1","2","","2","47","358","84","258","16","0"
"Ellsworth","3,113","2","0","0","","0","2","65","17","43","5","0"
"Elwood","1,203","4","0","1","","0","3","37","13","22","2","0"
"Enterprise","847","0","0","0","","0","0","25","5","20","0","0"
"Eudora","6,196","8","0","2","","0","6","78","18","58","2","0"
"Fairway","3,957","4","0","1","","0","3","38","5","31","2","0"
"Fort Scott","7,887","57","0","6","","4","47","308","78","217","13","3"
"Frontenac","3,466","4","0","0","","1","3","94","46","47","1","0"
"Galena","3,012","15","0","1","","0","14","119","43","65","11","5"
"Garden City","27,047","124","0","19","","11","94","696","82","588","26","9"
"Garnett","3,297","4","0","3","","0","1","104","24","75","5","0"
"Girard","2,798","4","0","2","","0","2","52","13","37","2","0"
"Goddard","4,572","7","0","0","","0","7","158","34","114","10","0"
"Grandview Plaza","1,809","3","0","1","","0","2","36","10","26","0","0"
"Great Bend","15,896","74","0","14","","4","56","636","141","468","27","4"
"Halstead","2,093","3","0","0","","0","3","76","40","34","2","0"
"Hays","21,156","71","0","6","","3","62","519","54","446","19","3"
"Herington","2,481","7","0","1","","0","6","56","14","37","5","0"
"Hesston","3,749","2","0","0","","0","2","69","18","49","2","1"
"Hiawatha","3,120","8","1","0","","0","7","113","14","92","7","1"
"Hill City","1,456","3","0","0","","0","3","20","5","14","1","1"
"Hillsboro","2,904","1","0","0","","0","1","31","5","25","1","0"
"Hoisington","2,686","14","0","2","","1","11","82","21","58","3","1"
"Holcomb","2,124","3","0","0","","0","3","21","5","16","0","0"
"Holton","3,292","7","0","2","","0","5","37","12","24","1","0"
"Horton","1,743","5","0","2","","0","3","35","11","22","2","0"
"Hugoton","3,931","4","0","0","","0","4","19","4","15","0","0"
"Hutchinson","41,909","251","3","39","","27","182","2,264","435","1,695","134","17"
"Inman","1,392","1","0","1","","0","0","8","3","5","0","0"
"Iola","5,697","24","0","5","","1","18","309","64","235","10","3"
"Junction City","26,491","147","1","13","","14","119","638","121","497","20","5"
"Kansas City","147,618","731","28","","83","238","382","7,228","1,617","4,566","1,045","56"
"Kingman","3,169","9","0","1","","0","8","40","5","33","2","0"
"Lansing","11,688","21","0","2","","1","18","144","63","61","20","1"
"Larned","4,012","14","0","4","","1","9","115","20","88","7","2"
"Lawrence","90,034","338","1","50","","74","213","3,625","493","2,959","173","19"
"Leavenworth","35,965","234","0","28","","25","181","1,089","252","770","67","6"
"Leawood","32,748","13","0","1","","2","10","384","47","320","17","1"
"Lebo","927","0","0","0","","0","0","0","0","0","0","0"
"Lenexa","49,777","58","0","9","","11","38","895","106","713","76","1"
"Le Roy","553","0","0","0","","0","0","1","1","0","0","0"
"Liberal","21,261","53","0","5","","6","42","499","115","365","19","2"
"Lindsborg","3,468","6","0","0","","0","6","64","18","44","2","0"
"Louisburg","4,268","2","0","0","","0","2","73","34","39","0","1"
"Maize","3,787","6","0","0","","2","4","44","9","32","3","0"
"Maple Hill","619","0","0","0","","0","0","0","0","0","0","1"
"Marion","1,862","3","0","1","","0","2","41","9","32","0","0"
"Marysville","3,296","6","0","1","","0","5","57","7","47","3","1"
"McLouth","860","3","0","0","","0","3","19","4","15","0","0"
"McPherson","13,245","41","0","7","","3","31","597","211","349","37","2"
"Medicine Lodge","2,008","5","0","0","","0","5","49","17","31","1","0"
"Mission","9,511","21","0","","2","5","14","364","35","274","55","2"
"Mission Hills","3,584","0","0","0","","0","0","43","9","27","7","1"
"Mulvane","6,307","8","0","0","","2","6","135","14","113","8","0"
"Neodesha","2,378","9","0","2","","0","7","55","12","41","2","0"
"Newton","19,196","123","0","28","","8","87","664","126","518","20","5"
"North Newton","1,784","0","0","0","","0","0","10","0","10","0","0"
"Norton","2,863","6","0","0","","0","6","48","14","34","0","0"
"Oakley","2,063","3","0","0","","0","3","21","3","18","0","0"
"Oberlin","1,716","0","0","0","","0","0","20","3","15","2","0"
"Olathe","131,342","185","2","","37","23","123","2,273","217","1,877","179","19"
"Osage City","2,890","3","0","0","","0","3","40","11","26","3","2"
"Osawatomie","4,368","16","0","1","","0","15","96","22","68","6","1"
"Oswego","1,796","2","0","1","","0","1","19","5","13","1","1"
"Ottawa","12,546","30","0","8","","2","20","323","82","223","18","2"
"Overland Park","180,555","284","2","","33","45","204","3,530","404","2,846","280","15"
"Paola","5,529","18","0","4","","1","13","189","16","169","4","1"
"Park City","7,475","10","1","2","","1","6","195","49","132","14","0"
"Peabody","1,162","1","0","0","","0","1","32","20","10","2","1"
"Pittsburg","20,395","96","1","19","","16","60","1,041","208","797","36","3"
"Plainville","1,920","0","0","0","","0","0","12","6","6","0","0"
"Prairie Village","21,870","10","0","1","","2","7","221","51","147","23","0"
"Pratt","6,900","19","1","1","","1","16","282","70","203","9","1"
"Rose Hill","3,931","6","0","1","","0","5","51","5","45","1","2"
"Russell","4,471","24","0","3","","0","21","78","33","38","7","0"
"Salina","48,120","155","1","39","","24","91","1,950","322","1,513","115","15"
"Scott City","3,814","14","0","2","","1","11","47","8","36","3","1"
"Scranton","701","1","0","0","","0","1","15","2","12","1","0"
"Sedgwick","1,702","1","0","0","","0","1","18","3","15","0","0"
"Seneca","1,990","2","0","1","","0","1","31","6","22","3","0"
"Shawnee","64,060","87","2","15","","17","53","1,087","170","760","157","8"
"South Hutchinson","2,498","7","0","0","","1","6","76","25","48","3","0"
"Spring Hill","5,665","5","0","1","","1","3","91","17","68","6","1"
"St. John","1,257","9","0","2","","0","7","14","5","9","0","0"
"St. Marys","2,664","4","0","0","","1","3","29","11","15","3","2"
"Stockton","1,343","3","0","0","","0","3","11","8","3","0","0"
"Tonganoxie","5,138","13","0","3","","0","10","81","13","61","7","0"
"Topeka","128,009","612","11","","33","172","396","6,486","1,238","4,679","569","7"
"Ulysses","6,262","13","0","0","","1","12","67","15","48","4","0"
"Valley Center","7,009","15","0","3","","0","12","82","11","69","2","0"
"Victoria","1,237","0","0","0","","0","0","7","3","4","0","0"
"Wa Keeney","1,852","0","0","0","","0","0","16","2","12","2","0"
"Wamego","4,514","4","0","0","","0","4","73","16","53","4","3"
"Waterville","664","0","0","0","","0","0","1","0","1","0","0"
"Wathena","1,348","3","0","1","","0","2","13","4","9","0","0"
"Waverly","574","0","0","0","","0","0","0","0","0","0","0"
"Wellington","7,945","34","0","2","","3","29","450","95","324","31","1"
"Wellsville","1,840","4","0","1","","1","2","22","2","20","0","0"
"Westwood","2,071","0","0","0","","0","0","42","11","27","4","0"
"Wichita","386,486","3,065","15","244","","468","2,338","20,802","3,933","14,885","1,984","113"
"Winchester","543","0","0","0","","0","0","7","0","7","0","0"
"Yates Center","1,400","0","0","0","","0","0","14","8","4","2","1"
