"Criminal Justice Information Services Division","Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home"
"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson"
"Adairville","840","0","0","0","","0","0","0","0","0","0","0"
"Albany","2,032","0","0","0","","0","0","0","0","0","0","0"
"Alexandria","8,683","5","0","1","","4","0","198","16","177","5","0"
"Anchorage","2,391","0","0","0","","0","0","46","11","33","2","0"
"Ashland","21,432","41","0","8","","14","19","1,039","171","832","36","2"
"Auburn","1,330","3","0","1","","0","2","15","4","10","1","0"
"Audubon Park","1,496","0","0","0","","0","0","36","9","22","5","0"
"Barbourville","3,139","8","0","1","","6","1","30","11","17","2","0"
"Bardstown","12,916","13","0","2","","5","6","315","77","232","6","3"
"Bardwell","711","0","0","0","","0","0","0","0","0","0","0"
"Beattyville","1,269","2","0","0","","1","1","12","3","6","3","0"
"Beaver Dam","3,527","2","0","0","","0","2","46","3","39","4","0"
"Bellevue","5,918","10","1","5","","1","3","183","66","108","9","3"
"Benham","484","0","0","0","","0","0","3","0","3","0","0"
"Benton","4,407","2","0","0","","0","2","71","22","48","1","0"
"Berea","14,331","11","0","1","","5","5","374","101","262","11","0"
"Bloomfield","858","0","0","0","","0","0","7","2","4","1","0"
"Bowling Green","61,130","201","2","59","","69","71","2,852","455","2,272","125","2"
"Brandenburg","2,867","0","0","0","","0","0","19","4","14","1","0"
"Brownsville","829","1","0","1","","0","0","3","1","1","1","0"
"Burkesville","1,526","2","0","0","","2","0","10","7","2","1","0"
"Burnside","828","1","0","0","","0","1","34","8","25","1","0"
"Cadiz","2,624","5","0","1","","1","3","95","25","69","1","0"
"Calvert City","2,540","1","0","0","","0","1","27","6","20","1","0"
"Campbellsville","10,804","47","0","13","","15","19","322","83","233","6","0"
"Carlisle","1,956","2","0","0","","1","1","26","0","24","2","0"
"Carrollton","3,966","3","0","2","","0","1","65","14","49","2","1"
"Catlettsburg","1,829","5","0","1","","2","2","38","11","25","2","0"
"Cave City","2,283","5","0","1","","2","2","47","10","36","1","1"
"Central City","5,891","6","0","0","","1","5","82","7","75","0","0"
"Clarkson","886","0","0","0","","0","0","5","1","3","1","0"
"Clay","1,180","0","0","0","","0","0","2","1","1","0","0"
"Clay City","1,062","1","0","1","","0","0","16","9","6","1","1"
"Cloverport","1,159","0","0","0","","0","0","0","0","0","0","0"
"Coal Run Village","1,678","0","0","0","","0","0","71","10","60","1","0"
"Cold Spring","6,194","5","0","0","","5","0","158","10","146","2","0"
"Columbia","4,490","5","0","0","","1","4","64","22","40","2","0"
"Corbin","7,257","16","0","5","","7","4","251","66","175","10","3"
"Covington","40,766","241","2","36","","131","72","1,845","592","1,095","158","22"
"Cumberland","2,151","7","0","1","","1","5","9","3","5","1","0"
"Cynthiana","6,305","14","0","4","","4","6","295","56","229","10","0"
"Danville","16,388","39","3","8","","12","16","594","169","408","17","1"
"Dawson Springs","2,753","1","0","1","","0","0","37","8","28","1","1"
"Dayton","5,368","21","0","6","","5","10","239","67","163","9","2"
"Earlington","1,407","0","0","0","","0","0","0","0","0","0","0"
"Eddyville","2,578","0","0","0","","0","0","27","6","21","0","0"
"Edgewood","8,679","3","0","3","","0","0","114","10","100","4","0"
"Edmonton","1,569","1","0","0","","1","0","6","3","3","0","0"
"Elizabethtown","29,470","35","0","9","","10","16","1,088","182","881","25","3"
"Elkton","2,211","4","0","0","","2","2","29","5","24","0","0"
"Elsmere","8,478","15","0","4","","4","7","205","72","126","7","0"
"Eminence","2,478","2","0","1","","0","1","33","7","25","1","0"
"Erlanger","18,432","27","1","10","","11","5","555","94","428","33","0"
"Evarts","939","0","0","0","","0","0","12","4","8","0","0"
"Falmouth","2,137","2","0","0","","1","1","54","15","37","2","0"
"Ferguson","948","0","0","0","","0","0","9","3","6","0","0"
"Flatwoods","7,412","1","0","0","","1","0","39","14","19","6","1"
"Flemingsburg","2,702","0","0","0","","0","0","47","6","37","4","0"
"Florence","31,434","62","0","11","","36","15","1,533","182","1,278","73","5"
"Fort Mitchell","8,240","4","1","0","","3","0","91","9","73","9","0"
"Fort Thomas","16,227","9","0","4","","3","2","194","55","129","10","1"
"Fort Wright","5,703","19","0","1","","18","0","351","27","315","9","0"
"Frankfort","27,680","81","1","14","","35","31","1,162","246","857","59","2"
"Franklin","8,581","14","0","2","","6","6","293","47","241","5","0"
"Fulton","2,310","10","0","3","","2","5","71","15","53","3","0"
"Gamaliel","369","0","0","0","","0","0","0","0","0","0","0"
"Georgetown","30,611","78","3","16","","36","23","1,088","176","874","38","2"
"Glasgow","14,117","30","0","5","","3","22","338","55","269","14","2"
"Graymoor-Devondale","2,914","1","0","0","","1","0","30","8","19","3","0"
"Grayson","4,082","2","0","0","","0","2","65","17","46","2","0"
"Greensburg","2,180","0","0","0","","0","0","26","7","18","1","0"
"Greenup","1,176","0","0","0","","0","0","4","1","3","0","0"
"Greenville","4,415","1","0","0","","0","1","13","6","7","0","0"
"Guthrie","1,442","0","0","0","","0","0","12","3","7","2","0"
"Hardinsburg","2,343","2","0","1","","0","1","17","8","9","0","0"
"Harlan","1,677","14","0","1","","7","6","90","20","67","3","0"
"Harrodsburg","8,301","16","0","5","","3","8","228","71","152","5","0"
"Hartford","2,712","1","0","0","","0","1","7","3","2","2","0"
"Hawesville","1,000","0","0","0","","0","0","7","2","5","0","0"
"Hazard","5,455","30","4","3","","6","17","263","46","205","12","2"
"Henderson","28,952","66","0","8","","28","30","1,014","147","808","59","1"
"Heritage Creek","1,099","0","0","0","","0","0","1","0","1","0","0"
"Highland Heights","6,938","1","0","0","","0","1","70","18","51","1","0"
"Hillview","9,465","14","0","1","","7","6","155","43","106","6","0"
"Hodgenville","3,228","1","0","0","","0","1","23","6","16","1","0"
"Hopkinsville","33,253","107","5","19","","28","55","1,269","341","890","38","3"
"Hurstbourne Acres","1,847","0","0","0","","0","0","7","4","3","0","0"
"Independence","25,937","22","1","9","","5","7","186","53","125","8","0"
"Indian Hills","2,918","0","0","0","","0","0","47","18","27","2","0"
"Irvine","2,431","0","0","0","","0","0","5","3","2","0","0"
"Irvington","1,193","0","0","0","","0","0","11","2","7","2","0"
"Jackson","2,168","3","0","0","","1","2","42","13","27","2","0"
"Jamestown","1,790","0","0","0","","0","0","12","5","7","0","0"
"Jeffersontown","27,017","37","0","10","","21","6","698","237","415","46","0"
"Jenkins","2,131","0","0","0","","0","0","0","0","0","0","0"
"La Grange","8,277","4","0","1","","0","3","121","21","89","11","1"
"Lakeside Park-Crestview Hills","5,881","4","0","0","","3","1","115","11","98","6","0"
"Lancaster","3,429","4","0","0","","0","4","100","23","75","2","0"
"Lawrenceburg","11,080","17","0","3","","2","12","99","26","67","6","0"
"Lebanon","5,649","9","0","1","","1","7","123","54","65","4","0"
"Lebanon Junction","1,861","4","0","1","","0","3","24","10","12","2","0"
"Leitchfield","6,814","10","0","1","","0","9","247","78","162","7","1"
"Lewisburg","801","1","0","0","","0","1","3","2","1","0","0"
"Lewisport","1,701","3","0","3","","0","0","3","1","2","0","0"
"Lexington","308,712","946","18","134","","467","327","12,447","2,574","9,042","831","46"
"Liberty","2,196","0","0","0","","0","0","24","3","18","3","1"
"London","6,067","8","0","5","","3","0","260","35","212","13","2"
"Louisa","2,465","1","0","0","","0","1","36","10","25","1","0"
"Louisville Metro","671,120","3,644","48","","160","1,427","2,009","28,780","6,920","19,835","2,025","237"
"Loyall","664","0","0","0","","0","0","6","4","2","0","0"
"Ludlow","4,536","8","0","4","","3","1","177","58","110","9","1"
"Lynnview","928","1","0","0","","1","0","12","2","10","0","0"
"Madisonville","19,761","26","0","7","","8","11","420","80","323","17","2"
"Manchester","1,425","2","0","0","","1","1","29","7","18","4","0"
"Marion","3,021","6","0","2","","1","3","53","14","36","3","0"
"Martin","620","0","0","0","","0","0","3","2","1","0","0"
"Mayfield","10,141","32","0","4","","9","19","253","64","183","6","1"
"Maysville","9,024","14","0","4","","6","4","389","87","290","12","1"
"McKee","784","0","0","0","","0","0","2","1","1","0","0"
"Meadow Vale","748","1","0","0","","1","0","7","1","6","0","0"
"Middlesboro","9,953","28","0","6","","15","7","613","58","539","16","1"
"Monticello","6,189","5","0","0","","2","3","155","60","90","5","1"
"Morehead","6,864","11","1","0","","5","5","148","17","125","6","1"
"Morganfield","3,242","4","0","0","","0","4","30","5","24","1","0"
"Morgantown","2,469","2","0","0","","0","2","66","10","52","4","0"
"Mortons Gap","859","0","0","0","","0","0","1","1","0","0","0"
"Mount Sterling","7,023","15","0","1","","6","8","381","59","306","16","1"
"Mount Vernon","2,469","3","0","0","","3","0","25","7","15","3","0"
"Mount Washington","9,377","3","0","1","","0","2","131","40","86","5","0"
"Muldraugh","1,092","3","0","2","","0","1","22","5","14","3","0"
"Munfordville","1,635","1","0","0","","1","0","9","4","5","0","0"
"Murray","18,048","38","0","12","","7","19","570","109","449","12","5"
"New Haven","875","1","0","0","","0","1","3","0","3","0","0"
"Newport","15,425","63","0","14","","37","12","1,027","217","754","56","5"
"Nicholasville","28,497","70","1","11","","34","24","1,131","254","840","37","1"
"Northfield","1,040","0","0","0","","0","0","9","1","8","0","0"
"Oak Grove","7,638","22","0","4","","8","10","251","85","153","13","2"
"Olive Hill","1,574","1","0","0","","0","1","24","7","16","1","0"
"Owensboro","58,304","140","0","47","","49","44","2,032","373","1,553","106","7"
"Owenton","1,540","0","0","0","","0","0","13","5","6","2","0"
"Owingsville","1,553","1","0","0","","0","1","21","10","10","1","0"
"Paducah","25,064","72","0","13","","25","34","1,197","132","1,020","45","4"
"Paintsville","4,123","3","0","0","","3","0","91","11","79","1","0"
"Paris","9,752","16","0","3","","6","7","298","81","206","11","2"
"Park Hills","2,993","3","0","1","","2","0","50","16","32","2","0"
"Pembroke","903","0","0","0","","0","0","12","5","7","0","0"
"Perryville","756","0","0","0","","0","0","6","1","5","0","0"
"Pewee Valley","1,486","0","0","0","","0","0","5","2","3","0","0"
"Pikeville","6,870","5","0","1","","3","1","472","41","417","14","1"
"Pineville","1,834","2","0","0","","2","0","59","13","44","2","0"
"Pioneer Village","496","0","0","0","","0","0","12","5","6","1","0"
"Powderly","736","0","0","0","","0","0","12","2","8","2","0"
"Prestonsburg","3,210","10","0","2","","1","7","63","15","41","7","0"
"Princeton","6,293","8","0","1","","3","4","122","34","85","3","1"
"Prospect","4,818","0","0","0","","0","0","49","13","36","0","0"
"Providence","3,171","7","0","0","","2","5","43","14","25","4","0"
"Raceland","2,377","3","0","0","","1","2","32","9","23","0","0"
"Radcliff","23,177","46","1","16","","12","17","635","155","458","22","3"
"Ravenna","595","0","0","0","","0","0","13","3","9","1","0"
"Richmond","32,333","95","0","9","","49","37","1,525","350","1,125","50","4"
"Russell","3,319","4","1","0","","2","1","56","8","48","0","0"
"Russell Springs","2,455","3","0","0","","1","2","56","14","41","1","0"
"Russellville","6,949","13","0","7","","2","4","239","52","174","13","0"
"Salyersville","1,831","1","1","0","","0","0","1","0","1","0","0"
"Science Hill","698","0","0","0","","0","0","3","2","1","0","0"
