"Criminal Justice Information Services Division","Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home"
"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson3"
"Abbeville","12,429","120","2","","9","10","99","559","191","358","10",""
"Addis","4,101","8","0","","0","0","8","1","0","1","0","0"
"Alexandria","48,488","803","6","","11","156","630","3,880","1,130","2,561","189",""
"Amite","4,229","81","0","","0","8","73","437","70","352","15","0"
"Baker","13,884","31","1","4","","6","20","486","78","392","16","1"
"Bastrop","11,097","155","2","","5","31","117","1,265","370","830","65",""
"Baton Rouge","230,212","2,127","49","","74","974","1,030","11,418","3,264","7,648","506","103"
"Bernice","1,644","1","0","0","","0","1","13","3","10","0","0"
"Berwick","4,828","2","1","","0","1","0","66","12","50","4",""
"Blanchard","2,922","0","0","","0","0","0","34","5","27","2","0"
"Bogalusa","11,998","106","1","","6","25","74","592","199","361","32","2"
"Bossier City","65,578","394","6","","20","65","303","3,182","473","2,554","155","9"
"Breaux Bridge","8,236","11","0","","0","6","5","481","43","428","10","0"
"Broussard","8,770","30","0","","1","2","27","294","128","152","14",""
"Brusly","2,543","3","0","","0","1","2","0","0","0","0","0"
"Carencro","8,216","31","0","","0","8","23","308","43","253","12","0"
"Church Point","4,528","11","0","","0","3","8","79","14","63","2","0"
"Clarence","493","0","0","","0","0","0","0","0","0","0","0"
"Clinton","1,619","1","0","","0","0","1","1","0","1","0","0"
"Cottonport","1,972","17","0","","0","1","16","9","4","5","0","2"
"Coushatta","1,928","9","0","","0","1","8","50","10","40","0","0"
"Covington","9,146","40","0","","0","10","30","335","45","277","13","1"
"Delta","285","3","0","","0","0","3","0","0","0","0","0"
"Denham Springs","10,102","60","0","","2","10","48","976","194","768","14","0"
"De Quincy","3,165","0","0","0","","0","0","62","15","46","1","0"
"De Ridder","10,794","78","0","","3","5","70","291","69","216","6","1"
"Epps","848","0","0","","0","0","0","0","0","0","0","0"
"Erath","2,104","20","0","","0","0","20","17","3","11","3","0"
"Eunice","10,372","98","0","","8","16","74","613","196","402","15",""
"Farmerville","3,797","19","0","","0","1","18","249","51","196","2","0"
"Ferriday","3,411","18","0","","0","5","13","181","61","119","1","0"
"Fisher","230","2","0","","0","0","2","1","1","0","0","0"
"Florien","635","1","0","","0","0","1","0","0","0","0","0"
"Folsom","728","1","0","","0","1","0","19","6","11","2","0"
"Franklin","7,429","60","1","","0","7","52","368","61","302","5",""
"Franklinton","3,798","22","0","","1","9","12","183","48","127","8","0"
"French Settlement","1,114","2","0","","0","0","2","20","2","17","1","0"
"Georgetown","318","0","0","","0","0","0","0","0","0","0","0"
"Golden Meadow","2,079","0","0","","0","0","0","3","3","0","0","0"
"Gonzales","10,301","66","0","5","","16","45","772","63","684","25","0"
"Grambling","4,955","15","0","","0","1","14","112","112","0","0","1"
"Gramercy","3,474","13","0","","0","0","13","63","6","56","1","0"
"Greenwood","3,268","10","0","","0","1","9","84","16","62","6","0"
"Gretna","17,760","67","2","","3","24","38","553","98","414","41","4"
"Hammond","20,162","251","3","","14","77","157","2,305","902","1,322","81","0"
"Harahan","9,296","15","1","","2","4","8","140","35","102","3","1"
"Haughton","3,495","3","0","","0","0","3","3","0","3","0","0"
"Hodge","465","2","0","","0","2","0","11","6","5","0",""
"Houma","33,717","204","5","","16","67","116","1,574","243","1,272","59","7"
"Independence","1,654","21","0","","0","4","17","132","29","101","2","0"
"Iowa","3,160","62","0","","1","1","60","73","10","50","13",""
"Jeanerette","5,591","14","0","","0","1","13","107","19","83","5",""
"Jena","3,409","3","0","","0","1","2","3","3","0","0","0"
"Jennings","10,211","30","0","0","","6","24","312","53","254","5","2"
"Jonesville","2,220","20","0","","1","0","19","109","55","52","2","0"
"Kaplan","4,596","22","0","","1","3","18","91","18","73","0","0"
"Kenner","66,854","193","7","","18","94","74","2,322","342","1,848","132","8"
"Kentwood","2,252","29","0","","2","4","23","224","136","79","9","0"
"Killian","1,260","1","0","","0","0","1","35","18","17","0","0"
"Kinder","2,426","13","0","","0","2","11","53","0","51","2",""
"Lafayette","123,409","868","8","","17","272","571","7,568","1,276","5,995","297","19"
"Lake Arthur","2,728","3","1","0","","0","2","16","7","6","3","0"
"Lake Charles","73,894","547","11","","31","178","327","3,535","1,974","1,356","205",""
"Lake Providence","3,810","29","0","","4","7","18","32","10","19","3","0"
"Leesville","6,869","29","0","","1","4","24","250","13","230","7",""
"Livonia","1,439","1","0","","0","0","1","1","0","1","0","0"
"Lutcher","3,403","13","0","","0","1","12","28","4","22","2","0"
"Mandeville","12,162","24","0","","1","10","13","274","39","229","6","0"
"Mansfield","5,034","47","0","","1","1","45","308","104","201","3",""
"Many","2,814","33","3","","0","5","25","199","15","183","1","1"
"Marion","750","1","0","","0","1","0","32","13","19","0","0"
"Marksville","5,625","77","0","","1","6","70","354","75","267","12",""
"Minden","12,965","31","1","","2","7","21","274","55","207","12",""
"Monroe","49,396","516","6","","29","147","334","4,371","1,467","2,822","82","0"
"Montgomery","706","8","0","","0","0","8","23","20","1","2","0"
"Montpelier","261","1","0","","0","0","1","4","0","4","0","0"
"Moreauville","913","1","0","","0","0","1","7","3","4","0","0"
"Morgan City","12,037","60","3","","7","8","42","462","54","398","10",""
"Napoleonville","645","1","0","","0","0","1","0","0","0","0","0"
"Natchitoches","18,292","149","1","","8","27","113","1,455","513","928","14","3"
"New Orleans","377,022","2,965","156","","176","1,138","1,495","14,525","3,203","9,179","2,143",""
"North Hodge","387","2","0","","0","0","2","9","1","8","0",""
"Norwood","317","3","0","","0","0","3","0","0","0","0","0"
"Oak Grove","1,702","5","0","","0","0","5","72","6","65","1","0"
"Oil City","1,021","2","0","","0","0","2","8","2","6","0","0"
"Opelousas","16,527","299","2","","29","75","193","1,215","275","899","41","2"
"Patterson","6,079","10","1","","0","0","9","96","6","88","2",""
"Pearl River","2,567","15","0","","0","2","13","72","14","54","4","0"
"Pineville","14,555","81","0","","4","9","68","897","158","711","28","2"
"Plaquemine","7,019","46","4","0","","3","39","327","54","266","7","0"
"Pollock","456","1","0","","0","0","1","10","3","6","1","0"
"Ponchatoula","6,754","38","1","","0","4","33","340","111","221","8","0"
"Port Vincent","733","0","0","","0","0","0","32","5","26","1","0"
"Rayne","8,031","37","1","","0","18","18","317","66","248","3","0"
"Roseland","1,158","3","0","","1","0","2","14","4","6","4","0"
"Ruston","21,969","90","1","","3","20","66","798","189","596","13","2"
"Scott","8,801","18","1","","2","3","12","235","46","171","18","0"
"Shreveport","202,189","1,397","26","","84","376","911","9,584","2,360","6,720","504","80"
"Slidell","27,450","96","5","","9","16","66","1,548","183","1,297","68","1"
"St. Francisville","1,687","4","0","","0","1","3","64","17","46","1","0"
"St. Gabriel","6,783","24","0","","2","2","20","76","23","49","4","0"
"Sulphur","20,064","140","0","","11","15","114","1,137","258","843","36","1"
"Thibodaux","14,544","68","1","","4","7","56","683","93","577","13","2"
"Tickfaw","712","1","0","","0","0","1","20","2","17","1","0"
"Vidalia","4,141","21","1","","0","2","18","161","30","129","2","0"
"Vinton","3,191","8","0","1","","2","5","51","18","33","0","1"
"Walker","6,172","38","0","","1","10","27","341","42","294","5","0"
"West Monroe","13,081","94","2","","7","7","78","1,073","178","873","22","6"
"Westwego","8,521","23","0","","3","1","19","239","48","180","11","1"
"Wilson","582","0","0","","0","0","0","3","3","0","0","0"
"Winnfield","4,683","81","1","","2","8","70","299","92","194","13","0"
"Zachary","15,749","39","0","","1","4","34","497","63","416","18","1"
"Zwolle","1,990","7","0","","0","2","5","56","17","35","4","0"
