"Criminal Justice Information Services Division","Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home"
"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson"
"Ashland","1,277","0","0","","0","0","0","12","7","4","1","0"
"Auburn","22,948","32","0","10","","10","12","1,072","197","858","17","2"
"Augusta","18,893","68","1","25","","16","26","1,206","206","969","31","5"
"Baileyville","1,487","10","0","","0","0","10","32","9","22","1","0"
"Bangor","32,744","70","3","","10","35","22","1,844","243","1,564","37","4"
"Bar Harbor","5,275","3","0","0","","2","1","79","19","59","1","0"
"Bath","8,384","8","0","","2","1","5","290","26","262","2","6"
"Belfast","6,654","9","1","","0","0","8","154","29","124","1","0"
"Berwick","7,529","8","0","","3","0","5","123","37","84","2","2"
"Biddeford","21,324","119","1","","19","24","75","1,139","149","972","18","6"
"Boothbay Harbor","2,135","1","0","","0","0","1","60","9","50","1","1"
"Brewer","9,376","7","0","","0","2","5","298","44","251","3","0"
"Bridgton","5,308","7","0","","1","1","5","33","6","25","2","0"
"Brownville","1,225","1","0","","0","1","0","23","10","11","2","0"
"Brunswick","20,354","23","0","","8","4","11","509","90","409","10","0"
"Bucksport","4,937","8","0","","0","0","8","78","25","48","5","0"
"Buxton","8,103","11","0","","1","0","10","98","25","68","5","1"
"Calais","3,054","11","0","","2","0","9","156","18","138","0","0"
"Camden","4,848","2","0","","1","0","1","81","14","66","1","0"
"Cape Elizabeth","9,104","0","0","","0","0","0","98","26","70","2","2"
"Caribou","8,012","6","0","","0","1","5","112","26","80","6","0"
"Carrabassett Valley","780","0","0","0","","0","0","48","4","44","0","0"
"Clinton","3,425","4","0","","2","0","2","38","11","25","2","0"
"Cumberland","7,353","1","0","","0","0","1","19","11","7","1","0"
"Damariscotta","2,204","2","0","","1","0","1","33","1","32","0","1"
"Dexter","3,856","5","0","","0","2","3","101","20","77","4","0"
"Dixfield","2,504","1","0","","0","0","1","65","15","50","0","1"
"Dover-Foxcroft","4,110","9","0","","0","1","8","131","22","103","6","2"
"East Millinocket","3,027","0","0","","0","0","0","57","8","49","0","0"
"Eastport","1,302","3","0","","0","0","3","16","6","9","1","0"
"Eliot","6,257","4","0","","2","1","1","35","4","31","0","0"
"Ellsworth","7,853","5","1","","0","1","3","274","57","209","8","0"
"Fairfield","6,657","6","0","","2","0","4","246","49","192","5","0"
"Falmouth","11,468","5","1","","1","1","2","128","19","106","3","2"
"Farmington3","7,657","14","0","3","","0","11","210","23","184","3","0"
"Fort Fairfield","3,412","4","0","","0","0","4","48","8","38","2","0"
"Fort Kent","4,055","2","0","","0","0","2","12","0","11","1","0"
"Freeport","8,094","3","1","","0","0","2","158","25","129","4","0"
"Fryeburg","3,407","5","0","","1","1","3","41","9","32","0","1"
"Gardiner","5,731","10","0","","3","0","7","164","23","140","1","0"
"Gorham","16,764","14","0","","2","1","11","164","36","121","7","3"
"Gouldsboro","1,733","1","0","","0","0","1","15","2","13","0","0"
"Greenville","1,624","4","0","","0","0","4","41","10","31","0","1"
"Hallowell","2,362","4","0","","1","0","3","60","10","48","2","0"
"Hampden","7,275","4","0","","1","1","2","119","18","97","4","0"
"Holden","3,094","1","0","","0","0","1","82","32","50","0","0"
"Houlton","6,046","6","0","","2","0","4","143","27","115","1","0"
"Islesboro","568","0","0","","0","0","0","5","3","2","0","0"
"Jay","4,827","3","0","","1","1","1","113","30","80","3","1"
"Kennebunk","11,023","7","0","","1","1","5","134","30","102","2","0"
"Kennebunkport","3,517","1","0","","1","0","0","64","17","47","0","0"
"Kittery","9,540","11","0","","6","3","2","168","12","153","3","1"
"Lewiston","36,422","89","0","25","","20","44","1,217","313","848","56","23"
"Limestone","2,269","3","0","","0","0","3","16","5","9","2","3"
"Lincoln","5,094","2","0","","0","1","1","201","54","142","5","0"
"Lisbon","8,923","5","0","3","","1","1","98","14","80","4","0"
"Livermore Falls","3,161","2","0","","0","0","2","88","15","71","2","0"
"Machias","2,173","8","0","","1","2","5","44","7","37","0","1"
"Madawaska","3,957","2","0","","1","0","1","36","3","32","1","0"
"Madison","4,776","4","0","2","","0","2","103","21","73","9","0"
"Mechanic Falls","3,013","6","0","","1","0","5","31","11","19","1","1"
"Mexico","2,633","3","0","","2","0","1","129","51","75","3","0"
"Milbridge","1,340","2","0","","0","1","1","7","1","6","0","0"
"Millinocket","4,430","3","0","","1","1","1","77","24","52","1","0"
"Milo","2,295","18","0","","0","0","18","82","21","58","3","0"
"Monmouth","4,105","1","0","0","","0","1","55","16","34","5","0"
"Mount Desert","2,059","0","0","","0","0","0","32","5","27","0","0"
"Newport","3,250","2","0","","0","2","0","97","12","85","0","0"
"North Berwick","4,620","3","0","","0","0","3","32","14","17","1","1"
"Norway","4,970","9","0","","7","0","2","138","27","109","2","0"
"Oakland","6,253","3","0","3","","0","0","102","24","72","6","0"
"Ogunquit","905","1","0","","0","0","1","38","5","33","0","0"
"Old Orchard Beach","8,681","11","0","7","","0","4","255","67","183","5","1"
"Old Town","7,736","11","1","","1","2","7","152","22","127","3","0"
"Orono","10,663","3","0","","1","1","1","186","33","152","1","0"
"Oxford","4,075","4","0","","1","0","3","218","21","193","4","0"
"Paris","5,140","2","0","","0","0","2","122","23","95","4","0"
"Phippsburg","2,230","0","0","","0","0","0","12","3","9","0","0"
"Pittsfield","4,162","0","0","","0","0","0","47","3","41","3","1"
"Portland","66,256","177","1","","21","85","70","2,612","383","2,160","69","6"
"Presque Isle","9,483","13","0","","4","1","8","161","9","150","2","0"
"Rangeley","1,176","1","0","","0","0","1","28","10","17","1","0"
"Richmond","3,388","0","0","","0","0","0","21","5","15","1","0"
"Rockland","7,205","8","0","","1","0","7","241","31","203","7","0"
"Rockport","3,314","0","0","","0","0","0","22","4","17","1","0"
"Rumford","5,738","6","0","","2","2","2","219","48","168","3","1"
"Sabattus","5,060","6","0","","3","0","3","80","33","44","3","0"
"Saco","18,848","24","0","7","","8","9","508","133","363","12","4"
"Sanford","20,913","70","0","","19","12","39","803","135","642","26","8"
"Scarborough","19,252","17","0","7","","2","8","420","66","343","11","0"
"Searsport","2,618","0","0","","0","0","0","65","17","45","3","0"
"Skowhegan","8,537","18","0","9","","2","7","498","86","386","26","3"
"South Berwick","7,275","4","0","","4","0","0","72","12","57","3","0"
"South Portland","25,126","60","0","10","","13","37","861","113","722","26","0"
"Southwest Harbor","1,765","0","0","","0","0","0","50","13","37","0","0"
"Swan's Island","331","0","0","","0","0","0","13","5","7","1","0"
"Thomaston","2,776","0","0","","0","0","0","62","7","55","0","0"
"Topsham","8,728","4","0","","1","1","2","154","27","117","10","1"
"Van Buren","2,125","0","0","","0","0","0","15","6","7","2","0"
"Veazie","1,895","1","0","","0","1","0","63","8","55","0","0"
"Waldoboro","5,016","4","0","","2","1","1","70","19","51","0","1"
"Washburn","1,651","1","0","","0","0","1","36","8","27","1","0"
"Waterville","15,897","43","0","15","","13","15","804","105","684","15","1"
"Wells","9,803","5","0","3","","0","2","122","42","77","3","0"
"Westbrook","17,647","38","1","","11","6","20","583","78","485","20","1"
"Wilton","4,066","5","0","","0","0","5","45","16","28","1","0"
"Windham","17,363","9","0","","0","2","7","313","53","248","12","2"
"Winslow","7,704","11","0","6","","2","3","150","33","112","5","0"
"Winter Harbor","514","1","0","","0","0","1","5","1","4","0","0"
"Winthrop","6,051","3","0","","0","1","2","132","36","94","2","0"
"Wiscasset","3,673","8","0","","2","1","5","53","15","37","1","0"
"Yarmouth","8,460","6","0","","2","1","3","72","19","52","1","1"
"York","12,695","8","0","3","","1","4","219","53","161","5","2"
