"Criminal Justice Information Services Division","Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home"
"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson"
"Aberdeen","15,039","50","0","","4","20","26","506","77","413","16","4"
"Annapolis","38,649","169","4","","8","63","94","1,056","169","821","66","13"
"Baltimore","622,671","8,725","233","","298","3,734","4,460","30,789","7,391","18,946","4,452","277"
"Baltimore City Sheriff","","0","0","","0","0","0","0","0","0","0","0"
"Bel Air","10,314","47","0","","2","11","34","365","44","316","5","2"
"Berlin","4,589","5","0","","0","1","4","97","28","69","0","0"
"Berwyn Heights","3,198","7","0","","0","5","2","52","17","33","2","0"
"Bladensburg","9,381","95","1","","2","43","49","407","106","230","71","0"
"Boonsboro","3,457","2","0","","0","1","1","22","4","16","2","0"
"Bowie","56,483","61","0","","6","28","27","882","155","661","66","4"
"Brentwood","3,116","1","0","","0","0","1","16","4","10","2","0"
"Brunswick","6,078","8","0","","0","0","8","75","15","60","0","0"
"Cambridge","12,530","119","0","","2","31","86","611","95","510","6","12"
"Capitol Heights","4,455","15","0","","0","3","12","63","26","20","17","0"
"Centreville","4,503","6","0","","0","5","1","74","21","51","2","1"
"Chestertown","5,406","27","0","","0","13","14","144","36","104","4","2"
"Cheverly","6,325","29","0","","1","12","16","167","24","118","25","0"
"Chevy Chase Village","2,024","0","0","","0","0","0","44","4","35","5","0"
"Colmar Manor","1,436","12","0","","0","2","10","43","2","37","4","0"
"Cottage City","1,339","4","0","","0","0","4","29","8","16","5","0"
"Crisfield","2,656","11","0","","0","4","7","41","3","38","0","1"
"Cumberland","20,495","160","1","","20","44","95","1,341","323","991","27","6"
"Delmar","3,047","10","0","","0","1","9","83","25","57","1","2"
"Denton","4,357","13","0","","1","4","8","275","34","241","0","0"
"District Heights","5,982","6","0","","0","3","3","140","35","86","19","0"
"Easton","16,721","41","0","","6","15","20","328","74","252","2","0"
"Edmonston","1,483","7","0","","0","1","6","56","8","40","8","0"
"Elkton","15,629","194","0","","11","40","143","1,042","186","828","28","4"
"Fairmount Heights","1,532","0","0","","0","0","0","3","1","0","2","0"
"Federalsburg","2,683","41","0","","0","2","39","84","16","64","4","0"
"Forest Heights","2,504","4","0","","0","0","4","64","38","22","4","0"
"Frederick","66,709","328","1","","7","98","222","1,792","227","1,504","61","8"
"Frostburg","8,740","19","0","","3","4","12","215","43","170","2","0"
"Fruitland","5,158","20","0","","2","5","13","249","18","231","0","1"
"Glenarden","6,163","9","0","","0","3","6","96","24","57","15","0"
"Greenbelt","23,680","106","0","","5","66","35","844","192","545","107","0"
"Greensboro","1,888","9","0","","1","1","7","55","18","37","0","1"
"Hagerstown","40,866","244","5","","10","101","128","1,498","375","1,051","72","27"
"Hampstead","6,336","6","0","","2","1","3","75","14","60","1","2"
"Hancock","1,562","1","0","","0","0","1","33","3","30","0","0"
"Havre de Grace","13,530","35","0","","3","11","21","392","54","321","17","1"
"Hurlock","2,060","4","0","","0","0","4","45","17","26","2","0"
"Hyattsville","17,955","76","0","","1","56","19","1,109","114","938","57","0"
"Landover Hills","1,776","10","0","","0","6","4","59","9","39","11","0"
"La Plata","9,032","45","0","","0","6","39","279","47","227","5","3"
"Laurel","25,675","147","0","","4","67","76","823","145","596","82","1"
"Lonaconing","1,164","0","0","","0","0","0","1","0","1","0","0"
"Luke","64","0","0","","0","0","0","0","0","0","0","0"
"Manchester","4,806","5","0","","0","1","4","27","10","16","1","0"
"Morningside","2,049","6","0","","0","3","3","52","20","26","6","0"
"Mount Rainier","8,268","50","0","","1","35","14","280","64","170","46","0"
"New Carrollton","12,456","46","2","","0","16","28","267","40","188","39","1"
"North East","3,685","7","0","","0","2","5","130","14","107","9","0"
"Oakland","1,896","1","0","","0","1","0","37","2","35","0","0"
"Ocean City","7,086","83","2","","11","20","50","1,223","154","1,036","33","2"
"Ocean Pines","12,024","30","0","","0","0","30","148","35","112","1","0"
"Oxford","638","0","0","","0","0","0","6","1","5","0","0"
"Perryville","4,401","13","0","","0","4","9","128","24","96","8","1"
"Pocomoke City","4,163","49","0","","0","3","46","183","17","164","2","1"
"Princess Anne","3,302","22","0","","3","5","14","184","37","140","7","3"
"Ridgely","1,608","10","0","","0","2","8","47","10","36","1","1"
"Rising Sun","2,874","3","0","","0","0","3","29","7","22","0","0"
"Riverdale Park","7,126","51","0","","0","16","35","133","30","79","24","0"
"Rock Hall","1,321","4","0","","0","2","2","18","3","14","1","0"
"Salisbury","31,517","326","0","","17","99","210","1,806","336","1,420","50","11"
"Seat Pleasant","4,653","34","1","","1","11","21","152","31","94","27","0"
"Smithsburg","2,989","1","0","","0","0","1","19","5","14","0","2"
"Snow Hill","2,112","15","0","","1","1","13","66","17","48","1","0"
"St. Michaels","1,017","2","0","","0","0","2","46","5","40","1","0"
"Sykesville","4,453","4","0","","0","1","3","24","4","16","4","1"
"Takoma Park","17,349","60","1","","2","37","20","468","125","301","42","1"
"Taneytown","6,730","6","0","","0","0","6","73","12","61","0","2"
"Thurmont","6,405","11","0","","0","2","9","83","30","52","1","0"
"Trappe","1,064","4","0","","0","0","4","20","2","18","0","0"
"University Park","2,603","2","0","","0","1","1","76","20","49","7","0"
"Upper Marlboro","639","1","0","","0","1","0","17","1","13","3","0"
"Westminster","18,632","88","2","","0","13","73","849","113","726","10","2"
