"Criminal Justice Information Services Division","Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home"
"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson3"
"Abington","16,121","48","0","5","","7","36","297","82","201","14","1"
"Acton","22,871","8","0","1","","2","5","178","31","144","3","0"
"Acushnet","10,362","19","0","2","","0","17","74","27","40","7","2"
"Adams","8,352","21","0","3","","3","15","157","40","109","8","1"
"Agawam","28,659","41","0","12","","3","26","270","105","130","35","1"
"Amesbury","16,655","42","0","3","","2","37","239","40","191","8","2"
"Amherst","39,127","70","0","23","","3","44","367","76","274","17","5"
"Andover","34,529","20","0","3","","1","16","314","39","255","20","0"
"Arlington","44,098","55","3","7","","10","35","516","126","365","25","3"
"Ashburnham","6,166","5","0","2","","1","2","65","20","44","1","0"
"Ashby","3,169","7","0","1","","1","5","43","23","18","2","0"
"Ashland","17,162","18","0","2","","0","16","206","91","109","6","0"
"Athol","11,668","53","0","7","","3","43","154","55","97","2","4"
"Attleboro","44,034","108","0","16","","16","76","942","171","702","69","2"
"Auburn","16,361","47","0","4","","7","36","530","77","437","16","1"
"Avon","4,406","10","0","","0","4","6","252","29","220","3",""
"Ayer","7,788","12","0","1","","1","10","137","51","84","2","0"
"Barnstable","44,837","302","0","18","","30","254","1,191","289","835","67","8"
"Barre","5,453","26","0","6","","0","20","53","23","27","3","1"
"Becket","1,778","4","0","","0","0","4","27","20","7","0",""
"Bedford","13,947","6","0","1","","3","2","74","11","62","1","0"
"Belchertown","14,744","21","0","4","","1","16","167","41","121","5","0"
"Bellingham","16,619","35","0","3","","8","24","291","55","225","11","3"
"Belmont","25,421","24","0","4","","2","18","241","56","172","13","3"
"Berkley","6,543","9","0","0","","1","8","45","21","23","1","0"
"Berlin","2,921","0","0","0","","0","0","14","0","14","0","0"
"Bernardston","2,136","4","0","0","","1","3","15","2","11","2","0"
"Beverly","40,592","88","0","7","","9","72","574","77","469","28","1"
"Billerica","41,926","48","0","7","","8","33","468","88","352","28","5"
"Blackstone","9,094","17","0","3","","2","12","84","20","60","4","0"
"Bolton","5,060","9","0","0","","2","7","44","18","25","1","0"
"Boston","643,799","5,037","39","","279","1,868","2,851","17,853","3,096","13,147","1,610",""
"Bourne","19,875","91","0","14","","8","69","465","215","235","15","4"
"Boxborough","5,151","8","0","0","","1","7","24","4","17","3","0"
"Boxford","8,145","4","0","0","","1","3","34","9","23","2","0"
"Braintree","36,496","83","0","5","","18","60","771","97","648","26","1"
"Brewster","9,825","7","0","0","","0","7","132","50","78","4","1"
"Brimfield","3,675","1","0","0","","0","1","21","9","12","0","0"
"Brockton","94,448","1,162","9","87","","228","838","3,189","865","2,100","224","20"
"Brookline","59,382","85","0","6","","16","63","676","107","549","20","1"
"Burlington","25,435","33","0","3","","6","24","501","32","453","16","0"
"Cambridge","107,282","361","2","24","","114","221","2,907","401","2,402","104","10"
"Canton","22,100","59","0","3","","7","49","188","43","140","5","1"
"Carver","11,552","35","0","6","","1","28","185","56","123","6","2"
"Charlton","13,195","22","0","4","","2","16","113","33","77","3","1"
"Chatham","6,162","11","0","0","","0","11","123","20","101","2","1"
"Chelmsford","34,862","22","0","1","","4","17","488","49","422","17","0"
"Chelsea","37,454","458","5","28","","175","250","1,234","209","874","151","4"
"Chicopee","55,566","272","1","22","","81","168","1,563","459","995","109","4"
"Chilmark","911","1","0","0","","0","1","8","1","7","0","0"
"Clinton","13,721","10","0","0","","2","8","40","9","31","0","0"
"Cohasset","8,450","9","0","0","","0","9","69","20","46","3","0"
"Concord","19,437","17","0","1","","1","15","184","20","162","2","0"
"Dalton","6,725","5","0","2","","0","3","69","20","48","1","2"
"Danvers","27,263","51","1","3","","6","41","761","54","684","23","0"
"Dartmouth","34,562","49","0","5","","9","35","914","157","732","25","1"
"Dedham","25,094","15","0","3","","7","5","518","47","446","25","0"
"Deerfield","5,120","7","0","0","","2","5","86","16","67","3","0"
"Dennis","14,173","80","0","13","","8","59","505","211","276","18","3"
"Dighton","7,194","10","0","","1","2","7","30","14","16","0",""
"Douglas","8,628","10","0","1","","0","9","58","33","21","4","0"
"Dover","5,778","2","0","0","","0","2","36","5","31","0","0"
"Dracut","30,533","20","0","4","","8","8","494","75","392","27","0"
"Dudley","11,619","34","0","3","","0","31","90","39","48","3","0"
"Dunstable","3,350","7","0","1","","1","5","22","6","15","1","0"
"Duxbury","15,244","2","0","0","","0","2","59","16","43","0","0"
"East Bridgewater","14,044","31","0","0","","2","29","200","33","158","9","0"
"East Brookfield","2,192","5","0","0","","0","5","16","3","11","2","0"
"Eastham","4,956","11","0","0","","0","11","100","16","82","2","1"
"Easthampton","15,997","19","0","3","","2","14","159","35","118","6","2"
"East Longmeadow","15,946","28","0","3","","0","25","297","58","227","12","1"
"Easton","23,420","33","0","5","","6","22","246","67","160","19","0"
"Edgartown","4,252","8","0","0","","0","8","129","32","89","8","0"
"Egremont","1,225","1","0","","0","0","1","23","2","21","0",""
"Erving","1,803","6","0","1","","0","5","22","6","15","1","2"
"Essex","3,618","0","0","","0","0","0","29","7","19","3",""
"Everett","42,966","202","1","19","","61","121","898","186","621","91","0"
"Fairhaven","15,951","64","1","7","","5","51","364","66","285","13","0"
"Fall River","89,220","944","0","73","","225","646","2,364","698","1,443","223","32"
"Falmouth","31,592","102","2","11","","18","71","899","467","392","40","2"
"Fitchburg","40,521","307","2","33","","35","237","1,060","275","705","80","7"
"Framingham","70,753","172","0","4","","23","145","1,025","217","735","73","3"
"Franklin","32,633","7","0","0","","6","1","171","31","138","2","0"
"Freetown","8,996","21","0","3","","2","16","137","54","74","9","2"
"Gardner","20,341","93","0","13","","10","70","571","190","366","15","2"
"Georgetown","8,457","3","0","1","","0","2","64","17","46","1","0"
"Gill","1,503","1","0","0","","0","1","12","5","7","0","0"
"Gloucester","29,383","22","0","9","","0","13","383","33","345","5","0"
"Goshen","1,057","0","0","0","","0","0","2","1","1","0","0"
"Grafton","18,182","22","0","2","","4","16","121","40","76","5","0"
"Granby","6,297","9","0","0","","0","9","75","13","58","4","0"
"Granville","1,616","2","0","","0","0","2","8","4","4","0",""
"Great Barrington","6,972","30","0","8","","1","21","124","27","88","9","1"
"Groton","11,164","8","0","2","","0","6","86","35","51","0","0"
"Groveland","6,917","1","0","0","","1","0","17","6","11","0","0"
"Halifax","7,574","8","0","2","","0","6","77","32","41","4","0"
"Hamilton","8,122","3","0","0","","0","3","50","8","41","1","0"
"Hampden","5,161","3","0","0","","1","2","55","18","33","4","0"
"Hanover","14,275","2","0","2","","0","0","211","34","171","6","0"
"Hanson","10,342","19","0","3","","1","15","86","23","57","6","0"
"Hardwick","3,005","5","0","1","","0","4","31","8","20","3","0"
"Harvard","6,548","4","0","2","","0","2","37","23","14","0","3"
"Harwich","12,299","24","0","2","","1","21","251","120","124","7","0"
"Hatfield","3,275","5","0","1","","2","2","10","4","6","0","0"
"Haverhill","62,249","414","2","25","","57","330","1,618","431","1,052","135","5"
"Hingham","22,687","17","0","2","","2","13","382","84","287","11","0"
"Holbrook","10,959","39","0","","0","11","28","183","74","100","9",""
"Holden","17,775","8","0","1","","1","6","96","21","71","4","0"
"Holliston","14,199","14","0","0","","0","14","75","25","44","6","1"
"Holyoke","40,215","419","4","42","","108","265","2,664","484","2,067","113","9"
"Hopedale","5,952","18","0","2","","0","16","57","23","32","2","1"
"Hopkinton","15,689","3","0","1","","0","2","93","6","86","1","1"
"Hubbardston","4,448","6","0","0","","0","6","44","20","21","3","0"
"Hudson","19,659","16","0","2","","1","13","209","33","169","7","0"
"Hull","10,331","42","1","5","","0","36","141","42","95","4","2"
"Ipswich","13,699","10","0","0","","0","10","122","20","96","6","1"
"Kingston","12,791","20","0","3","","3","14","191","28","152","11","0"
"Lakeville","10,939","10","1","2","","1","6","183","62","115","6","0"
"Lancaster","7,943","8","0","3","","1","4","80","30","48","2","1"
"Lawrence","77,812","776","1","","19","283","473","2,273","433","1,012","828",""
"Lee","5,883","7","0","3","","0","4","98","23","72","3","0"
"Leicester","11,183","13","0","1","","0","12","250","17","223","10","1"
"Lenox","4,993","4","0","1","","0","3","120","35","83","2","1"
"Leominster","41,175","263","1","25","","34","203","1,235","244","939","52","5"
"Lexington","32,632","17","0","0","","3","14","232","45","185","2","2"
"Lincoln","6,563","6","1","1","","1","3","37","8","29","0","1"
"Littleton","9,219","9","0","4","","0","5","92","15","75","2","1"
"Longmeadow","15,844","14","0","2","","3","9","156","27","121","8","1"
"Lowell","109,449","625","4","40","","192","389","3,379","759","2,300","320","18"
"Ludlow","21,214","32","0","7","","8","17","320","78","232","10","0"
"Lunenburg","11,149","22","0","5","","1","16","210","62","145","3","0"
"Lynn","91,769","814","2","39","","189","584","2,398","510","1,635","253","7"
"Lynnfield","11,900","2","0","0","","1","1","133","14","111","8","0"
"Malden","60,816","205","1","3","","79","122","945","240","618","87","3"
"Manchester-by-the-Sea","5,255","9","0","1","","0","8","28","5","23","0","0"
"Mansfield","23,552","47","0","8","","3","36","352","144","196","12","2"
"Marblehead","20,209","17","0","1","","0","16","159","21","134","4","0"
"Marion","4,923","7","0","1","","1","5","69","9","60","0","0"
"Marlborough","39,531","156","0","18","","17","121","756","119","605","32","2"
"Marshfield","25,581","54","0","5","","3","46","229","29","186","14","2"
"Mashpee","14,041","45","0","4","","3","38","284","61","214","9","2"
"Mattapoisett","6,149","6","0","1","","1","4","66","16","45","5","0"
"Maynard","10,393","13","0","0","","0","13","99","14","79","6","0"
"Medfield","12,309","12","0","2","","0","10","58","16","42","0","0"
"Medford","57,428","112","0","10","","29","73","898","160","672","66","2"
"Medway","12,929","1","0","0","","0","1","111","20","89","2","0"
"Melrose","27,648","21","0","3","","4","14","262","69","181","12","0"
"Mendon","5,902","5","0","0","","0","5","57","17","39","1","0"
"Merrimac","6,590","11","0","0","","1","10","56","24","29","3","0"
"Methuen","48,363","106","0","4","","30","72","1,127","177","830","120","1"
"Middleboro","23,547","70","1","6","","7","56","443","126","300","17","1"
"Middleton","9,394","11","0","0","","0","11","75","4","70","1","0"
"Milford","28,312","58","0","13","","7","38","522","56","449","17","1"
"Millbury","13,355","38","0","7","","5","26","275","58","206","11","4"
"Millville","3,209","2","0","1","","1","0","32","5","27","0","0"
"Milton","27,269","21","1","1","","9","10","391","95","285","11","0"
"Monson","8,716","27","0","3","","0","24","101","35","53","13","1"
"Montague","8,418","45","0","4","","3","38","222","72","147","3","2"
"Monterey","953","0","0","0","","0","0","4","1","2","1","0"
"Nahant","3,461","8","0","1","","0","7","18","4","13","1","0"
"Nantucket","10,378","41","0","8","","3","30","330","29","286","15","0"
"Natick","34,085","36","1","2","","3","30","544","62","468","14","2"
"New Bedford","95,156","1,039","6","100","","256","677","3,437","916","2,186","335","20"
"Newburyport","17,773","31","0","3","","3","25","177","15","154","8","0"
"Newton","86,867","74","0","11","","18","45","807","205","584","18","4"
"Norfolk","11,663","0","0","0","","0","0","41","13","28","0","0"
"North Adams","13,516","133","1","21","","8","103","585","175","395","15","1"
