"Criminal Justice Information Services Division","Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home"
"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson"
"Akron","394","1","0","0","","0","1","6","3","3","0","0"
"Albion","8,524","58","0","10","","13","35","240","86","144","10","3"
"Allegan","5,055","17","0","9","","1","7","83","6","72","5","1"
"Allen Park","27,601","35","0","7","","4","24","662","100","474","88","4"
"Alma","9,256","22","1","8","","3","10","208","27","180","1","1"
"Almont","2,678","8","0","3","","1","4","51","21","27","3","0"
"Alpena","10,299","46","0","17","","1","28","260","39","219","2","2"
"Ann Arbor","116,799","247","3","48","","49","147","2,525","410","2,021","94","12"
"Armada","1,728","1","0","1","","0","0","8","0","8","0","0"
"Auburn Hills","21,680","61","0","8","","17","36","759","52","680","27","0"
"Bad Axe","3,052","14","0","7","","0","7","60","3","56","1","0"
"Bangor","1,857","13","0","1","","0","12","68","11","55","2","0"
"Barryton","363","0","0","0","","0","0","4","0","4","0","0"
"Barry Township","3,372","0","0","0","","0","0","23","5","18","0","0"
"Bath Township","11,761","19","0","5","","1","13","145","38","92","15","2"
"Bay City","34,395","217","0","62","","21","134","938","210","674","54","5"
"Belding","5,751","7","0","2","","0","5","151","27","122","2","1"
"Bellaire","1,078","0","0","0","","0","0","6","0","5","1","0"
"Belleville","3,900","4","0","1","","0","3","84","15","61","8","1"
"Benton Harbor","10,039","225","3","22","","60","140","706","304","377","25","10"
"Benton Township","14,578","157","0","17","","33","107","1,204","263","894","47","4"
"Berkley","15,173","12","0","5","","3","4","148","28","115","5","0"
"Berrien Springs-Oronoko Township","9,170","13","0","7","","2","4","65","15","48","2","1"
"Beverly Hills","10,399","6","0","1","","3","2","121","17","100","4","0"
"Big Rapids","10,735","29","0","12","","1","16","200","28","169","3","2"
"Birch Run","1,525","6","0","0","","1","5","82","22","56","4","0"
"Birmingham","20,544","14","0","4","","6","4","239","31","195","13","0"
"Bloomfield Hills","3,952","1","0","1","","0","0","36","7","27","2","0"
"Bloomfield Township","41,791","23","0","3","","9","11","435","74","333","28","1"
"Boyne City","3,757","10","0","4","","0","6","78","8","70","0","2"
"Breckenridge","1,308","1","0","1","","0","0","21","2","19","0","0"
"Bridgeport Township","10,341","41","1","3","","4","33","192","73","104","15","1"
"Brighton","7,586","2","0","0","","2","0","147","10","131","6","1"
"Bronson","2,340","4","0","2","","0","2","65","13","50","2","1"
"Brown City","1,292","3","0","1","","1","1","35","9","25","1","0"
"Brownstown Township","30,388","56","0","15","","12","29","419","102","255","62","4"
"Buena Vista Township","8,500","99","1","5","","10","83","265","110","141","14","4"
"Burr Oak","820","8","0","5","","0","3","8","2","6","0","1"
"Burton","29,263","119","2","21","","34","62","1,239","346","847","46","4"
"Cadillac","10,239","46","1","13","","2","30","423","78","338","7","2"
"Calumet","716","4","0","3","","0","1","11","2","9","0","0"
"Cambridge Township","5,663","1","0","0","","0","1","18","0","18","0","0"
"Canton Township","88,958","94","0","18","","16","60","1,250","173","968","109","8"
"Capac","1,848","4","0","2","","0","2","41","10","31","0","0"
"Carleton","2,324","9","0","1","","0","8","29","11","16","2","0"
"Caro","4,135","26","1","3","","0","22","157","25","131","1","0"
"Carrollton Township","5,997","20","0","6","","2","12","105","25","79","1","0"
"Caseville","756","0","0","0","","0","0","24","1","23","0","0"
"Cass City","2,372","3","0","2","","0","1","62","4","57","1","0"
"Cassopolis","1,760","2","0","0","","1","1","24","5","19","0","0"
"Cedar Springs","3,565","13","0","4","","2","7","90","13","76","1","0"
"Center Line","8,251","37","0","4","","10","23","234","46","162","26","2"
"Central Lake","945","0","0","0","","0","0","11","2","9","0","0"
"Charlevoix","2,524","4","0","1","","1","2","131","8","120","3","1"
"Charlotte","9,046","28","0","5","","3","20","251","33","212","6","0"
"Cheboygan","4,789","20","0","10","","0","10","192","24","163","5","1"
"Chelsea","5,056","11","0","1","","1","9","59","15","41","3","0"
"Chesaning","2,353","3","0","0","","0","3","15","1","13","1","0"
"Chesterfield Township","43,784","119","0","6","","16","97","726","90","593","43","0"
"Chikaming Township","3,088","3","0","0","","0","3","65","13","52","0","1"
"Chocolay Township","6,029","0","0","0","","0","0","39","6","31","2","0"
"Clare","3,095","18","0","4","","1","13","97","12","83","2","0"
"Clawson","11,984","10","0","3","","1","6","95","8","72","15","0"
"Clayton Township","7,322","12","1","4","","0","7","76","34","41","1","0"
"Clay Township","8,891","11","0","4","","0","7","146","24","117","5","0"
"Clinton Township","98,071","285","5","56","","60","164","2,134","420","1,480","234","17"
"Clio","2,580","4","0","0","","1","3","102","49","50","3","0"
"Coleman","1,231","2","0","2","","0","0","51","6","43","2","0"
"Colon","1,157","2","0","0","","1","1","15","0","15","0","1"
"Columbia Township","7,415","18","0","5","","0","13","32","10","21","1","1"
"Concord","1,049","1","1","0","","0","0","9","1","8","0","0"
"Corunna","3,410","5","0","1","","0","4","40","9","29","2","1"
"Covert Township","2,833","9","0","2","","0","7","78","32","43","3","0"
"Croswell","2,379","9","0","2","","0","7","78","7","70","1","1"
"Crystal Falls","1,431","1","0","0","","0","1","18","2","15","1","0"
"Davison Township","19,212","27","0","8","","2","17","392","203","181","8","3"
"Dearborn","96,012","347","2","33","","126","186","3,104","399","2,328","377","14"
"Dearborn Heights","56,583","212","1","20","","66","125","1,338","341","765","232","6"
"Denton Township","5,434","9","0","2","","0","7","94","11","81","2","0"
"Detroit","699,889","14,504","316","618","","4,774","8,796","40,835","11,754","17,188","11,893","611"
"Dewitt","4,587","5","0","0","","1","4","35","13","21","1","1"
"Dryden Township","4,771","2","0","2","","0","0","39","9","26","4","1"
"East Grand Rapids","11,100","3","0","1","","0","2","138","25","112","1","0"
"East Lansing","48,506","109","0","31","","24","54","799","150","552","97","98"
"Eastpointe","32,402","295","1","33","","69","192","1,166","337","534","295","5"
"Eaton Rapids","5,199","8","0","3","","0","5","80","10","69","1","0"
"Eau Claire","624","0","0","0","","0","0","7","0","7","0","0"
"Edmore","1,195","0","0","0","","0","0","0","0","0","0","0"
"Elk Rapids","1,629","2","0","0","","1","1","37","1","36","0","0"
"Elkton","790","0","0","0","","0","0","5","2","3","0","0"
"Elsie","969","0","0","0","","0","0","8","0","8","0","0"
"Emmett Township","11,648","54","0","6","","9","39","644","87","542","15","2"
"Escanaba","12,531","26","0","16","","1","9","628","39","580","9","2"
"Essexville","3,436","2","0","1","","0","1","82","17","62","3","1"
"Evart","1,877","6","0","1","","0","5","54","12","41","1","0"
"Farmington","10,514","13","1","0","","1","11","115","26","85","4","1"
"Farmington Hills","81,084","72","1","14","","21","36","1,114","245","773","96","8"
"Fenton","11,493","17","0","5","","1","11","330","56","258","16","2"
"Ferndale","20,104","42","0","4","","16","22","463","89","319","55","2"
"Flat Rock","9,772","17","0","3","","3","11","141","24","100","17","1"
"Flint","99,941","1,907","48","145","","447","1,267","4,261","1,941","2,000","320","110"
"Flint Township","31,182","336","0","29","","114","193","1,964","560","1,309","95","5"
"Flushing","8,204","5","0","0","","2","3","102","22","77","3","0"
"Forsyth Township","6,278","12","0","4","","1","7","83","11","71","1","0"
"Fowlerville","2,910","10","1","1","","2","6","105","17","82","6","1"
"Frankenmuth","4,925","10","0","2","","1","7","94","10","79","5","0"
"Frankfort","1,281","2","0","2","","0","0","36","6","29","1","0"
"Franklin","3,194","2","1","0","","0","1","34","9","23","2","0"
"Fraser","14,529","29","0","4","","5","20","393","60","308","25","1"
"Fremont","4,034","5","0","2","","1","2","160","10","148","2","0"
"Frost Township","1,037","0","0","0","","0","0","21","14","7","0","0"
"Fruitport","1,090","34","0","10","","7","17","534","31","491","12","0"
"Garden City","27,110","80","2","11","","18","49","541","155","327","59","3"
"Gaylord","3,615","8","0","4","","0","4","259","38","213","8","0"
"Genesee Township","20,977","118","0","16","","18","84","393","124","231","38","11"
"Gibraltar","4,564","8","0","2","","0","6","66","13","47","6","0"
"Gladstone","4,915","5","0","3","","0","2","78","10","68","0","0"
"Gladwin","2,907","15","0","3","","0","12","106","10","94","2","0"
"Grand Beach","271","0","0","0","","0","0","2","2","0","0","0"
"Grand Blanc","8,105","12","0","4","","2","6","139","37","74","28","0"
"Grand Blanc Township","36,793","63","0","11","","14","38","609","164","403","42","2"
"Grand Haven","10,731","29","0","13","","3","13","276","37","236","3","5"
"Grand Ledge","7,772","6","0","2","","0","4","104","13","90","1","0"
"Grand Rapids","191,213","1,326","17","82","","471","756","6,188","1,621","4,315","252","62"
"Grandville","15,669","26","0","4","","10","12","718","66","630","22","0"
"Grayling","1,872","8","0","1","","0","7","100","3","97","0","0"
"Green Oak Township","17,977","22","0","7","","4","11","231","52","164","15","0"
"Greenville","8,423","33","0","18","","3","12","345","39","306","0","1"
"Grosse Ile Township","10,194","4","0","2","","0","2","44","13","30","1","0"
"Grosse Pointe","5,300","5","0","0","","1","4","97","11","76","10","0"
"Grosse Pointe Farms","9,271","7","0","0","","4","3","89","20","57","12","0"
"Grosse Pointe Park","11,287","18","1","0","","5","12","249","22","171","56","2"
"Grosse Pointe Shores","2,948","0","0","0","","0","0","19","6","13","0","0"
"Grosse Pointe Woods","15,760","19","0","2","","4","13","220","36","163","21","1"
"Hamburg Township","21,455","5","0","1","","0","4","162","33","121","8","2"
"Hampton Township","9,555","13","0","7","","2","4","274","92","175","7","0"
"Hamtramck","22,017","366","3","13","","159","191","814","244","334","236","5"
"Hancock","4,614","4","0","3","","0","1","44","6","36","2","0"
"Harbor Beach","1,659","6","0","1","","0","5","45","24","21","0","0"
"Harbor Springs","1,204","1","0","1","","0","0","28","5","23","0","0"
"Harper Woods","13,922","169","2","7","","58","102","979","124","680","175","2"
"Hart","2,103","4","0","1","","0","3","138","13","125","0","0"
"Hartford","2,633","10","0","0","","1","9","34","6","26","2","0"
"Hastings","7,288","14","0","10","","0","4","143","25","112","6","0"
"Hazel Park","16,642","76","0","13","","24","39","436","90","283","63","2"
"Highland Park","11,591","187","6","16","","67","98","577","155","267","155","10"
"Hillsdale","8,188","32","0","13","","0","19","168","32","132","4","0"
"Holland","33,354","137","0","37","","7","93","1,069","188","858","23","5"
"Holly","6,150","9","0","2","","1","6","92","26","63","3","3"
"Hopkins","607","0","0","0","","0","0","4","1","3","0","0"
"Houghton","7,699","8","1","7","","0","0","111","5","106","0","1"
"Howard City","1,786","6","0","4","","0","2","61","16","42","3","0"
"Howell","9,514","28","0","13","","2","13","184","17","158","9","2"
"Huntington Woods","6,305","1","0","0","","1","0","65","12","49","4","0"
"Huron Township","15,607","38","0","10","","1","27","203","52","129","22","0"
"Imlay City","3,586","14","0","2","","3","9","81","11","68","2","1"
"Inkster","24,850","396","15","25","","73","283","1,034","447","457","130","19"
"Ionia","11,434","21","2","14","","0","5","208","30","175","3","4"
"Iron River","2,951","5","0","3","","0","2","125","30","83","12","0"
"Ironwood","5,202","13","0","1","","0","12","91","16","73","2","0"
"Ishpeming","6,582","8","0","0","","1","7","100","11","83","6","0"
"Ishpeming Township","3,579","0","0","0","","0","0","11","0","10","1","0"
