"Criminal Justice Information Services Division","Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home"
"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson3"
"Albany","2,599","4","0","2","","0","2","28","2","25","1","0"
"Albert Lea","17,867","35","0","3","","0","32","447","52","381","14","2"
"Alexandria","11,716","35","1","8","","1","25","363","45","301","17","0"
"Annandale","3,317","0","0","0","","0","0","24","1","23","0","0"
"Anoka","17,270","37","0","15","","9","13","565","55","487","23","2"
"Appleton","1,368","2","0","1","","0","1","39","7","32","0","0"
"Apple Valley","50,262","49","2","11","","18","18","1,163","106","1,031","26","5"
"Arden Hills","9,813","4","0","0","","2","2","148","19","119","10","2"
"Austin","24,823","61","0","12","","7","42","754","138","570","46","1"
"Avon","1,414","1","0","0","","0","1","23","10","12","1","0"
"Babbitt","1,467","2","0","1","","0","1","53","5","48","0","0"
"Baxter","7,719","8","0","0","","0","8","402","13","388","1","0"
"Bayport","3,649","0","0","0","","0","0","19","1","18","0","0"
"Becker","4,622","5","0","0","","0","5","39","6","32","1","1"
"Belgrade","752","0","0","0","","0","0","0","0","0","0","0"
"Belle Plaine","6,848","4","0","2","","0","2","83","4","78","1","1"
"Bemidji","13,805","44","0","13","","3","28","1,148","67","1,050","31","1"
"Benson","3,142","5","0","0","","0","5","92","12","80","0","0"
"Big Lake","10,296","17","0","0","","2","15","107","21","83","3","1"
"Blackduck","795","1","0","0","","0","1","15","1","14","0","0"
"Blaine","60,093","49","0","10","","12","27","1,717","148","1,508","61","7"
"Blooming Prairie","1,962","0","0","0","","0","0","2","0","1","1","0"
"Bloomington","87,057","128","1","17","","49","61","3,283","193","2,990","100","17"
"Blue Earth","3,264","1","0","0","","0","1","36","7","26","3","1"
"Brainerd","13,493","55","0","16","","5","34","750","105","622","23","17"
"Breckenridge","3,388","5","0","1","","0","4","54","11","43","0","0"
"Brooklyn Center","30,814","132","2","14","","67","49","1,720","207","1,440","73","10"
"Brooklyn Park","78,353","248","3","33","","86","126","2,456","421","1,875","160","4"
"Brownton","741","0","0","0","","0","0","7","2","3","2","0"
"Buffalo","15,802","21","0","9","","2","10","337","31","297","9","0"
"Burnsville","61,371","95","3","4","","27","61","1,872","216","1,576","80","2"
"Caledonia","2,807","7","0","1","","0","6","2","1","0","1","0"
"Cambridge","8,244","14","0","1","","1","12","302","28","258","16","1"
"Canby","1,729","0","0","0","","0","0","17","4","13","0",""
"Cannon Falls","4,080","5","0","1","","2","2","115","15","96","4","0"
"Centennial Lakes","10,812","10","0","0","","3","7","105","7","87","11","1"
"Champlin","23,881","20","0","6","","3","11","379","40","333","6","0"
"Chaska","24,158","17","0","12","","0","5","279","28","244","7","0"
"Chisholm","5,042","2","0","0","","1","1","138","12","124","2","0"
"Cloquet","12,005","30","0","7","","5","18","483","49","416","18","0"
"Cold Spring","5,455","1","0","0","","0","1","26","3","22","1","0"
"Columbia Heights","19,715","39","0","2","","13","24","485","100","358","27","1"
"Coon Rapids","62,056","94","0","31","","15","48","1,766","183","1,530","53","9"
"Corcoran","5,539","0","0","0","","0","0","0","0","0","0","0"
"Cottage Grove","35,339","25","0","5","","11","9","683","82","578","23","4"
"Crookston","7,827","13","0","5","","0","8","83","16","56","11","0"
"Crosby","2,369","3","0","1","","0","2","20","6","12","2","0"
"Crystal","22,642","30","0","5","","17","8","520","61","424","35","3"
"Dawson","1,495","1","0","0","","0","1","14","2","12","0","0"
"Dayton","4,885","1","0","1","","0","0","76","16","50","10","0"
"Deephaven","3,742","2","0","0","","0","2","25","3","22","0","0"
"Detroit Lakes","8,887","14","1","4","","0","9","441","43","374","24","0"
"Dilworth","4,111","3","0","1","","0","2","184","13","166","5","0"
"Duluth","86,211","342","2","52","","72","216","4,283","643","3,484","156","23"
"Eagan","65,052","37","0","2","","14","21","1,287","163","1,087","37","5"
"Eagle Lake","2,573","4","0","0","","2","2","28","7","20","1","0"
"East Grand Forks","8,528","10","0","2","","2","6","269","40","218","11","2"
"Echo","269","0","0","0","","0","0","2","2","0","0","0"
"Eden Prairie","62,714","39","1","10","","7","21","894","83","788","23","3"
"Edina","49,405","16","0","7","","5","4","937","80","835","22","1"
"Elk River","23,351","11","0","6","","2","3","471","56","402","13","2"
"Elmore","645","8","0","3","","0","5","9","7","2","0","0"
"Ely","3,432","7","0","3","","0","4","55","3","50","2","0"
"Eveleth","3,691","11","0","2","","0","9","135","28","94","13","1"
"Fairmont","10,400","6","0","1","","1","4","296","53","237","6","0"
"Falcon Heights","5,483","6","0","0","","2","4","108","17","86","5","0"
"Faribault","23,405","90","1","17","","10","62","783","118","631","34","5"
"Farmington","22,190","16","0","0","","2","14","192","33","154","5","3"
"Fergus Falls","13,244","37","0","0","","3","34","484","102","370","12","0"
"Floodwood","528","1","0","0","","0","1","32","0","32","0","0"
"Forest Lake","19,140","19","0","9","","5","5","366","67","269","30","0"
"Fridley","27,775","77","0","14","","18","45","1,247","157","1,018","72","3"
"Gilbert","1,794","0","0","0","","0","0","2","1","1","0","0"
"Glencoe","5,532","1","0","1","","0","0","96","19","76","1","1"
"Glenwood","2,518","3","0","1","","0","2","53","6","47","0","0"
"Golden Valley","20,904","16","0","4","","5","7","451","59","378","14","4"
"Goodview","3,996","7","0","1","","1","5","44","3","35","6","0"
"Grand Rapids","10,934","33","0","15","","2","16","535","38","479","18","3"
"Granite Falls","2,790","5","2","1","","0","2","36","5","28","3","0"
"Hallock","962","0","0","0","","0","0","0","0","0","0","0"
"Hastings","22,365","32","0","10","","5","17","507","57","428","22","4"
"Hermantown","9,660","4","0","2","","0","2","372","56","302","14","2"
"Hibbing","16,267","4","0","0","","0","4","6","1","5","0","0"
"Hokah","566","0","0","0","","0","0","16","4","12","0","0"
"Hopkins","18,108","34","0","5","","11","18","450","71","342","37","0"
"Houston","978","4","0","0","","0","4","11","4","6","1","0"
"Hoyt Lakes","2,002","1","0","1","","0","0","0","0","0","0","0"
"Hutchinson","13,857","35","0","9","","0","26","384","27","348","9","0"
"International Falls","6,336","16","0","5","","1","10","212","43","160","9","3"
"Inver Grove Heights","34,294","83","0","8","","9","66","761","96","614","51","5"
"Isanti","5,417","8","0","2","","0","6","98","10","84","4","0"
"Janesville","2,267","0","0","0","","0","0","17","4","12","1","0"
"Jordan","5,955","6","0","3","","0","3","60","5","54","1","0"
"Kasson","6,023","2","0","2","","0","0","45","9","33","3","0"
"Kimball","761","0","0","0","","0","0","0","0","0","0","0"
"La Crescent","4,802","0","0","0","","0","0","0","0","0","0","0"
"Lake City","4,988","6","0","2","","0","4","123","25","91","7","1"
"Lake Crystal","2,557","2","0","1","","0","1","42","17","21","4","0"
"Lakefield","1,686","3","0","1","","0","2","18","5","13","0","0"
"Lakes Area","9,302","11","0","3","","1","7","136","18","107","11","0"
"Lakeville","57,758","15","0","1","","5","9","724","110","594","20","0"
"Lauderdale","2,446","2","0","0","","1","1","37","9","24","4","0"
"Lester Prairie","1,683","3","0","1","","0","2","27","3","24","0","0"
"Le Sueur","4,021","5","0","0","","0","5","60","14","44","2","0"
"Lewiston","1,589","0","0","0","","0","0","2","1","1","0","0"
"Lino Lakes","20,910","15","0","2","","0","13","172","27","140","5","1"
"Litchfield","6,653","5","0","2","","0","3","95","18","72","5","0"
"Little Canada","10,083","23","0","4","","5","14","246","66","143","37","10"
"Little Falls","8,266","10","0","1","","0","9","195","19","170","6","0"
"Long Prairie","3,392","3","0","0","","0","3","66","2","64","0","0"
"Madison Lake","1,059","1","0","0","","0","1","22","4","16","2","0"
"Mankato","40,360","107","1","18","","31","57","1,753","312","1,395","46","5"
"Maple Grove","65,318","28","0","6","","10","12","1,087","113","944","30","4"
"Mapleton","1,766","0","0","0","","0","0","19","4","14","1","0"
"Maplewood","39,765","75","1","17","","23","34","2,295","283","1,854","158","2"
"Marshall","13,370","22","0","5","","0","17","388","67","306","15","3"
"Medina","5,093","5","0","3","","0","2","87","8","74","5","0"
"Melrose","3,603","2","0","1","","1","0","24","7","15","2","0"
"Mendota Heights","11,158","9","0","1","","2","6","285","33","249","3","1"
"Milaca","2,882","1","0","1","","0","0","52","0","51","1","0"
"Minneapolis","396,206","4,038","36","385","","1,856","1,761","19,358","4,601","13,182","1,575","124"
"Minnetonka","51,573","13","0","2","","4","7","863","118","718","27","9"
"Minnetrista","9,119","3","0","0","","0","3","56","13","43","0","0"
"Montevideo","5,201","10","1","2","","0","7","132","27","100","5","0"
"Montgomery","2,926","8","0","1","","0","7","77","11","64","2","2"
"Moorhead","39,322","38","1","3","","6","28","847","158","645","44","6"
"Moose Lake","2,798","8","0","2","","0","6","116","4","111","1","0"
"Morris","5,276","9","0","4","","1","4","101","9","85","7","0"
"Mounds View","12,486","23","1","5","","2","15","348","46","283","19","7"
"Mountain Lake","2,075","3","0","0","","1","2","7","3","4","0","0"
"New Brighton","21,995","17","0","2","","6","9","548","76","436","36","2"
"New Hope","20,852","24","1","4","","9","10","454","55","374","25","4"
"Newport","3,457","5","0","0","","3","2","118","20","93","5","0"
"New Prague","7,457","7","0","1","","1","5","114","8","102","4","1"
"New Richland","1,209","1","0","0","","0","1","1","1","0","0","0"
"New Ulm","13,185","15","0","4","","0","11","185","41","131","13","0"
"North Branch","9,966","13","0","1","","1","11","339","47","282","10","4"
"Northfield","20,675","18","0","6","","2","10","269","41","225","3","2"
"North Mankato","13,357","22","0","4","","2","16","270","65","188","17","2"
"North Oaks","4,608","1","0","0","","0","1","39","11","24","4","1"
"North St. Paul","11,767","5","0","1","","2","2","251","39","191","21","0"
"Oakdale","27,820","55","1","18","","8","28","1,166","136","980","50","8"
"Oak Park Heights","4,655","1","0","0","","0","1","239","6","228","5","0"
"Olivia","2,418","2","0","0","","0","2","69","12","56","1","1"
"Orono","21,190","4","1","0","","0","3","246","44","197","5","0"
"Ortonville","1,858","0","0","0","","0","0","2","0","2","0","0"
"Osakis","1,710","1","0","0","","0","1","30","3","26","1","0"
"Osseo","2,484","0","0","0","","0","0","0","0","0","0","0"
"Owatonna","25,377","36","0","5","","6","25","680","114","538","28","0"
"Park Rapids","3,673","13","0","2","","5","6","217","31","172","14","2"
"Paynesville","2,429","3","0","0","","0","3","46","6","36","4","0"
"Plainview","3,292","4","0","2","","0","2","6","1","5","0","0"
"Plymouth","73,684","49","0","21","","5","23","1,141","186","903","52","6"
"Princeton","4,653","8","0","1","","0","7","160","8","150","2","0"
"Prior Lake","24,056","20","0","5","","3","12","442","62","365","15","3"
"Proctor","3,053","6","0","2","","1","3","120","17","100","3","0"
"Ramsey","24,186","32","1","20","","2","9","379","49","312","18","0"
"Red Wing","16,489","35","0","14","","2","19","539","68","447","24","5"
"Redwood Falls","5,152","19","1","6","","1","11","125","11","110","4","3"
"Richfield","36,367","88","2","9","","49","28","975","165","763","47","6"
"Robbinsdale","14,363","33","0","1","","16","16","307","71","210","26","0"
"Rochester","109,675","214","0","50","","54","110","2,558","429","2,026","103","8"
"Rogers","11,782","16","0","4","","3","9","224","19","192","13","0"
"Roseau","2,603","0","0","0","","0","0","62","5","52","5","0"
