"Criminal Justice Information Services Division","Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home"
"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson"
"Aberdeen","5,473","9","0","","1","4","4","172","40","127","5","0"
"Amory","7,167","5","0","","1","2","2","265","81","181","3","2"
"Batesville","7,417","18","2","","1","5","10","447","72","360","15","1"
"Biloxi","44,744","213","3","36","","90","84","2,316","703","1,482","131","6"
"Byhalia","1,270","10","0","","0","0","10","71","19","51","1","0"
"Byram","11,795","16","1","1","","7","7","256","62","178","16","0"
"Cleveland","12,174","62","6","","2","18","36","749","130","607","12","4"
"Columbia","6,430","18","0","3","","2","13","180","37","143","0","0"
"D'Iberville","10,123","9","0","","4","1","4","663","75","569","19","0"
"Flowood","8,249","38","0","","5","4","29","392","86","300","6","0"
"Fulton","3,984","0","0","","0","0","0","82","7","74","1","0"
"Gautier","18,532","48","0","","1","12","35","663","235","394","34","2"
"Greenville","33,119","99","7","","17","70","5","2,527","824","1,616","87","60"
"Greenwood","16,112","83","4","","7","27","45","945","297","632","16","0"
"Gulfport","70,863","153","1","18","","64","70","3,449","654","2,670","125","19"
"Hattiesburg","47,549","157","4","","43","46","64","2,756","442","2,224","90","3"
"Horn Lake","26,670","35","1","","4","14","16","578","134","419","25","6"
"Iuka","3,015","4","0","","1","0","3","68","21","46","1","0"
"Jackson","176,039","1,631","50","","110","845","626","10,284","3,366","5,864","1,054","124"
"Laurel","18,917","59","2","","5","33","19","926","295","611","20","2"
"Long Beach","15,467","14","0","","2","0","12","316","45","254","17","0"
"Louisville","6,500","10","0","","0","4","6","82","22","60","0","0"
"Madison","25,044","16","0","","0","2","14","163","10","151","2","0"
"McComb","12,726","79","1","","0","32","46","712","179","498","35","0"
"Meridian","40,748","233","3","29","","129","72","2,415","902","1,327","186","6"
"Ocean Springs","17,479","33","0","","0","7","26","581","99","455","27","1"
"Olive Branch","34,827","66","0","2","","17","47","916","359","521","36","1"
"Pascagoula","22,217","130","2","","20","26","82","1,465","304","1,116","45","7"
"Pass Christian","5,020","8","0","","2","4","2","179","39","133","7","3"
"Petal","10,902","0","0","","0","0","0","109","45","57","7","0"
"Philadelphia","7,488","47","1","0","","10","36","224","74","146","4","0"
"Picayune","10,840","39","1","","2","9","27","436","77","339","20","2"
"Poplarville","2,816","8","0","","0","1","7","70","28","41","1","0"
"Ridgeland","24,319","40","0","","0","19","21","662","46","601","15","0"
"Southaven","50,801","168","0","","9","20","139","1,455","210","1,189","56","3"
"Starkville","24,519","42","1","","1","11","29","608","125","472","11","0"
"Vicksburg","23,318","110","5","","23","14","68","1,260","275","915","70","6"
"West Point","11,179","54","1","","5","14","34","392","162","229","1","0"
"Wiggins","4,535","8","0","","3","2","3","116","29","84","3","0"
