"Criminal Justice Information Services Division","Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home"
"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson3"
"Adrian","1,633","3","0","0","","0","3","41","11","29","1","0"
"Advance","1,341","1","1","0","","0","0","21","5","16","0","0"
"Anderson","1,999","14","1","3","","0","10","105","31","68","6","1"
"Annapolis","349","0","0","0","","0","0","3","0","2","1","0"
"Appleton City","1,081","0","0","0","","0","0","13","3","9","1","0"
"Arbyrd","504","0","0","0","","0","0","0","0","0","0","0"
"Archie","1,187","0","0","0","","0","0","3","2","1","0","0"
"Arnold","21,070","36","0","5","","10","21","674","42","602","30","0"
"Ash Grove","1,479","2","0","0","","0","2","30","3","25","2","0"
"Ashland","3,844","19","0","1","","0","18","78","9","67","2","0"
"Aurora","7,474","60","0","3","","3","54","511","142","345","24","2"
"Auxvasse","980","2","0","0","","0","2","39","6","32","1","0"
"Ava","2,970","9","0","1","","0","8","126","35","87","4","0"
"Ballwin","30,452","22","1","2","","2","17","250","29","213","8","1"
"Battlefield","5,783","0","0","0","","0","0","92","23","67","2","0"
"Bella Villa","726","2","0","0","","0","2","8","0","8","0","0"
"Belle","1,531","12","0","1","","0","11","24","2","21","1","0"
"Bellefontaine Neighbors","10,819","36","2","3","","4","27","349","146","158","45","2"
"Bellerive","189","0","0","0","","0","0","0","0","0","0","0"
"Bel-Nor","1,490","2","0","0","","1","1","45","4","40","1","0"
"Bel-Ridge","2,726","39","0","1","","3","35","124","50","64","10","1"
"Belton","23,273","83","0","16","","14","53","626","120","467","39","5"
"Berkeley","8,946","58","2","6","","15","35","358","129","202","27","0"
"Bernie","1,938","0","0","0","","0","0","20","2","18","0","0"
"Bertrand","815","1","0","0","","1","0","26","15","8","3","0"
"Bethany","3,168","6","0","1","","0","5","75","8","62","5","0"
"Beverly Hills","570","15","0","0","","6","9","25","13","9","3","0"
"Billings","1,060","1","0","0","","0","1","22","5","16","1","0"
"Birch Tree","664","0","0","0","","0","0","2","0","2","0","0"
"Bismarck","1,506","1","0","0","","0","1","6","3","0","3","1"
"Blackburn","250","0","0","0","","0","0","0","0","0","0","0"
"Bloomfield","1,901","5","0","0","","0","5","38","11","25","2","0"
"Blue Springs","53,131","133","1","31","","19","82","1,457","197","1,132","128","4"
"Bolivar","10,408","45","0","14","","3","28","429","77","337","15","2"
"Bonne Terre","7,088","7","0","2","","0","5","40","11","20","9","0"
"Boonville","8,301","31","0","2","","0","29","265","33","218","14","2"
"Bowling Green","5,534","5","0","1","","0","4","119","22","96","1","0"
"Branson","10,918","160","2","6","","22","130","1,261","95","1,105","61","3"
"Branson West","458","11","0","0","","0","11","75","1","70","4","0"
"Braymer","849","0","0","0","","0","0","10","2","8","0","0"
"Breckenridge Hills","4,724","25","0","2","","13","10","184","80","87","17","0"
"Brentwood","8,030","12","0","4","","5","3","298","24","263","11","0"
"Bridgeton","11,657","100","0","7","","24","69","1,013","87","886","40","0"
"Brookfield","4,403","4","0","2","","0","2","144","39","96","9","0"
"Brunswick","831","4","1","0","","0","3","7","2","4","1","0"
"Bucklin","451","2","0","0","","0","2","4","3","1","0","0"
"Buckner","3,070","3","0","2","","1","0","51","15","32","4","0"
"Buffalo","3,100","5","0","0","","0","5","145","15","126","4","0"
"Butler","4,137","11","0","2","","0","9","190","23","161","6","0"
"Butterfield Village","464","0","0","0","","0","0","4","0","4","0","0"
"Byrnes Mill","2,785","5","0","2","","0","3","39","8","31","0","0"
"Cabool","2,126","4","0","2","","0","2","58","10","47","1","0"
"California","4,327","7","0","1","","4","2","90","19","70","1","0"
"Calverton Park","1,290","5","0","1","","0","4","18","7","11","0","0"
"Camdenton","3,810","15","0","2","","0","13","243","17","218","8","0"
"Cameron","9,867","36","0","10","","3","23","166","30","133","3","3"
"Campbell","1,982","5","0","1","","0","4","89","22","65","2","0"
"Canalou","320","0","0","0","","0","0","6","6","0","0","0"
"Canton","2,377","6","0","2","","0","4","75","16","57","2","2"
"Cape Girardeau","38,716","258","5","12","","85","156","1,990","446","1,487","57","6"
"Cardwell","708","0","0","0","","0","0","6","5","1","0","0"
"Carl Junction","7,390","6","0","0","","0","6","177","46","119","12","1"
"Carrollton","3,663","4","0","1","","0","3","72","7","52","13","0"
"Carterville","1,823","5","0","1","","1","3","17","3","11","3","0"
"Carthage","13,988","29","1","5","","4","19","471","65","391","15","2"
"Caruthersville","6,107","89","1","5","","12","71","256","90","152","14","4"
"Cassville","3,255","12","0","0","","1","11","259","20","234","5","0"
"Center","513","0","0","0","","0","0","2","1","1","0","0"
"Centralia","4,169","9","0","0","","1","8","94","20","67","7","0"
"Chaffee","2,948","6","0","1","","0","5","46","9","35","2","1"
"Charlack","1,362","8","0","1","","4","3","42","12","25","5","0"
"Charleston","5,907","35","0","1","","4","30","159","40","113","6","1"
"Chesterfield","47,744","25","0","2","","6","17","685","61","608","16","0"
"Chillicothe","9,419","23","0","2","","1","20","257","38","211","8","3"
"Clarkton","1,276","9","0","0","","0","9","19","4","15","0","0"
"Claycomo","1,462","7","0","0","","0","7","43","2","35","6","0"
"Clayton","15,901","13","0","3","","4","6","210","43","154","13","0"
"Cleveland","657","0","0","0","","0","0","5","2","3","0","0"
"Clever","2,343","16","0","1","","0","15","15","5","9","1","0"
"Clinton","9,054","41","0","3","","6","32","414","79","318","17","0"
"Cole Camp","1,111","2","0","0","","0","2","24","3","20","1","1"
"Columbia","114,587","416","5","67","","112","232","4,359","703","3,490","166","14"
"Concordia","2,406","3","0","1","","0","2","46","13","31","2","0"
"Conway","777","0","0","0","","0","0","9","0","7","2","0"
"Cool Valley","1,193","3","0","1","","1","1","42","3","35","4","0"
"Corder","398","0","0","0","","0","0","2","1","1","0","0"
"Cottleville","3,682","1","0","0","","0","1","46","4","42","0","0"
"Country Club Hills","1,266","11","0","0","","3","8","38","12","24","2","0"
"Crane","1,410","1","0","0","","0","1","12","2","9","1","0"
"Creighton","345","0","0","0","","0","0","0","0","0","0","0"
"Crestwood","11,931","7","0","0","","1","6","254","24","224","6","0"
"Creve Coeur","17,862","17","0","1","","7","9","230","25","192","13","1"
"Crocker","1,120","16","0","0","","0","16","40","11","27","2","1"
"Crystal City","4,821","6","0","0","","1","5","306","34","264","8","1"
"Cuba","3,390","10","0","1","","2","7","164","19","135","10","1"
"Delta","440","0","0","0","","0","0","0","0","0","0","0"
"Desloge","4,960","16","0","1","","1","14","320","31","279","10","1"
"De Soto","6,460","21","0","1","","3","17","313","39","266","8","0"
"Des Peres","8,434","5","0","0","","3","2","508","21","482","5","0"
"Dexter","7,882","20","0","1","","3","16","303","40","255","8","0"
"Diamond","929","4","0","0","","2","2","13","3","9","1","0"
"Dixon","1,573","9","0","0","","0","9","66","13","46","7","0"
"Doniphan","1,992","24","0","2","","4","18","187","14","163","10","0"
"Doolittle","615","0","0","0","","0","0","7","1","6","0","0"
"Drexel","960","3","0","0","","0","3","12","3","7","2","0"
"Duenweg","1,088","6","0","0","","0","6","38","15","19","4","0"
"Duquesne","1,706","2","0","0","","0","2","56","15","40","1","0"
"East Prairie","3,205","2","0","0","","1","1","89","19","70","0","0"
"Edgar Springs","205","0","0","0","","0","0","0","0","0","0","0"
"Edina","1,155","0","0","0","","0","0","5","2","3","0","0"
"Edmundson","837","2","0","0","","0","2","74","20","50","4","0"
"Eldon","4,589","14","0","1","","1","12","219","43","169","7","0"
"El Dorado Springs","3,520","19","0","0","","2","17","242","26","209","7","0"
"Ellington","995","2","0","1","","0","1","10","4","6","0","0"
"Ellisville","9,146","4","0","0","","3","1","103","20","79","4","0"
"Ellsinore","453","3","0","0","","0","3","1","0","1","0","0"
"Elsberry","1,953","9","0","0","","0","9","26","5","19","2","0"
"Eminence","587","0","0","0","","0","0","1","0","1","0","1"
"Emma","233","0","0","0","","0","0","1","1","0","0","0"
"Essex","464","1","0","0","","0","1","15","3","12","0","0"
"Eureka","10,450","6","0","0","","2","4","208","7","196","5","0"
"Excelsior Springs","11,346","24","0","4","","7","13","437","80","331","26","0"
"Exeter","767","1","0","0","","0","1","8","2","6","0","0"
"Fair Grove","1,418","5","0","0","","0","5","35","5","29","1","0"
"Fair Play","467","0","0","0","","0","0","1","1","0","0","0"
"Fairview","392","0","0","0","","0","0","0","0","0","0","0"
"Farmington","17,506","51","0","7","","3","41","788","62","701","25","1"
"Fayette","2,718","4","0","0","","0","4","15","1","12","2","0"
"Ferguson","21,115","101","2","3","","54","42","1,126","300","749","77","0"
"Ferrelview","462","1","0","0","","0","1","30","7","22","1","0"
"Festus","11,782","49","0","3","","5","41","262","31","220","11","2"
"Fleming","125","0","0","0","","0","0","0","0","0","0","0"
"Flordell Hills","819","7","0","1","","4","2","28","16","8","4","0"
"Florissant","52,289","85","2","3","","32","48","993","234","699","60","1"
"Foley","164","0","0","0","","0","0","0","0","0","0","0"
"Fordland","795","1","0","0","","0","1","8","4","4","0","0"
"Foristell","505","0","0","0","","0","0","19","3","16","0","0"
"Forsyth","2,285","2","0","0","","2","0","70","12","54","4","0"
"Fredericktown","4,101","27","1","5","","1","20","246","37","197","12","0"
"Freeman","480","0","0","0","","0","0","0","0","0","0","0"
"Frontenac","3,516","5","0","0","","1","4","59","13","45","1","0"
"Fulton","12,713","44","0","0","","4","40","496","76","403","17","2"
"Galena","422","0","0","0","","0","0","4","3","1","0","0"
"Gallatin","1,730","2","0","0","","0","2","7","2","5","0","0"
"Garden City","1,637","2","0","0","","0","2","16","0","13","3","0"
"Gerald","1,324","0","0","0","","0","0","25","5","19","1","0"
"Gideon","1,047","2","0","0","","0","2","2","0","2","0","0"
"Gladstone","26,083","48","1","3","","15","29","513","89","382","42","2"
"Glasgow","1,102","0","0","0","","0","0","5","1","4","0","0"
"Glendale","5,920","3","0","0","","0","3","57","5","48","4","0"
"Glen Echo Park","160","1","0","0","","0","1","1","1","0","0","0"
"Goodman","1,244","0","0","0","","0","0","16","7","3","6","1"
"Gower","1,498","3","0","1","","2","0","22","3","17","2","0"
"Grain Valley","13,081","16","0","5","","1","10","175","25","135","15","0"
"Granby","2,170","8","0","0","","0","8","36","20","14","2","0"
"Grandin","244","0","0","0","","0","0","0","0","0","0","0"
"Grandview","24,630","106","2","15","","31","58","814","220","500","94","5"
"Greendale","654","0","0","0","","0","0","23","8","12","3","0"
"Greenfield","1,299","2","0","0","","1","1","23","4","19","0","0"
"Greenville","490","0","0","0","","0","0","11","5","5","1","0"
"Greenwood","5,331","4","0","0","","0","4","35","13","18","4","0"
"Hallsville","1,544","2","0","0","","1","1","31","4","26","1","0"
"Hamilton","1,722","2","0","0","","0","2","30","5","24","1","1"
"Hannibal","17,784","74","1","13","","11","49","1,041","135","874","32","1"
"Harrisonville","9,999","16","0","5","","2","9","375","57","301","17","1"
"Hartville","606","0","0","0","","0","0","4","0","3","1","0"
"Hawk Point","673","1","0","0","","0","1","31","1","30","0","0"
"Hayti","2,890","15","0","2","","4","9","238","50","182","6","2"
"Hayti Heights","613","0","0","0","","0","0","3","0","3","0","0"
