"Criminal Justice Information Services Division","Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home"
"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson"
"Baker","1,857","1","0","1","","0","0","8","0","7","1","0"
"Belgrade","7,610","24","0","4","","1","19","160","21","133","6","2"
"Billings","107,802","360","4","39","","81","236","5,604","989","4,074","541","7"
"Boulder","1,187","7","0","0","","0","7","8","1","7","0","1"
"Bozeman","39,167","67","0","24","","6","37","1,200","106","1,042","52","7"
"Bridger","714","0","0","0","","0","0","5","0","4","1","0"
"Columbia Falls","4,721","5","0","3","","0","2","134","5","120","9","0"
"Columbus","1,957","1","0","0","","0","1","48","3","39","6","0"
"Conrad","2,581","6","0","1","","0","5","36","0","35","1","0"
"Cut Bank","2,990","11","0","2","","0","9","97","24","68","5","0"
"Deer Lodge","3,122","5","0","1","","1","3","92","8","78","6","0"
"Dillon","4,223","6","0","2","","0","4","30","0","27","3","0"
"East Helena","2,052","2","0","0","","0","2","19","6","12","1","0"
"Ennis","859","0","0","0","","0","0","3","1","1","1","0"
"Eureka","1,120","0","0","0","","0","0","15","1","14","0","0"
"Fort Benton","1,495","3","1","0","","0","2","10","1","7","2","0"
"Glasgow","3,342","6","0","1","","0","5","61","7","50","4","0"
"Glendive","5,264","11","0","2","","1","8","164","22","132","10","1"
"Great Falls","58,940","149","0","30","","18","101","2,683","393","2,186","104","5"
"Hamilton","4,555","24","0","5","","0","19","198","22","172","4","2"
"Havre","9,672","34","1","9","","2","22","456","33","401","22","6"
"Helena","29,411","112","0","21","","9","82","1,274","180","1,069","25","14"
"Hot Springs","556","1","0","1","","0","0","10","3","5","2","0"
"Joliet","635","0","0","0","","0","0","6","1","4","1","0"
"Kalispell","20,665","47","0","14","","6","27","949","99","823","27","2"
"Laurel","6,998","15","0","2","","1","12","182","19","145","18","0"
"Lewistown","5,838","37","0","9","","0","28","74","10","56","8","0"
"Libby","2,703","3","0","0","","0","3","58","9","47","2","0"
"Livingston","7,062","20","0","3","","0","17","89","10","74","5","0"
"Manhattan","1,559","2","0","0","","0","2","11","3","8","0","1"
"Miles City","8,624","15","0","1","","1","13","151","14","128","9","0"
"Missoula","68,877","218","1","32","","39","146","2,890","418","2,341","131","13"
"Plains","1,081","3","0","0","","0","3","9","2","7","0","0"
"Polson","4,614","24","0","3","","1","20","309","25","260","24","1"
"Red Lodge","2,163","1","0","0","","0","1","34","3","28","3","0"
"Ronan City","1,923","15","0","2","","0","13","52","5","47","0","0"
"Sidney","6,191","14","0","1","","0","13","60","4","52","4","2"
"Stevensville","1,883","5","0","0","","0","5","30","2","26","2","1"
"Thompson Falls","1,347","0","0","0","","0","0","36","3","30","3","0"
"Troy","966","0","0","0","","0","0","12","6","6","0","0"
"West Yellowstone","1,320","1","0","1","","0","0","2","1","1","0","0"
"Whitefish","6,496","19","3","2","","0","14","228","26","191","11","1"
"Wolf Point","2,770","16","0","1","","3","12","95","12","75","8","0"
