"Criminal Justice Information Services Division","Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home"
"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson"
"Alliance","8,510","20","0","8","","1","11","136","57","76","3","1"
"Ashland","2,502","2","0","","0","0","2","17","2","15","0","0"
"Aurora","4,397","1","0","1","","0","0","31","17","12","2","0"
"Beatrice","12,055","66","0","21","","2","43","392","76","308","8","2"
"Bellevue","53,023","70","0","13","","28","29","963","138","717","108","5"
"Bennington","1,476","0","0","","0","0","0","26","12","11","3","0"
"Blair","7,978","8","0","5","","2","1","119","30","84","5","1"
"Bridgeport","1,501","0","0","","0","0","0","25","5","20","0","0"
"Broken Bow","3,464","6","0","6","","0","0","33","5","28","0","0"
"Central City","2,908","1","0","0","","0","1","63","7","55","1","0"
"Chadron","5,845","9","0","2","","0","7","186","17","162","7","2"
"Columbus","22,624","22","1","6","","2","13","510","70","433","7","2"
"Cozad","3,929","4","0","1","","0","3","39","6","31","2","0"
"Crete","7,238","15","0","","3","2","10","212","43","162","7","3"
"Falls City","4,294","2","0","","0","0","2","61","15","41","5","2"
"Fremont","26,098","45","0","27","","3","15","656","99","535","22","8"
"Gering","8,480","0","0","","0","0","0","184","39","135","10","0"
"Gordon","1,552","7","0","1","","0","6","23","0","22","1","0"
"Gothenburg","3,557","1","0","0","","0","1","90","14","74","2","0"
"Grand Island","50,441","136","1","","36","8","91","2,389","526","1,759","104","7"
"Hastings","25,012","54","0","23","","4","27","922","198","689","35","4"
"Holdrege","5,548","6","0","3","","0","3","122","29","90","3","0"
"Imperial","2,140","5","0","","0","0","5","15","4","11","0","0"
"Kearney","32,113","56","0","16","","5","35","825","134","663","28","5"
"Kimball","2,455","18","0","","0","0","18","10","2","8","0","0"
"La Vista","17,790","7","0","1","","3","3","215","27","170","18","1"
"Lexington","10,204","27","0","11","","3","13","275","39","226","10","4"
"Lincoln","267,565","990","5","","142","212","631","9,354","1,423","7,625","306","40"
"Madison","2,424","3","0","0","","0","3","18","8","8","2","0"
"McCook","7,639","10","0","7","","0","3","215","38","166","11","0"
"Milford","2,177","0","0","","0","0","0","26","8","18","0","1"
"Minden","2,972","3","0","1","","0","2","57","9","45","3","0"
"Mitchell","1,698","0","0","0","","0","0","21","3","17","1","0"
"Nebraska City","7,269","6","0","3","","0","3","179","38","132","9","0"
"Norfolk","24,362","30","0","19","","1","10","864","135","675","54","1"
"Ogallala","4,620","3","0","2","","0","1","137","9","121","7","0"
"Omaha","425,076","2,449","42","","184","718","1,505","19,108","3,509","12,519","3,080","83"
"O'Neill","3,677","0","0","","0","0","0","7","0","6","1","0"
"Papillion","21,274","10","0","5","","4","1","373","34","322","17","1"
"Plattsmouth","6,422","3","0","2","","0","1","122","7","103","12","0"
"Ralston","7,662","6","1","2","","2","1","213","33","160","20","2"
"Scottsbluff","15,057","41","0","10","","6","25","720","127","578","15","1"
"Seward","7,063","6","0","1","","0","5","85","8","75","2","0"
"South Sioux City","13,407","13","0","","0","1","12","250","14","232","4","0"
"Superior","1,925","1","0","","0","0","1","12","1","10","1","0"
"Valentine","2,768","8","0","1","","0","7","25","5","17","3","0"
"Valley","1,994","4","0","","3","0","1","45","8","35","2","0"
"Wahoo","4,493","2","0","0","","0","2","55","16","38","1","1"
"West Point","3,329","0","0","0","","0","0","1","0","1","0","0"
"Wilber","1,912","0","0","0","","0","0","25","4","19","2","0"
"York","7,875","1","0","","0","0","1","196","20","162","14","0"
